timestamp,local_hostname,target_hostname,target_ip,bandwidth,bandwidth_metric,avg_ping_ms
2023-04-09_23-05-23,gc-t4-20,gc-t4-1,34.171.80.70,122,Mbits/sec,175.800
2023-04-09_23-05-39,gc-t4-20,gc-t4-2,35.202.116.1,122,Mbits/sec,176.294
2023-04-09_23-05-55,gc-t4-20,gc-t4-5,104.155.15.215,69.3,Mbits/sec,272.300
2023-04-09_23-06-11,gc-t4-20,gc-t4-6,34.140.100.192,69.2,Mbits/sec,271.956
2023-04-09_23-06-27,gc-t4-20,gc-t4-10,34.80.16.100,162,Mbits/sec,131.810
2023-04-09_23-06-42,gc-t4-20,gc-t4-11,104.155.211.90,162,Mbits/sec,131.029
2023-04-09_23-06-58,gc-t4-20,gc-t4-21,34.116.98.182,6.72,Gbits/sec,0.673
2023-04-09_23-07-13,gc-t4-20,gc-t4-1,34.171.80.70,117,Mbits/sec,175.803
2023-04-09_23-07-28,gc-t4-20,gc-t4-2,35.202.116.1,116,Mbits/sec,176.269
2023-04-09_23-07-44,gc-t4-20,gc-t4-5,104.155.15.215,69.1,Mbits/sec,272.023
2023-04-09_23-08-00,gc-t4-20,gc-t4-6,34.140.100.192,69.3,Mbits/sec,271.959
2023-04-09_23-08-16,gc-t4-20,gc-t4-10,34.80.16.100,163,Mbits/sec,131.705
2023-04-09_23-08-31,gc-t4-20,gc-t4-11,104.155.211.90,171,Mbits/sec,131.100
2023-04-09_23-08-47,gc-t4-20,gc-t4-21,34.116.98.182,6.75,Gbits/sec,0.631
2023-04-09_23-09-02,gc-t4-20,gc-t4-1,34.171.80.70,116,Mbits/sec,175.717
2023-04-09_23-09-18,gc-t4-20,gc-t4-2,35.202.116.1,117,Mbits/sec,176.205
2023-04-09_23-09-33,gc-t4-20,gc-t4-5,104.155.15.215,69.1,Mbits/sec,272.116
2023-04-09_23-09-49,gc-t4-20,gc-t4-6,34.140.100.192,69.3,Mbits/sec,271.994
2023-04-09_23-10-05,gc-t4-20,gc-t4-10,34.80.16.100,161,Mbits/sec,131.984
2023-04-09_23-10-21,gc-t4-20,gc-t4-11,104.155.211.90,161,Mbits/sec,130.981
2023-04-09_23-10-36,gc-t4-20,gc-t4-21,34.116.98.182,6.93,Gbits/sec,0.626
2023-04-09_23-10-51,gc-t4-20,gc-t4-1,34.171.80.70,125,Mbits/sec,175.690
2023-04-09_23-11-07,gc-t4-20,gc-t4-2,35.202.116.1,117,Mbits/sec,176.176
2023-04-09_23-11-22,gc-t4-20,gc-t4-5,104.155.15.215,71.8,Mbits/sec,272.227
2023-04-09_23-11-38,gc-t4-20,gc-t4-6,34.140.100.192,69.3,Mbits/sec,271.996
2023-04-09_23-11-54,gc-t4-20,gc-t4-10,34.80.16.100,161,Mbits/sec,131.754
2023-04-09_23-12-10,gc-t4-20,gc-t4-11,104.155.211.90,161,Mbits/sec,131.092
2023-04-09_23-12-25,gc-t4-20,gc-t4-21,34.116.98.182,6.93,Gbits/sec,0.593
2023-04-09_23-12-40,gc-t4-20,gc-t4-1,34.171.80.70,117,Mbits/sec,175.650
2023-04-09_23-12-56,gc-t4-20,gc-t4-2,35.202.116.1,124,Mbits/sec,176.160
2023-04-09_23-13-12,gc-t4-20,gc-t4-5,104.155.15.215,69.3,Mbits/sec,272.254
2023-04-09_23-13-28,gc-t4-20,gc-t4-6,34.140.100.192,68.6,Mbits/sec,271.980
2023-04-09_23-13-44,gc-t4-20,gc-t4-10,34.80.16.100,162,Mbits/sec,131.730
2023-04-09_23-13-59,gc-t4-20,gc-t4-11,104.155.211.90,161,Mbits/sec,130.999
2023-04-09_23-14-15,gc-t4-20,gc-t4-21,34.116.98.182,6.87,Gbits/sec,0.672
