timestamp,local_hostname,target_hostname,target_ip,bandwidth,bandwidth_metric,avg_ping_ms
2023-04-09_21-30-43,gc-t4-5,gc-t4-1,34.171.80.70,210,Mbits/sec,103.149
2023-04-09_21-30-59,gc-t4-5,gc-t4-2,35.202.116.1,221,Mbits/sec,103.110
2023-04-09_21-31-14,gc-t4-5,gc-t4-3,35.232.209.245,209,Mbits/sec,103.157
2023-04-09_21-31-29,gc-t4-5,gc-t4-4,35.224.105.21,210,Mbits/sec,103.057
2023-04-09_21-31-46,gc-t4-5,gc-t4-6,34.140.100.192,6.91,Gbits/sec,0.686
2023-04-09_21-32-01,gc-t4-5,gc-t4-7,35.241.174.166,6.91,Gbits/sec,0.660
2023-04-09_21-32-16,gc-t4-5,gc-t4-8,34.22.250.193,6.55,Gbits/sec,0.724
2023-04-09_21-32-31,gc-t4-5,gc-t4-1,34.171.80.70,209,Mbits/sec,103.071
2023-04-09_21-32-47,gc-t4-5,gc-t4-2,35.202.116.1,222,Mbits/sec,103.068
2023-04-09_21-33-02,gc-t4-5,gc-t4-3,35.232.209.245,209,Mbits/sec,103.103
2023-04-09_21-33-17,gc-t4-5,gc-t4-4,35.224.105.21,209,Mbits/sec,103.204
2023-04-09_21-33-33,gc-t4-5,gc-t4-6,34.140.100.192,6.93,Gbits/sec,0.696
2023-04-09_21-33-48,gc-t4-5,gc-t4-7,35.241.174.166,6.91,Gbits/sec,0.648
2023-04-09_21-34-03,gc-t4-5,gc-t4-8,34.22.250.193,6.85,Gbits/sec,0.662
2023-04-09_21-34-18,gc-t4-5,gc-t4-1,34.171.80.70,210,Mbits/sec,103.085
2023-04-09_21-34-33,gc-t4-5,gc-t4-2,35.202.116.1,210,Mbits/sec,103.136
2023-04-09_21-34-49,gc-t4-5,gc-t4-3,35.232.209.245,209,Mbits/sec,103.175
2023-04-09_21-35-04,gc-t4-5,gc-t4-4,35.224.105.21,209,Mbits/sec,103.194
2023-04-09_21-35-19,gc-t4-5,gc-t4-6,34.140.100.192,6.81,Gbits/sec,0.697
2023-04-09_21-35-35,gc-t4-5,gc-t4-7,35.241.174.166,6.93,Gbits/sec,0.604
2023-04-09_21-35-50,gc-t4-5,gc-t4-8,34.22.250.193,6.87,Gbits/sec,0.738
2023-04-09_21-36-05,gc-t4-5,gc-t4-1,34.171.80.70,210,Mbits/sec,103.159
2023-04-09_21-36-20,gc-t4-5,gc-t4-2,35.202.116.1,210,Mbits/sec,103.066
2023-04-09_21-36-36,gc-t4-5,gc-t4-3,35.232.209.245,224,Mbits/sec,103.160
2023-04-09_21-36-51,gc-t4-5,gc-t4-4,35.224.105.21,222,Mbits/sec,103.229
2023-04-09_21-37-06,gc-t4-5,gc-t4-6,34.140.100.192,6.93,Gbits/sec,0.625
2023-04-09_21-37-21,gc-t4-5,gc-t4-7,35.241.174.166,6.29,Gbits/sec,0.669
2023-04-09_21-37-36,gc-t4-5,gc-t4-8,34.22.250.193,6.79,Gbits/sec,0.639
2023-04-09_21-37-52,gc-t4-5,gc-t4-1,34.171.80.70,209,Mbits/sec,103.142
2023-04-09_21-38-07,gc-t4-5,gc-t4-2,35.202.116.1,210,Mbits/sec,103.154
2023-04-09_21-38-22,gc-t4-5,gc-t4-3,35.232.209.245,210,Mbits/sec,103.155
2023-04-09_21-38-38,gc-t4-5,gc-t4-4,35.224.105.21,209,Mbits/sec,103.299
2023-04-09_21-38-53,gc-t4-5,gc-t4-6,34.140.100.192,6.85,Gbits/sec,0.746
2023-04-09_21-39-08,gc-t4-5,gc-t4-7,35.241.174.166,6.93,Gbits/sec,0.593
2023-04-09_21-39-23,gc-t4-5,gc-t4-8,34.22.250.193,6.41,Gbits/sec,0.587
