timestamp,local_hostname,target_hostname,target_ip,bandwidth,bandwidth_metric,avg_ping_ms
2023-04-09_21-20-35,gc-t4-1,gc-t4-2,35.202.116.1,6.79,Gbits/sec,0.688
2023-04-09_21-20-50,gc-t4-1,gc-t4-3,35.232.209.245,6.89,Gbits/sec,0.699
2023-04-09_21-21-05,gc-t4-1,gc-t4-4,35.224.105.21,6.93,Gbits/sec,0.732
2023-04-09_21-21-20,gc-t4-1,gc-t4-5,104.155.15.215,210,Mbits/sec,103.107
2023-04-09_21-21-36,gc-t4-1,gc-t4-6,34.140.100.192,209,Mbits/sec,103.151
2023-04-09_21-21-51,gc-t4-1,gc-t4-7,35.241.174.166,210,Mbits/sec,103.129
2023-04-09_21-22-07,gc-t4-1,gc-t4-8,34.22.250.193,210,Mbits/sec,103.463
2023-04-09_21-22-22,gc-t4-1,gc-t4-2,35.202.116.1,6.92,Gbits/sec,0.725
2023-04-09_21-22-37,gc-t4-1,gc-t4-3,35.232.209.245,6.93,Gbits/sec,0.762
2023-04-09_21-22-52,gc-t4-1,gc-t4-4,35.224.105.21,6.93,Gbits/sec,0.671
2023-04-09_21-23-07,gc-t4-1,gc-t4-5,104.155.15.215,210,Mbits/sec,103.088
2023-04-09_21-23-23,gc-t4-1,gc-t4-6,34.140.100.192,211,Mbits/sec,103.087
2023-04-09_21-23-38,gc-t4-1,gc-t4-7,35.241.174.166,210,Mbits/sec,103.146
2023-04-09_21-23-53,gc-t4-1,gc-t4-8,34.22.250.193,210,Mbits/sec,103.364
2023-04-09_21-24-09,gc-t4-1,gc-t4-2,35.202.116.1,6.93,Gbits/sec,0.754
2023-04-09_21-24-24,gc-t4-1,gc-t4-3,35.232.209.245,6.93,Gbits/sec,0.786
2023-04-09_21-24-39,gc-t4-1,gc-t4-4,35.224.105.21,6.92,Gbits/sec,0.682
2023-04-09_21-24-54,gc-t4-1,gc-t4-5,104.155.15.215,210,Mbits/sec,103.168
2023-04-09_21-25-09,gc-t4-1,gc-t4-6,34.140.100.192,210,Mbits/sec,103.014
2023-04-09_21-25-25,gc-t4-1,gc-t4-7,35.241.174.166,210,Mbits/sec,103.123
2023-04-09_21-25-40,gc-t4-1,gc-t4-8,34.22.250.193,210,Mbits/sec,103.396
2023-04-09_21-25-56,gc-t4-1,gc-t4-2,35.202.116.1,6.93,Gbits/sec,0.702
2023-04-09_21-26-11,gc-t4-1,gc-t4-3,35.232.209.245,6.92,Gbits/sec,0.664
2023-04-09_21-26-26,gc-t4-1,gc-t4-4,35.224.105.21,6.90,Gbits/sec,0.683
2023-04-09_21-26-41,gc-t4-1,gc-t4-5,104.155.15.215,210,Mbits/sec,103.067
2023-04-09_21-26-56,gc-t4-1,gc-t4-6,34.140.100.192,210,Mbits/sec,103.136
2023-04-09_21-27-12,gc-t4-1,gc-t4-7,35.241.174.166,219,Mbits/sec,103.183
2023-04-09_21-27-28,gc-t4-1,gc-t4-8,34.22.250.193,210,Mbits/sec,103.301
2023-04-09_21-27-43,gc-t4-1,gc-t4-2,35.202.116.1,6.93,Gbits/sec,0.674
2023-04-09_21-27-59,gc-t4-1,gc-t4-3,35.232.209.245,6.88,Gbits/sec,0.662
2023-04-09_21-28-14,gc-t4-1,gc-t4-4,35.224.105.21,6.93,Gbits/sec,0.694
2023-04-09_21-28-29,gc-t4-1,gc-t4-5,104.155.15.215,210,Mbits/sec,103.210
2023-04-09_21-28-44,gc-t4-1,gc-t4-6,34.140.100.192,210,Mbits/sec,103.015
2023-04-09_21-29-00,gc-t4-1,gc-t4-7,35.241.174.166,210,Mbits/sec,103.218
2023-04-09_21-29-15,gc-t4-1,gc-t4-8,34.22.250.193,210,Mbits/sec,103.342
