03_hivemind/num_clients,04_peers/peer_1_samples_per_second,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/global_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_2_samples_accumulated,03_hivemind/overshot_TBS,03_hivemind/epoch_based_sps,03_hivemind/num_peers,03_hivemind/global_epoch,03_hivemind/estimated_current_samples,_step,_timestamp,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,_runtime,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos
0,707.51,,1343.0249770773344,1.0,1.0,0.0,3.61,11392,,4416.0,,,2,1,11539,32,1680689997.0,,,81,1.44,620.07,5376.0,1343.0249770773344,,0.0
0,704.41,,1398.6968793992896,1.0,1.0,0.0,2.29,13024,,5216.0,,,2,1,13177,33,1680689998.0,,,82,0.92,638.62,6176.0,1398.6968793992896,,0.0
0,701.78,,963.3572732625487,1.0,1.0,0.0,2.32,14048,,6016.0,,,2,1,14147,34,1680690000.0,,,84,0.93,696.92,7008.0,963.3572732625487,,0.0
0,310.92,,1275.2599604078314,1.0,1.0,0.0,0.47,15648,,6816.0,,,2,1,15787,35,1680690001.0,,,85,0.5,652.43,7232.0,1275.2599604078314,,0.0
0,614.69,,1297.5122440133553,1.0,1.0,0.0,0.0,16448,,7616.0,,,2,1,17333,36,1680690002.0,,,86,0.5,660.57,8032.0,1297.5122440133553,,0.0
0,614.96,,1297.5122440133553,1.0,1.0,0.0,0.0,16448,,8032.0,,,2,1,18877,37,1680690003.0,,,87,0.5,682.55,8416.0,1297.5122440133553,,0.0
0,614.96,,1297.5122440133553,1.0,1.0,0.0,0.0,16448,,8032.0,,,2,1,20426,38,1680690004.0,,,88,0.5,682.55,8416.0,1297.5122440133553,,0.0
0,614.96,,1297.5122440133553,1.0,1.0,0.0,0.0,16448,,8032.0,,,2,1,21963,39,1680690006.0,,,90,0.5,682.55,8416.0,1297.5122440133553,,0.0
0,614.96,,1297.5122440133553,1.0,1.0,0.0,0.0,16448,,8032.0,,,2,1,23516,40,1680690007.0,,,91,0.5,682.55,8416.0,1297.5122440133553,,0.0
0,614.96,,1297.5122440133553,1.0,1.0,0.0,0.0,16448,,8032.0,,,2,1,25063,41,1680690008.0,,,92,0.5,682.55,8416.0,1297.5122440133553,,0.0
0,614.96,,1297.5122440133553,1.0,1.0,0.0,0.0,16448,,8032.0,,,2,1,26620,42,1680690009.0,,,93,0.5,682.55,8416.0,1297.5122440133553,,0.0
0,614.96,,1297.5122440133553,1.0,1.0,0.0,0.0,16448,,8032.0,,,2,1,28171,43,1680690010.0,,,94,0.5,682.55,8416.0,1297.5122440133553,,0.0
0,614.96,,1402.8319997563963,1.0,1.0,0.0,11.12,512,,8032.0,,,2,2,790,44,1680690012.0,,,96,4.45,682.55,8416.0,1402.8319997563963,,0.0
