03_hivemind/epoch_s,04_peers/peer_2_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/overshot_TBS,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,04_peers/peer_1_epoch,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,03_hivemind/per_epoch_training_samples,_step,03_hivemind/num_clients,04_peers/peer_2_epoch_oos
,0.0,2.44,254.15,6048.0,469.41683563004835,1680690713.0,,8576.0,15168,2,,0.0,,15237,0.0,0,,252.01,469.41683563004835,84,,0.98,,29,0,0.0
,0.0,1.26,254.13,6336.0,466.9526458245034,1680690715.0,,8832.0,15744,2,,0.0,,15795,0.0,0,,215.29,466.9526458245034,86,,0.5,,30,0,0.0
,0.0,0.0,253.95,6656.0,488.6890543565187,1680690716.0,,9088.0,16320,2,,0.0,,16395,0.0,0,,213.01,488.6890543565187,87,,0.5,,31,0,0.0
,0.0,0.0,253.79,6944.0,491.76622438692374,1680690717.0,,9376.0,16448,2,,0.0,,16982,0.0,0,,234.89,491.76622438692374,88,,0.5,,32,0,0.0
,0.0,0.0,253.74,7008.0,491.76622438692374,1680690718.0,,9440.0,16448,2,,0.0,,17563,0.0,0,,238.02,491.76622438692374,89,,0.5,,33,0,0.0
,0.0,0.0,253.74,7008.0,491.76622438692374,1680690719.0,,9440.0,16448,2,,0.0,,18147,0.0,0,,238.02,491.76622438692374,90,,0.5,,34,0,0.0
,0.0,0.0,253.74,7008.0,491.76622438692374,1680690720.0,,9440.0,16448,2,,0.0,,18732,0.0,0,,238.02,491.76622438692374,91,,0.5,,35,0,0.0
,0.0,0.0,253.74,7008.0,491.76622438692374,1680690722.0,,9440.0,16448,2,,0.0,,19316,0.0,0,,238.02,491.76622438692374,93,,0.5,,36,0,0.0
,0.0,0.0,253.74,7008.0,491.76622438692374,1680690723.0,,9440.0,16448,2,,0.0,,19900,0.0,0,,238.02,491.76622438692374,94,,0.5,,37,0,0.0
,0.0,0.0,253.74,7008.0,491.76622438692374,1680690724.0,,9440.0,16448,2,,0.0,,20485,0.0,0,,238.02,491.76622438692374,95,,0.5,,38,0,0.0
,0.0,0.0,253.74,7008.0,491.76622438692374,1680690725.0,,9440.0,16448,2,,0.0,,21069,0.0,0,,238.02,491.76622438692374,96,,0.5,,39,0,0.0
,0.0,33.19,253.74,7008.0,491.76622438692374,1680690726.0,,9440.0,0,2,,0.0,,60,0.0,1,,238.02,491.76622438692374,97,,10.0,,40,0,0.0
47.645865506958216,1.0,33.97,253.74,0.0,465.13657701432635,1680690728.0,1.0,0.0,480,2,0.0,0.0,16448.0,585,1.0,1,0.0,238.02,465.13657701432635,99,345.2135841167148,10.0,16448.0,41,0,0.0
,1.0,33.84,240.71,256.0,452.346693345281,1680690729.0,,224.0,992,2,,0.0,,1074,1.0,1,,224.43,452.346693345281,100,,10.0,,42,0,0.0
,1.0,30.33,229.73,512.0,484.7525956480149,1680690730.0,,480.0,1600,2,,0.0,,1681,1.0,1,,222.62,484.7525956480149,101,,10.0,,43,0,0.0
,1.0,28.33,243.92,800.0,497.71291821186253,1680690731.0,,800.0,2208,2,,0.0,,2283,1.0,1,,240.83,497.71291821186253,102,,10.0,,44,0,0.0
,1.0,26.88,250.33,1120.0,502.391816104683,1680690732.0,,1088.0,2784,2,,0.0,,2882,1.0,1,,247.39,502.391816104683,103,,10.0,,45,0,0.0
,1.0,25.57,252.18,1408.0,504.55900939478,1680690734.0,,1376.0,3424,2,,0.0,,3485,1.0,1,,250.21,504.55900939478,105,,10.0,,46,0,0.0
,1.0,27.99,253.06,1728.0,444.16391363324817,1680690735.0,,1696.0,3872,2,,0.0,,3950,1.0,1,,251.5,444.16391363324817,106,,10.0,,47,0,0.0
,1.0,25.48,192.4,1888.0,465.446354232947,1680690736.0,,1984.0,4480,2,,0.0,,4523,1.0,1,,251.76,465.446354232947,107,,10.0,,48,0,0.0
,1.0,23.06,213.4,2176.0,488.2944668845049,1680690737.0,,2304.0,5056,2,,0.0,,5123,1.0,1,,252.05,488.2944668845049,108,,9.22,,49,0,0.0
,1.0,21.38,236.31,2464.0,498.5365732744664,1680690738.0,,2592.0,5632,2,,0.0,,5723,1.0,1,,251.99,498.5365732744664,109,,8.55,,50,0,0.0
,1.0,20.0,246.61,2752.0,502.9529748820012,1680690739.0,,2880.0,6272,2,,0.0,,6324,1.0,1,,251.93,502.9529748820012,110,,8.0,,51,0,0.0
,1.0,18.78,251.14,3072.0,503.727166711113,1680690741.0,,3200.0,6848,2,,0.0,,6925,1.0,1,,251.81,503.727166711113,112,,7.51,,52,0,0.0
,1.0,17.58,251.99,3360.0,503.80913962015916,1680690742.0,,3488.0,7456,2,,0.0,,7528,1.0,1,,251.73,503.80913962015916,113,,7.03,,53,0,0.0
,1.0,16.38,252.93,3680.0,504.23591871367114,1680690743.0,,3776.0,8064,2,,0.0,,8126,1.0,1,,250.88,504.23591871367114,114,,6.55,,54,0,0.0
,1.0,15.19,253.03,3968.0,504.2478283773921,1680690744.0,,4096.0,8640,2,,0.0,,8727,1.0,1,,251.2,504.2478283773921,115,,6.07,,55,0,0.0
,1.0,13.99,253.17,4256.0,504.44327027786113,1680690745.0,,4384.0,9248,2,,0.0,,9329,1.0,1,,251.08,504.44327027786113,116,,5.59,,56,0,0.0
,1.0,12.8,253.12,4576.0,504.30673557709054,1680690747.0,,4672.0,9856,2,,0.0,,9928,1.0,1,,251.32,504.30673557709054,118,,5.12,,57,0,0.0
,1.0,11.61,253.28,4864.0,504.3986162632043,1680690748.0,,4992.0,10464,2,,0.0,,10528,1.0,1,,251.03,504.3986162632043,119,,4.64,,58,0,0.0
,1.0,10.42,253.16,5184.0,504.2191187103911,1680690749.0,,5280.0,11040,2,,0.0,,11128,1.0,1,,251.24,504.2191187103911,120,,4.17,,59,0,0.0
,1.0,9.25,253.01,5472.0,503.37120745003114,1680690750.0,,5568.0,11680,2,,0.0,,11730,1.0,1,,251.21,503.37120745003114,121,,3.7,,60,0,0.0
