03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_8_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,04_peers/peer_9_epoch,04_peers/peer_9_samples_accumulated,04_peers/peer_9_samples_per_second,04_peers/peer_9_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
12365,728.4141517318768,9,11936,11,28.01,93,0,10.0,728.4141517318768,1683053931,0,1760.0,94.36,1632.0,93.2,1728.0,0.0,0.0,0.0,0.0,0.0,1760.0,0.0,94.27,94.92,0.0,0.0,90.5,1216.0,0.0,0.0,960.0,39.84,0.0,0.0,0.0,81.83,736.0,82.23,0.0,736.0,0.0,0.0,0.0,256.0,23.66,0.0,,,,,,,
13588,759.4811089758347,9,13120,12,25.25,94,0,10.0,759.4811089758347,1683053932,0,1888.0,94.66,1760.0,93.43,1856.0,0.0,0.0,0.0,0.0,0.0,1888.0,0.0,94.55,95.03,0.0,0.0,91.73,1344.0,0.0,0.0,1088.0,50.04,0.0,0.0,0.0,86.23,864.0,86.22,0.0,864.0,0.0,0.0,0.0,384.0,36.51,0.0,,,,,,,
14793,782.7862793102756,9,14272,13,22.96,96,0,10.0,782.7862793102756,1683053934,0,2016.0,94.83,1888.0,93.66,1984.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.0,94.68,95.13,0.0,0.0,92.51,1472.0,0.0,0.0,1248.0,62.18,0.0,0.0,0.0,89.08,992.0,88.78,0.0,992.0,0.0,0.0,0.0,512.0,48.63,0.0,,,,,,,
16063,801.1373311190466,9,15648,14,20.85,97,0,10.0,801.1373311190466,1683053935,0,2144.0,94.92,2016.0,93.78,2112.0,0.0,0.0,0.0,0.0,0.0,2144.0,0.0,94.76,95.12,0.0,0.0,93.08,1600.0,0.0,0.0,1376.0,70.5,0.0,0.0,0.0,91.03,1120.0,90.61,0.0,1120.0,0.0,0.0,0.0,640.0,58.99,0.0,,,,,,,
17255,814.0203788331904,9,16800,15,19.06,99,0,10.0,814.0203788331904,1683053937,0,2304.0,94.91,2176.0,93.94,2272.0,0.0,0.0,0.0,0.0,0.0,2304.0,0.0,94.66,95.16,0.0,0.0,93.48,1760.0,0.0,0.0,1504.0,77.15,0.0,0.0,0.0,92.39,1280.0,92.08,0.0,1280.0,0.0,0.0,0.0,768.0,67.36,0.0,,,,,,,
18446,822.97309644508,9,17952,16,17.4,100,0,10.0,822.97309644508,1683053938,0,2432.0,94.99,2304.0,93.98,2400.0,0.0,0.0,0.0,0.0,0.0,2432.0,0.0,94.72,95.06,0.0,0.0,93.7,1888.0,0.0,0.0,1632.0,82.28,0.0,0.0,0.0,92.84,1408.0,92.76,0.0,1408.0,0.0,0.0,0.0,896.0,73.69,0.0,,,,,,,
19670,826.5446609303141,9,18976,17,15.85,101,0,10.0,826.5446609303141,1683053939,0,2560.0,94.89,2432.0,93.9,2528.0,0.0,0.0,0.0,0.0,0.0,2560.0,0.0,94.59,95.03,0.0,0.0,93.82,2016.0,0.0,0.0,1760.0,85.82,0.0,0.0,0.0,93.37,1536.0,93.12,0.0,1536.0,0.0,0.0,0.0,1024.0,78.43,0.0,,,,,,,
20866,832.8244636283979,9,20480,18,14.29,103,0,10.0,832.8244636283979,1683053941,0,2688.0,94.92,2560.0,93.73,2656.0,0.0,0.0,0.0,0.0,0.0,2688.0,0.0,94.53,94.89,0.0,0.0,93.73,2144.0,0.0,0.0,1856.0,87.74,0.0,0.0,0.0,93.67,1664.0,93.16,0.0,1632.0,0.0,0.0,0.0,1088.0,80.16,0.0,,,,,,,
22058,835.2775562370986,9,21600,19,12.82,104,0,9.62,835.2775562370986,1683053942,0,2848.0,94.76,2720.0,93.73,2816.0,0.0,0.0,0.0,0.0,0.0,2848.0,0.0,94.41,94.74,0.0,0.0,93.7,2304.0,0.0,0.0,2048.0,90.31,0.0,0.0,0.0,93.83,1824.0,93.41,0.0,1792.0,0.0,0.0,0.0,1280.0,83.94,0.0,,,,,,,
23249,837.2887437214606,9,22784,20,11.37,106,0,8.53,837.2887437214606,1683053944,0,2976.0,94.77,2848.0,93.58,2944.0,0.0,0.0,0.0,0.0,0.0,2976.0,0.0,94.55,94.76,0.0,0.0,93.78,2432.0,0.0,0.0,2176.0,91.34,0.0,0.0,0.0,93.96,1952.0,93.37,0.0,1920.0,0.0,0.0,0.0,1376.0,85.17,0.0,,,,,,,
