disk/counter/disk_write_sys_count,cpu/interrupts/soft_interrupts_count,process/memory/shared_memory_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs,process/involuntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,cpu/logical_core_count,disk/time/disk_write_time_sys_s,02_timing/opt_step_time_s,memory/used_memory_sys_MB,disk/time/disk_busy_time_sys_s,cpu/interrupts/interrupts_count,02_timing/dataload_cuda_move_time_s,01_general/lr,02_timing/step_time_s,memory/available_memory_sys_MB,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/forward_time_s,02_timing/loss_calc_time_s,process/memory/lib_memory_proc_MB,01_general/locally_processed_samples,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,memory/total_memory_sys_MB,memory/used_memory_sys_percent,02_timing/dataload_time_s,_runtime,01_general/step,03_hivemind/num_peers,03_hivemind/global_epoch,01_general/minibatch_loss,disk/counter/disk_read_sys_count,process/memory/data_resident_set_proc_MB,_step,_timestamp,01_general/dataset_iteration_count,process/memory/virtual_memory_size_proc_MB,disk/time/disk_read_time_sys_s,cpu/interrupts/ctx_switches_count,02_timing/backward_time_s,process/voluntary_proc_ctx_switches
,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,211076.599808,,,0,,,,,,,0,1682807798.0,,,,,,
0.0,19.0,178.413568,0.0,81.0,1.3744936194150479,,0.0,,1149.423616,0.0,40.0,,,,208182.82496,0.0,0.0,0.9617957890356782,1.0,,,2481.324032,,0.9000000000000001,1.7333333333333332,394.743808,2.719744,,1.4,,0,,,,,0.0,0.0,1,1682807798.0,,9963.696128,0.0,36.0,,184.0
2.0,1185.0,328.749056,4.145713443153186,96.0,0.8992005231772161,,0.0,,1772.945408,0.04000000000000625,3787.0,,,,207548.526592,0.0,0.008168893485187166,0.3194085216871997,1.0,,,2925.187072,,0.9000000000000001,1.7333333333333332,961.814528,2.719744,,1.7,,1,,,,,47.0,0.0,2,1682807799.0,,11248.193536,0.005999999999999783,3267.0,,249.0
3.0,2481.0,552.79616,0.08168716754707447,179.0,0.02183376733986121,,0.0,,2670.788608,0.055999999999997385,180434.0,,,,206562.045952,0.0,0.00408435837430424,0.020485609986452148,1.0,,,4119.207936,,0.9000000000000001,1.7333333333333332,2082.7136,2.719744,,2.1,,2,,,,,50.0,0.0,3,1682807800.0,,15316.598784,0.005999999999999783,7165.0,,356.0
4.0,2703.0,552.79616,0.0,179.0,0.06298981212463477,,0.0009999999999763531,,2672.336896,0.060000000000002274,180844.0,,,,206560.497664,0.0,0.004084445775160284,0.06744121981974187,0.9666666666666666,,,4119.212032,,0.8333333333333334,1.7000000000000002,2082.73408,2.719744,,2.1,,3,,,,,50.0,0.0,4,1682807801.0,,15316.598784,0.005999999999999783,7825.0,,356.0
249.0,2839.0,552.79616,0.0,179.0,0.004250390416330121,,0.1999999999999318,,2669.842432,0.07200000000000273,181290.0,,,,206557.949952,0.0,2.282355983966746,0.05255173137845767,0.9666666666666666,,,4119.212032,,0.8333333333333334,1.7000000000000002,2082.73408,2.719744,,2.1,,4,,,,,50.0,0.0,5,1682807802.0,,15316.598784,0.005999999999999783,8503.0,,356.0
253.0,3007.0,552.800256,0.0,179.0,0.008173810008745746,,0.20299999999997453,,2669.842432,0.08799999999999386,181686.0,,,,206557.949952,0.0,0.2819964453870309,0.003751651079374344,0.9666666666666666,,,4127.735808,,0.8333333333333334,1.7000000000000002,2082.93888,2.719744,,2.1,,5,,,,,50.0,0.0,6,1682807803.0,,15392.100352,0.005999999999999783,9181.0,,356.0
254.0,3194.0,552.800256,0.0,179.0,0.005162204352724171,,0.20299999999997453,,2670.084096,0.09199999999999875,182130.0,,,,206557.691904,0.0,0.00408508289040128,0.04878961298657514,0.9666666666666666,,,4127.735808,,0.8333333333333334,1.7000000000000002,2082.93888,2.719744,,2.1,,6,,,,,50.0,0.0,7,1682807804.0,,15392.100352,0.005999999999999783,9934.0,,356.0
255.0,3387.0,552.800256,0.0,179.0,0.010518325506922131,,0.20299999999997453,,2670.338048,0.09600000000000364,182491.0,,,,206557.442048,0.0,0.0040860262951690285,0.00407006525799433,0.9666666666666666,,,4127.735808,,0.8333333333333334,1.7000000000000002,2082.93888,2.719744,,2.1,,7,,,,,50.0,0.0,8,1682807805.0,,15392.100352,0.005999999999999783,10523.0,,356.0
256.0,3503.0,552.800256,0.0,179.0,0.0022101209991571263,,0.2039999999999509,,2670.333952,0.09999999999999432,182810.0,,,,206557.442048,0.0,0.004085133394684335,0.0028165079871187732,0.9666666666666666,,,4127.735808,,0.7666666666666667,1.7000000000000002,2082.93888,2.719744,,2.1,,8,,,,,50.0,0.0,9,1682807806.0,,15392.100352,0.005999999999999783,11096.0,,356.0
