03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
9960,1067.7813722916849,2,8224,32,0.0,77,3,0.5,1067.7813722916849,1683034282,0,4128.0,3.0,530.87,0.0,4096.0,3.0,0.0,536.91,,,,,,,
1372,1067.7813722916849,2,0,33,6.39,78,4,2.55,1067.7813722916849,1683034283,0,4128.0,3.0,530.87,0.0,4096.0,3.0,0.0,536.91,,,,,,,
2644,1067.7813722916849,2,0,34,5.2,80,4,2.08,1067.7813722916849,1683034285,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,9.526536024175584,0.0,32928.0,8224.0,0.0,863.2728600542605,4.0
3914,1067.7813722916849,2,0,35,4.01,81,4,1.6,1067.7813722916849,1683034286,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
5187,1067.7813722916849,2,0,36,2.81,82,4,1.13,1067.7813722916849,1683034287,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
9489,1067.7813722916849,2,0,37,0.0,86,4,0.5,1067.7813722916849,1683034291,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
10583,1067.7813722916849,2,0,38,0.0,87,4,0.5,1067.7813722916849,1683034292,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
11672,1067.7813722916849,2,0,39,0.0,88,4,0.5,1067.7813722916849,1683034293,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
12758,1067.7813722916849,2,0,40,0.0,89,4,0.5,1067.7813722916849,1683034294,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
13849,1067.7813722916849,2,0,41,0.0,90,4,0.5,1067.7813722916849,1683034295,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
14936,1067.7813722916849,2,0,42,0.0,91,4,0.5,1067.7813722916849,1683034296,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
16024,1067.7813722916849,2,0,43,0.0,92,4,0.5,1067.7813722916849,1683034297,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
17110,1067.7813722916849,2,0,44,0.0,93,4,0.5,1067.7813722916849,1683034298,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
18199,1067.7813722916849,2,0,45,0.0,94,4,0.5,1067.7813722916849,1683034299,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
19290,1067.7813722916849,2,0,46,0.0,95,4,0.5,1067.7813722916849,1683034300,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
20378,1067.7813722916849,2,0,47,0.0,96,4,0.5,1067.7813722916849,1683034301,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
21467,1067.7813722916849,2,0,48,0.0,97,4,0.5,1067.7813722916849,1683034302,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
22550,1067.7813722916849,2,0,49,0.0,98,4,0.5,1067.7813722916849,1683034303,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
23639,1067.7813722916849,2,0,50,0.0,99,4,0.5,1067.7813722916849,1683034304,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
24730,1067.7813722916849,2,0,51,0.0,100,4,0.5,1067.7813722916849,1683034305,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
25818,1067.7813722916849,2,0,52,0.0,101,4,0.5,1067.7813722916849,1683034306,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
26905,1067.7813722916849,2,0,53,0.0,102,4,0.5,1067.7813722916849,1683034307,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
27992,1067.7813722916849,2,0,54,0.0,103,4,0.5,1067.7813722916849,1683034308,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
29083,1067.7813722916849,2,0,55,0.0,104,4,0.5,1067.7813722916849,1683034309,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
30174,1067.7813722916849,2,0,56,0.0,105,4,0.5,1067.7813722916849,1683034310,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
31266,1067.7813722916849,2,0,57,0.0,106,4,0.5,1067.7813722916849,1683034311,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
32357,1067.7813722916849,2,0,58,0.0,107,4,0.5,1067.7813722916849,1683034312,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
33455,1067.7813722916849,2,0,59,0.0,108,4,0.5,1067.7813722916849,1683034313,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
34544,1067.7813722916849,2,0,60,0.0,109,4,0.5,1067.7813722916849,1683034314,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
