02_timing/opt_step_time_s,memory/available_memory_sys_MB,02_timing/dataload_cuda_move_time_s,_timestamp,01_general/lr,memory/used_memory_sys_percent,cpu/interrupts/interrupts_count,disk/time/disk_write_time_sys_s,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_five_min_percent,process/memory/text_resident_set_proc_MB,_step,_runtime,01_general/minibatch_loss,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,02_timing/forward_time_s,01_general/dataset_iteration_count,process/memory/shared_memory_proc_MB,process/involuntary_proc_ctx_switches,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/dataload_time_s,02_timing/loss_calc_time_s,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/step_time_s,memory/used_memory_sys_MB,memory/total_memory_sys_MB,disk/time/disk_read_time_sys_s,cpu/interrupts/ctx_switches_count,disk/counter/disk_write_sys_count,03_hivemind/num_peers,03_hivemind/global_epoch,disk/time/disk_busy_time_sys_s,01_general/locally_processed_samples,cpu/interrupts/soft_interrupts_count,process/memory/virtual_memory_size_proc_MB,01_general/step,cpu/logical_core_count,02_timing/backward_time_s,process/memory/resident_set_size_proc_MB
,,,1681395425.0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,211076.599808,,,,,,,,,,,30.0,,
,208127.356928,,1681395425.0,,1.4,29.0,0.0,0.0,0.03333333333333333,0.0,0.36666666666666664,2.719744,1,0,,2481.02912,138.0,0.0,,,177.88928,52.0,0.7333333333333333,,,0.0,0.0,0.2514968048315165,0.22430796407341994,,1200.848896,,0.0,21.0,0.0,,,0.0,,18.0,9963.39712,,,,394.059776
,208005.914624,,1681395426.0,,1.5,4415.0,0.0009999999999763531,0.0,0.03333333333333333,0.01225676125672125,0.36666666666666664,2.719744,2,1,,2489.552896,148.0,0.0,,,180.498432,53.0,0.7333333333333333,,,0.0,0.0,2.1309767909288615,3.381764913987866,,1322.2912,,0.0,4388.0,3.0,,,0.008000000000009777,,2276.0,10038.902784,,,,396.75904
,208004.882432,,1681395427.0,,1.5,5658.0,0.0009999999999763531,0.0,0.03333333333333333,0.004084237978724276,0.36666666666666664,2.719744,3,2,,2489.565184,148.0,0.0,,,180.498432,53.0,0.7000000000000001,,,0.0,0.0,0.27310150644783937,0.6437062174934591,,1323.323392,,0.0,6100.0,4.0,,,0.012000000000000455,,3145.0,10038.902784,,,,396.763136
,208002.256896,,1681395428.0,,1.5,7713.0,0.029999999999972715,0.0,0.03333333333333333,0.5880865083918837,0.36666666666666664,2.719744,4,3,,2489.56928,148.0,0.0,,,180.498432,53.0,0.7000000000000001,,,0.0,0.0,0.5010715924729363,1.0921253342348518,,1325.948928,,0.0,8512.0,73.0,,,0.02400000000000091,,4763.0,10038.902784,,,,396.763136
,207596.376064,,1681395429.0,,1.6,9155.0,0.029999999999972715,0.0,0.03333333333333333,0.004086656126710754,0.36666666666666664,2.719744,5,4,,2904.981504,156.0,0.0,,,183.054336,57.0,0.7000000000000001,,,0.0,0.0,0.484859400904531,0.7871362647422191,,1731.825664,,0.0,10147.0,74.0,,,0.028000000000005798,,5708.0,10521.2928,,,,800.141312
,207196.63104,,1681395430.0,,1.8,18271.0,0.031999999999982265,0.0,0.03333333333333333,0.0899024999155094,0.36666666666666664,2.719744,6,5,,3538.808832,211.0,0.0,,,185.151488,63.0,0.7000000000000001,,,0.0,0.0,0.9268561441631931,0.8845387565101317,,2131.570688,,0.0,15773.0,78.0,,,0.036000000000001364,,9388.0,13097.476096,,,,1195.507712
,206734.15168,,1681395431.0,,2.1,28285.0,0.03299999999995862,0.0,0.03333333333333333,0.0040865628133416486,0.36666666666666664,2.719744,7,6,,3920.71168,258.0,0.0,,,334.073856,71.0,0.7000000000000001,,,0.0,0.0,0.7337854528513668,1.3826869301608367,,2583.642112,,0.0,21519.0,79.0,,,0.04000000000000625,,13485.0,14152.4992,,,,1716.215808
,206531.117056,,1681395432.0,,2.2,31492.0,0.03299999999995862,0.0,0.3,0.0040865832196057056,0.4,2.719744,8,7,,4078.2848,411.0,0.0,,,597.839872,84.0,0.7333333333333333,,,0.0,0.0,0.6719476206406078,0.9545683732414071,,2657.32096,,0.0,25045.0,80.0,,,0.04399999999999693,,15325.0,16327.262208,,,,2103.635968
,202873.700352,,1681395433.0,,3.9,641575.0,0.03299999999995862,0.0,0.3,0.004080345214830762,0.4,2.719744,9,8,,6531.8912,646.0,0.0,,,1439.166464,238.0,0.7333333333333333,,,0.0,0.0,0.5713599024450292,1.1612168385823578,,5474.545664,,0.0,33248.0,81.0,,,0.04800000000000182,,19754.0,22271.184896,,,,5390.413824
