04_peers/peer_1_epoch,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/undershot_TBS,03_hivemind/optimistic_total_samples_per_second,03_hivemind/eta_next_epoch_s,03_hivemind/global_samples_accumulated,_step,_runtime,03_hivemind/epoch_s,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,04_peers/peer_2_epoch,04_peers/peer_3_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_3_samples_per_second,_timestamp,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_2_epoch_oos
0.0,0,0.0,,715.2147264106954,20.24,18208,24,67,,3,0,,0.0,10.0,237.69,7520.0,18294,0.0,0.0,,238.78,4864.0,,715.2147264106954,239.33,1680694482.0,,4960.0,,0.0
0.0,0,0.0,,713.6592153356044,19.09,19040,25,69,,3,0,,0.0,9.54,237.57,7808.0,19146,0.0,0.0,,238.74,5152.0,,713.6592153356044,238.91,1680694484.0,,5248.0,,0.0
0.0,0,0.0,,712.2146574176318,17.93,19904,26,70,,3,0,,0.0,8.97,237.17,8096.0,19995,0.0,0.0,,238.07,5440.0,,712.2146574176318,238.42,1680694485.0,,5504.0,,0.0
0.0,0,0.0,,710.6202700232927,16.78,20704,27,71,,3,0,,0.0,8.39,237.08,8384.0,20846,0.0,0.0,,236.93,5728.0,,710.6202700232927,238.2,1680694486.0,,5792.0,,0.0
0.0,0,0.0,,708.9064785277003,15.63,21568,28,72,,3,0,,0.0,7.81,234.67,8640.0,21688,0.0,0.0,,237.84,5984.0,,708.9064785277003,238.11,1680694487.0,,6080.0,,0.0
0.0,0,0.0,,709.5385978067218,14.43,22400,29,73,,3,0,,0.0,7.21,234.45,8928.0,22532,0.0,0.0,,236.84,6272.0,,709.5385978067218,237.62,1680694488.0,,6368.0,,0.0
0.0,0,0.0,,710.3313375572961,13.21,23264,30,75,,3,0,,0.0,6.61,233.96,9216.0,23383,0.0,0.0,,237.44,6560.0,,710.3313375572961,238.13,1680694490.0,,6624.0,,0.0
0.0,0,0.0,,711.2649379507955,12.0,24128,31,76,,3,0,,0.0,6.0,233.99,9504.0,24232,0.0,0.0,,238.1,6848.0,,711.2649379507955,238.24,1680694491.0,,6912.0,,0.0
0.0,0,0.0,,712.1971939633622,10.79,24992,32,77,,3,0,,0.0,5.4,234.16,9792.0,25083,0.0,0.0,,237.35,7136.0,,712.1971939633622,239.76,1680694492.0,,7200.0,,0.0
0.0,0,0.0,,712.5815264874271,9.59,25824,33,78,,3,0,,0.0,4.79,234.53,10080.0,25935,0.0,0.0,,237.7,7424.0,,712.5815264874271,239.96,1680694493.0,,7488.0,,0.0
0.0,0,0.0,,713.6065591773174,8.38,26688,34,79,,3,0,,0.0,4.19,234.39,10368.0,26791,0.0,0.0,,238.26,7712.0,,713.6065591773174,239.93,1680694494.0,,7744.0,,0.0
0.0,0,0.0,,713.8192708465292,7.18,27520,35,81,,3,0,,0.0,3.59,234.34,10656.0,27646,0.0,0.0,,238.93,8000.0,,713.8192708465292,240.34,1680694496.0,,8032.0,,0.0
0.0,0,0.0,,712.3507211691611,6.0,28384,36,82,,3,0,,0.0,3.0,234.4,10912.0,28497,0.0,0.0,,238.84,8288.0,,712.3507211691611,240.58,1680694497.0,,8320.0,,0.0
0.0,0,0.0,,712.656697193886,4.79,29216,37,83,,3,0,,0.0,2.4,233.88,11200.0,29354,0.0,0.0,,238.43,8576.0,,712.656697193886,240.04,1680694498.0,,8608.0,,0.0
0.0,0,0.0,,710.9812759185356,3.61,30080,38,84,,3,0,,0.0,1.81,233.93,11488.0,30199,0.0,0.0,,238.79,8864.0,,710.9812759185356,239.94,1680694499.0,,8864.0,,0.0
