03_hivemind/total_training_samples,04_peers/peer_2_epoch_oos,03_hivemind/optimistic_total_samples_per_second,03_hivemind/overshot_TBS,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,03_hivemind/num_clients,04_peers/peer_1_epoch_oos,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,_runtime,_timestamp,04_peers/peer_2_samples_accumulated,03_hivemind/next_fetch_time_s,03_hivemind/epoch_based_sps,03_hivemind/global_samples_accumulated,_step,03_hivemind/epoch_s,03_hivemind/global_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_samples_accumulated
,0.0,1677.3317004607625,,12160,,0,0.0,2,,,12.29,80,1682808891.0,5024.0,4.91,,12000,31,,1,833.93,839.44,1.0,1.0,1677.3317004607625,4992.0
,0.0,1679.8420725234928,,14152,,0,0.0,2,,,11.08,81,1682808892.0,6016.0,4.43,,13984,32,,1,836.36,840.98,1.0,1.0,1679.8420725234928,5984.0
,0.0,1688.0207176604044,,16156,,0,0.0,2,,,9.84,82,1682808893.0,7008.0,3.94,,16000,33,,1,836.78,843.06,1.0,1.0,1688.0207176604044,6976.0
,0.0,1688.4119410696162,,18158,,0,0.0,2,,,8.65,83,1682808894.0,8032.0,3.46,,17984,34,,1,842.9,845.12,1.0,1.0,1688.4119410696162,7968.0
,0.0,1633.2132179863884,,20088,,0,0.0,2,,,7.76,84,1682808895.0,9024.0,3.11,,19904,35,,1,842.81,845.61,1.0,1.0,1633.2132179863884,8960.0
,0.0,1679.5580476484274,,22102,,0,0.0,2,,,6.35,86,1682808897.0,10016.0,2.54,,21920,36,,1,802.9,830.31,1.0,1.0,1679.5580476484274,9888.0
,0.0,1680.9422464506674,,24099,,0,0.0,2,,,5.16,87,1682808898.0,11008.0,2.06,,23936,37,,1,840.44,839.12,1.0,1.0,1680.9422464506674,10912.0
,0.0,1678.1280015018574,,26093,,0,0.0,2,,,3.98,88,1682808899.0,12032.0,1.59,,25920,38,,1,842.21,838.73,1.0,1.0,1678.1280015018574,11904.0
,0.0,1583.7979645647606,,28026,,0,0.0,2,,,2.99,89,1682808900.0,13024.0,1.2,,27872,39,,1,836.96,841.17,1.0,1.0,1583.7979645647606,12896.0
,0.0,1677.5711549721664,,30033,,0,0.0,2,,,1.63,90,1682808901.0,13952.0,0.65,,29856,40,,1,843.27,740.53,1.0,1.0,1677.5711549721664,13920.0
,0.0,1658.2527055446055,,32011,,0,0.0,2,,,0.46,92,1682808903.0,14944.0,0.5,,31840,41,,1,847.37,830.2,1.0,1.0,1658.2527055446055,14912.0
,0.0,1310.174202870934,,33605,,0,0.0,2,,,0.0,93,1682808904.0,15936.0,0.5,,32800,42,,1,830.84,827.41,1.0,1.0,1310.174202870934,15904.0
,0.0,1310.174202870934,,35158,,0,0.0,2,,,0.0,94,1682808905.0,16416.0,0.5,,32800,43,,1,470.89,839.29,1.0,1.0,1310.174202870934,16384.0
,0.0,1310.174202870934,,36716,,0,0.0,2,,,0.0,95,1682808906.0,16416.0,0.5,,32800,44,,1,470.89,839.29,1.0,1.0,1310.174202870934,16384.0
,0.0,1576.2414395595963,,1453,,0,0.0,2,,,19.87,96,1682808907.0,16416.0,7.95,,1280,45,,2,470.89,839.29,1.0,1.0,1576.2414395595963,16384.0
