04_peers/peer_1_epoch,03_hivemind/num_clients,_step,_timestamp,03_hivemind/global_epoch,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/epoch_s,04_peers/peer_1_epoch_oos,04_peers/peer_2_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/num_peers,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,03_hivemind/reached_TBS,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/next_fetch_time_s,03_hivemind/estimated_current_samples
1.0,0,32,1680690483.0,1,,20.16,320.98,713.3089846779659,85,,0.0,0.0,1920,2,,,,512.0,,1.0,,325.22,512.0,713.3089846779659,8.07,2000
1.0,0,33,1680690484.0,1,,18.48,355.37,730.9092505192236,86,,0.0,0.0,2752,2,,,,960.0,,1.0,,357.94,960.0,730.9092505192236,7.39,2880
1.0,0,34,1680690485.0,1,,17.23,364.1,733.4662356909574,87,,0.0,0.0,3648,2,,,,1376.0,,1.0,,366.81,1376.0,733.4662356909574,6.89,3749
1.0,0,35,1680690487.0,1,,19.0,365.27,626.6691811443586,89,,0.0,0.0,4416,2,,,,1824.0,,1.0,,368.19,1824.0,626.6691811443586,7.6,4478
1.0,0,36,1680690488.0,1,,17.71,365.72,629.7088945899518,90,,0.0,0.0,5152,2,,,,2272.0,,1.0,,260.95,2144.0,629.7088945899518,7.08,5232
1.0,0,37,1680690489.0,1,,14.68,365.82,700.0393767725523,91,,0.0,0.0,6016,2,,,,2688.0,,1.0,,263.89,2464.0,700.0393767725523,5.87,6106
1.0,0,38,1680690490.0,1,,12.95,365.25,725.733707753087,92,,0.0,0.0,6880,2,,,,3136.0,,1.0,,334.79,2880.0,725.733707753087,5.18,6986
1.0,0,39,1680690491.0,1,,11.74,365.1,726.7027755094814,93,,0.0,0.0,7776,2,,,,3552.0,,1.0,,360.63,3328.0,726.7027755094814,4.7,7851
1.0,0,40,1680690493.0,1,,10.45,360.27,732.5239140504688,95,,0.0,0.0,8608,2,,,,4000.0,,1.0,,366.43,3776.0,732.5239140504688,4.18,8727
1.0,0,41,1680690494.0,1,,9.25,364.59,733.795069311245,96,,0.0,0.0,9504,2,,,,4416.0,,1.0,,367.93,4192.0,733.795069311245,3.7,9596
