_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,02_timing/dataload_cuda_move_time_s,01_general/dataset_iteration_count,01_general/step
15,15,,,1681378154,20.5,0.0,0.13999999999998636,4163.817472,0.0040846662142277205,11316.0,0.19279305413669096,1295.716352,72.0,4540.481536,0.0,0.0,0.0,14.75,10253.0,0.1874000182755767,23980.761088,2.711552,968.0,0.34100000000034925,3851.784192,0.0,6817.0,18.5,22.25,16322.625536,83.0,,,,,,,,,,,,,,
16,16,,,1681378155,20.5,0.0,0.33199999999999363,9301.962752,8.962066542279036,12618.0,0.22499265502861163,2707.832832,179.0,11086.60224,0.0,0.0,0.0,14.75,10637.0,0.11937832444075297,17429.9136,2.711552,969.0,3.1930000000011205,8985.00608,0.0,6978.0,40.8,22.25,22674.018304,496.0,,,,,,,,,,,,,,
17,17,,,1681378156,20.5,0.0,0.33600000000001273,9967.939584,0.004083227453758254,14292.0,0.43468827258441506,3801.8048,180.0,11682.156544,0.0,0.0,0.0,14.75,11629.0,0.44642755151533003,15671.087104,2.711552,1006.0,3.1940000000013242,8494.333952,0.0,7813.0,46.8,22.25,28477.607936,528.0,,,,,,,,,,,,,,
18,18,,,1681378157,20.5,0.0,0.34000000000003183,10218.704896,0.004082509423682482,17907.0,0.7047431891621138,4950.48704,181.0,11840.741376,0.0,0.0,0.0,14.75,13678.0,15.067154865388014,14270.89408,2.711552,1125.0,3.1940000000013242,7529.709568,0.0,9638.0,51.5,22.25,28862.73024,814.0,,,,,,,,,,,,,,
19,19,,,1681378158,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.5869998100679368e-06,0.6405863439999848,0.01676259800024127,32.0,12.651077270507812,0.12842261600007987,1.3819725549997202,0.0,0.0001,0.5901178879998952,0.006079521999708959,0.0,0.0
20,19,,,1681378158,20.75,0.0,0.34800000000007003,10821.971968,0.008165007203885142,30797.0,0.6318631161309,5096.648704,183.0,11987.484672,0.0,0.0,0.0,15.5,16996.0,186.07469343476777,13665.824768,2.711552,1180.0,3.1940000000013242,7538.520064,0.0,12358.0,53.6,22.25,36589.309952,841.0,,,,,,,,,,,,0.006309366000095906,,
21,19,,,1681378158,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.000743754999803059,0.024657663999732904,0.015618429999904038,64.0,12.765460968017578,0.11458451599992259,0.1625728429994524,0.0,0.0001,0.000659111999993911,,0.0,1.0
22,19,,,1681378158,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.000670154000090406,0.02188868099983665,0.015648588000203745,96.0,12.569791793823242,0.10881134200008091,0.15408820800075773,0.0,0.0001,0.0012433900001269649,0.005826053000419051,0.0,2.0
23,20,,,1681378159,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.00068945100019846,0.021742929000083677,0.015362305999587988,128.0,12.714421272277832,0.10990772800005288,0.1541775609994147,0.0,0.0001,0.0006897919997754798,0.005785354999716219,0.0,3.0
24,20,,,1681378159,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0007786720002513903,0.021901475000049686,0.015715427000031923,160.0,12.830228805541992,0.11174629600009212,0.15657822100001795,0.0,0.0001,0.0006330119999802264,0.005803338999612606,0.0,4.0
