01_general/step,01_general/minibatch_loss,process/voluntary_proc_ctx_switches,01_general/locally_processed_samples,bandwidth/net_sent_sys_bandwidth_Mbits,_step,memory/available_memory_sys_MB,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,process/memory/data_resident_set_proc_MB,02_timing/step_time_s,01_general/step_based_sps,memory/used_memory_sys_percent,cpu/interrupts/interrupts_count,process/memory/lib_memory_proc_MB,_timestamp,disk/time/disk_read_time_sys_s,disk/time/disk_write_time_sys_s,process/memory/resident_set_size_proc_MB,process/memory/virtual_memory_size_proc_MB,cpu/logical_core_count,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,disk/counter/disk_write_sys_count,process/memory/shared_memory_proc_MB,01_general/lr,cpu/interrupts/soft_interrupts_count,process/involuntary_proc_ctx_switches,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_five_min_percent,_runtime,02_timing/dataload_time_s,02_timing/opt_step_time_s,memory/used_memory_sys_MB,memory/total_memory_sys_MB,process/memory/dirty_pages_proc_count,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/forward_time_s,02_timing/loss_calc_time_s,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent
,,239.0,,0.10203208013160338,14,205986.226176,0.0,7826.0,0.0,,,2.4,10495.0,4786.581504,1680630449.0,0.0,0.05099999999998772,2708.422656,16363.307008,,,0.08400000000000318,119.0,460.382208,,4058.0,121.0,2.719744,5.533333333333333,0.0,0.028595790991270627,5.300000000000001,14,,,3331.268608,,0.0,1.356329324104526,,,,,3.8
,,248.0,,0.47051070962765684,15,205450.919936,0.0,13288.0,0.0,,,2.7,17429.0,4865.08544,1680630450.0,0.0,0.05200000000002092,2891.40736,16476.176384,,,0.08800000000002228,122.0,562.917376,,11380.0,124.0,2.719744,5.566666666666666,0.0,0.032682333917999,5.333333333333334,15,,,3861.54496,,0.0,114.3078512486474,,,,0.000249541999437497,4.033333333333333
0.0,12.57326889038086,,32.0,,16,,,,,2.073460335002892,15.433138247110653,,,,1680630450.0,,,,,,0.03545196900086012,,,,0.0001,,,,,,,,15,1.2574315149995527,1.0170006135012954e-06,,,,,0.7802670030014269,5.928900100116152e-05,0.0,,
1.0,12.765625,,64.0,,17,,,,,0.06903429099656933,463.53775113863696,,,,1680630450.0,,,,,,0.048727791998317116,,,,0.0001,,,,,,,,15,0.001003880999633111,1.2860000424552709e-06,,,,,0.018656778000149643,0.0004967049990227679,0.0,0.00014784899940423202,
2.0,12.642057418823242,,96.0,,18,,,,,0.06935506400259328,461.3938500410507,,,,1680630450.0,,,,,,0.0445763560001069,,,,0.0001,,,,,,,,15,0.0018208980000053998,1.2580003385664895e-06,,,,,0.022301429000435746,0.00048573300045973156,0.0,0.00016939000124693848,
3.0,12.747149467468262,,128.0,,19,,,,,0.06769823399736197,472.68589017029547,,,,1680630451.0,,,,,,0.048740788999566576,,,,0.0001,,,,,,,,16,0.0005582400008279365,1.6809990484034643e-06,,,,,0.017751172999851406,0.0004980079993401887,0.0,0.0001483429987274576,
4.0,12.85737133026123,,160.0,,20,,,,,0.0680089829966164,470.5260774388006,,,,1680630451.0,,,,,,0.04662224599996989,,,,0.0001,,,,,,,,16,0.0009438429988222197,1.5459991118405014e-06,,,,,0.019699033999131643,0.0005409599998529302,0.0,0.00020135399972787127,
,,314.0,,0.10986765296703495,21,204921.07776,0.0,16755.0,0.0,,,2.9,20570.0,5231.988736,1680630451.0,0.0,0.05400000000003047,3338.28096,26741.067776,,,0.11199999999996635,128.0,651.198464,,13456.0,173.0,2.719744,5.566666666666666,0.0,0.024517901348330293,5.333333333333334,16,,,4390.838272,,0.0,30.64571661476684,0.01967920800052525,0.0006192319997353479,,0.00015296299898182042,4.033333333333333
5.0,12.740032196044922,,192.0,,22,,,,,0.0679169639988686,471.1635814659365,,,,1680630451.0,,,,,,0.046542238000256475,,,,0.0001,,,,,,,,16,0.0009219080002367264,1.414999132975936e-06,,,,,,,0.0,,
6.0,12.82516860961914,,224.0,,23,,,,,0.06798705799883464,470.6778163654104,,,,1680630451.0,,,,,,0.04811213100038003,,,,0.0001,,,,,,,,16,0.0009638169995014323,1.3919998309575021e-06,,,,,0.018210809999800404,0.0005444300004455727,0.0,0.0001544779988762457,
7.0,12.537931442260742,,256.0,,24,,,,,0.06766124899695569,472.9442697908191,,,,1680630451.0,,,,,,0.047504312000455684,,,,0.0001,,,,,,,,16,0.0009169759996439097,1.348998921457678e-06,,,,,0.01856272399891168,0.0005136759991728468,0.0,0.0001622119998501148,
8.0,12.707118034362793,,288.0,,25,,,,,0.06801145300050848,470.50898912218145,,,,1680630451.0,,,,,,0.04723982900031842,,,,0.0001,,,,,,,,16,0.001111278999815113,1.4540000847773626e-06,,,,,0.018845783000870142,0.0005926409994572168,0.0,0.0002204669999628095,
9.0,12.635382652282715,,320.0,,26,,,,,0.06766189100198972,472.93978229279736,,,,1680630451.0,,,,,,0.04770754899982421,,,,0.0001,,,,,,,,16,0.0006691010003123665,1.3779990695184097e-06,,,,,0.018548036001448054,0.0005948710004304303,0.0,0.00014095600090513472,
10.0,12.712109565734863,,352.0,,27,,,,,0.06768743400061794,472.76131046285286,,,,1680630451.0,,,,,,0.047457855000175186,,,,0.0001,,,,,,,,16,0.0008661470001243288,1.5690002328483388e-06,,,,,0.018566573999123648,0.0006272990012803348,0.0,0.00016798999968159478,
11.0,12.699824333190918,,384.0,,28,,,,,0.06735064799977408,475.125346976726,,,,1680630451.0,,,,,,0.0471052150005562,,,,0.0001,,,,,,,,16,0.0008125780004775152,1.369999154121615e-06,,,,,0.018782408000333817,0.0005044890003773617,0.0,0.00014458799887506757,
12.0,12.62670612335205,,416.0,,29,,,,,0.06768719100182352,472.7630076883809,,,,1680630451.0,,,,,,0.0485810100017261,,,,0.0001,,,,,,,,16,0.0005736530001740903,1.288999555981718e-06,,,,,0.017856418000519625,0.0004942680006934097,0.0,0.00018055299915431533,
13.0,12.551562309265137,,448.0,,30,,,,,0.06780608800363552,471.9340245419301,,,,1680630452.0,,,,,,0.04736592000153905,,,,0.0001,,,,,,,,17,0.0006805129996791948,1.5440000424860045e-06,,,,,0.019023548000404844,0.000586702000873629,0.0,0.0001478610010963166,
,,433.0,,0.144073203656229,31,204912.132096,0.0,23622.0,0.0,,,2.9,27742.0,5231.988736,1680630452.0,0.0,0.05700000000001637,3338.289152,26741.067776,,0.04720011499921384,0.1560000000000059,142.0,651.198464,,20377.0,325.0,2.719744,5.566666666666666,0.0,0.12670267555563952,5.333333333333334,17,,1.3930002751294523e-06,4400.197632,,0.0,80.08468042221311,0.01850358499905269,0.0006547769989992958,,0.00018451899995852727,4.033333333333333
14.0,12.550976753234863,,480.0,,32,,,,,0.06766563199744269,472.91363511109137,,,,1680630452.0,,,,,,,,,,0.0001,,,,,,,,17,0.001121242999943206,,,,,,,,0.0,,
15.0,12.539165496826172,,512.0,,33,,,,,0.06764534099784214,473.05549100596284,,,,1680630452.0,,,,,,0.047714897998957895,,,,0.0001,,,,,,,,17,0.0006148000011307886,1.5549994714092463e-06,,,,,0.018610076000186382,0.000557517998458934,0.0,0.00014649399963673204,
16.0,12.830141067504883,,544.0,,34,,,,,0.06807433200083324,470.07438867866256,,,,1680630452.0,,,,,,0.048058541000500554,,,,0.0001,,,,,,,,17,0.0011592579994612606,1.448999682907015e-06,,,,,0.018134322001060355,0.0005611520009551896,0.0,0.00015960999917297158,
17.0,12.65114974975586,,576.0,,35,,,,,0.0668494620022102,478.6874724428149,,,,1680630452.0,,,,,,0.047083665000172914,,,,0.0001,,,,,,,,17,0.0006141419999039499,1.4520010154228657e-06,,,,,0.018453466000210028,0.000548784000784508,0.0,0.00014795300012337975,
18.0,12.628279685974121,,608.0,,36,,,,,0.06822784399810189,469.01672579438747,,,,1680630452.0,,,,,,0.04844068999955198,,,,0.0001,,,,,,,,17,0.0009585150000930298,1.6739995771786198e-06,,,,,0.01811806399928173,0.0005424299997685011,0.0,0.0001664709998294711,
19.0,12.593650817871094,,640.0,,37,,,,,0.06753507999746944,473.8278240167784,,,,1680630452.0,,,,,,0.04718438499912736,,,,0.0001,,,,,,,,17,0.0007039349984552246,1.4430006558541209e-06,,,,,0.018826264999006526,0.0006653140007983893,0.0,0.00015373799942608457,
20.0,12.7512845993042,,672.0,,38,,,,,0.06765166600234807,473.0112632982215,,,,1680630452.0,,,,,,0.047779750000700005,,,,0.0001,,,,,,,,17,0.0009811820000322768,1.3779990695184097e-06,,,,,0.018203377001555054,0.000527334999787854,0.0,0.0001586440012033563,
21.0,12.6118745803833,,704.0,,39,,,,,0.06773857200278144,472.4044079152722,,,,1680630452.0,,,,,,0.04794016900086717,,,,0.0001,,,,,,,,17,0.0008870390010997653,1.4960005501052365e-06,,,,,0.01822575200094434,0.0005425769995781593,0.0,0.000141538999741897,
22.0,12.75564193725586,,736.0,,40,,,,,0.06792769700223289,471.0891346566351,,,,1680630453.0,,,,,,0.0477397890008433,,,,0.0001,,,,,,,,18,0.000869265999426716,1.670001438469626e-06,,,,,0.01842635200046061,0.000732911999875796,0.0,0.0001577080001879949,
23.0,12.706225395202637,,768.0,,41,,,,,0.06765211299716611,473.0081379917942,,,,1680630453.0,,,,,,0.04733448499973747,,,,0.0001,,,,,,,,18,0.0006790209990867879,1.4519991964334622e-06,,,,,0.01883883899972716,0.0006196569993335288,0.0,0.00017865900008473545,
,,551.0,,0.26906050461754494,42,204909.559808,0.0,31017.0,0.0,,,2.9,34996.0,5232.25088,1680630453.0,0.0,0.06200000000001182,3338.510336,26741.32992,,,0.19999999999998863,153.0,651.198464,,26906.0,474.0,2.719744,5.566666666666666,0.0,0.044956500492354806,5.333333333333334,18,,,4402.896896,,0.0,67.1388775726503,0.01899480300016876,0.0005513929991138866,,0.00016490999951201957,4.033333333333333
24.0,12.54377269744873,,800.0,,43,,,,,0.06751994200021727,473.93405639917506,,,,1680630453.0,,,,,,0.04699215100117726,,,,0.0001,,,,,,,,18,0.0008149999994202517,1.6850008250912651e-06,,,,,,,0.0,,
25.0,12.678740501403809,,832.0,,44,,,,,0.06794819299830124,470.9470346150342,,,,1680630453.0,,,,,,0.047611948000849225,,,,0.0001,,,,,,,,18,0.0006334669997158926,1.4859997463645414e-06,,,,,0.01898446399900422,0.0005672070001310203,0.0,0.00014962099885451607,
26.0,12.730642318725586,,864.0,,45,,,,,0.06770047600002727,472.67023646904806,,,,1680630453.0,,,,,,0.0482553010006086,,,,0.0001,,,,,,,,18,0.0006739360014762497,1.4420002116821706e-06,,,,,0.01807221200033382,0.0005468349991133437,0.0,0.0001507499982835725,
27.0,12.539158821105957,,896.0,,46,,,,,0.06720484600009513,476.15613909679524,,,,1680630453.0,,,,,,0.047297533999881125,,,,0.0001,,,,,,,,18,0.0006517669989989372,1.468000846216455e-06,,,,,0.01858453000022564,0.0005233390002103988,0.0,0.00014620799993281253,
28.0,12.72413158416748,,928.0,,47,,,,,0.06841399000222737,467.7405892999103,,,,1680630453.0,,,,,,0.04805838500033133,,,,0.0001,,,,,,,,18,0.0011781470002460992,1.3790013326797634e-06,,,,,0.01840871599961247,0.0006075920009607216,0.0,0.00015977099974406883,
29.0,12.574511528015137,,960.0,,48,,,,,0.06762018399967928,473.23148366694437,,,,1680630453.0,,,,,,0.047776438999790116,,,,0.0001,,,,,,,,18,0.0006152930000098422,1.4569995983038098e-06,,,,,0.018542224999691825,0.0005183630000828998,0.0,0.00016640700050629675,
30.0,12.605022430419922,,992.0,,49,,,,,0.06754537100096059,473.7556330772825,,,,1680630453.0,,,,,,0.04733292399942002,,,,0.0001,,,,,,,,18,0.0011933610003325157,1.3690005289390683e-06,,,,,0.018256755000038538,0.000583903000006103,0.0,0.00017705900063447189,
31.0,12.759588241577148,,1024.0,,50,,,,,0.06813484200029052,469.6569194343117,,,,1680630453.0,,,,,,0.046428957999523846,,,,0.0001,,,,,,,,18,0.0007577200012747198,1.731999873300083e-06,,,,,0.0201393890001782,0.000643403000140097,0.0,0.00016363999930035789,
32.0,12.698945999145508,,1056.0,,51,,,,,0.0682330709969392,468.9807967376326,,,,1680630454.0,,,,,,0.047745085999849834,,,,0.0001,,,,,,,,19,0.0010583399998722598,1.6249996406259015e-06,,,,,0.018695168999329326,0.0005599699998128926,0.0,0.00017288099843426608,
,,661.0,,0.13142447887212544,52,204908.064768,0.0,38229.0,0.0,,,2.9,42080.0,5232.25088,1680630454.0,0.0,0.06999999999999318,3338.52672,26741.32992,,0.04561041600027238,0.24799999999999045,176.0,651.198464,,33376.0,615.0,2.719744,5.566666666666666,0.0,0.13487293458633112,5.333333333333334,19,,1.4640008885180578e-06,4404.252672,,0.0,67.1651249165405,0.019903324000551947,0.0007366740010184003,,0.00015101300050446298,4.033333333333333
33.0,12.672676086425781,,1088.0,,53,,,,,0.06704375500339665,477.30023472549794,,,,1680630454.0,,,,,,,,,,0.0001,,,,,,,,19,0.0006408640001609456,,,,,,,,0.0,,
34.0,12.59738826751709,,1120.0,,54,,,,,0.06820689300184313,469.1607928708214,,,,1680630454.0,,,,,,0.04716609800016158,,,,0.0001,,,,,,,,19,0.0010720350001065526,1.4229990483727306e-06,,,,,0.01919767500112357,0.0005997540010866942,0.0,0.00016990800031635445,
35.0,12.656720161437988,,1152.0,,55,,,,,0.06790836599975592,471.22323632577195,,,,1680630454.0,,,,,,0.047201372999552405,,,,0.0001,,,,,,,,19,0.0010577280008874368,1.4319994079414755e-06,,,,,0.01893880299940065,0.0005617509996227454,0.0,0.0001472790008847369,
36.0,12.597284317016602,,1184.0,,56,,,,,0.06774965000113298,472.3271633058601,,,,1680630454.0,,,,,,0.047502175000772695,,,,0.0001,,,,,,,,19,0.0011607389988057548,1.5109999367268756e-06,,,,,0.018252670000947546,0.0006795860008423915,0.0,0.00015296899982786272,
