_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
14,13,,,1681396900,2.3666666666666667,0.0,0.07600000000000762,5084.852224,0.0040866677993483536,13545.0,0.2377450916851228,185.237504,73.0,4123.70944,0.0,0.0,0.0,0.7333333333333333,7373.0,0.19456369956926867,204240.719872,2.719744,223.0,0.07300000000003593,6466.822144,0.0,13294.0,3.2,1.8333333333333333,14552.068096,187.0,,,,,,,,,,,,,,
15,14,,,1681396901,2.3666666666666667,0.0,0.0799999999999983,5252.800512,0.004086579331299839,14790.0,0.18075930112670727,450.015232,74.0,4476.760064,0.0,0.0,0.0,0.7333333333333333,8139.0,0.1531748906313593,204062.281728,2.719744,233.0,0.07300000000003593,6563.663872,0.0,15572.0,3.3,1.8333333333333333,16563.544064,194.0,,,,,,,,,,,,,,
16,15,,,1681396902,2.3666666666666667,0.0,0.08400000000000318,4160.561152,0.004086777651593167,16322.0,0.28633784091375053,463.40096,75.0,3389.161472,0.0,0.0,0.0,0.7333333333333333,9060.0,0.24550997437833094,205154.521088,2.719744,254.0,0.07300000000003593,5844.791296,0.0,16908.0,2.8,1.8333333333333333,17689.64096,198.0,,,,,,,,,,,,,,
17,16,,,1681396903,2.3666666666666667,0.0,0.08800000000000807,5556.6336,0.06953736706539097,22635.0,0.2359828525489927,2705.682432,78.0,7097.233408,0.0,0.0,0.0,0.7333333333333333,11638.0,0.23523187452816355,201522.925568,2.719744,658.0,0.07500000000004547,6970.007552,0.0,25103.0,4.5,1.8333333333333333,22530.461696,204.0,,,,,,,,,,,,,,
18,17,,,1681396904,2.9000000000000004,0.0,0.09199999999999875,10346.20928,0.004072710326661492,25231.0,0.42026870615775547,3166.625792,79.0,12313.509888,0.0,0.0,0.0,8.966666666666665,13380.0,0.36181099480797524,196281.008128,2.719744,663.0,0.07500000000004547,11728.490496,0.0,32986.0,7.0,3.5333333333333337,33513.7792,212.0,,,,,,,,,,,,,,
19,18,,,1681396905,2.9000000000000004,0.0,0.10000000000000853,10525.290496,0.004076834245682665,30294.0,0.30526888898228677,4865.748992,80.0,13139.718144,0.0,0.0,0.0,8.966666666666665,15745.0,0.2546986267117276,194395.36128,2.719744,1037.0,0.07500000000004547,10855.477248,0.0,1060031.0,7.9,3.5333333333333337,33786.433536,221.0,,,,,,,,,,,,,,
20,19,,,1681396906,2.9000000000000004,0.0,0.10800000000000409,10706.960384,0.008170457193065792,35628.0,0.7231652510783273,4947.304448,82.0,12281.499648,0.0,0.0,0.0,8.966666666666665,20512.0,17.362269406622588,194120.388608,2.719744,1082.0,0.07600000000002183,9941.184512,0.0,1083699.0,8.0,3.5333333333333337,33145.647104,223.0,,,,,,,,,,,,,,
21,20,,,1681396907,2.9000000000000004,0.0,0.12000000000000455,11638.92736,0.11031197936825969,40499.0,0.7628076565546911,5136.621568,86.0,12471.345152,0.0,0.0,0.0,8.966666666666665,25177.0,107.13584979363277,193182.834688,2.719744,1109.0,0.07699999999999818,9949.732864,0.0,1088954.0,8.5,3.5333333333333337,40872.370176,229.0,3.72300019080285e-06,0.8833194890003142,0.007154284000080224,0.04484120699999039,0.0032013410000217846,,,,,,,,,
22,20,,,1681396907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,32.0,12.57326889038086,1.869577776000824,0.0,0.0001,0.9310577320002267,0.0,0.0
23,21,,,1681396908,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003558250000423868,0.018639882000115904,0.008834004999698664,0.04830393700012792,0.003743639999811421,1.0,64.0,12.765625,0.08036060999984329,0.0,0.0001,0.00048332100004699896,0.0,1.0
24,21,,,1681396908,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00039332899996225024,0.017880164999951376,0.008828580000226793,0.04802375600002051,0.0038049110003157693,1.0,96.0,12.642057418823242,0.07994551700039665,0.0,0.0001,0.001014775999919948,0.0,2.0
25,21,,,1681396908,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00041665300022941665,0.017896771999858174,0.008747615999709524,0.049108448999959364,0.003775313999994978,1.0,128.0,12.747149467468262,0.08020244999943316,0.0,0.0001,0.0002576459996816993,0.0,3.0
26,21,,,1681396908,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00044236600024305517,0.01793833400006406,0.008947296999849641,0.0489324459999807,0.0037065239998810284,1.0,160.0,12.85737133026123,0.0807752409996283,0.0,0.0001,0.0008082739996098098,0.0,4.0
27,21,,,1681396908,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004376649999358051,0.01783208699998795,0.008581636000144499,0.048284751000210235,0.003751453999939258,1.0,192.0,12.740032196044922,0.07971152800018899,0.0,0.0001,0.0008239349999712431,0.0,5.0
28,21,,,1681396908,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004386259997772868,0.018178860999796598,0.008716476999779843,0.04881479899995611,0.003696412999943277,1.0,224.0,12.82516860961914,0.08065871799908564,0.0,0.0001,0.0008135419998325233,0.0,6.0
29,21,,,1681396908,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00044068699980925885,0.018012613999871974,0.008866663000389963,0.04892996499984292,0.00372607400004199,1.0,256.0,12.537931442260742,0.08085710499972265,0.0,0.0001,0.0008811019997665426,0.0,7.0
30,21,,,1681396908,2.9000000000000004,0.0,0.1600000000000108,11651.018752,0.03677551369146805,50148.0,1.5578675831747277,5136.412672,95.0,12471.332864,0.0,0.0,0.0,8.966666666666665,30043.0,59.363883355159786,193171.554304,2.719744,1225.0,0.07900000000000773,9949.995008,0.0,1095846.0,8.5,3.5333333333333337,40872.226816,247.0,0.00044064199983040453,0.017924663000030705,,0.048339505000058125,0.003780706999805261,,,,,,,,,
31,21,,,1681396908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008644762000130868,,,1.0,288.0,12.707118034362793,0.079726773999937,0.0,0.0001,0.0005964950000816316,0.0,8.0
32,22,,,1681396909,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00045516299996961607,0.018243407000227307,0.008763762000398856,0.048793557999943005,0.0037377079997895635,1.0,320.0,12.635382652282715,0.08053895600050964,0.0,0.0001,0.0005453580001812952,0.0,9.0
33,22,,,1681396909,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00047621599969716044,0.017849581000064063,0.00884854500009169,0.049197261999779585,0.0037425390000862535,1.0,352.0,12.712109565734863,0.08096871599946098,0.0,0.0001,0.0008545729997422313,0.0,10.0
34,22,,,1681396909,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000447338999947533,0.01802128300005279,0.008641112000077555,0.04820171899973502,0.003764858000067761,1.0,384.0,12.699824333190918,0.07967129699954967,0.0,0.0001,0.0005949859996690066,0.0,11.0
35,22,,,1681396909,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00044935899995834916,0.01789611200001673,0.008759415999975317,0.04916253200008214,0.0037881200000811077,1.0,416.0,12.62670612335205,0.08097041700011687,0.0,0.0001,0.0009148780000032275,0.0,12.0
36,22,,,1681396909,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004367809997347649,0.018158632999984547,0.008724600999812537,0.04876325300028839,0.0037594200002786238,1.0,448.0,12.551562309265137,0.08079731000043466,0.0,0.0001,0.000954622000335803,0.0,13.0
37,22,,,1681396909,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00044895300015923567,0.01793079100025352,0.008710737000001245,0.04831405800041466,0.0037301080001270748,1.0,480.0,12.550976753234863,0.07996991400113984,0.0,0.0001,0.0008352670001841034,0.0,14.0
38,22,,,1681396909,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00043139699982930324,0.017712881000079506,0.008822581000003993,0.049750287999813736,0.003755430999717646,1.0,512.0,12.539165496826172,0.08131628899946008,0.0,0.0001,0.0008437110000159009,0.0,15.0
39,22,,,1681396909,2.933333333333333,0.0,0.19599999999999795,11660.812288,0.036785129069478915,60549.0,1.7243268737236024,5136.412672,104.0,12471.349248,0.0,0.0,0.0,8.766666666666666,38535.0,67.86636783732935,193161.330688,2.719744,1380.0,0.08100000000001728,9950.027776,0.0,1105016.0,8.5,3.5666666666666664,40872.230912,261.0,0.0004631540000445966,0.01800220299992361,,,0.0037956249998387648,,,,,,,,,
40,22,,,1681396909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00890571199988699,0.04901040100003229,,1.0,544.0,12.830141067504883,0.08075148899979467,0.0,0.0001,0.0005743940000684233,0.0,16.0
41,23,,,1681396910,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004724020000139717,0.018310753000150726,0.008671310999943671,0.04848928700039323,0.0033618690004004748,1.0,576.0,12.65114974975586,0.08009641300077419,0.0,0.0001,0.0007907909998721152,0.0,17.0
