04_peers/peer_3_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_8_samples_accumulated,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_2_samples_per_second,04_peers/peer_5_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_timestamp,03_hivemind/epoch_s,04_peers/peer_1_epoch,03_hivemind/reached_TBS,04_peers/peer_4_samples_per_second,_step,03_hivemind/num_peers,04_peers/peer_2_epoch,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_6_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,03_hivemind/total_training_samples,04_peers/peer_7_samples_per_second,04_peers/peer_4_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/overshot_TBS,04_peers/peer_8_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_8_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_6_samples_accumulated,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_6_epoch,04_peers/peer_8_epoch,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_3_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/num_clients,04_peers/peer_5_epoch,04_peers/peer_7_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_7_epoch_oos,04_peers/peer_3_samples_accumulated
0.0,472.54,1312.0,86893,109,472.09,4704.0,,3736.8941459648804,3736.8941459648804,1680699525.0,,0.0,,481.16,14,8,0.0,0,,0.0,0.0,0.0,0.0,0.5,,462.44,4704.0,32864,,0.0,442.23,467.65,6688.0,4704.0,4704.0,0.0,0.0,0.0,0.0,0.0,,444.82,493.97,1408.0,0,0.0,0.0,0.0,0.0,4640.0
0.0,472.54,1312.0,92127,111,472.09,4704.0,,3736.8941459648804,3736.8941459648804,1680699527.0,,0.0,,481.16,15,8,0.0,0,,0.0,0.0,0.0,0.0,0.5,,462.44,4704.0,32864,,0.0,442.23,467.65,6688.0,4704.0,4704.0,0.0,0.0,0.0,0.0,0.0,,444.82,493.97,1408.0,0,0.0,0.0,0.0,0.0,4640.0
0.0,472.54,1312.0,97833,112,472.09,4704.0,,3736.8941459648804,3736.8941459648804,1680699528.0,,0.0,,481.16,16,8,0.0,0,,0.0,0.0,0.0,0.0,0.5,,462.44,4704.0,32864,,0.0,442.23,467.65,6688.0,4704.0,4704.0,0.0,0.0,0.0,0.0,0.0,,444.82,493.97,1408.0,0,0.0,0.0,0.0,0.0,4640.0
0.0,472.54,1312.0,4274,114,472.09,4704.0,,3619.2174076324354,3619.2174076324354,1680699530.0,,0.0,,481.16,17,8,0.0,1,,0.0,0.0,0.0,7.87,5.73,,462.44,4704.0,3552,,0.0,442.23,467.65,6688.0,4704.0,4704.0,0.0,0.0,0.0,0.0,0.0,,444.82,493.97,1408.0,0,0.0,0.0,0.0,0.0,4640.0
0.0,464.29,480.0,9069,115,428.98,480.0,32864.0,3608.5083064020496,3608.5083064020496,1680699531.0,32.5332268178463,1.0,0.0,464.79,18,8,1.0,1,0.0,0.0,0.0,0.0,6.57,4.78,32864.0,468.73,480.0,8320,1.0,0.0,414.17,463.93,224.0,448.0,480.0,1.0,1.0,1.0,1.0,0.0,1010.1672417558118,449.05,465.28,480.0,0,1.0,1.0,0.0,0.0,480.0
0.0,497.14,992.0,14141,117,507.47,1120.0,,3569.799939899753,3569.799939899753,1680699533.0,,1.0,,525.28,19,8,1.0,1,,0.0,0.0,0.0,5.22,3.79,,377.31,1184.0,13440,,0.0,259.24,473.36,576.0,1120.0,1152.0,1.0,1.0,1.0,1.0,0.0,,475.77,492.93,1024.0,0,1.0,1.0,0.0,0.0,1152.0
0.0,422.77,1632.0,19241,118,433.14,1760.0,,3674.34038079281,3674.34038079281,1680699534.0,,1.0,,441.57,20,8,1.0,1,,0.0,0.0,0.0,3.68,2.68,,455.95,1824.0,18656,,0.0,482.22,444.93,1248.0,1760.0,1792.0,1.0,1.0,1.0,1.0,0.0,,466.82,422.4,1664.0,0,1.0,1.0,0.0,0.0,1760.0
0.0,463.05,2336.0,24563,119,452.76,2400.0,,3964.6479520835637,3964.6479520835637,1680699535.0,,1.0,,480.77,21,8,1.0,1,,0.0,0.0,0.0,2.07,1.51,,413.66,2464.0,23840,,0.0,514.88,460.38,1888.0,2432.0,2432.0,1.0,1.0,1.0,1.0,0.0,,450.9,437.95,2304.0,0,1.0,1.0,0.0,0.0,2400.0
0.0,490.53,3008.0,29327,121,470.29,3040.0,,3651.114281338962,3651.114281338962,1680699537.0,,1.0,,501.66,22,8,1.0,1,,0.0,0.0,0.0,0.94,0.69,,530.85,3104.0,28704,,0.0,509.75,494.29,2528.0,3072.0,3040.0,1.0,1.0,1.0,1.0,0.0,,484.03,483.24,3008.0,0,1.0,1.0,0.0,0.0,3040.0
0.0,464.78,3584.0,34444,122,478.95,3616.0,,3548.8405756449615,3548.8405756449615,1680699538.0,,1.0,,474.24,23,8,1.0,1,,0.0,0.0,0.0,0.0,0.5,,432.05,3680.0,32768,,0.0,513.07,385.44,3232.0,3680.0,3648.0,1.0,1.0,1.0,1.0,0.0,,463.5,439.08,3584.0,0,1.0,1.0,0.0,0.0,3680.0
