_runtime,03_hivemind/num_peers,02_timing/forward_time_s,disk/time/disk_read_time_sys_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_fifteen_min_percent,03_hivemind/global_epoch,02_timing/dataload_time_s,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,bandwidth/disk_read_sys_bandwidth_MBs,01_general/lr,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,cpu/load/avg_sys_load_five_min_percent,01_general/step,cpu/logical_core_count,process/memory/shared_memory_proc_MB,process/memory/dirty_pages_proc_count,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,_timestamp,02_timing/step_time_s,01_general/minibatch_loss,memory/used_memory_sys_MB,disk/time/disk_write_time_sys_s,process/memory/text_resident_set_proc_MB,02_timing/opt_step_time_s,memory/available_memory_sys_MB,disk/counter/disk_read_sys_count,disk/counter/disk_write_sys_count,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,_step,02_timing/loss_calc_time_s,memory/total_memory_sys_MB,disk/time/disk_busy_time_sys_s,02_timing/dataload_cuda_move_time_s,cpu/interrupts/soft_interrupts_count,02_timing/backward_time_s,cpu/interrupts/interrupts_count,01_general/dataset_iteration_count,process/memory/data_resident_set_proc_MB,process/memory/resident_set_size_proc_MB,process/memory/virtual_memory_size_proc_MB
14,,,0.0,7.46875,0.765625,,,5.0,24492.0,,0.0,,6541.463552,568.0,1.65625,,,1003.298816,0.0,0.4803107378113791,1.0590558626924111,1681395434.0,,,2921.545728,0.40099999999983993,2.854912,,242815.3856,0.0,168.0,86.0,0.004078530867953827,14,,,0.10400000000004184,,38123.0,,54914.0,,0.0,2393.546752,21393.506304
15,,,0.0,7.46875,0.765625,,,5.9,32455.0,,0.0,,8649.965568,658.0,1.65625,,,1265.893376,0.0,0.5121388118125434,1.1808156026578067,1681395435.0,,,5063.651328,0.40200000000004366,2.854912,,240400.502784,0.0,169.0,90.0,0.004043970244995284,15,,,0.10799999999994725,,51661.0,,234013.0,,0.0,4755.70176,26396.442624
16,,,0.0,7.46875,0.765625,,,6.0,37366.0,,0.0,,8649.965568,720.0,1.65625,,,1338.744832,0.0,0.35446274166958147,0.9561174385501732,1681395436.0,,,5222.66624,0.4030000000002474,2.854912,,240167.923712,0.0,170.0,93.0,0.004043781718066003,16,,,0.11199999999985266,,64197.0,,583242.0,,0.0,4829.384704,26468.130816
17,,,0.0,7.46875,0.765625,,,6.1,40755.0,,0.0,,8649.965568,760.0,1.65625,,,1414.897664,0.0,0.347343957951026,0.9536021249641096,1681395437.0,,,5373.632512,0.4030000000002474,2.854912,,239940.898816,0.0,171.0,100.0,0.004080024456732769,17,,,0.11599999999998545,,76133.0,,835539.0,,0.0,4905.55392,26544.41472
18,,,0.0,10.625,1.015625,,,6.2,44203.0,,0.0,,8649.965568,769.0,2.40625,,,1499.389952,0.0,0.36980038599954324,1.442947227937673,1681395438.0,,,5542.203392,0.4040000000004511,2.854912,,239686.7584,0.0,174.0,140.0,0.07341678021228254,18,,,0.12400000000002365,,88237.0,,1136496.0,,0.0,4990.046208,26630.156288
19,,,0.0,10.625,1.015625,,,6.6,49278.0,,0.0,,8968.331264,788.0,2.40625,,,2046.492672,0.0,0.3402816181472996,1.401654957032522,1681395439.0,,,6183.26016,0.4040000000004511,2.854912,,238496.509952,0.0,175.0,314.0,0.003995875968885193,19,,,0.12799999999992906,,99893.0,,1277184.0,,0.0,5830.012928,27697.733632
20,,,0.0,10.625,1.015625,,,6.7,52368.0,,0.0,,8968.331264,798.0,2.40625,,,2046.496768,0.0,5.3816109764522455,1.6656032864427701,1681395440.0,,,6222.434304,0.40500000000065484,2.854912,,238457.335808,0.0,176.0,314.0,0.004064576962513722,20,,,0.13199999999983447,,104081.0,,1285683.0,,0.0,5830.029312,27697.733632
21,,,0.0,10.625,1.015625,,,6.9,57980.0,,0.0,,8968.605696,802.0,2.40625,,,2149.634048,0.0,222.59992780774158,2.337138704178379,1681395441.0,,,6846.128128,0.4080000000003565,2.854912,,237733.154816,0.0,181.0,317.0,0.09746240779543576,21,,,0.13599999999996726,0.005005162209272385,109366.0,,1294131.0,,0.0,5933.252608,27877.855232
22,,1.3527701026760042,0.0,10.625,1.015625,,,7.2,59647.0,,0.0,,9068.982272,816.0,2.40625,,,2403.340288,0.0,17.40505363797367,1.4029224202609325,1681395442.0,,,7572.348928,0.40900000000056025,2.854912,,237006.60224,0.0,182.0,319.0,0.004062646856018273,22,0.0003374679945409298,,0.14400000000000546,,110477.0,0.16826033685356379,1296593.0,,0.0,6265.01632,36515.75808
22,5.0,,,,,0.0,1.5501636588014662,,,32.0,,0.0001,,,,0.0,,,,,,1681395442.0,3.1239836546592414,7.1795654296875,,,,0.04744692612439394,,,,,,23,,,,,,,,0.0,,,
22,5.0,0.025717245880514383,,,,0.0,0.0027430071495473385,,,64.0,,0.0001,,,,1.0,,,,,,1681395442.0,0.1997333336621523,7.223876953125,,,,0.0437127030454576,,,,,,24,0.0010255351662635803,,,0.0037526022642850876,,0.1227822401560843,,0.0,,,
23,5.0,0.02647533407434821,,,,0.0,0.0031678681261837482,,,96.0,,0.0001,,,,2.0,,,,,,1681395443.0,0.19824557984247804,7.1910400390625,,,,0.043016637209802866,,,,,,25,0.001291132066398859,,,0.0038050832226872444,,0.12048952514305711,,0.0,,,
23,,0.0264926147647202,0.0,9.890625,1.015625,,,7.2,63335.0,,0.0,,9068.982272,875.0,2.390625,,,2402.816,0.0,48.53259594325646,1.6462589031973789,1681395443.0,,,7582.593024,0.4110000000000582,2.854912,,237015.63392,0.0,186.0,325.0,0.0162771660571701,26,0.000941472128033638,,0.15999999999985448,0.003615048248320818,112767.0,,1300107.0,,0.0,6264.774656,36515.75808
23,5.0,,,,,0.0,0.002989273052662611,,,128.0,,0.0001,,,,3.0,,,,,,1681395443.0,0.199002206325531,7.1527099609375,,,,0.043386287055909634,,,,,,27,,,,,,0.1215775110758841,,0.0,,,
24,5.0,0.02655971609055996,,,,0.0,0.003043993841856718,,,160.0,,0.0001,,,,4.0,,,,,,1681395444.0,0.19763476261869073,7.0352783203125,,,,0.04402139224112034,,,,,,28,0.0008950410410761833,,,0.003324131015688181,,0.11979048838838935,,0.0,,,
24,5.0,0.02864284673705697,,,,0.0,0.005187646020203829,,,192.0,,0.0001,,,,5.0,,,,,,1681395444.0,0.2021979633718729,7.1495361328125,,,,0.04397507105022669,,,,,,29,0.0009976942092180252,,,0.0037034195847809315,,0.11969128577038646,,0.0,,,
24,,,0.0,9.890625,1.015625,,,7.2,67602.0,,0.0,,9077.506048,1011.0,2.390625,,,2402.820096,0.0,78.15168229370747,1.8072511824604551,1681395444.0,,,7588.16768,0.41200000000026193,2.854912,,237010.214912,0.0,190.0,334.0,0.016309306880624316,30,,,0.17599999999993088,0.0038672550581395626,115976.0,,1304647.0,,0.0,6264.81152,36591.259648
24,9.0,0.034962490666657686,,,,0.0,0.003032403066754341,,,224.0,,0.0001,,,,6.0,,,,,,1681395444.0,0.19985578721389174,7.28173828125,,,,0.04387673921883106,,,,,,31,0.0008398001082241535,,,,,0.11327709909528494,,0.0,,,
25,9.0,0.026370142586529255,,,,0.0,0.0032170889899134636,,,256.0,,0.0001,,,,7.0,,,,,,1681395445.0,0.20062509644776583,7.125,,,,0.04395204968750477,,,,,,32,0.0008995621465146542,,,0.003673219121992588,,0.1225130339153111,,0.0,,,
25,,0.026773022022098303,0.0,9.890625,1.015625,,,7.2,71270.0,,0.0,,9077.829632,1065.0,2.390625,,,2402.820096,0.0,78.27230347893553,1.9324567014034142,1681395445.0,,,7590.662144,0.41300000000046566,2.854912,0.04412055388092995,236988.440576,0.0,193.0,352.0,0.01223638571024655,33,0.0008841007947921753,,0.1879999999998745,0.0035761669278144836,119132.0,0.12199666071683168,1308879.0,,0.0,6265.008128,36591.525888
25,9.0,,,,,0.0,0.002895799931138754,,,288.0,,0.0001,,,,8.0,,,,,,1681395445.0,0.20024630427360535,7.3597412109375,,,,,,,,,,34,,,,,,,,0.0,,,
25,9.0,0.027193201705813408,,,,0.0,0.007620266173034906,,,320.0,,0.0001,,,,9.0,,,,,,1681395445.0,0.20565433986485004,6.980712890625,,,,0.043964431155472994,,,,,,35,0.0008859122171998024,,,0.004668173845857382,,0.12132235476747155,,0.0,,,
26,9.0,0.02719996217638254,,,,0.0,0.003176807425916195,,,352.0,,0.0001,,,,10.0,,,,,,1681395446.0,0.20070444978773594,7.1771240234375,,,,0.043818708043545485,,,,,,36,0.0008618207648396492,,,0.004236753098666668,,0.1214103982783854,,0.0,,,
26,,0.02664494002237916,0.0,9.890625,1.015625,,,7.2,75336.0,,0.0,,9077.837824,1118.0,2.390625,,,2402.820096,0.0,87.01249290294507,2.042172881216627,1681395446.0,,,7598.26432,0.4170000000003711,2.854912,0.04406172316521406,236980.477952,0.0,199.0,360.0,0.040780216434583516,37,0.000754558015614748,,0.21199999999998909,0.004060058854520321,122618.0,0.12188795814290643,1313683.0,,0.0,6265.028608,36591.525888
26,9.0,,,,,0.0,0.006131669040769339,,,384.0,,0.0001,,,,11.0,,,,,,1681395446.0,0.20354090724140406,7.349853515625,,,,,,,,,,38,,,,,,,,0.0,,,
26,9.0,0.026706589851528406,,,,0.0,0.0031152358278632164,,,416.0,,0.0001,,,,12.0,,,,,,1681395446.0,0.20077970903366804,7.1239013671875,,,,0.04403343237936497,,,,,,39,0.0008306801319122314,,,0.0042041027918457985,,0.12188966805115342,,0.0,,,
27,9.0,0.027975472155958414,,,,0.0,0.003497644793242216,,,448.0,,0.0001,,,,13.0,,,,,,1681395447.0,0.20117043936625123,7.1131591796875,,,,0.04428267804905772,,,,,,40,0.000761078204959631,,,0.004321135114878416,,0.12033243104815483,,0.0,,,
27,,0.027837698347866535,0.0,9.34375,1.03125,,,7.2,79113.0,,0.0,,9077.846016,1167.0,2.40625,,,2402.820096,0.0,78.06020653672125,1.903294756196573,1681395447.0,,,7599.955968,0.41899999999986903,2.854912,,236978.60608,0.0,203.0,360.0,0.016286439838779133,41,0.0008852910250425339,,0.2319999999999709,0.00419505313038826,125830.0,0.1202279576100409,1318039.0,,0.0,6265.208832,36591.525888
27,9.0,,,,,0.0,0.003083854913711548,,,480.0,,0.0001,,,,14.0,,,,,,1681395447.0,0.2004060409963131,7.4512939453125,,,,0.044176185969263315,,,,,,42,,,,,,,,0.0,,,
27,9.0,0.02680320292711258,,,,0.0,0.0036964397877454758,,,512.0,,0.0001,,,,15.0,,,,,,1681395447.0,0.2010618755593896,7.2391357421875,,,,0.04393417900428176,,,,,,43,0.0008286000229418278,,,0.004040337633341551,,0.1217591161839664,,0.0,,,
28,9.0,0.026893435046076775,,,,0.0,0.003257249016314745,,,544.0,,0.0001,,,,16.0,,,,,,1681395448.0,0.2013334445655346,7.1322021484375,,,,0.04420729726552963,,,,,,44,0.0008345702663064003,,,0.004362897016108036,,0.121777995955199,,0.0,,,
28,,0.026559046935290098,0.0,9.34375,1.03125,,,7.2,83129.0,,0.0,,9077.850112,1235.0,2.40625,,,2402.820096,0.0,75.49671325728585,1.9786881461043493,1681395448.0,,,7601.655808,0.4210000000002765,2.854912,,236996.337664,0.0,207.0,360.0,0.016313953119495305,45,0.0008696806617081165,,0.2519999999999527,0.004359476268291473,128755.0,,1322189.0,,0.0,6265.208832,36591.525888
