03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_per_second,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
48789,2832.366232366422,8,32896,14,0.0,98,0,0.5,2832.366232366422,1683052881,0,5888.0,367.45,5760.0,363.7,5376.0,0.0,0.0,0.0,0.0,0.0,5760.0,0.0,369.58,367.39,0.0,0.0,368.15,4160.0,0.0,0.0,2720.0,358.36,0.0,0.0,0.0,305.31,1952.0,0.0,332.43,1280.0,0.0,0.0,,,,,,,
52757,2832.366232366422,8,32896,15,0.0,100,0,0.5,2832.366232366422,1683052883,0,5888.0,367.45,5760.0,363.7,5376.0,0.0,0.0,0.0,0.0,0.0,5760.0,0.0,369.58,367.39,0.0,0.0,368.15,4160.0,0.0,0.0,2720.0,358.36,0.0,0.0,0.0,305.31,1952.0,0.0,332.43,1280.0,0.0,0.0,,,,,,,
56960,2832.366232366422,8,32896,16,0.0,101,0,0.5,2832.366232366422,1683052884,0,5888.0,367.45,5760.0,363.7,5376.0,0.0,0.0,0.0,0.0,0.0,5760.0,0.0,369.58,367.39,0.0,0.0,368.15,4160.0,0.0,0.0,2720.0,358.36,0.0,0.0,0.0,305.31,1952.0,0.0,332.43,1280.0,0.0,0.0,,,,,,,
60945,2832.366232366422,8,32896,17,0.0,103,0,0.5,2832.366232366422,1683052886,0,5888.0,367.45,5760.0,363.7,5376.0,0.0,0.0,0.0,0.0,0.0,5760.0,0.0,369.58,367.39,0.0,0.0,368.15,4160.0,0.0,0.0,2720.0,358.36,0.0,0.0,0.0,305.31,1952.0,0.0,332.43,1280.0,0.0,0.0,,,,,,,
64929,2832.366232366422,8,32896,18,0.0,104,0,0.5,2832.366232366422,1683052887,0,5888.0,367.45,5760.0,363.7,5376.0,0.0,0.0,0.0,0.0,0.0,5760.0,0.0,369.58,367.39,0.0,0.0,368.15,4160.0,0.0,0.0,2720.0,358.36,0.0,0.0,0.0,305.31,1952.0,0.0,332.43,1280.0,0.0,0.0,,,,,,,
2798,2591.3247612589025,8,2272,19,11.57,106,1,8.41,2591.3247612589025,1683052889,0,5888.0,367.45,5760.0,363.7,5376.0,0.0,0.0,0.0,0.0,0.0,5760.0,0.0,369.58,367.39,0.0,0.0,368.15,4160.0,0.0,0.0,2720.0,358.36,0.0,0.0,0.0,305.31,1952.0,0.0,332.43,1280.0,0.0,0.0,,,,,,,
6496,2727.2432584489884,8,6016,20,9.63,107,1,7.01,2727.2432584489884,1683052890,0,320.0,332.61,288.0,332.32,256.0,1.0,1.0,0.0,1.0,1.0,320.0,0.0,334.66,330.42,0.0,0.0,338.32,288.0,1.0,0.0,224.0,307.38,1.0,0.0,1.0,312.14,352.0,0.0,303.46,224.0,1.0,0.0,26.596354611217976,0.0,32896.0,32896.0,0.0,1236.8612345890785,1.0
10649,2892.901930775281,8,10144,21,7.65,108,1,5.56,2892.901930775281,1683052891,0,832.0,347.61,768.0,345.1,736.0,1.0,1.0,0.0,1.0,1.0,800.0,0.0,348.48,349.9,0.0,0.0,350.51,768.0,1.0,0.0,672.0,328.52,1.0,0.0,1.0,341.11,800.0,0.0,316.02,640.0,1.0,0.0,,,,,,,
14744,2928.1157558590944,8,14240,22,6.16,110,1,4.48,2928.1157558590944,1683052893,0,1344.0,361.4,1280.0,361.26,1248.0,1.0,1.0,0.0,1.0,1.0,1312.0,0.0,364.39,364.42,0.0,0.0,366.27,1312.0,1.0,0.0,1184.0,357.24,1.0,0.0,1.0,360.79,1312.0,0.0,357.13,1152.0,1.0,0.0,,,,,,,
18852,2927.757105801981,8,18336,23,4.75,111,1,3.46,2927.757105801981,1683052894,0,1856.0,366.46,1792.0,366.21,1760.0,1.0,1.0,0.0,1.0,1.0,1824.0,0.0,368.21,368.27,0.0,0.0,368.23,1824.0,1.0,0.0,1696.0,363.12,1.0,0.0,1.0,365.58,1824.0,0.0,362.05,1664.0,1.0,0.0,,,,,,,
22968,2929.7272487453038,8,22496,24,3.34,113,1,2.43,2929.7272487453038,1683052896,0,2368.0,366.98,2304.0,367.0,2272.0,1.0,1.0,0.0,1.0,1.0,2336.0,0.0,369.38,368.27,0.0,0.0,369.69,2336.0,1.0,0.0,2208.0,363.72,1.0,0.0,1.0,365.2,2336.0,0.0,357.51,2176.0,1.0,0.0,,,,,,,
27114,2919.205888238843,8,26624,25,1.94,114,1,1.41,2919.205888238843,1683052897,0,2880.0,366.92,2848.0,366.33,2784.0,1.0,1.0,0.0,1.0,1.0,2848.0,0.0,368.05,368.33,0.0,0.0,369.15,2848.0,1.0,0.0,2720.0,362.63,1.0,0.0,1.0,366.02,2880.0,0.0,362.29,2688.0,1.0,0.0,,,,,,,
31225,2925.8646603128022,8,30752,26,0.53,115,1,0.5,2925.8646603128022,1683052898,0,3424.0,366.59,3360.0,365.8,3296.0,1.0,1.0,0.0,1.0,1.0,3392.0,0.0,366.3,368.69,0.0,0.0,364.7,3360.0,1.0,0.0,3200.0,357.36,1.0,0.0,1.0,366.34,3392.0,0.0,363.42,3200.0,1.0,0.0,,,,,,,
35328,2917.458820038171,8,32864,27,0.0,117,1,0.5,2917.458820038171,1683052900,0,3936.0,366.01,3872.0,364.77,3808.0,1.0,1.0,0.0,1.0,1.0,3904.0,0.0,365.37,368.4,0.0,0.0,369.05,3904.0,1.0,0.0,3712.0,361.57,1.0,0.0,1.0,365.43,3904.0,0.0,365.28,3712.0,1.0,0.0,,,,,,,
39393,2917.458820038171,8,32864,28,0.0,118,1,0.5,2917.458820038171,1683052901,0,4192.0,364.32,4128.0,363.81,4096.0,1.0,1.0,0.0,1.0,1.0,4160.0,0.0,367.01,368.22,0.0,0.0,367.55,4160.0,1.0,0.0,4000.0,359.21,1.0,0.0,1.0,363.9,4160.0,0.0,363.44,3968.0,1.0,0.0,,,,,,,
43466,2917.458820038171,8,32864,29,0.0,120,1,0.5,2917.458820038171,1683052903,0,4192.0,364.32,4128.0,363.81,4096.0,1.0,1.0,0.0,1.0,1.0,4160.0,0.0,367.01,368.22,0.0,0.0,367.55,4160.0,1.0,0.0,4000.0,359.21,1.0,0.0,1.0,363.9,4160.0,0.0,363.44,3968.0,1.0,0.0,,,,,,,
47522,2917.458820038171,8,32864,30,0.0,121,1,0.5,2917.458820038171,1683052904,0,4192.0,364.32,4128.0,363.81,4096.0,1.0,1.0,0.0,1.0,1.0,4160.0,0.0,367.01,368.22,0.0,0.0,367.55,4160.0,1.0,0.0,4000.0,359.21,1.0,0.0,1.0,363.9,4160.0,0.0,363.44,3968.0,1.0,0.0,,,,,,,
51807,2917.458820038171,8,32864,31,0.0,122,1,0.5,2917.458820038171,1683052905,0,4192.0,364.32,4128.0,363.81,4096.0,1.0,1.0,0.0,1.0,1.0,4160.0,0.0,367.01,368.22,0.0,0.0,367.55,4160.0,1.0,0.0,4000.0,359.21,1.0,0.0,1.0,363.9,4160.0,0.0,363.44,3968.0,1.0,0.0,,,,,,,
55892,2917.458820038171,8,32864,32,0.0,124,1,0.5,2917.458820038171,1683052907,0,4192.0,364.32,4128.0,363.81,4096.0,1.0,1.0,0.0,1.0,1.0,4160.0,0.0,367.01,368.22,0.0,0.0,367.55,4160.0,1.0,0.0,4000.0,359.21,1.0,0.0,1.0,363.9,4160.0,0.0,363.44,3968.0,1.0,0.0,,,,,,,
60083,2917.458820038171,8,32864,33,0.0,125,1,0.5,2917.458820038171,1683052908,0,4192.0,364.32,4128.0,363.81,4096.0,1.0,1.0,0.0,1.0,1.0,4160.0,0.0,367.01,368.22,0.0,0.0,367.55,4160.0,1.0,0.0,4000.0,359.21,1.0,0.0,1.0,363.9,4160.0,0.0,363.44,3968.0,1.0,0.0,,,,,,,
224,2917.458820038171,8,0,34,11.16,127,2,8.11,363.8965010310997,1683052910,0,4192.0,364.32,4128.0,363.81,4096.0,1.0,1.0,0.0,1.0,1.0,4160.0,0.0,367.01,368.22,0.0,0.0,367.55,4160.0,1.0,0.0,4000.0,359.21,1.0,0.0,1.0,363.9,4160.0,0.0,363.44,3968.0,1.0,0.0,,,,,,,
4950,2837.069213172235,8,4448,35,9.81,128,2,7.13,2837.069213172235,1683052911,0,4192.0,364.32,4128.0,363.81,4096.0,1.0,1.0,1.0,1.0,1.0,4160.0,1.0,367.01,368.22,1.0,1.0,367.55,4160.0,1.0,1.0,4000.0,359.21,1.0,1.0,2.0,363.9,0.0,0.0,363.44,3968.0,1.0,1.0,21.198750840499997,0.0,65760.0,32864.0,0.0,1550.2800258029197,2.0
9085,2915.1804883648415,8,8640,36,8.12,130,2,5.91,2915.1804883648415,1683052913,0,640.0,355.97,544.0,355.75,544.0,2.0,2.0,0.0,2.0,2.0,576.0,0.0,358.58,360.78,0.0,0.0,355.07,544.0,2.0,0.0,480.0,344.5,2.0,0.0,2.0,358.17,640.0,0.0,348.26,480.0,2.0,0.0,,,,,,,
13196,2928.127673107217,8,12768,37,6.68,131,2,4.86,2928.127673107217,1683052914,0,1184.0,364.39,1056.0,364.21,1088.0,2.0,2.0,0.0,2.0,2.0,1088.0,0.0,366.49,366.73,0.0,0.0,366.0,1088.0,2.0,0.0,992.0,360.87,2.0,0.0,2.0,364.07,1152.0,0.0,362.42,992.0,2.0,0.0,,,,,,,
17297,2927.670442582458,8,16864,38,5.28,132,2,3.84,2927.670442582458,1683052915,0,1696.0,366.74,1568.0,366.19,1600.0,2.0,2.0,0.0,2.0,2.0,1632.0,0.0,367.4,368.23,0.0,0.0,367.29,1600.0,2.0,0.0,1504.0,362.42,2.0,0.0,2.0,365.53,1664.0,0.0,364.33,1504.0,2.0,0.0,,,,,,,
21394,2928.2713517394977,8,20928,39,3.88,134,2,2.82,2928.2713517394977,1683052917,0,2208.0,367.44,2080.0,365.58,2112.0,2.0,2.0,0.0,2.0,2.0,2144.0,0.0,366.84,368.17,0.0,0.0,367.48,2112.0,2.0,0.0,2016.0,362.18,2.0,0.0,2.0,365.33,2176.0,0.0,364.64,2016.0,2.0,0.0,,,,,,,
25478,2928.4127447073934,8,24992,40,2.49,135,2,1.81,2928.4127447073934,1683052918,0,2720.0,367.37,2592.0,364.21,2592.0,2.0,2.0,0.0,2.0,2.0,2656.0,0.0,367.24,367.28,0.0,0.0,368.28,2624.0,2.0,0.0,2528.0,362.18,2.0,0.0,2.0,365.17,2688.0,0.0,366.53,2528.0,2.0,0.0,,,,,,,
29590,2924.2147388364856,8,29088,41,1.09,137,2,0.79,2924.2147388364856,1683052920,0,3232.0,365.94,3104.0,365.38,3104.0,2.0,2.0,0.0,2.0,2.0,3168.0,0.0,367.89,367.69,0.0,0.0,368.01,3136.0,2.0,0.0,3008.0,363.35,2.0,0.0,2.0,363.7,3200.0,0.0,366.46,3040.0,2.0,0.0,,,,,,,
33682,2920.6104447105236,8,32864,42,0.0,138,2,0.5,2920.6104447105236,1683052921,0,3744.0,363.96,3616.0,364.38,3616.0,2.0,2.0,0.0,2.0,2.0,3680.0,0.0,367.21,367.26,0.0,0.0,369.22,3648.0,2.0,0.0,3520.0,364.59,2.0,0.0,2.0,363.47,3712.0,0.0,364.13,3552.0,2.0,0.0,,,,,,,
37807,2920.6104447105236,8,32864,43,0.0,139,2,0.5,2920.6104447105236,1683052922,0,4224.0,364.55,4096.0,364.3,4096.0,2.0,2.0,0.0,2.0,2.0,4128.0,0.0,365.24,366.12,0.0,0.0,366.78,4128.0,2.0,0.0,4000.0,364.52,2.0,0.0,2.0,363.57,4160.0,0.0,365.55,4032.0,2.0,0.0,,,,,,,
42322,2920.6104447105236,8,32864,44,0.0,141,2,0.5,2920.6104447105236,1683052924,0,4224.0,364.55,4096.0,364.3,4096.0,2.0,2.0,0.0,2.0,2.0,4128.0,0.0,365.24,366.12,0.0,0.0,366.78,4128.0,2.0,0.0,4000.0,364.52,2.0,0.0,2.0,363.57,4160.0,0.0,365.55,4032.0,2.0,0.0,,,,,,,
46388,2920.6104447105236,8,32864,45,0.0,142,2,0.5,2920.6104447105236,1683052925,0,4224.0,364.55,4096.0,364.3,4096.0,2.0,2.0,0.0,2.0,2.0,4128.0,0.0,365.24,366.12,0.0,0.0,366.78,4128.0,2.0,0.0,4000.0,364.52,2.0,0.0,2.0,363.57,4160.0,0.0,365.55,4032.0,2.0,0.0,,,,,,,
50486,2920.6104447105236,8,32864,46,0.0,144,2,0.5,2920.6104447105236,1683052927,0,4224.0,364.55,4096.0,364.3,4096.0,2.0,2.0,0.0,2.0,2.0,4128.0,0.0,365.24,366.12,0.0,0.0,366.78,4128.0,2.0,0.0,4000.0,364.52,2.0,0.0,2.0,363.57,4160.0,0.0,365.55,4032.0,2.0,0.0,,,,,,,
54568,2920.6104447105236,8,32864,47,0.0,145,2,0.5,2920.6104447105236,1683052928,0,4224.0,364.55,4096.0,364.3,4096.0,2.0,2.0,0.0,2.0,2.0,4128.0,0.0,365.24,366.12,0.0,0.0,366.78,4128.0,2.0,0.0,4000.0,364.52,2.0,0.0,2.0,363.57,4160.0,0.0,365.55,4032.0,2.0,0.0,,,,,,,
58684,2920.6104447105236,8,32864,48,0.0,147,2,0.5,2920.6104447105236,1683052930,0,4224.0,364.55,4096.0,364.3,4096.0,2.0,2.0,0.0,2.0,2.0,4128.0,0.0,365.24,366.12,0.0,0.0,366.78,4128.0,2.0,0.0,4000.0,364.52,2.0,0.0,2.0,363.57,4160.0,0.0,365.55,4032.0,2.0,0.0,,,,,,,
62785,2920.6104447105236,8,32864,49,0.0,148,2,0.5,2920.6104447105236,1683052931,0,4224.0,364.55,4096.0,364.3,4096.0,2.0,2.0,0.0,2.0,2.0,4128.0,0.0,365.24,366.12,0.0,0.0,366.78,4128.0,2.0,0.0,4000.0,364.52,2.0,0.0,2.0,363.57,4160.0,0.0,365.55,4032.0,2.0,0.0,,,,,,,
3596,2780.076381915721,8,3104,50,10.49,149,3,7.63,2780.076381915721,1683052932,0,4224.0,364.55,4096.0,364.3,4096.0,2.0,2.0,0.0,2.0,2.0,4128.0,0.0,365.24,366.12,0.0,0.0,366.78,4128.0,2.0,0.0,4000.0,364.52,2.0,0.0,2.0,363.57,4160.0,0.0,365.55,4032.0,2.0,0.0,,,,,,,
7717,2896.7389642974836,8,7264,51,8.65,151,3,6.29,2896.7389642974836,1683052934,0,352.0,352.09,384.0,351.06,416.0,3.0,3.0,0.0,3.0,3.0,448.0,0.0,344.34,348.62,0.0,0.0,351.67,416.0,3.0,0.0,224.0,336.7,3.0,0.0,3.0,352.62,480.0,0.0,342.98,384.0,3.0,0.0,22.582266356796026,0.0,98624.0,32864.0,0.0,1455.3012297682749,3.0
11769,2889.0014772108275,8,11328,52,7.27,152,3,5.29,2889.0014772108275,1683052935,0,864.0,364.94,896.0,362.5,928.0,3.0,3.0,0.0,3.0,3.0,992.0,0.0,362.3,364.06,0.0,0.0,365.4,960.0,3.0,0.0,736.0,358.39,3.0,0.0,3.0,362.63,992.0,0.0,356.51,896.0,3.0,0.0,,,,,,,
15788,2873.688322632187,8,15264,53,5.91,154,3,4.3,2873.688322632187,1683052937,0,1376.0,366.68,1376.0,355.31,1440.0,3.0,3.0,0.0,3.0,3.0,1504.0,0.0,342.59,366.7,0.0,0.0,367.81,1472.0,3.0,0.0,1248.0,364.12,3.0,0.0,3.0,363.12,1504.0,0.0,362.67,1408.0,3.0,0.0,,,,,,,
19842,2902.733558246941,8,19328,54,4.45,155,3,3.24,2902.733558246941,1683052938,0,1856.0,347.41,1888.0,362.68,1920.0,3.0,3.0,0.0,3.0,3.0,1984.0,0.0,361.49,343.59,0.0,0.0,368.31,1984.0,3.0,0.0,1760.0,365.21,3.0,0.0,3.0,363.24,1984.0,0.0,361.76,1888.0,3.0,0.0,,,,,,,
23929,2914.1658810824183,8,23424,55,3.03,156,3,2.21,2914.1658810824183,1683052939,0,2368.0,363.33,2400.0,363.79,2432.0,3.0,3.0,0.0,3.0,3.0,2496.0,0.0,365.34,362.2,0.0,0.0,355.8,2464.0,3.0,0.0,2272.0,365.07,3.0,0.0,3.0,364.24,2496.0,0.0,362.97,2400.0,3.0,0.0,,,,,,,
27979,2887.439321890448,8,27488,56,1.66,158,3,1.21,2887.439321890448,1683052941,0,2880.0,365.94,2912.0,363.99,2944.0,3.0,3.0,0.0,3.0,3.0,3008.0,0.0,366.87,366.18,0.0,0.0,365.86,2976.0,3.0,0.0,2784.0,364.02,3.0,0.0,3.0,364.16,3008.0,0.0,357.14,2912.0,3.0,0.0,,,,,,,
32017,2889.708817982208,8,31488,57,0.26,159,3,0.5,2889.708817982208,1683052942,0,3392.0,365.04,3456.0,364.28,3456.0,3.0,3.0,0.0,3.0,3.0,3520.0,0.0,366.72,366.38,0.0,0.0,368.03,3488.0,3.0,0.0,3264.0,338.43,3.0,0.0,3.0,354.19,3488.0,0.0,364.36,3424.0,3.0,0.0,,,,,,,
36100,2898.9774514998635,8,32896,58,0.0,161,3,0.5,2898.9774514998635,1683052944,0,3936.0,365.49,3936.0,363.87,3968.0,3.0,3.0,0.0,3.0,3.0,4032.0,0.0,365.91,366.42,0.0,0.0,368.07,4000.0,3.0,0.0,3744.0,355.05,3.0,0.0,3.0,363.03,4000.0,0.0,341.87,3872.0,3.0,0.0,,,,,,,
40138,2898.9774514998635,8,32896,59,0.0,162,3,0.5,2898.9774514998635,1683052945,0,4096.0,365.28,4128.0,363.56,4128.0,3.0,3.0,0.0,3.0,3.0,4192.0,0.0,366.02,366.89,0.0,0.0,367.5,4192.0,3.0,0.0,3936.0,357.17,3.0,0.0,3.0,362.34,4160.0,0.0,350.23,4064.0,3.0,0.0,,,,,,,
44191,2898.9774514998635,8,32896,60,0.0,163,3,0.5,2898.9774514998635,1683052946,0,4096.0,365.28,4128.0,363.56,4128.0,3.0,3.0,0.0,3.0,3.0,4192.0,0.0,366.02,366.89,0.0,0.0,367.5,4192.0,3.0,0.0,3936.0,357.17,3.0,0.0,3.0,362.34,4160.0,0.0,350.23,4064.0,3.0,0.0,,,,,,,
48276,2898.9774514998635,8,32896,61,0.0,165,3,0.5,2898.9774514998635,1683052948,0,4096.0,365.28,4128.0,363.56,4128.0,3.0,3.0,0.0,3.0,3.0,4192.0,0.0,366.02,366.89,0.0,0.0,367.5,4192.0,3.0,0.0,3936.0,357.17,3.0,0.0,3.0,362.34,4160.0,0.0,350.23,4064.0,3.0,0.0,,,,,,,
52382,2898.9774514998635,8,32896,62,0.0,166,3,0.5,2898.9774514998635,1683052949,0,4096.0,365.28,4128.0,363.56,4128.0,3.0,3.0,0.0,3.0,3.0,4192.0,0.0,366.02,366.89,0.0,0.0,367.5,4192.0,3.0,0.0,3936.0,357.17,3.0,0.0,3.0,362.34,4160.0,0.0,350.23,4064.0,3.0,0.0,,,,,,,
56449,2898.9774514998635,8,32896,63,0.0,168,3,0.5,2898.9774514998635,1683052951,0,4096.0,365.28,4128.0,363.56,4128.0,3.0,3.0,0.0,3.0,3.0,4192.0,0.0,366.02,366.89,0.0,0.0,367.5,4192.0,3.0,0.0,3936.0,357.17,3.0,0.0,3.0,362.34,4160.0,0.0,350.23,4064.0,3.0,0.0,,,,,,,
60569,2898.9774514998635,8,32896,64,0.0,169,3,0.5,2898.9774514998635,1683052952,0,4096.0,365.28,4128.0,363.56,4128.0,3.0,3.0,0.0,3.0,3.0,4192.0,0.0,366.02,366.89,0.0,0.0,367.5,4192.0,3.0,0.0,3936.0,357.17,3.0,0.0,3.0,362.34,4160.0,0.0,350.23,4064.0,3.0,0.0,,,,,,,
2058,2898.9774514998635,8,0,65,10.59,170,4,7.7,2548.7486780367663,1683052953,0,4096.0,365.28,4128.0,363.56,4128.0,3.0,3.0,0.0,3.0,3.0,4192.0,0.0,366.02,366.89,0.0,0.0,367.5,4192.0,3.0,0.0,3936.0,357.17,3.0,0.0,3.0,362.34,4160.0,0.0,350.23,4064.0,3.0,0.0,,,,,,,
6284,2898.9774514998635,8,0,66,9.14,172,4,6.64,2898.9774514998635,1683052955,0,0.0,365.28,0.0,363.56,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,366.02,366.89,0.0,0.0,367.5,0.0,4.0,0.0,0.0,357.17,4.0,0.0,4.0,362.34,0.0,0.0,350.23,4064.0,3.0,1.0,21.041883748956025,0.0,131520.0,32896.0,0.0,1563.3581286006347,4.0
