_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/backward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
15,14,,,1681158548.0,5.703125,0.0,0.011999999999943611,6071.93088,0.0,32607.0,0.04197512209477534,1546.850304,5.0,5497.860096,0.0,0.0,0.0,13.718749999999998,89176.0,0.03857001364261777,239117.78304,2.854912,846.0,0.003000000000156433,9091.854336,0.0,1313791.0,6.4,8.0,26919.809024,128.0,,,,,,,,,,,,,,
16,15,,,1681158549.0,5.703125,0.0,0.011999999999943611,6556.61056,0.0,36641.0,0.09384770740158375,2044.186624,5.0,6172.442624,0.0,0.0,0.0,13.718749999999998,101082.0,0.08537832979018421,238123.159552,2.854912,1011.0,0.003000000000156433,9287.53664,0.0,1380495.0,6.8,8.0,27816.947712,130.0,,,,,,,,,,,,,,
17,16,,,1681158550.0,5.703125,0.0,0.016000000000076398,6567.841792,0.05699967567312746,37574.0,0.13597062744792746,2044.186624,7.0,6172.442624,0.0,0.0,0.0,13.718749999999998,102523.0,4.549588791662016,238111.924224,2.854912,1011.0,0.005000000000109139,9287.53664,0.0,1382274.0,6.8,8.0,27816.947712,130.0,,,,,,,,,,,,,,
18,17,,,1681158551.0,5.703125,0.0,0.016000000000076398,7270.068224,0.0,41950.0,0.8266732836945431,2157.817856,7.0,6286.15168,0.0,0.0,0.0,13.718749999999998,107525.0,205.2354941497573,237309.190144,2.854912,1014.0,0.005000000000109139,9287.811072,0.0,1389809.0,7.1,8.0,27997.069312,133.0,0.0057471501640975475,,,,,,,,,,,,,
19,18,,,1681158552.0,5.703125,0.0,0.016000000000076398,7950.446592,0.0,42730.0,0.06423834016861292,2401.42336,7.0,6607.855616,0.0,0.0,0.0,13.718749999999998,108292.0,31.80262009173454,236628.48,2.854912,1024.0,0.005000000000109139,9388.19584,0.0,1391306.0,7.4,8.0,36634.97216,134.0,,0.0002986770123243332,1.4383534267544746,0.17217614874243736,,,,,,,,,,
20,19,,,1681158553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.048315216321498156,32.0,7.1795654296875,3.3837786819785833,0.0,0.0001,1.7188880629837513,0.0,0.0
21,19,,,1681158553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004417138174176216,0.0007762378081679344,0.025052119977772236,0.12402037810534239,1.0,0.04376983502879739,64.0,7.223876953125,0.20177164021879435,0.0,0.0001,0.003735931124538183,0.0,1.0
22,19,,,1681158553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004714344162493944,0.0009402129799127579,0.025977733079344034,0.12492065038532019,1.0,0.045910757035017014,96.0,7.1910400390625,0.2050830819644034,0.0,0.0001,0.0026193843223154545,0.0,2.0
23,19,,,1681158553.0,5.6875,0.0,0.02800000000002001,7959.8592,0.7624823568664796,44963.0,0.18140651737674415,2399.66208,131.0,6606.11072,0.0,0.0,0.0,12.859375,109955.0,45.49834573433595,236638.498816,2.854912,1091.0,0.06899999999995998,9388.457984,0.0,1393635.0,7.4,7.921875,36654.51008,136.0,0.0045186597853899,0.0006829160265624523,0.02555001201108098,,,,,,,,,,,
24,20,,,1681158554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1247357651591301,1.0,0.04424895578995347,128.0,7.1527099609375,0.2031862330622971,0.0,0.0001,0.0034499242901802063,0.0,3.0
