04_peers/peer_2_epoch_oos,03_hivemind/total_training_samples,_step,04_peers/peer_1_epoch,03_hivemind/epoch_s,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,_runtime,03_hivemind/num_peers,03_hivemind/global_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/estimated_current_samples,04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second
0.0,,33,1.0,,1.0,,88,2,1,13.04,135.26,672.0,2095,0.0,,5.22,343.33,,,467.6277462376232,1680688276.0,0,608.0,2048,,467.6277462376232
0.0,,34,1.0,,1.0,,89,2,1,8.12,233.14,1056.0,2982,0.0,,3.25,234.49,,,641.1877410305071,1680688277.0,0,992.0,2880,,641.1877410305071
0.0,,35,1.0,,1.0,,90,2,1,6.07,319.83,1472.0,3871,0.0,,2.43,321.36,,,711.3345382981548,1680688278.0,0,1408.0,3776,,711.3345382981548
0.0,,36,1.0,,1.0,,91,2,1,4.73,354.9,1920.0,4744,0.0,,1.89,356.44,,,729.3613507135373,1680688279.0,0,1856.0,4672,,729.3613507135373
0.0,,37,1.0,,1.0,,93,2,1,3.51,363.71,2368.0,5618,0.0,,1.4,365.66,,,733.5444623018266,1680688281.0,0,2304.0,5504,,733.5444623018266
0.0,,38,1.0,,1.0,,94,2,1,2.31,365.93,2784.0,6492,0.0,,0.92,367.61,,,735.7986460219706,1680688282.0,0,2720.0,6400,,735.7986460219706
0.0,,39,1.0,,1.0,,95,2,1,1.12,366.59,3232.0,7367,0.0,,0.5,369.21,,,735.9616619289279,1680688283.0,0,3168.0,7296,,735.9616619289279
0.0,,40,1.0,,1.0,,96,2,1,0.0,366.55,3680.0,8240,0.0,,0.5,369.41,,,735.9843045924275,1680688284.0,0,3616.0,8128,,735.9843045924275
0.0,,41,1.0,,1.0,,97,2,1,0.0,366.39,4096.0,9112,0.0,,0.5,369.59,,,735.6435618397954,1680688285.0,0,4032.0,8224,,735.6435618397954
0.0,,42,1.0,,1.0,,99,2,1,0.0,366.13,4160.0,9985,0.0,,0.5,369.52,,,735.6435618397954,1680688287.0,0,4064.0,8224,,735.6435618397954
0.0,,43,1.0,,1.0,,100,2,1,0.0,366.13,4160.0,10859,0.0,,0.5,369.52,,,735.6435618397954,1680688288.0,0,4064.0,8224,,735.6435618397954
0.0,,44,1.0,,1.0,,101,2,1,0.0,366.13,4160.0,11734,0.0,,0.5,369.52,,,735.6435618397954,1680688289.0,0,4064.0,8224,,735.6435618397954
0.0,,45,1.0,,1.0,,102,2,1,0.0,366.13,4160.0,12607,0.0,,0.5,369.52,,,735.6435618397954,1680688290.0,0,4064.0,8224,,735.6435618397954
0.0,,46,1.0,,1.0,,103,2,1,0.0,366.13,4160.0,13480,0.0,,0.5,369.52,,,735.6435618397954,1680688291.0,0,4064.0,8224,,735.6435618397954
0.0,,47,1.0,,1.0,,105,2,1,0.0,366.13,4160.0,14356,0.0,,0.5,369.52,,,735.6435618397954,1680688293.0,0,4064.0,8224,,735.6435618397954
0.0,,48,1.0,,1.0,,106,2,1,0.0,366.13,4160.0,15231,0.0,,0.5,369.52,,,735.6435618397954,1680688294.0,0,4064.0,8224,,735.6435618397954
0.0,,49,1.0,,1.0,,107,2,1,0.0,366.13,4160.0,16105,0.0,,0.5,369.52,,,735.6435618397954,1680688295.0,0,4064.0,8224,,735.6435618397954
0.0,,50,1.0,,1.0,,108,2,1,0.0,366.13,4160.0,16980,0.0,,0.5,369.52,,,735.6435618397954,1680688296.0,0,4064.0,8224,,735.6435618397954
0.0,,51,1.0,,1.0,,109,2,1,0.0,366.13,4160.0,17857,0.0,,0.5,369.52,,,735.6435618397954,1680688297.0,0,4064.0,8224,,735.6435618397954
0.0,,52,1.0,,1.0,,111,2,2,11.76,366.13,4160.0,376,0.0,,4.7,369.52,,,664.7464267061121,1680688299.0,0,4064.0,288,,664.7464267061121
0.0,16448.0,53,2.0,26.14422912383452,2.0,2.0,112,2,2,9.68,333.08,128.0,1257,0.0,314.56272667464305,3.87,331.66,0.0,0.0,716.5980058960798,1680688300.0,0,160.0,1152,8224.0,716.5980058960798
