_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,02_timing/dataload_cuda_move_time_s,01_general/dataset_iteration_count,01_general/step
0,1,30.0,211076.599808,1680701049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1680701049,2.566666666666667,0.0,0.0,1198.252032,0.0,27.0,0.7015682585289975,178.266112,0.0,394.436608,0.0,0.0,0.0,0.46666666666666673,9.0,1.0708147150461746,208133.234688,2.719744,146.0,0.0,2481.012736,0.0,30.0,1.4,2.7,9963.380736,46.0,,,,,,,,,,,,,,
2,2,,,1680701050,2.566666666666667,0.0,0.008000000000009777,1328.730112,0.20430904111209613,3985.0,0.8987522795227781,181.059584,6.0,398.56128,0.0,0.0,0.0,0.46666666666666673,2629.0,1.0293105452811462,208002.760704,2.719744,176.0,0.0020000000000095497,2499.260416,0.0,4349.0,1.5,2.7,10115.588096,46.0,,,,,,,,,,,,,,
3,3,,,1680701051,2.566666666666667,0.0,0.016000000000005343,1336.19712,0.5190174276732402,4951.0,0.15685303074149987,181.59616,96.0,402.55488,0.0,0.0,0.0,0.4333333333333333,3340.0,0.2796710849799781,207995.285504,2.719744,204.0,0.023000000000024556,2511.507456,0.0,5137.0,1.5,2.666666666666667,10195.574784,47.0,,,,,,,,,,,,,,
4,4,,,1680701052,2.566666666666667,0.0,0.020000000000010232,1350.242304,0.0040872871248624765,6600.0,0.3941597694203145,181.59616,97.0,413.876224,0.0,0.0,0.0,0.4333333333333333,4908.0,7.942995911544468,207981.24032,2.719744,292.0,0.023000000000024556,2522.927104,0.0,6739.0,1.5,2.666666666666667,10206.990336,47.0,,,,,,,,,,,,,,
5,5,,,1680701053,2.566666666666667,0.0,0.02400000000000091,1350.754304,0.004087339643061702,7944.0,0.39577741655241166,181.59616,98.0,413.876224,0.0,0.0,0.0,0.4333333333333333,6347.0,4.391814509609243,207980.724224,2.719744,400.0,0.023000000000024556,2522.927104,0.0,8063.0,1.5,2.666666666666667,10206.990336,48.0,,,,,,,,,,,,,,
6,6,,,1680701054,2.566666666666667,0.0,0.028000000000005798,1350.856704,0.004087308518044981,9166.0,0.25304590918173137,181.59616,99.0,414.416896,0.0,0.0,0.0,0.4333333333333333,8056.0,12.137055094765829,207980.609536,2.719744,584.0,0.02400000000000091,2523.389952,0.0,9471.0,1.5,2.666666666666667,10207.453184,48.0,,,,,,,,,,,,,,
7,7,,,1680701055,2.566666666666667,0.0,0.03200000000001069,1364.64384,0.17983772421411154,12755.0,1.5423431810651782,183.422976,102.0,432.357376,0.0,0.0,0.0,0.4333333333333333,10761.0,0.9518754543570006,207966.814208,2.719744,599.0,0.025000000000034106,2540.265472,0.0,12508.0,1.5,2.666666666666667,10224.328704,55.0,,,,,,,,,,,,,,
8,8,,,1680701056,2.566666666666667,0.0,0.04000000000000625,1651.07712,2.9914507883468984,16476.0,1.5041382109704162,185.585664,151.0,719.11424,0.0,0.0,0.0,0.4,13261.0,0.9030049362972368,207680.380928,2.719744,609.0,0.045000000000015916,2831.5648,0.0,15478.0,1.6,2.6,10515.628032,59.0,,,,,,,,,,,,,,
9,9,,,1680701057,2.566666666666667,0.0,0.04400000000001114,2365.349888,0.004086765006164111,20042.0,1.5469283575836954,185.585664,152.0,1431.719936,0.0,0.0,0.0,0.4,15386.0,0.7229662904367369,206966.140928,2.719744,609.0,0.045000000000015916,3553.890304,0.0,18375.0,1.9,2.6,11237.953536,70.0,,,,,,,,,,,,,,
10,10,,,1680701058,2.566666666666667,0.0,0.04800000000000182,2785.193984,0.004086695018823241,23977.0,2.2377289207711573,185.585664,153.0,1850.4704,0.0,0.0,0.0,0.4,17857.0,0.8615184109438438,206546.296832,2.719744,609.0,0.04599999999999227,3957.137408,0.0,21550.0,2.1,2.6,11641.20064,76.0,,,,,,,,,,,,,,
11,11,,,1680701059,2.566666666666667,0.0,0.05200000000000671,2785.968128,0.004086557945749835,29349.0,4.146922475695249,185.585664,154.0,1850.4704,0.0,0.0,0.0,0.4,21177.0,1.2117442473942568,206545.522688,2.719744,609.0,0.04599999999999227,3957.137408,0.0,25704.0,2.1,2.6,11641.20064,78.0,,,,,,,,,,,,,,
12,12,,,1680701060,2.566666666666667,0.0,0.056000000000011596,3129.860096,0.10215826245769624,34608.0,4.119523952353906,322.592768,157.0,2254.70464,0.0,0.0,0.0,0.4,24587.0,1.2070317953667438,206191.222784,2.719744,619.0,0.04800000000000182,4480.63488,0.0,30992.0,2.3,2.6,12972.019712,87.0,,,,,,,,,,,,,,
13,13,,,1680701061,2.566666666666667,0.0,0.060000000000002274,3001.253888,0.004086732925008017,39604.0,4.204481920554533,462.983168,158.0,2259.972096,0.0,0.0,0.0,0.6333333333333333,28047.0,1.2261156612380102,206319.824896,2.719744,620.0,0.04800000000000182,4340.46976,0.0,35210.0,2.3,2.6333333333333333,14744.457216,95.0,,,,,,,,,,,,,,
14,14,,,1680701062,2.566666666666667,0.0,0.06800000000001205,7244.681216,0.0040807241800568305,47635.0,4.3820282710674805,1888.354304,159.0,7742.611456,0.0,0.0,0.0,0.6333333333333333,32712.0,1.7886324153109305,200656.748544,2.719744,1042.0,0.049000000000035016,8446.681088,0.0,47533.0,4.9,2.6333333333333333,25940.209664,105.0,,,,,,,,,,,,,,
