_step,03_hivemind/num_clients,03_hivemind/per_epoch_training_samples,04_peers/peer_2_samples_per_second,03_hivemind/eta_next_epoch_s,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_1_samples_accumulated,03_hivemind/num_peers,03_hivemind/overshot_TBS,03_hivemind/global_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_1_epoch,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,_timestamp,04_peers/peer_2_epoch,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,_runtime,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_2_epoch_oos,03_hivemind/estimated_current_samples
168,0,,12.22,24.61,,,0.0,2,,0,,3.0,435.55248083974817,423.33,0.0,435.55248083974817,1680691385.0,3.0,3,9.84,235,,,0.0,0.0,22050
169,0,,12.22,23.58,,,0.0,2,,0,,3.0,435.55248083974817,423.33,0.0,435.55248083974817,1680691386.0,3.0,3,9.43,236,,,0.0,0.0,22496
170,0,,12.22,22.56,,,0.0,2,,0,,3.0,435.55248083974817,423.33,0.0,435.55248083974817,1680691387.0,3.0,3,9.03,237,,,0.0,0.0,22941
171,0,,12.22,21.54,,,0.0,2,,0,,3.0,435.55248083974817,423.33,0.0,435.55248083974817,1680691388.0,3.0,3,8.62,238,,,0.0,0.0,23384
172,0,,12.22,20.53,,,0.0,2,,0,,3.0,435.55248083974817,423.33,0.0,435.55248083974817,1680691389.0,3.0,3,8.21,239,,,0.0,0.0,23828
173,0,,12.22,19.5,,,0.0,2,,0,,3.0,435.55248083974817,423.33,0.0,435.55248083974817,1680691390.0,3.0,3,7.8,240,,,0.0,0.0,24274
174,0,,12.22,18.48,,,0.0,2,,0,,3.0,435.55248083974817,423.33,0.0,435.55248083974817,1680691391.0,3.0,3,7.39,241,,,0.0,0.0,24718
175,0,,12.22,17.46,,,0.0,2,,0,,3.0,435.55248083974817,423.33,0.0,435.55248083974817,1680691392.0,3.0,3,6.98,242,,,0.0,0.0,25162
176,0,,12.22,16.44,,,0.0,2,,0,,3.0,435.55248083974817,423.33,0.0,435.55248083974817,1680691393.0,3.0,3,6.58,243,,,0.0,0.0,25608
177,0,,12.22,15.41,,,0.0,2,,0,,3.0,435.55248083974817,423.33,0.0,435.55248083974817,1680691394.0,3.0,3,6.17,244,,,0.0,0.0,26054
