03_hivemind/global_epoch,03_hivemind/overshot_TBS,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_1_samples_accumulated,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated,03_hivemind/next_fetch_time_s,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/reached_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,_step,04_peers/peer_1_epoch_oos,03_hivemind/estimated_current_samples,_runtime,03_hivemind/global_samples_accumulated,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,04_peers/peer_1_samples_per_second
0,,584.3169874052472,1680693121.0,0.0,0.0,,0.0,,,12608.0,18.07,8832.0,7.23,2,0,,,584.3169874052472,28,0.0,22209,79,22144,263.19,,364.63
0,,679.2735129341326,1680693123.0,0.0,0.0,,0.0,,,13056.0,14.26,9088.0,5.7,2,0,,,679.2735129341326,29,0.0,23085,81,22976,225.96,,358.36
0,,718.75602944103,1680693124.0,0.0,0.0,,0.0,,,13472.0,12.25,9504.0,4.9,2,0,,,718.75602944103,30,0.0,23962,82,23872,317.26,,362.02
0,,728.0208924495245,1680693125.0,0.0,0.0,,0.0,,,13920.0,10.9,9952.0,4.36,2,0,,,728.0208924495245,31,0.0,24832,83,24736,354.44,,364.32
0,,729.0027962447632,1680693126.0,0.0,0.0,,0.0,,,14336.0,9.69,10400.0,3.88,2,0,,,729.0027962447632,32,0.0,25701,84,25600,363.76,,364.26
0,,729.1990171571845,1680693127.0,0.0,0.0,,0.0,,,14784.0,8.5,10816.0,3.4,2,0,,,729.1990171571845,33,0.0,26569,85,26464,364.98,,364.03
0,,730.340866596755,1680693129.0,0.0,0.0,,0.0,,,15200.0,7.3,11264.0,2.92,2,0,,,730.340866596755,34,0.0,27436,87,27328,365.67,,363.53
0,,731.6812538592344,1680693130.0,0.0,0.0,,0.0,,,15648.0,6.09,11680.0,2.44,2,0,,,731.6812538592344,35,0.0,28310,88,28192,366.72,,363.63
0,,730.309595993941,1680693131.0,0.0,0.0,,0.0,,,16064.0,4.92,12128.0,1.97,2,0,,,730.309595993941,36,0.0,29177,89,29088,366.83,,364.85
0,,730.0630592453697,1680693132.0,0.0,0.0,,0.0,,,16512.0,3.73,12576.0,1.49,2,0,,,730.0630592453697,37,0.0,30044,90,29952,366.03,,364.28
