02_timing/loss_calc_time_s,02_timing/opt_step_time_s,disk/time/disk_read_time_sys_s,process/memory/shared_memory_proc_MB,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,02_timing/step_time_s,memory/used_memory_sys_MB,disk/counter/disk_write_sys_count,disk/counter/disk_read_sys_count,process/memory/lib_memory_proc_MB,cpu/load/avg_sys_load_one_min_percent,disk/time/disk_write_time_sys_s,_runtime,bandwidth/net_sent_sys_bandwidth_Mbits,01_general/minibatch_loss,memory/total_memory_sys_MB,cpu/interrupts/interrupts_count,bandwidth/disk_read_sys_bandwidth_MBs,memory/available_memory_sys_MB,01_general/step,02_timing/backward_time_s,02_timing/dataload_time_s,cpu/load/avg_sys_load_five_min_percent,process/involuntary_proc_ctx_switches,_step,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,process/memory/virtual_memory_size_proc_MB,process/memory/dirty_pages_proc_count,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count,01_general/dataset_iteration_count,cpu/load/avg_sys_load_fifteen_min_percent,process/memory/data_resident_set_proc_MB,02_timing/forward_time_s,03_hivemind/global_epoch,process/memory/resident_set_size_proc_MB,01_general/lr,01_general/locally_processed_samples,disk/time/disk_busy_time_sys_s,_timestamp,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/dataload_cuda_move_time_s,cpu/logical_core_count,03_hivemind/num_peers
,,,,,,,,,,,,,1,,,31557.169152,,,,,,,,,0,,,,,,,,,,,,,,,,1696169588.0,,,8.0,
,,0.0,244.076544,0.0,2.654208,,1103.843328,0.0,0.0,1110.454272,10.875,0.0,1,0.4694545883043945,,,25.0,0.0,29992.05888,,,,6.875000000000001,57.0,1,445.0,16.0,9347.166208,0.0,5.0,36.0,,5.125,0.0,,,549.748736,,,0.0,1696169588.0,0.5405339805226801,,,
,,0.0,248.557568,2.2084014425048584,2.654208,,1318.703104,12.0,0.0,1148.923904,10.875,0.02599999999983993,2,0.8675042750549286,,,5069.0,0.0,29777.195008,,,,6.875000000000001,57.0,2,498.0,1872.0,10070.77376,0.0,5.6,3928.0,,5.125,0.0,,,567.189504,,,0.01999999999999602,1696169589.0,2.575158153009105,,,
,,0.0,248.819712,0.004084676897077334,2.654208,,1361.862656,13.0,0.0,1181.585408,10.875,0.027000000000043656,3,0.44128870674482606,,,6922.0,0.0,29734.035456,,,,6.875000000000001,58.0,3,736.0,3095.0,10103.435264,0.0,5.8,5782.0,,5.125,0.0,,,600.20736,,,0.028000000000005798,1696169590.0,31.6662262815133,,,
,,0.0,250.396672,0.004086212893496491,2.654208,,1516.527616,14.0,0.0,1332.170752,10.875,0.028000000000247383,4,3.411469009611475,,,19841.0,0.0,29579.608064,,,,6.875000000000001,61.0,4,4013.0,11576.0,10254.00832,0.0,6.3,16692.0,,5.125,0.0,,,751.94368,,,0.031999999999996476,1696169591.0,1211.789881773976,,,
,,0.0,349.523968,0.004089465520021006,2.654208,,1667.989504,15.0,0.0,1434.660864,11.0,0.028000000000247383,5,1.230913146879575,,,25148.0,0.0,29415.350272,,,,7.000000000000001,63.0,5,4030.0,13645.0,10863.88224,0.0,6.8,21580.0,,5.125,0.0,,,919.81824,,,0.036000000000001364,1696169592.0,0.6727570141365395,,,
,,0.0,473.387008,0.23298817074783687,2.654208,,2364.567552,59.0,0.0,2128.879616,11.0,0.0729999999998654,6,1.1670325101520114,,,29115.0,0.0,28718.743552,,,,7.000000000000001,68.0,6,4032.0,15382.0,11860.09088,0.0,9.0,26093.0,,5.125,0.0,,,1737.691136,,,0.04399999999999693,1696169593.0,0.5744949888711757,,,
,,0.0010000000000012221,690.536448,0.15878609031080396,2.654208,,2991.546368,62.0,2.0,2759.258112,11.0,0.07600000000002183,7,1.455539161177807,,,44217.0,0.016285752852355378,27934.199808,,,,7.000000000000001,74.0,7,4239.0,18080.0,13654.888448,0.0,11.5,32848.0,,5.125,0.0,,,2545.053696,,,0.06399999999999295,1696169594.0,0.9282561044719412,,,
,,0.0010000000000012221,835.477504,0.004066109377937797,2.654208,,3211.411456,63.0,2.0,2718.425088,11.0,0.07600000000002183,8,1.4905944019822213,,,93224.0,0.0,27568.64,,,,7.000000000000001,75.0,8,4418.0,20946.0,14026.727424,0.0,12.6,39870.0,,5.125,0.0,,,2617.520128,,,0.07200000000000273,1696169595.0,1.875532659245978,,,
,,0.0010000000000012221,835.477504,0.004079616576382822,2.654208,,3377.065984,64.0,2.0,2718.72,11.0,0.07700000000022555,9,1.4307422499404077,,,98329.0,0.0,27403.010048,,,,7.000000000000001,75.0,9,4418.0,23729.0,14026.989568,0.0,13.2,45332.0,,5.125,0.0,,,2617.761792,,,0.0759999999999934,1696169596.0,0.8780816919354743,,,
