04_peers/peer_3_epoch_oos,04_peers/peer_3_samples_accumulated,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/reached_TBS,04_peers/peer_3_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,_runtime,04_peers/peer_1_epoch_oos,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch,03_hivemind/epoch_s,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,_timestamp,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS,04_peers/peer_3_epoch,04_peers/peer_2_samples_per_second,03_hivemind/per_epoch_training_samples,_step,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,03_hivemind/global_epoch,03_hivemind/estimated_current_samples,03_hivemind/undershot_TBS
0.0,9184.0,3,0,,410.04,32832,1364.7226723651568,71,0.0,1364.7226723651568,0.0,,0.0,0.0,0.5,,467.7,1680694080.0,,,0.0,486.99,,27,0.0,14144.0,9504.0,0,40640,
0.0,9184.0,3,0,,410.04,32832,1364.7226723651568,72,0.0,1364.7226723651568,0.0,,0.0,0.0,0.5,,467.7,1680694081.0,,,0.0,486.99,,28,0.0,14144.0,9504.0,0,42272,
0.0,9184.0,3,0,,410.04,32832,1364.7226723651568,74,0.0,1364.7226723651568,0.0,,0.0,0.0,0.5,,467.7,1680694083.0,,,0.0,486.99,,29,0.0,14144.0,9504.0,0,43904,
0.0,9184.0,3,0,,410.04,1376,1420.2015171449627,75,0.0,1420.2015171449627,0.0,,0.0,0.0,10.0,,467.7,1680694084.0,,,0.0,486.99,,30,21.98,14144.0,9504.0,1,1552,
0.0,448.0,3,0,0.0,461.9,3040,1416.710462453233,76,0.0,1416.710462453233,1.0,38.9367734817788,1.0,0.0,10.0,32832.0,474.53,1680694085.0,843.2131649368522,1.0,1.0,483.77,32832.0,31,20.85,480.0,448.0,1,3224,0.0
0.0,1024.0,3,0,,479.98,4672,1379.613055948239,77,0.0,1379.613055948239,1.0,,1.0,0.0,10.0,,525.59,1680694086.0,,,1.0,411.14,,32,20.25,1056.0,960.0,1,4831,
0.0,1536.0,3,0,,450.48,6336,1495.1581641816704,78,0.0,1495.1581641816704,1.0,,1.0,0.0,8.75,,446.9,1680694087.0,,,1.0,482.23,,33,17.51,1600.0,1536.0,1,6591,
0.0,2112.0,3,0,,494.51,8032,1467.8645723617547,80,0.0,1467.8645723617547,1.0,,1.0,0.0,8.35,,492.02,1680694089.0,,,1.0,508.62,,34,16.71,2112.0,2112.0,1,8241,
0.0,2656.0,3,0,,473.76,9344,1258.5556250917002,81,0.0,1258.5556250917002,1.0,,1.0,0.0,9.23,,512.64,1680694090.0,,,1.0,481.47,,35,18.47,2688.0,2688.0,1,9528,
0.0,3264.0,3,0,,498.68,11168,1539.7479320913255,82,0.0,1539.7479320913255,1.0,,1.0,0.0,6.94,,295.92,1680694091.0,,,1.0,463.96,,36,13.87,2880.0,3200.0,1,11408,
0.0,3840.0,3,0,,533.09,12640,1397.950171563232,83,0.0,1397.950171563232,1.0,,1.0,0.0,7.11,,460.71,1680694092.0,,,1.0,545.94,,37,14.22,3488.0,3840.0,1,12888,
0.0,4480.0,3,0,,536.98,14528,1520.7565765800684,84,0.0,1520.7565765800684,1.0,,1.0,0.0,5.93,,329.68,1680694093.0,,,1.0,531.29,,38,11.87,3744.0,4416.0,1,14721,
0.0,5088.0,3,0,,488.26,16224,1514.6464144097254,86,0.0,1514.6464144097254,1.0,,1.0,0.0,5.37,,500.39,1680694095.0,,,1.0,532.11,,39,10.75,4384.0,5056.0,1,16493,
0.0,5696.0,3,0,,515.38,17920,1468.8823428901828,87,0.0,1468.8823428901828,1.0,,1.0,0.0,4.97,,464.06,1680694096.0,,,1.0,535.21,,40,9.93,4896.0,5632.0,1,18180,
0.0,6272.0,3,0,,546.53,19552,1433.3707938824014,88,0.0,1433.3707938824014,1.0,,1.0,0.0,4.51,,440.92,1680694097.0,,,1.0,481.43,,41,9.03,5440.0,6208.0,1,19825,
0.0,6816.0,3,0,,466.46,21120,1383.8128632789605,89,0.0,1383.8128632789605,1.0,,1.0,0.0,4.15,,451.16,1680694098.0,,,1.0,515.75,,42,8.31,5984.0,6752.0,1,21272,
0.0,7392.0,3,0,,477.11,22144,1289.3552584435,90,0.0,1289.3552584435,1.0,,1.0,0.0,3.91,,376.61,1680694099.0,,,1.0,530.09,,43,7.82,6400.0,7328.0,1,22690,
0.0,7648.0,3,0,,532.74,23648,1274.7296881836487,92,0.0,1274.7296881836487,1.0,,1.0,0.0,3.49,,439.48,1680694101.0,,,1.0,317.14,,44,6.99,6944.0,7552.0,1,23860,
0.0,8128.0,3,0,,379.21,24672,1214.248565953829,93,0.0,1214.248565953829,1.0,,1.0,0.0,3.12,,429.41,1680694102.0,,,1.0,466.11,,45,6.24,7392.0,8128.0,1,25189,
0.0,8448.0,3,0,,462.25,26400,1379.7463903802604,94,0.0,1379.7463903802604,1.0,,1.0,0.0,2.24,,466.88,1680694103.0,,,1.0,285.11,,46,4.49,7904.0,8320.0,1,26574,
0.0,9024.0,3,0,,436.53,28160,1481.531648756279,95,0.0,1481.531648756279,1.0,,1.0,0.0,1.48,,455.64,1680694104.0,,,1.0,487.57,,47,2.97,8416.0,8960.0,1,28370,
0.0,9632.0,3,0,,490.52,29728,1381.376579605038,96,0.0,1381.376579605038,1.0,,1.0,0.0,1.03,,505.4,1680694105.0,,,1.0,485.61,,48,2.07,8992.0,9536.0,1,29910,
0.0,10112.0,3,0,,450.66,31392,1357.9495035604327,98,0.0,1357.9495035604327,1.0,,1.0,0.0,0.5,,484.06,1680694107.0,,,1.0,446.66,,49,0.91,9568.0,10048.0,1,31539,
0.0,10720.0,3,0,,491.86,32576,1122.5679894142693,99,0.0,1122.5679894142693,1.0,,1.0,0.0,0.5,,392.37,1680694108.0,,,1.0,473.72,,50,0.01,10048.0,10624.0,1,32758,
0.0,11072.0,3,0,,369.19,384,1577.3585766213155,100,0.0,1577.3585766213155,1.0,,1.0,0.0,10.0,,381.77,1680694109.0,,,1.0,371.61,,51,20.4,10528.0,10976.0,2,596,
0.0,128.0,3,0,0.0,501.89,2048,1461.6011525175531,101,0.0,1461.6011525175531,2.0,25.132582577411085,2.0,0.0,10.0,65408.0,543.98,1680694110.0,1296.1660386338085,1.0,2.0,531.49,32576.0,52,20.87,128.0,128.0,2,2267,1.0
0.0,704.0,3,0,,476.4,3520,1304.6172381150227,102,0.0,1304.6172381150227,2.0,,2.0,0.0,10.0,,520.13,1680694111.0,,,2.0,465.07,,53,22.27,704.0,640.0,2,3716,
0.0,1216.0,3,0,,445.96,5088,1212.7219125718862,104,0.0,1212.7219125718862,2.0,,2.0,0.0,10.0,,380.31,1680694113.0,,,2.0,478.35,,54,22.72,1152.0,1152.0,2,5219,
0.0,1824.0,3,0,,505.09,6848,1435.6192370996932,105,0.0,1435.6192370996932,2.0,,2.0,0.0,8.97,,367.49,1680694114.0,,,2.0,340.14,,55,17.93,1632.0,1632.0,2,7021,
0.0,2432.0,3,0,,518.51,8640,1535.2516229862094,106,0.0,1535.2516229862094,2.0,,2.0,0.0,7.78,,416.67,1680694115.0,,,2.0,500.44,,56,15.57,2176.0,2240.0,2,8871,
0.0,3040.0,3,0,,538.36,10048,1335.9496430108547,107,0.0,1335.9496430108547,2.0,,2.0,0.0,8.43,,491.22,1680694116.0,,,2.0,505.67,,57,16.86,2752.0,2848.0,2,10238,
0.0,3616.0,3,0,,486.31,11648,1288.1495581912272,108,0.0,1288.1495581912272,2.0,,2.0,0.0,8.14,,365.79,1680694117.0,,,2.0,483.84,,58,16.28,3072.0,3360.0,2,11791,
0.0,4096.0,3,0,,430.88,13280,1410.928979138656,110,0.0,1410.928979138656,2.0,,2.0,0.0,6.82,,415.74,1680694119.0,,,2.0,441.53,,59,13.64,3648.0,3904.0,2,13524,
0.0,4608.0,3,0,,459.45,14912,1329.3237333577547,111,0.0,1329.3237333577547,2.0,,2.0,0.0,6.66,,474.82,1680694120.0,,,2.0,476.66,,60,13.31,4224.0,4448.0,2,15071,
0.0,5152.0,3,0,,442.18,16704,1526.5152969112034,112,0.0,1526.5152969112034,2.0,,2.0,0.0,5.21,,388.78,1680694121.0,,,2.0,498.37,,61,10.41,4672.0,5088.0,2,16875,
0.0,5728.0,3,0,,498.64,18336,1515.7542314952684,113,0.0,1515.7542314952684,2.0,,2.0,0.0,4.66,,476.24,1680694122.0,,,2.0,551.64,,62,9.32,5248.0,5728.0,2,18637,
0.0,6304.0,3,0,,510.66,19968,1430.1854901908482,114,0.0,1430.1854901908482,2.0,,2.0,0.0,4.39,,462.02,1680694123.0,,,2.0,543.08,,63,8.78,5728.0,6304.0,2,20207,
0.0,6880.0,3,0,,491.07,21856,1583.9931813485368,116,0.0,1583.9931813485368,2.0,,2.0,0.0,3.39,,450.3,1680694125.0,,,2.0,488.81,,64,6.77,6272.0,6816.0,2,22037,
0.0,7520.0,3,0,,542.62,23360,1403.855616235584,117,0.0,1403.855616235584,2.0,,2.0,0.0,3.24,,506.08,1680694126.0,,,2.0,535.29,,65,6.49,6880.0,7456.0,2,23664,
0.0,8064.0,3,0,,479.0,25088,1440.8718661273952,118,0.0,1440.8718661273952,2.0,,2.0,0.0,2.59,,486.6,1680694127.0,,,2.0,438.26,,66,5.19,7328.0,7968.0,2,25295,
0.0,8672.0,3,0,,492.17,26848,1460.2498675847285,119,0.0,1460.2498675847285,2.0,,2.0,0.0,1.95,,478.81,1680694128.0,,,2.0,469.9,,67,3.91,7904.0,8512.0,2,27059,
0.0,9248.0,3,0,,470.27,28512,1457.3252021723515,120,0.0,1457.3252021723515,2.0,,2.0,0.0,1.37,,519.79,1680694129.0,,,2.0,470.19,,68,2.75,8512.0,9088.0,2,28766,
0.0,9824.0,3,0,,499.37,29792,1388.1208106227928,121,0.0,1388.1208106227928,2.0,,2.0,0.0,0.89,,455.98,1680694130.0,,,2.0,501.97,,69,1.77,9024.0,9664.0,2,30309,
0.0,10304.0,3,0,,461.66,31456,1305.8845426037387,123,0.0,1305.8845426037387,2.0,,2.0,0.0,0.5,,485.38,1680694132.0,,,2.0,441.08,,70,0.9,9312.0,10176.0,2,31596,
0.0,10816.0,3,0,,411.73,32832,1254.1010274748483,124,0.0,1254.1010274748483,2.0,,2.0,0.0,0.5,,396.87,1680694133.0,,,2.0,497.28,,71,0.0,9856.0,10784.0,2,33089,
0.0,11296.0,3,0,,460.43,32832,1254.1010274748483,125,0.0,1254.1010274748483,2.0,,2.0,0.0,0.5,,395.23,1680694134.0,,,2.0,398.44,,72,0.0,10272.0,11264.0,2,34589,
0.0,11296.0,3,0,,460.43,32832,1254.1010274748483,126,0.0,1254.1010274748483,2.0,,2.0,0.0,0.5,,395.23,1680694135.0,,,2.0,398.44,,73,0.0,10272.0,11264.0,2,36092,
0.0,11296.0,3,0,,460.43,0,1254.1010274748483,127,0.0,1254.1010274748483,2.0,,2.0,0.0,10.0,,395.23,1680694136.0,,,2.0,398.44,,74,25.79,10272.0,11264.0,3,429,
0.0,0.0,3,0,0.0,460.43,0,1254.1010274748483,129,0.0,1254.1010274748483,3.0,27.501777859870344,3.0,0.0,10.0,98240.0,395.23,1680694138.0,1193.8137296900843,2.0,3.0,398.44,32832.0,75,24.59,0.0,0.0,3,1933,1.0
0.0,0.0,3,0,,460.43,0,1254.1010274748483,130,0.0,1254.1010274748483,3.0,,3.0,0.0,10.0,,395.23,1680694139.0,,,3.0,398.44,,76,23.38,0.0,0.0,3,3442,
0.0,0.0,3,0,,460.43,0,1254.1010274748483,131,0.0,1254.1010274748483,3.0,,3.0,0.0,10.0,,395.23,1680694140.0,,,3.0,398.44,,77,22.19,0.0,0.0,3,4942,
