cpu/load/avg_sys_load_one_min_percent,process/memory/text_resident_set_proc_MB,02_timing/dataload_time_s,bandwidth/disk_read_sys_bandwidth_MBs,02_timing/backward_time_s,02_timing/opt_step_time_s,memory/used_memory_sys_MB,cpu/interrupts/ctx_switches_count,01_general/dataset_iteration_count,process/voluntary_proc_ctx_switches,cpu/logical_core_count,02_timing/forward_time_s,process/memory/data_resident_set_proc_MB,process/memory/resident_set_size_proc_MB,process/involuntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,01_general/step_based_sps,memory/available_memory_sys_MB,memory/used_memory_sys_percent,process/memory/shared_memory_proc_MB,process/memory/dirty_pages_proc_count,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/step_time_s,01_general/minibatch_loss,disk/time/disk_write_time_sys_s,disk/counter/disk_write_sys_count,_runtime,01_general/lr,cpu/interrupts/interrupts_count,01_general/locally_processed_samples,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_fifteen_min_percent,process/memory/virtual_memory_size_proc_MB,_step,01_general/step,memory/total_memory_sys_MB,disk/counter/disk_read_sys_count,process/memory/lib_memory_proc_MB,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_five_min_percent,_timestamp,02_timing/loss_calc_time_s,02_timing/dataload_cuda_move_time_s,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s
,,,,,,,,,,8.0,,,,,,,,,,,,,,,,1,,,,,,,0,,31557.18144,,,,,1680785275.0,,,,
17.75,2.654208,,0.0,,,739.864576,11.0,,84.0,,,0.0,404.578304,27.0,0.11644105956947912,,30356.078592,3.8,178.03264,0.0,0.0,,,0.0,0.0,1,,15.0,,0.0,9.625,8492.630016,1,,,0.0,1009.610752,25.0,13.625000000000002,1680785275.0,,,0.0,0.0
18.25,2.654208,,0.0,,,756.666368,1054.0,,310.0,,,0.0,420.970496,27.0,0.45195309535001277,,30339.2768,3.9,178.106368,0.0,41.10014660246225,,,0.0020000000004074536,3.0,2,,1206.0,,0.012214088858278595,9.625,8584.564736,2,,,0.0,1034.563584,1009.0,13.750000000000002,1680785276.0,,,0.012000000000000455,0.0
18.25,2.654208,,0.0,,,1044.811776,3502.0,,650.0,,,0.0,710.06208,29.0,0.1620567992825473,,30051.098624,4.8,179.95776,0.0,46.505472054803576,,,0.0029999999997016857,4.0,4,,3384.0,,0.002597291718658458,9.625,8873.439232,3,,,0.0,1323.43808,2042.0,13.750000000000002,1680785278.0,,,0.015999999999991132,0.0
18.25,2.654208,,0.0,,,1345.298432,4063.0,,679.0,,,0.0,1011.716096,32.0,0.11114654844003592,,29750.64064,5.7,181.399552,0.0,0.2950263002008196,,,0.006000000000312866,7.0,5,,4042.0,,0.016342029663755586,9.625,10121.17504,4,,,0.0,2571.186176,2435.0,13.750000000000002,1680785279.0,,,0.02400000000000091,0.0
18.25,2.654208,,0.0,,,2030.256128,4189.0,,679.0,,,0.0,1695.387648,33.0,0.0,,29065.678848,7.9,181.399552,0.0,0.0,,,0.018000000000029104,18.0,6,,4431.0,,0.049021985445072136,9.625,10121.17504,5,,,0.0,2571.186176,2623.0,13.750000000000002,1680785280.0,,,0.031999999999982265,0.0
17.875,2.654208,,0.0,,,2393.43616,4456.0,,679.0,,,0.0,2060.26752,35.0,0.05444653052751473,,28702.498816,9.0,183.955456,0.0,0.02003740849149945,,,0.8339999999998327,137.0,7,,4941.0,,14.761577191197008,9.625,10221.858816,6,,,0.0,2671.869952,2854.0,13.750000000000002,1680785281.0,,,0.07200000000000273,0.0
17.875,2.654208,,0.0,,,2898.39104,4607.0,,679.0,,,0.0,2564.07552,36.0,0.0027767032415614993,,28197.53984,10.6,183.955456,0.0,0.012598892012327882,,,0.8360000000002401,139.0,8,,5347.0,,0.00817052907611537,9.625,10726.043648,7,,,0.0,3176.054784,3055.0,13.750000000000002,1680785282.0,,,0.07999999999998408,0.0
17.875,2.654208,,0.0,,,3395.03104,4737.0,,679.0,,,0.0,3059.642368,42.0,0.041632996648420455,,27700.89984,12.2,183.955456,0.0,0.007348407417846038,,,0.8360000000002401,140.0,9,,5721.0,,0.004085108142386689,9.625,11221.581824,8,,,0.0,3671.59296,3205.0,13.750000000000002,1680785283.0,,,0.08399999999997476,0.0
17.875,2.654208,,0.0,,,3438.907392,4863.0,,679.0,,,0.0,3103.612928,45.0,0.0,,27657.023488,12.4,183.955456,0.0,0.0,,,0.8370000000004438,141.0,10,,6106.0,,0.004085372373683954,9.625,11263.533056,9,,,0.0,3713.544192,3386.0,13.750000000000002,1680785284.0,,,0.08799999999999386,0.0
