03_hivemind/epoch_based_sps,04_peers/peer_1_samples_accumulated,03_hivemind/num_peers,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/epoch_s,03_hivemind/num_clients,03_hivemind/global_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/eta_next_epoch_s,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_step,_timestamp,03_hivemind/overshot_TBS,04_peers/peer_2_samples_accumulated,04_peers/peer_1_samples_per_second,_runtime,03_hivemind/reached_TBS
,9280.0,2,0.0,0.0,239.41,0,,0.0,0.5,,0,16416,0.0,0.0,,18441,,477.4391897337842,477.4391897337842,33,1680689107.0,,7136.0,238.03,80,
,9280.0,2,0.0,0.0,239.41,1,,0.0,10.0,,0,512,0.0,34.32,,570,,460.7990744258834,460.7990744258834,34,1680689108.0,,7136.0,238.03,81,
376.90516271677706,256.0,2,1.0,0.0,230.29,1,0.0,0.0,10.0,43.55472310772166,0,1056,1.0,32.44,16416.0,1138,16416.0,470.0142578853173,470.0142578853173,35,1680689109.0,1.0,256.0,230.51,82,0.0
,512.0,2,1.0,0.0,236.43,1,,0.0,10.0,,0,1632,1.0,31.0,,1704,,473.5792568495309,473.5792568495309,36,1680689111.0,,544.0,233.59,84,
,800.0,2,1.0,0.0,238.27,1,,0.0,10.0,,0,2208,1.0,29.75,,2268,,474.4597281325679,474.4597281325679,37,1680689112.0,,832.0,235.31,85,
,1088.0,2,1.0,0.0,238.92,1,,0.0,10.0,,0,2752,1.0,28.52,,2831,,475.2100332699516,475.2100332699516,38,1680689113.0,,1120.0,235.54,86,
,1376.0,2,1.0,0.0,239.82,1,,0.0,10.0,,0,3296,1.0,27.31,,3396,,475.49252792551965,475.49252792551965,39,1680689114.0,,1376.0,235.39,87,
,1632.0,2,1.0,0.0,239.58,1,,0.0,10.0,,0,3872,1.0,26.13,,3962,,475.44218666538706,475.44218666538706,40,1680689115.0,,1664.0,235.91,88,
,1920.0,2,1.0,0.0,239.71,1,,0.0,9.96,,0,4448,1.0,24.9,,4530,,476.02009632364314,476.02009632364314,41,1680689117.0,,1952.0,235.73,90,
,2208.0,2,1.0,0.0,239.84,1,,0.0,9.5,,0,5024,1.0,23.75,,5095,,475.2994894264467,475.2994894264467,42,1680689118.0,,2240.0,236.18,91,
