03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
676,47.06822604472118,1,672,0,681.81,37,0,10.0,47.06822604472118,1682817811,0,,,,,,,,,,,,,,,,,,,
2148,988.6194731445617,1,2048,1,30.97,38,0,7.74,988.6194731445617,1682817812,0,672.0,0.0,47.07,0.0,,,,,,,,,,,,,,,
3649,1261.8840810818492,1,3520,2,23.08,39,0,5.77,1261.8840810818492,1682817813,0,2048.0,0.0,988.62,0.0,,,,,,,,,,,,,,,
5010,1259.7422159708874,1,4896,3,22.03,40,0,5.51,1259.7422159708874,1682817814,0,3520.0,0.0,1261.88,0.0,,,,,,,,,,,,,,,
5961,665.7180205130876,1,5888,4,40.27,41,0,10.0,665.7180205130876,1682817815,0,4896.0,0.0,1259.74,0.0,,,,,,,,,,,,,,,
9841,931.144642468607,1,6944,5,24.62,46,0,6.16,931.144642468607,1682817820,0,5888.0,0.0,665.72,0.0,,,,,,,,,,,,,,,
12888,2131.2925036926317,3,12640,6,9.33,47,0,4.66,2131.2925036926317,1682817821,0,6944.0,0.0,931.14,0.0,,,,,,,,,,,,,,,
16708,3007.0775093747466,3,16288,7,5.34,48,0,2.67,3007.0775093747466,1682817822,0,11424.0,0.0,1266.3,0.0,428.55,608.0,0.0,0.0,0.0,608.0,0.0,436.45,,,,,,,
20951,3616.2325658758655,3,20512,8,3.27,49,0,1.63,3616.2325658758655,1682817823,0,12160.0,0.0,619.49,0.0,1194.7,2080.0,0.0,0.0,0.0,2048.0,0.0,1192.89,,,,,,,
24643,3306.4119352335683,3,24288,9,2.46,50,0,1.23,3306.4119352335683,1682817824,0,13440.0,0.0,1125.1,0.0,1250.54,3552.0,0.0,0.0,0.0,3520.0,0.0,1240.59,,,,,,,
28792,2915.68658180274,3,28384,10,1.36,52,0,0.68,2915.68658180274,1682817826,0,14816.0,0.0,1211.42,0.0,1160.86,4672.0,0.0,0.0,0.0,4800.0,0.0,934.13,,,,,,,
31932,3039.8286724558347,3,31584,11,0.28,53,0,0.5,3039.8286724558347,1682817827,0,16160.0,0.0,967.93,0.0,1043.31,6016.0,0.0,0.0,0.0,6208.0,0.0,904.45,,,,,,,
35786,3159.800632956789,3,33600,12,0.0,54,0,0.5,3159.800632956789,1682817828,0,17280.0,0.0,1077.31,0.0,867.84,7136.0,0.0,0.0,0.0,7168.0,0.0,1094.68,,,,,,,
39800,3303.4298031716544,3,33984,13,0.0,55,0,0.5,3303.4298031716544,1682817829,0,18400.0,0.0,919.64,0.0,1117.11,7552.0,0.0,0.0,0.0,7648.0,0.0,1123.04,,,,,,,
43762,3303.4298031716544,3,33984,14,0.0,57,0,0.5,3303.4298031716544,1682817831,0,18784.0,0.0,1063.27,0.0,1117.11,7552.0,0.0,0.0,0.0,7648.0,0.0,1123.04,,,,,,,
