04_peers/peer_3_epoch,04_peers/peer_7_epoch_oos,04_peers/peer_8_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,04_peers/peer_8_samples_per_second,04_peers/peer_8_samples_accumulated,03_hivemind/num_clients,03_hivemind/undershot_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_3_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_4_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_7_samples_per_second,04_peers/peer_4_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_2_epoch,04_peers/peer_5_epoch,04_peers/peer_6_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_6_samples_accumulated,04_peers/peer_7_samples_accumulated,_step,_runtime,04_peers/peer_1_epoch,04_peers/peer_7_epoch,03_hivemind/global_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_6_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second,04_peers/peer_5_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_4_samples_per_second,04_peers/peer_6_samples_per_second,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_4_epoch,04_peers/peer_8_epoch,03_hivemind/overshot_TBS,04_peers/peer_5_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_accumulated
,,,10.0,,,,0,,,,5088,,,,,,1628.730305262164,1683051094.0,,,,,,,,0,74,,,0,,,16.86,,,,,5,,,,5304,1628.730305262164,,,,,,,
0.0,,,4.92,540.94,,,0,,0.0,521.77,8320,,0.0,,,64.0,2218.540487598556,1683051098.0,0.0,0.0,,0.0,1664.0,,,1,78,0.0,,0,0.0,,7.87,,531.43,64.0,,5,,23.25,,15308,2218.540487598556,0.0,,,0.0,11.34,1728.0,1568.0
0.0,,,2.8,547.53,,,0,,0.0,534.09,20256,,0.0,,,704.0,2713.637194654229,1683051100.0,0.0,0.0,,0.0,2304.0,,,2,80,0.0,,0,0.0,,4.47,,541.69,704.0,,5,,347.31,,20629,2713.637194654229,0.0,,,0.0,247.92,2400.0,2208.0
0.0,,,1.94,541.55,,,0,,0.0,540.31,23648,,0.0,,,3104.0,2708.313076672985,1683051101.0,0.0,0.0,,0.0,4704.0,,,3,81,0.0,,0,0.0,,3.1,,540.1,3104.0,,5,,545.59,,24362,2708.313076672985,0.0,,,0.0,546.09,4800.0,4544.0
0.0,,,0.77,545.19,,,0,,0.0,530.76,28800,,0.0,,,3776.0,3001.7206866051993,1683051102.0,0.0,0.0,,0.0,5344.0,,,4,82,0.0,,0,0.0,,1.06,,540.83,3872.0,,8,,544.89,,29572,3001.7206866051993,0.0,,,0.0,546.63,5472.0,5184.0
0.0,0.0,0.0,0.5,543.56,129.49,320.0,0,,0.0,531.0,33504,,0.0,,146.3,4512.0,3640.513630059046,1683051104.0,0.0,0.0,0.0,0.0,6176.0,704.0,352.0,5,84,0.0,0.0,0,0.0,0.0,0.0,,541.57,4608.0,,8,,545.86,26.95,35580,3640.513630059046,0.0,0.0,,0.0,537.01,6208.0,5920.0
0.0,0.0,0.0,0.5,545.25,400.12,896.0,0,,0.0,531.53,33760,,0.0,,380.95,5088.0,3639.1405539056245,1683051105.0,0.0,0.0,0.0,0.0,6656.0,1312.0,896.0,6,85,0.0,0.0,0,0.0,0.0,0.0,,536.73,5376.0,,8,,544.24,160.99,40751,3639.1405539056245,0.0,0.0,,0.0,540.71,6784.0,6496.0
0.0,0.0,0.0,0.5,545.25,400.12,896.0,0,,0.0,531.53,33760,,0.0,,380.95,5088.0,3639.1405539056245,1683051107.0,0.0,0.0,0.0,0.0,6656.0,1312.0,896.0,7,87,0.0,0.0,0,0.0,0.0,0.0,,536.73,5632.0,,8,,544.24,160.99,45920,3639.1405539056245,0.0,0.0,,0.0,539.34,6784.0,6496.0
0.0,0.0,0.0,0.5,545.25,400.12,896.0,0,,0.0,531.53,33760,,0.0,,380.95,5088.0,3639.1405539056245,1683051108.0,0.0,0.0,0.0,0.0,6656.0,1312.0,896.0,8,88,0.0,0.0,0,0.0,0.0,0.0,,536.73,5632.0,,8,,544.24,160.99,51078,3639.1405539056245,0.0,0.0,,0.0,539.34,6784.0,6496.0
0.0,0.0,0.0,0.5,545.25,400.12,896.0,0,,0.0,531.53,33760,,0.0,,380.95,5088.0,3639.1405539056245,1683051109.0,0.0,0.0,0.0,0.0,6656.0,1312.0,896.0,9,89,0.0,0.0,0,0.0,0.0,0.0,,536.73,5632.0,,8,,544.24,160.99,56172,3639.1405539056245,0.0,0.0,,0.0,539.34,6784.0,6496.0
0.0,0.0,0.0,5.04,545.25,400.12,896.0,0,,0.0,531.53,4448,,0.0,,380.95,5088.0,3996.264013969023,1683051111.0,0.0,0.0,0.0,0.0,6656.0,1312.0,896.0,10,91,0.0,0.0,1,0.0,0.0,6.92,,536.73,5632.0,,8,,544.24,160.99,5101,3996.264013969023,0.0,0.0,,0.0,539.34,6784.0,6496.0
