03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
483,22.263521769210524,1,480,0,1450.11,37,0,10.0,22.263521769210524,1682818029,0,,,,,,,,,,,,,,,,,,,
1704,176.64648561651305,1,1152,1,175.85,41,0,10.0,176.64648561651305,1682818033,0,480.0,0.0,22.26,0.0,,,,,,,,,,,,,,,
3661,601.5197857992566,3,3584,2,48.39,42,0,10.0,601.5197857992566,1682818034,0,1152.0,0.0,176.65,0.0,,,,,,,,,,,,,,,
5731,1272.601410250694,3,5568,3,21.25,43,0,10.0,1272.601410250694,1682818035,0,3424.0,0.0,541.38,0.0,11.11,128.0,0.0,0.0,0.0,32.0,0.0,49.03,,,,,,,
7706,1580.5378480947943,3,7488,4,15.86,45,0,7.93,1580.5378480947943,1682818037,0,4064.0,0.0,541.44,0.0,342.6,800.0,0.0,0.0,0.0,704.0,0.0,388.56,,,,,,,
9652,1628.3827980256328,3,9440,5,14.2,46,0,7.1,1628.3827980256328,1682818038,0,4704.0,0.0,541.67,0.0,511.62,1440.0,0.0,0.0,0.0,1344.0,0.0,527.25,,,,,,,
11825,1609.2263707216398,3,11616,6,13.01,47,0,6.51,1609.2263707216398,1682818039,0,5344.0,0.0,537.46,0.0,540.63,2112.0,0.0,0.0,0.0,1984.0,0.0,550.29,,,,,,,
13777,1627.0878761825825,3,13568,7,11.67,48,0,5.84,1627.0878761825825,1682818040,0,6048.0,0.0,522.71,0.0,540.76,2848.0,0.0,0.0,0.0,2720.0,0.0,545.76,,,,,,,
15684,1595.617128114293,3,15488,8,10.71,49,0,5.35,1595.617128114293,1682818041,0,6720.0,0.0,540.98,0.0,539.2,3488.0,0.0,0.0,0.0,3360.0,0.0,546.9,,,,,,,
17539,1577.179599116026,3,17312,9,9.66,51,0,4.83,1577.179599116026,1682818043,0,7360.0,0.0,542.11,0.0,510.2,4160.0,0.0,0.0,0.0,3968.0,0.0,543.31,,,,,,,
19483,1611.6692289929097,3,19264,10,8.24,52,0,4.12,1611.6692289929097,1682818044,0,8000.0,0.0,539.38,0.0,487.85,4800.0,0.0,0.0,0.0,4512.0,0.0,549.95,,,,,,,
21450,1630.5554994789852,3,21152,11,6.94,53,0,3.47,1630.5554994789852,1682818045,0,8640.0,0.0,535.35,0.0,527.21,5472.0,0.0,0.0,0.0,5152.0,0.0,549.11,,,,,,,
23345,1621.1644358570352,3,23136,12,5.81,54,0,2.91,1621.1644358570352,1682818046,0,9280.0,0.0,539.82,0.0,540.4,6112.0,0.0,0.0,0.0,5760.0,0.0,550.33,,,,,,,
25286,1623.31850582997,3,25056,13,4.61,55,0,2.3,1623.31850582997,1682818047,0,9952.0,0.0,539.82,0.0,531.09,6784.0,0.0,0.0,0.0,6400.0,0.0,550.25,,,,,,,
27243,1629.3648029406481,3,27008,14,3.39,57,0,1.7,1629.3648029406481,1682818049,0,10592.0,0.0,542.34,0.0,534.41,7424.0,0.0,0.0,0.0,7040.0,0.0,546.57,,,,,,,
29178,1623.2515024927068,3,28928,15,2.21,58,0,1.11,1623.2515024927068,1682818050,0,11232.0,0.0,543.13,0.0,536.18,8096.0,0.0,0.0,0.0,7680.0,0.0,550.05,,,,,,,
31070,1598.6508676989822,3,30880,16,1.06,59,0,0.53,1598.6508676989822,1682818051,0,11872.0,0.0,541.03,0.0,533.27,8736.0,0.0,0.0,0.0,8320.0,0.0,548.96,,,,,,,
