disk/time/disk_write_time_sys_s,01_general/dataset_iteration_count,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/disk_write_sys_bandwidth_MBs,cpu/logical_core_count,02_timing/backward_time_s,02_timing/opt_step_time_s,memory/available_memory_sys_MB,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,_timestamp,02_timing/forward_time_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_fifteen_min_percent,cpu/interrupts/interrupts_count,cpu/interrupts/ctx_switches_count,disk/counter/disk_write_sys_count,01_general/locally_processed_samples,cpu/load/avg_sys_load_one_min_percent,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,03_hivemind/global_epoch,memory/used_memory_sys_MB,disk/counter/disk_read_sys_count,process/memory/lib_memory_proc_MB,01_general/minibatch_loss,memory/total_memory_sys_MB,memory/used_memory_sys_percent,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/dataload_time_s,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,process/memory/dirty_pages_proc_count,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,01_general/step,02_timing/loss_calc_time_s,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,03_hivemind/num_peers,process/memory/shared_memory_proc_MB,process/memory/virtual_memory_size_proc_MB,_step,_runtime,01_general/lr,02_timing/step_time_s
,,,,30.0,,,,,,1681398587.0,,,,,,,,,,,,,,,,211076.599808,,,,,,,,,,,,,,,,0,0,,
0.0,,0.0,0.0,,,,208154.714112,0.21937518863763,0.7666666666666667,1681398587.0,,,1.5666666666666667,28.0,20.0,0.0,,0.03333333333333333,395.329536,2.719744,,1172.488192,0.0,2481.02912,,,1.4,0.2459661293880015,,0.0,0.0,0.0,85.0,0.0,,,133.0,18.0,,179.15904,9963.39712,1,0,,
0.002000000000066393,,0.0,0.2082772221409226,,,,208022.331392,0.37580351260902456,0.7666666666666667,1681398588.0,,,1.5666666666666667,2924.0,3090.0,5.0,,0.03333333333333333,397.9264,2.719744,,1304.911872,0.0,2489.552896,,,1.4,0.9655394460711645,,0.011999999999972033,0.0,0.0,85.0,0.0,,,144.0,1303.0,,181.665792,10038.902784,2,1,,
0.002000000000066393,,0.0,0.004083656448052922,,,,208019.800064,0.01822491208072564,0.7666666666666667,1681398589.0,,,1.5666666666666667,3480.0,3713.0,6.0,,0.03333333333333333,397.930496,2.719744,,1307.435008,0.0,2489.565184,,,1.4,0.024286589675322774,,0.015999999999991132,0.0,0.0,85.0,0.0,,,144.0,1757.0,,181.665792,10038.902784,3,2,,
0.0030000000000427463,,0.0,0.004085033344194162,,,,208019.546112,0.08964733336608137,0.7666666666666667,1681398590.0,,,1.5333333333333334,3936.0,4406.0,7.0,,0.0,397.930496,2.719744,,1307.693056,0.0,2489.56928,,,1.4,0.08576974314098389,,0.01999999999998181,0.0,0.0,85.0,0.0,,,144.0,2033.0,,181.665792,10038.902784,4,3,,
0.004000000000019099,,0.0,0.02043494309497017,,,,207612.862464,0.06480112034496548,0.7666666666666667,1681398591.0,,,1.5333333333333334,4710.0,5208.0,11.0,,0.0,801.058816,2.719744,,1714.368512,0.0,2904.981504,,,1.6,0.0567309142707242,,0.027999999999991587,0.0,0.0,85.0,0.0,,,154.0,2382.0,,184.090624,10521.2928,5,4,,
0.0049999999999954525,,0.0,0.004086837927015407,,,,207212.670976,0.12284460084779784,0.7666666666666667,1681398592.0,,,1.5333333333333334,13001.0,9739.0,12.0,,0.0,1196.72832,2.719744,,2114.568192,0.0,3538.808832,,,1.8,0.07017068785211482,,0.031999999999982265,0.0,0.0,86.0,0.0,,,213.0,5326.0,,186.253312,13097.476096,6,5,,
0.008000000000038199,,0.0,0.11850939120203331,,,,206626.480128,0.09097319779020112,0.7666666666666667,1681398593.0,,,1.5333333333333334,18252.0,12930.0,15.0,,0.0,1863.245824,2.719744,,2690.33472,0.0,4045.881344,,,2.1,0.07929625551107163,,0.03999999999999204,0.0,0.0,86.0,0.0,,,249.0,7452.0,,355.864576,14277.668864,7,6,,
0.008000000000038199,,0.0,0.004086404372452705,,,,206325.37088,0.1738078670597041,0.7666666666666667,1681398594.0,,,1.5333333333333334,20867.0,15597.0,16.0,,0.0,2307.063808,2.719744,,2535.931904,0.0,3955.023872,,,2.3,0.15395847704973215,,0.04399999999998272,0.0,0.0,87.0,0.0,,,540.0,8639.0,,924.52864,16528.207872,8,7,,
0.008000000000038199,,0.0,0.0040780506795756654,,,,202796.433408,0.1187891560122924,2.433333333333333,1681398595.0,,,2.0666666666666664,967112.0,20759.0,17.0,,8.033333333333333,5254.025216,2.719744,,5374.386176,0.0,6224.535552,,,3.9,0.11109502132905512,,0.0479999999999734,0.0,0.0,330.0,0.0,,,630.0,11805.0,,1612.648448,22135.468032,9,8,,
0.008000000000038199,,0.0,0.004083928258084974,,,,201954.65216,0.30008098654358756,2.433333333333333,1681398596.0,,,2.0666666666666664,986873.0,24649.0,18.0,,8.033333333333333,5766.119424,2.719744,,5777.915904,0.0,6325.846016,,,4.3,4.967683955740726,,0.0519999999999925,0.0,0.0,484.0,0.0,,,652.0,15082.0,,2046.554112,22871.564288,10,9,,
0.009000000000014552,,0.0,0.004085317973957007,,,,200861.57312,0.7332986172990917,2.433333333333333,1681398597.0,,0.0028108500000598724,2.0666666666666664,994024.0,28889.0,19.0,,8.033333333333333,5904.359424,2.719744,,6769.483776,0.0,6326.120448,,,4.8,236.60028059688364,,0.055999999999983174,0.0,0.0,499.0,0.0,,,656.0,23024.0,,2184.695808,23051.685888,11,10,,
0.009999999999990905,,0.0,0.09808303685126069,,0.18747973300014564,0.038154312999722606,200012.374016,0.11867664323854073,2.433333333333333,1681398598.0,1.454723037999429,,2.0666666666666664,995369.0,30041.0,22.0,,8.033333333333333,6284.218368,2.719744,,7618.043904,0.0,6457.565184,,,5.2,0.07732979016663057,,0.06399999999999295,0.0,0.0,501.0,0.0,,0.00023175200021796627,679.0,23515.0,,2455.494656,31756.6976,12,11,,
,0.0,,,,,,,,,1681398598.0,,,,,,,32.0,,,,0.0,,,,7.1795654296875,,,,0.995544465000421,,,,,,0.0,,,,1.0,,,13,11,0.0001,2.678944150999996
,0.0,,,,0.1370874600006573,0.03856644200004666,,,,1681398599.0,0.016742980000344687,0.0030649750005977694,,,,,64.0,,,,0.0,,,,7.2235107421875,,,,0.0023871909997978946,,,,,,1.0,0.00034046599921566667,,,1.0,,,14,12,0.0001,0.19818951400065998
,0.0,,,,0.13757715999963693,0.038185439999324444,,,,1681398599.0,0.01652874800038262,0.0030802890005361405,,,,,96.0,,,,0.0,,,,7.1915283203125,,,,0.002470030000040424,,,,,,2.0,0.00033081699984904844,,,1.0,,,15,12,0.0001,0.1981724839997696
0.012000000000057298,,0.0,0.016348005037090288,,0.13871386099981464,0.038486557000396715,199993.372672,0.24297701427078952,2.433333333333333,1681398599.0,0.01651238700014801,0.0030739939993509324,2.0666666666666664,998193.0,32521.0,26.0,,8.033333333333333,6282.48576,2.719744,,7636.992,0.0,6457.565184,,,5.3,75.77045694291716,,0.07999999999998408,0.0,0.0,513.0,0.0,,0.00037931899987597717,737.0,26308.0,,2453.663744,31756.6976,16,12,,
,0.0,,,,,,,,,1681398599.0,,,,,,,128.0,,,,0.0,,,,7.15283203125,,,,0.0024740809994909796,,,,,,3.0,,,,1.0,,,17,12,0.0001,0.19964019899907726
,0.0,,,,0.13728727900070226,0.03838711600019451,,,,1681398600.0,0.016611594999631052,0.0030066239996813238,,,,,160.0,,,,0.0,,,,7.035400390625,,,,0.0024094850004985346,,,,,,4.0,0.0004099019997738651,,,1.0,,,18,13,0.0001,0.19811200100048154
,0.0,,,,0.13757591299963678,0.03899699100020371,,,,1681398600.0,0.016580366999733087,0.003056061000279442,,,,,192.0,,,,0.0,,,,7.1494140625,,,,0.0025282269998569973,,,,,,5.0,0.00038808000044809887,,,1.0,,,19,13,0.0001,0.19912563900015812
0.013000000000033651,,0.0,0.01634757335056151,,0.13989054699959524,0.03840407600000617,199986.33984,0.35524841416764485,2.5,1681398600.0,0.016610298000159673,0.003070840999498614,2.1,1001521.0,35064.0,30.0,,7.9,6282.56768,2.719744,,7644.069888,0.0,6457.827328,,,5.3,92.56125345768847,,0.09599999999997522,0.0,0.0,527.0,0.0,,0.0003844319999188883,781.0,30107.0,,2453.66784,31756.959744,20,13,,
,0.0,,,,,,,,,1681398600.0,,,,,,,224.0,,,,0.0,,,,7.2816162109375,,,,0.0025160479999613017,,,,,,6.0,,,,1.0,,,21,13,0.0001,0.2008762419991399
,0.0,,,,0.13940903700040508,0.03880644399941957,,,,1681398601.0,0.016576789999817265,0.0030355349999808823,,,,,256.0,,,,0.0,,,,7.1248779296875,,,,0.0025826310002230457,,,,,,7.0,0.0004412420003063744,,,1.0,,,22,14,0.0001,0.20085167900015222
,0.0,,,,0.13827994799976295,0.03848885000024893,,,,1681398601.0,0.016493737000018882,0.003048619999390212,,,,,288.0,,,,0.0,,,,7.3597412109375,,,,0.0024055889998635394,,,,,,8.0,0.00038459299958049087,,,1.0,,,23,14,0.0001,0.199101336998865
0.014000000000010004,,0.0,0.016348759558305462,,0.13718798299942137,0.03875441200034402,199986.323456,0.29054970779201406,2.5,1681398601.0,0.016496340000230703,0.0030207230001906282,2.1,1004928.0,37580.0,34.0,,7.9,6282.56768,2.719744,,7644.110848,0.0,6457.827328,,,5.3,90.13534943488135,,0.11199999999999477,0.0,0.0,543.0,0.0,,0.0003878879997500917,832.0,34056.0,,2453.663744,31756.96384,24,14,,
,0.0,,,,,,,,,1681398601.0,,,,,,,320.0,,,,0.0,,,,6.9808349609375,,,,0.0027461780000521685,,,,,,9.0,,,,1.0,,,25,14,0.0001,0.19859352399998897
,0.0,,,,0.138602125000034,0.03883512699940184,,,,1681398602.0,0.016679719000421755,0.0030386440002985182,,,,,352.0,,,,0.0,,,,7.1771240234375,,,,0.002606656000352814,,,,,,10.0,0.0003954699996029376,,,1.0,,,26,15,0.0001,0.20015774100011186
,0.0,,,,0.13863292000041838,0.03874339499998314,,,,1681398602.0,0.017108652999922924,0.003188401000443264,,,,,384.0,,,,0.0,,,,7.3497314453125,,,,0.0024781920001260005,,,,,,11.0,0.0003966189997299807,,,1.0,,,27,15,0.0001,0.2005481800006237
0.01700000000005275,,0.0,0.08174224202096914,,0.13913024199973734,0.03838404599991918,199981.54752,0.3852901419303901,2.5,1681398602.0,0.016915864999646146,0.0030237529999794788,2.1,1008566.0,40196.0,41.0,,7.9,6282.571776,2.719744,,7648.821248,0.0,6457.827328,,,5.3,94.26716512764237,,0.1279999999999859,0.0,0.0,557.0,0.0,,0.0003790809996644384,883.0,38415.0,,2453.66784,31756.96384,28,15,,
,0.0,,,,,,,,,1681398602.0,,,,,,,416.0,,,,0.0,,,,7.1239013671875,,,,0.0025118610001300112,,,,,,12.0,,,,1.0,,,29,15,0.0001,0.2003448479990766
,0.0,,,,0.13929888199982088,0.03896937999979855,,,,1681398603.0,0.016387947999646713,0.003060838000237709,,,,,448.0,,,,0.0,,,,7.11328125,,,,0.0024935170004027896,,,,,,13.0,0.0003881410002577468,,,1.0,,,30,16,0.0001,0.20059870600016438
,0.0,,,,0.13932359299997188,0.038533543000085047,,,,1681398603.0,0.016537492000679777,0.0031368230002044584,,,,,480.0,,,,0.0,,,,7.450927734375,,,,0.0024289259999932256,,,,,,14.0,0.00037845999941055197,,,1.0,,,31,16,0.0001,0.20033883700034494
0.018000000000029104,,0.0,0.01634886457451125,,0.13944280200030335,0.03873485199983406,199979.696128,0.2766933569153081,2.5,1681398603.0,0.016656952000630554,0.003112344999863126,2.1,1012028.0,42869.0,45.0,,7.9,6282.575872,2.719744,,7650.701312,0.0,6457.827328,,,5.3,85.69990190613069,,0.14399999999997704,0.0,0.0,570.0,0.0,,0.00038639800004602876,925.0,42351.0,,2453.663744,31756.96384,32,16,,
