03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
584,28.733388503147555,1,576,0,1120.1,50,0,10.0,28.733388503147555,1683049501,0,,,,,,,,,,,,,,,,,,,,,,,
911,73.52662160794878,1,896,1,433.27,51,0,10.0,73.52662160794878,1683049502,0,576.0,0.0,28.73,0.0,,,,,,,,,,,,,,,,,,,
1234,138.91966631983217,1,1216,2,226.99,52,0,10.0,138.91966631983217,1683049503,0,896.0,0.0,73.53,0.0,,,,,,,,,,,,,,,,,,,
1574,197.14492876478147,1,1536,3,158.23,54,0,10.0,197.14492876478147,1683049505,0,1216.0,0.0,138.92,0.0,,,,,,,,,,,,,,,,,,,
1884,230.2509549320436,1,1856,4,134.13,55,0,10.0,230.2509549320436,1683049506,0,1536.0,0.0,197.14,0.0,,,,,,,,,,,,,,,,,,,
2531,309.6933639045525,3,2464,5,97.64,56,0,10.0,309.6933639045525,1683049507,0,1856.0,0.0,230.25,0.0,,,,,,,,,,,,,,,,,,,
3654,507.80586082128383,4,3584,6,57.33,57,0,10.0,507.80586082128383,1683049508,0,2144.0,0.0,243.46,0.0,31.47,160.0,0.0,0.0,0.0,160.0,0.0,34.77,,,,,,,,,,,
4897,728.3925573957623,4,4768,7,38.26,59,0,10.0,728.3925573957623,1683049510,0,2464.0,0.0,248.99,0.0,103.69,480.0,0.0,0.0,0.0,448.0,0.0,112.04,43.08,192.0,0.0,0.0,,,,,,,
6148,884.9329526588509,4,5984,8,30.08,60,0,10.0,884.9329526588509,1683049511,0,2752.0,0.0,251.12,0.0,178.65,768.0,0.0,0.0,0.0,768.0,0.0,178.64,119.98,480.0,0.0,0.0,,,,,,,
7379,959.375470964784,4,7200,9,26.46,61,0,10.0,959.375470964784,1683049512,0,3040.0,0.0,251.68,0.0,219.99,1088.0,0.0,0.0,0.0,1056.0,0.0,222.99,190.28,800.0,0.0,0.0,,,,,,,
8605,993.0696578041413,4,8480,10,24.33,62,0,10.0,993.0696578041413,1683049513,0,3360.0,0.0,251.84,0.0,240.9,1376.0,0.0,0.0,0.0,1376.0,0.0,240.93,225.7,1088.0,0.0,0.0,,,,,,,
9828,1004.7069221303062,4,9664,11,22.83,63,0,10.0,1004.7069221303062,1683049514,0,3680.0,0.0,252.31,0.0,249.0,1696.0,0.0,0.0,0.0,1696.0,0.0,249.25,242.5,1408.0,0.0,0.0,,,,,,,
11049,1009.7292277781496,4,10880,12,21.51,65,0,10.0,1009.7292277781496,1683049516,0,3968.0,0.0,251.88,0.0,251.88,2016.0,0.0,0.0,0.0,1984.0,0.0,252.0,248.95,1696.0,0.0,0.0,,,,,,,
12267,1011.0280315446596,4,12096,13,20.28,66,0,10.0,1011.0280315446596,1683049517,0,4256.0,0.0,251.44,0.0,253.59,2304.0,0.0,0.0,0.0,2304.0,0.0,252.96,251.73,2016.0,0.0,0.0,,,,,,,
13489,1011.5293166105282,4,13312,14,19.06,67,0,10.0,1011.5293166105282,1683049518,0,4576.0,0.0,250.92,0.0,253.84,2624.0,0.0,0.0,0.0,2592.0,0.0,253.37,252.91,2304.0,0.0,0.0,,,,,,,
14704,1010.3180399572476,4,14528,15,17.88,68,0,10.0,1010.3180399572476,1683049519,0,4864.0,0.0,250.87,0.0,254.09,2912.0,0.0,0.0,0.0,2912.0,0.0,253.35,253.22,2624.0,0.0,0.0,,,,,,,
15916,1010.0160474346173,4,15744,16,16.69,69,0,9.53,1010.0160474346173,1683049520,0,5184.0,0.0,250.76,0.0,252.94,3232.0,0.0,0.0,0.0,3200.0,0.0,253.22,253.4,2912.0,0.0,0.0,,,,,,,
17127,1009.8566762369697,4,16960,17,15.49,71,0,8.85,1009.8566762369697,1683049522,0,5472.0,0.0,250.48,0.0,253.51,3520.0,0.0,0.0,0.0,3520.0,0.0,252.91,253.13,3232.0,0.0,0.0,,,,,,,
18437,1011.086378455858,4,18176,18,14.17,72,0,8.1,1011.086378455858,1683049523,0,5792.0,0.0,251.09,0.0,252.81,3840.0,0.0,0.0,0.0,3808.0,0.0,252.89,253.07,3520.0,0.0,0.0,,,,,,,
19658,1011.9465037220557,4,19456,19,12.96,73,0,7.4,1011.9465037220557,1683049524,0,6080.0,0.0,251.83,0.0,252.94,4128.0,0.0,0.0,0.0,4128.0,0.0,252.9,253.41,3840.0,0.0,0.0,,,,,,,
20872,1010.012308835761,4,20736,20,11.78,74,0,6.73,1010.012308835761,1683049525,0,6400.0,0.0,252.02,0.0,253.59,4448.0,0.0,0.0,0.0,4448.0,0.0,252.69,253.64,4160.0,0.0,0.0,,,,,,,
22079,1009.4259957624765,4,21888,21,10.59,76,0,6.05,1009.4259957624765,1683049527,0,6720.0,0.0,251.24,0.0,252.82,4768.0,0.0,0.0,0.0,4768.0,0.0,252.59,253.36,4480.0,0.0,0.0,,,,,,,
23292,1007.5091539727011,4,23136,22,9.41,77,0,5.37,1007.5091539727011,1683049528,0,7008.0,0.0,251.38,0.0,252.26,5056.0,0.0,0.0,0.0,5056.0,0.0,252.63,253.17,4768.0,0.0,0.0,,,,,,,
24501,1007.2708195356076,4,24320,23,8.21,78,0,4.69,1007.2708195356076,1683049529,0,7328.0,0.0,251.65,0.0,249.92,5376.0,0.0,0.0,0.0,5344.0,0.0,253.02,252.92,5088.0,0.0,0.0,,,,,,,
25720,1009.1427003044302,4,25568,24,6.98,79,0,3.99,1009.1427003044302,1683049530,0,7616.0,0.0,251.68,0.0,250.08,5664.0,0.0,0.0,0.0,5664.0,0.0,252.83,252.68,5376.0,0.0,0.0,,,,,,,
26927,1009.9126580041456,4,26752,25,5.78,80,0,3.31,1009.9126580041456,1683049531,0,7936.0,0.0,251.54,0.0,251.59,5984.0,0.0,0.0,0.0,5952.0,0.0,253.23,252.78,5696.0,0.0,0.0,,,,,,,
28135,1010.2814445869296,4,27968,26,4.59,82,0,2.62,1010.2814445869296,1683049533,0,8224.0,0.0,251.46,0.0,251.74,6272.0,0.0,0.0,0.0,6272.0,0.0,253.36,253.35,5984.0,0.0,0.0,,,,,,,
29349,1009.570995925832,4,29184,27,3.39,83,0,1.93,1009.570995925832,1683049534,0,8512.0,0.0,251.37,0.0,252.72,6592.0,0.0,0.0,0.0,6560.0,0.0,253.01,253.18,6304.0,0.0,0.0,,,,,,,
30560,1009.2508789320239,4,30400,28,2.19,84,0,1.25,1009.2508789320239,1683049535,0,8832.0,0.0,250.95,0.0,253.0,6880.0,0.0,0.0,0.0,6880.0,0.0,252.47,253.16,6592.0,0.0,0.0,,,,,,,
31772,1007.186306708029,4,31616,29,0.99,85,0,0.57,1007.186306708029,1683049536,0,9120.0,0.0,250.8,0.0,252.93,7200.0,0.0,0.0,0.0,7168.0,0.0,253.01,252.51,6912.0,0.0,0.0,,,,,,,
32981,1007.3049847613747,4,32832,30,0.0,86,0,0.5,1007.3049847613747,1683049537,0,9440.0,0.0,250.75,0.0,250.07,7488.0,0.0,0.0,0.0,7488.0,0.0,253.2,253.16,7200.0,0.0,0.0,,,,,,,
34198,1007.3049847613747,4,32832,31,0.0,88,0,0.5,1007.3049847613747,1683049539,0,9728.0,0.0,251.05,0.0,250.17,7808.0,0.0,0.0,0.0,7776.0,0.0,253.21,252.87,7520.0,0.0,0.0,,,,,,,
35406,1007.3049847613747,4,32832,32,0.0,89,0,0.5,1007.3049847613747,1683049540,0,9728.0,0.0,251.05,0.0,250.17,7808.0,0.0,0.0,0.0,7776.0,0.0,253.21,252.87,7520.0,0.0,0.0,,,,,,,
36619,1007.3049847613747,4,32832,33,0.0,90,0,0.5,1007.3049847613747,1683049541,0,9728.0,0.0,251.05,0.0,250.17,7808.0,0.0,0.0,0.0,7776.0,0.0,253.21,252.87,7520.0,0.0,0.0,,,,,,,
37836,1007.3049847613747,4,32832,34,0.0,91,0,0.5,1007.3049847613747,1683049542,0,9728.0,0.0,251.05,0.0,250.17,7808.0,0.0,0.0,0.0,7776.0,0.0,253.21,252.87,7520.0,0.0,0.0,,,,,,,
39044,1007.3049847613747,4,32832,35,0.0,92,0,0.5,1007.3049847613747,1683049543,0,9728.0,0.0,251.05,0.0,250.17,7808.0,0.0,0.0,0.0,7776.0,0.0,253.21,252.87,7520.0,0.0,0.0,,,,,,,
40245,1007.3049847613747,4,32832,36,0.0,94,0,0.5,1007.3049847613747,1683049545,0,9728.0,0.0,251.05,0.0,250.17,7808.0,0.0,0.0,0.0,7776.0,0.0,253.21,252.87,7520.0,0.0,0.0,,,,,,,
41455,1007.3049847613747,4,32832,37,0.0,95,0,0.5,1007.3049847613747,1683049546,0,9728.0,0.0,251.05,0.0,250.17,7808.0,0.0,0.0,0.0,7776.0,0.0,253.21,252.87,7520.0,0.0,0.0,,,,,,,
42663,1007.3049847613747,4,32832,38,0.0,96,0,0.5,1007.3049847613747,1683049547,0,9728.0,0.0,251.05,0.0,250.17,7808.0,0.0,0.0,0.0,7776.0,0.0,253.21,252.87,7520.0,0.0,0.0,,,,,,,
43868,1007.3049847613747,4,32832,39,0.0,97,0,0.5,1007.3049847613747,1683049548,0,9728.0,0.0,251.05,0.0,250.17,7808.0,0.0,0.0,0.0,7776.0,0.0,253.21,252.87,7520.0,0.0,0.0,,,,,,,
45083,1007.3049847613747,4,32832,40,0.0,98,0,0.5,1007.3049847613747,1683049549,0,9728.0,0.0,251.05,0.0,250.17,7808.0,0.0,0.0,0.0,7776.0,0.0,253.21,252.87,7520.0,0.0,0.0,,,,,,,
1019,942.6547214323393,4,896,41,33.68,100,1,10.0,942.6547214323393,1683049551,0,9728.0,0.0,251.05,0.0,250.17,7808.0,0.0,0.0,0.0,7776.0,0.0,253.21,252.87,7520.0,0.0,0.0,,,,,,,
1963,870.5896627244035,4,1824,42,35.38,101,1,10.0,870.5896627244035,1683049552,0,224.0,1.0,240.16,0.0,232.56,224.0,1.0,0.0,1.0,224.0,0.0,235.58,234.36,224.0,1.0,0.0,49.46815504413098,0.0,32832.0,32832.0,0.0,663.6997068257403,1.0
3189,953.902010625739,4,3040,43,31.01,102,1,10.0,953.902010625739,1683049553,0,480.0,1.0,219.53,0.0,217.4,448.0,1.0,0.0,1.0,448.0,0.0,215.99,217.67,448.0,1.0,0.0,,,,,,,
4410,988.068454597968,4,4224,44,28.7,103,1,10.0,988.068454597968,1683049554,0,768.0,1.0,238.04,0.0,238.96,736.0,1.0,0.0,1.0,768.0,0.0,237.45,239.45,768.0,1.0,0.0,,,,,,,
5624,1001.66549675585,4,5472,45,27.1,104,1,10.0,1001.66549675585,1683049555,0,1056.0,1.0,246.13,0.0,247.02,1056.0,1.0,0.0,1.0,1056.0,0.0,247.56,247.36,1056.0,1.0,0.0,,,,,,,
6824,1005.8444432101103,4,6656,46,25.79,106,1,10.0,1005.8444432101103,1683049557,0,1376.0,1.0,249.54,0.0,250.1,1344.0,1.0,0.0,1.0,1376.0,0.0,251.04,250.98,1376.0,1.0,0.0,,,,,,,
8031,1007.9004790813499,4,7840,47,24.54,107,1,10.0,1007.9004790813499,1683049558,0,1664.0,1.0,250.39,0.0,251.23,1664.0,1.0,0.0,1.0,1664.0,0.0,252.29,251.93,1664.0,1.0,0.0,,,,,,,
9242,1009.1603260272531,4,9088,48,23.31,108,1,10.0,1009.1603260272531,1683049559,0,1984.0,1.0,250.8,0.0,251.99,1952.0,1.0,0.0,1.0,1952.0,0.0,252.6,252.51,1952.0,1.0,0.0,,,,,,,
