03_hivemind/overshot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_accumulated,03_hivemind/num_clients,03_hivemind/undershot_TBS,_step,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,_timestamp,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second,04_peers/peer_1_epoch,03_hivemind/global_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,_runtime,03_hivemind/eta_next_epoch_s,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_epoch_oos,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/epoch_s,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second
1.0,10.0,32.0,0,0.0,32,32.0,993.6876514959636,1680692898.0,1.0,0.0,32800.0,662.07,1.0,1152,1267,32800.0,81,31.7,993.6876514959636,0.0,2,0.0,40.10467057209462,1,817.8598535309424,600.85
,9.33,288.0,0,,33,864.0,1281.0515587609584,1680692899.0,1.0,0.0,,714.92,1.0,2752,2890,,82,23.32,1281.0515587609584,0.0,2,,,1,,278.77
,8.39,1088.0,0,,34,1664.0,1347.5445635280778,1680692900.0,1.0,0.0,,661.51,1.0,4384,4513,,83,20.97,1347.5445635280778,0.0,2,,,1,,619.55
,7.51,1952.0,0,,35,2432.0,1413.074601544309,1680692901.0,1.0,0.0,,660.04,1.0,6080,6251,,84,18.77,1413.074601544309,0.0,2,,,1,,687.5
,7.56,2816.0,0,,36,3264.0,1319.8453890081796,1680692903.0,1.0,0.0,,691.24,1.0,7648,7827,,86,18.9,1319.8453890081796,0.0,2,,,1,,721.83
,6.69,3616.0,0,,37,4032.0,1393.7365458617373,1680692904.0,1.0,0.0,,651.25,1.0,8928,9461,,87,16.72,1393.7365458617373,0.0,2,,,1,,668.59
,6.64,4448.0,0,,38,4480.0,1330.387170201819,1680692905.0,1.0,0.0,,684.16,1.0,10560,10698,,88,16.59,1330.387170201819,0.0,2,,,1,,709.58
,6.3,5312.0,0,,39,5248.0,1300.087947631366,1680692906.0,1.0,0.0,,609.53,1.0,12128,12282,,89,15.76,1300.087947631366,0.0,2,,,1,,720.86
,6.42,6144.0,0,,40,5984.0,1200.400913260029,1680692907.0,1.0,0.0,,625.56,1.0,13344,13492,,90,16.06,1200.400913260029,0.0,2,,,1,,674.53
,5.02,6912.0,0,,41,6432.0,1402.9410855301348,1680692909.0,1.0,0.0,,523.07,1.0,15008,15160,,92,12.55,1402.9410855301348,0.0,2,,,1,,677.33
,4.64,7712.0,0,,42,7296.0,1378.3218211086091,1680692910.0,1.0,0.0,,738.24,1.0,16608,16785,,93,11.6,1378.3218211086091,0.0,2,,,1,,664.7
,4.03,8448.0,0,,43,8160.0,1416.9522763962395,1680692911.0,1.0,0.0,,733.62,1.0,18368,18509,,94,10.06,1416.9522763962395,0.0,2,,,1,,644.7
,3.49,9312.0,0,,44,9056.0,1437.2576933336413,1680692912.0,1.0,0.0,,724.84,1.0,20064,20225,,95,8.73,1437.2576933336413,0.0,2,,,1,,692.11
,3.04,10176.0,0,,45,9888.0,1422.6491123386186,1680692913.0,1.0,0.0,,711.3,1.0,21792,21954,,96,7.6,1422.6491123386186,0.0,2,,,1,,725.95
,2.5,11040.0,0,,46,10752.0,1448.704478724664,1680692915.0,1.0,0.0,,719.6,1.0,23200,23698,,98,6.26,1448.704478724664,0.0,2,,,1,,703.04
,2.73,11552.0,0,,47,11648.0,1186.7049893210121,1680692916.0,1.0,0.0,,734.29,1.0,24512,24665,,99,6.83,1186.7049893210121,0.0,2,,,1,,714.41
,2.11,12064.0,0,,48,12448.0,1248.3901059232162,1680692917.0,1.0,0.0,,690.22,1.0,25600,26194,,100,5.27,1248.3901059232162,0.0,2,,,1,,496.48
,1.65,12352.0,0,,49,13248.0,1298.6115140107308,1680692918.0,1.0,0.0,,659.41,1.0,27264,27405,,101,4.13,1298.6115140107308,0.0,2,,,1,,588.98
,1.01,13152.0,0,,50,14112.0,1434.953318719986,1680692919.0,1.0,0.0,,692.56,1.0,28992,29157,,102,2.52,1434.953318719986,0.0,2,,,1,,606.05
,0.53,14016.0,0,,51,14976.0,1440.0658421583482,1680692920.0,1.0,0.0,,736.54,1.0,30688,30855,,103,1.33,1440.0658421583482,0.0,2,,,1,,698.41
,0.5,14816.0,0,,52,15872.0,1413.1030888574298,1680692922.0,1.0,0.0,,748.37,1.0,32352,32522,,105,0.17,1413.1030888574298,0.0,2,,,1,,691.7
,0.5,15648.0,0,,53,16704.0,1413.6335682827225,1680692923.0,1.0,0.0,,703.97,1.0,32800,34191,,106,0.0,1413.6335682827225,0.0,2,,,1,,709.14
,0.5,15872.0,0,,54,16928.0,1413.6335682827225,1680692924.0,1.0,0.0,,700.83,1.0,32800,35874,,107,0.0,1413.6335682827225,0.0,2,,,1,,712.81
,9.01,15872.0,0,,55,16928.0,1443.9443924308982,1680692925.0,1.0,0.0,,700.83,1.0,64,245,,108,22.52,1443.9443924308982,0.0,2,,,2,,712.81
2.0,10.0,32.0,0,0.0,56,32.0,1162.3259138289563,1680692926.0,2.0,0.0,65600.0,714.15,2.0,1504,1635,32800.0,109,26.78,1162.3259138289563,0.0,2,0.0,28.524241849780083,2,1149.8990989046351,729.79
,8.84,960.0,0,,57,544.0,1334.4440843514362,1680692928.0,2.0,0.0,,379.62,2.0,3040,3276,,111,22.1,1334.4440843514362,0.0,2,,,2,,782.71
,8.66,1824.0,0,,58,1216.0,1302.89903778516,1680692929.0,2.0,0.0,,630.25,2.0,4416,4559,,112,21.65,1302.89903778516,0.0,2,,,2,,704.19
,7.36,2624.0,0,,59,1792.0,1438.983189551438,1680692930.0,2.0,0.0,,601.45,2.0,6112,6288,,113,18.4,1438.983189551438,0.0,2,,,2,,701.45
,7.15,3488.0,0,,60,2624.0,1388.2537637551968,1680692931.0,2.0,0.0,,728.45,2.0,7776,7946,,114,17.88,1388.2537637551968,0.0,2,,,2,,710.53
