_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,8.0,31557.18144,1681384720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1681384720,5.625,0.0,0.0,702.918656,0.0,11.0,0.0,176.234496,0.0,401.42848,0.0,0.0,0.0,0.0,12.0,0.0,30393.028608,2.654208,84.0,0.0,1009.62304,0.0,19.0,3.7,2.0,8492.642304,29.0,,,,,,,,,,,,,,
2,2,,,1681384721,5.625,0.0,0.012000000000000455,855.334912,0.02449143650999348,2720.0,0.41286247754808336,178.614272,5.0,403.902464,0.0,0.0,0.0,0.0,1106.0,0.4052806559376623,30240.612352,2.654208,97.0,0.0039999999999054126,1018.146816,0.0,4148.0,4.2,2.0,8568.147968,29.0,,,,,,,,,,,,,,
3,3,,,1681384722,5.625,0.0,0.016000000000019554,856.875008,0.004082980966319516,2989.0,0.021890200611202604,178.614272,6.0,403.910656,0.0,0.0,0.0,0.0,1314.0,0.020678065748848742,30239.064064,2.654208,97.0,0.005000000000109139,1018.146816,0.0,4369.0,4.2,2.0,8568.147968,29.0,,,,,,,,,,,,,,
4,4,,,1681384723,5.625,0.0,0.020000000000010232,857.874432,0.0040854190026561555,3305.0,0.08866635941754811,178.614272,7.0,403.910656,0.0,0.0,0.0,0.0,1541.0,0.08242652015263677,30238.06464,2.654208,97.0,0.006000000000312866,1018.159104,0.0,4654.0,4.2,2.0,8568.147968,29.0,,,,,,,,,,,,,,
5,5,,,1681384724,5.625,0.0,0.03200000000001069,1090.904064,0.17568964547724406,3697.0,0.03455378652898352,181.235712,10.0,634.1632,0.0,0.0,0.0,0.0,1788.0,0.028480938625229026,30005.030912,2.654208,106.0,0.009000000000014552,1261.703168,0.0,5091.0,4.9,2.0,8878.669824,30.0,,,,,,,,,,,,,,
6,6,,,1681384725,5.625,0.0,0.040000000000020464,1657.7536,0.35135004498490874,4124.0,0.09170753239422297,181.235712,66.0,1197.60896,0.0,0.0,0.0,1.0,2311.0,0.0537573867117561,29438.189568,2.654208,107.0,0.0999999999994543,1819.83232,0.0,5839.0,6.7,2.125,9436.798976,33.0,,,,,,,,,,,,,,
7,7,,,1681384726,5.625,0.0,0.04400000000001114,1661.218816,0.004085533649287171,5370.0,0.125598241486752,182.874112,67.0,1201.586176,0.0,0.0,0.0,1.0,3625.0,0.9057596181200304,29434.683392,2.654208,107.0,0.10099999999965803,1845.706752,0.0,8117.0,6.7,2.125,9663.606784,35.0,,,,,,,,,,,,,,
8,8,,,1681384727,5.625,0.0,0.04800000000000182,2086.756352,0.004085213053663265,6072.0,0.11950843971847573,337.178624,68.0,1696.50176,0.0,0.0,0.0,1.0,4610.0,0.07661370259514289,28996.599808,2.654208,118.0,0.10199999999986176,2196.484096,0.0,9479.0,8.1,2.125,10419.085312,36.0,,,,,,,,,,,,,,
9,9,,,1681384728,5.625,0.0,0.05200000000002092,2839.334912,0.004084322450536379,6727.0,0.08457419256529379,460.84096,69.0,2567.33184,0.0,0.0,0.0,1.0,5106.0,0.09968299481849277,28244.021248,2.654208,118.0,0.10300000000006548,2943.684608,0.0,10342.0,10.5,2.125,11568.939008,37.0,,,,,,,,,,,,,,
10,10,,,1681384729,5.625,0.0,0.06400000000002137,3374.456832,0.08980728971953303,9077.0,0.1305729744686616,1255.333888,72.0,3891.54816,0.0,0.0,0.0,1.0,6038.0,0.1015036048489112,26917.711872,2.654208,494.0,0.10599999999976717,3505.516544,0.0,12809.0,14.7,2.125,14499.16416,39.0,,,,,,,,,,,,,,
11,11,,,1681384730,5.875,0.0,0.06800000000001205,4647.079936,0.004070176534329966,11519.0,0.28622403524602336,1485.983744,73.0,4962.394112,0.0,0.0,0.0,4.875,7165.0,0.24245373848609394,25418.940416,2.654208,669.0,0.10599999999976717,4353.466368,0.0,172549.0,19.5,3.0,18231.820288,47.0,,,,,,,,,,,,,,
12,12,,,1681384731,5.875,0.0,0.07200000000000273,5209.964544,0.004076389265964682,14413.0,0.4216196678444854,2048.135168,74.0,5647.548416,0.0,0.0,0.0,4.875,8643.0,0.375632901458979,24289.583104,2.654208,865.0,0.1069999999999709,4501.962752,0.0,226781.0,23.0,3.0,19139.158016,48.0,,,,,,,,,,,,,,
13,13,,,1681384732,5.875,0.0,0.0800000000000125,5597.339648,0.004081110960598537,18435.0,0.6859215653696272,2099.07712,75.0,5698.596864,0.0,0.0,0.0,4.875,12310.0,232.7536970865758,23803.731968,2.654208,870.0,0.10800000000017462,4502.237184,0.0,232558.0,24.6,3.0,19319.279616,50.0,0.0063751469997441745,,,,,,,,,,,,,
14,14,,,1681384733,5.875,0.0,0.08800000000002228,6123.470848,0.00816658106844316,18921.0,0.15809193020398157,2246.88128,77.0,5850.324992,0.0,0.0,0.0,4.875,12777.0,11.121001276876848,23277.600768,2.654208,870.0,0.10999999999967258,4520.1408,0.0,233620.0,26.2,3.0,19782.586368,52.0,,,,,,,,,,,,,,
15,15,,,1681384734,5.875,0.0,0.09200000000001296,6531.833856,0.004082521065399103,19453.0,0.13243475070177033,2365.25568,78.0,6026.489856,0.0,0.0,0.0,4.875,13094.0,0.07419503614557976,22869.23776,2.654208,874.0,0.11099999999987631,4586.336256,0.0,234596.0,27.5,3.0,27722.30144,54.0,,0.0003949250003643101,2.1446685650007566,,,,,,,,,,,
