03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,04_peers/peer_1_epoch,04_peers/peer_2_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/num_clients,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,03_hivemind/estimated_current_samples,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,_timestamp,03_hivemind/num_peers,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/optimistic_total_samples_per_second,_step,_runtime,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_2_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated
,,0.0,0.0,288,,0.0,17920.0,0,,531.87,539.21,414,,,1683037517.0,2,1,10.0,1050.1341718748054,27,72,1050.1341718748054,,0.0,30.81,14880.0
1.0,0.0,1.0,0.0,1568,0.0,0.0,160.0,0,930.006374730351,524.94,525.19,1705,32800.0,32800.0,1683037519.0,2,1,10.0,1076.1478144824578,28,74,1076.1478144824578,35.26857545413077,1.0,28.86,128.0
,,1.0,0.0,2848,,0.0,800.0,0,,542.71,533.44,2997,,,1683037520.0,2,1,10.0,1082.063254021903,29,75,1082.063254021903,,1.0,27.51,768.0
,,1.0,0.0,4160,,0.0,1440.0,0,,546.97,535.09,4283,,,1683037521.0,2,1,10.0,1078.397675196698,30,76,1078.397675196698,,1.0,26.41,1408.0
,,1.0,0.0,5440,,0.0,2112.0,0,,545.42,532.98,5564,,,1683037522.0,2,1,10.0,1074.9769859908056,31,77,1074.9769859908056,,1.0,25.31,2048.0
,,1.0,0.0,6720,,0.0,2752.0,0,,541.49,533.49,6844,,,1683037523.0,2,1,9.69,1069.6242927907504,32,78,1069.6242927907504,,1.0,24.24,2688.0
,,1.0,0.0,8000,,0.0,3392.0,0,,541.43,528.2,8131,,,1683037525.0,2,1,9.16,1075.8457965502046,33,80,1075.8457965502046,,1.0,22.9,3328.0
,,1.0,0.0,9248,,0.0,4032.0,0,,542.64,533.21,9414,,,1683037526.0,2,1,8.65,1080.0993175271487,34,81,1080.0993175271487,,1.0,21.62,3968.0
,,1.0,0.0,10560,,0.0,4672.0,0,,544.77,535.33,10687,,,1683037527.0,2,1,8.23,1072.839400703481,35,82,1072.839400703481,,1.0,20.58,4576.0
,,1.0,0.0,11840,,0.0,5344.0,0,,539.17,533.67,11964,,,1683037528.0,2,1,7.73,1077.0727887796252,36,83,1077.0727887796252,,1.0,19.31,5216.0
