bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,process/memory/virtual_memory_size_proc_MB,memory/available_memory_sys_MB,cpu/interrupts/soft_interrupts_count,process/memory/dirty_pages_proc_count,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/opt_step_time_s,02_timing/step_time_s,disk/time/disk_busy_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/resident_set_size_proc_MB,_step,01_general/lr,01_general/minibatch_loss,02_timing/dataload_time_s,memory/used_memory_sys_MB,memory/used_memory_sys_percent,process/memory/shared_memory_proc_MB,bandwidth/disk_write_sys_bandwidth_MBs,_timestamp,process/memory/text_resident_set_proc_MB,02_timing/backward_time_s,memory/total_memory_sys_MB,disk/time/disk_read_time_sys_s,cpu/interrupts/ctx_switches_count,process/voluntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,01_general/step_based_sps,02_timing/loss_calc_time_s,disk/counter/disk_read_sys_count,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,01_general/locally_processed_samples,cpu/load/avg_sys_load_five_min_percent,_runtime,disk/time/disk_write_time_sys_s,cpu/logical_core_count,02_timing/forward_time_s,cpu/interrupts/interrupts_count,disk/counter/disk_write_sys_count,process/involuntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,01_general/step
,,,,,,,,,,,,,0,,,,,,,,1680626291.0,,,211076.599808,,,,,,,,,,,,1,,30.0,,,,,,
0.0,0.7666666666666667,0.0,9963.13088,208118.697984,17.0,0.0,4.9,,,0.0,2481.02912,394.358784,1,,,,1209.839616,1.4,178.077696,0.0,1680626291.0,2.719744,,,0.0,25.0,139.0,0.43853317071895787,,,0.0,,,,3.8,1,0.0,,,29.0,0.0,51.0,0.24584429146039605,
0.0,1.0,0.0,10673.696768,207416.848384,563.0,0.0,4.9,,,0.01999999999998181,3191.595008,1099.239424,2,,,,1911.693312,1.7,182.243328,0.7928546671913125,1680626292.0,2.719744,,,0.0,868.0,145.0,0.27895348798181946,,,0.0,,,,3.8,2,0.06499999999999773,,,987.0,99.0,57.0,0.2877259116429441,
0.0,1.0,0.0,12945.559552,207317.782528,4632.0,0.0,4.9,,,0.02400000000000091,3521.114112,1194.143744,3,,,,2010.734592,1.8,184.406016,0.004086679457533791,1680626293.0,2.719744,,,0.0,6984.0,217.0,0.006760581060956719,,,0.0,,,,3.8,3,0.06599999999997408,,,11754.0,100.0,63.0,0.008452721790799311,
0.0,1.0,0.0,14735.044608,206289.883136,5109.0,0.0,4.9,,,0.027999999999963165,4469.710848,2371.309568,4,,,,3028.148224,2.3,423.17824,0.0040864442172669465,1680626294.0,2.719744,,,0.0,7704.0,227.0,0.05962856400385311,,,0.0,,,,3.8,4,0.06599999999997408,,,12793.0,101.0,69.0,0.0629248558557818,
0.0,1.0,0.0,15751.51616,206835.187712,7361.0,0.0,4.9,,,0.031999999999982265,3909.328896,1829.752832,5,,,,2482.74944,2.0,459.554816,0.004085508392040607,1680626295.0,2.719744,,,0.0,9697.0,237.0,0.25121088880088294,,,0.0,,,,3.8,5,0.06599999999997408,,,16320.0,102.0,72.0,8.127129478591344,
0.0,1.0,0.0,16537.055232,205850.431488,13916.0,0.0,4.9,,,0.036000000000001364,4515.0208,2556.100608,6,,,,3365.605376,2.5,579.739648,0.004085731857212948,1680626296.0,2.719744,,,0.0,13192.0,241.0,0.4742800534831468,,,0.0,,0.0029071600001771003,,3.8,6,0.06700000000000728,,,21695.0,103.0,78.0,230.11990151135365,
0.0,1.1666666666666665,0.0,26491.936768,204849.381376,14134.0,0.0,4.866666666666666,1.4050001482246444e-06,,0.047999999999944976,5526.97856,3831.840768,7,,,,4366.528512,3.0,866.684928,0.16347367246556238,1680626297.0,2.719744,0.15325095200023497,,0.0,13697.0,250.0,0.050702381225255735,,0.0002634249995026039,0.0,,,,3.766666666666666,7,0.07499999999998863,,1.2364165129993125,22294.0,122.0,83.0,2.1220048073351934,
,,,,,,,,,2.636246322998886,,,,8,0.0001,7.1795654296875,1.2434068679995107,,,,,1680626297.0,,,,,,,,12.13847117427104,,,0.0,,32.0,,7,,,,,,,,0.0
,,,,,,,,1.630000042496249e-06,0.15967959099907603,,,,9,0.0001,7.2235107421875,0.0030355049993886496,,,,,1680626297.0,,0.13369158699970285,,,,,,200.40131490683217,0.00039971000023797387,,0.0,0.0026115609998669242,64.0,,7,,,0.019939597999837133,,,,,1.0
,,,,,,,,1.3899998521083035e-06,0.1619668540006387,,,,10,0.0001,7.1915283203125,0.002971967000121367,,,,,1680626297.0,,0.13814772200021253,,,,,,197.57128825799018,0.00042531600047368556,,0.0,0.002644999999574793,96.0,,7,,,0.017775459000404226,,,,,2.0
0.0,1.1666666666666665,0.0,27129.470976,204843.216896,16202.0,0.0,4.866666666666666,1.6069998309831135e-06,,0.06399999999996453,5526.97856,3830.452224,11,,,,4372.6848,3.0,864.919552,0.016347643358316205,1680626298.0,2.719744,0.140468773000066,,0.0,14944.0,274.0,0.04506777069721608,,0.00045191499975771876,0.0,,0.0025835569995251717,,3.766666666666666,8,0.07699999999999818,,0.017382089999955497,24182.0,126.0,88.0,77.18408901693152,
,,,,,,,,,0.16394430499894952,,,,12,0.0001,7.15283203125,0.003056362999814155,,,,,1680626298.0,,,,,,,,195.18823786044317,,,0.0,,128.0,,8,,,,,,,,3.0
,,,,,,,,1.51799940795172e-06,0.16205939999963448,,,,13,0.0001,7.035400390625,0.0027519390005181776,,,,,1680626298.0,,0.13874094099992362,,,,,,197.45846276163047,0.00040611199983686674,,0.0,0.002554570999564021,160.0,,8,,,0.01760431900038384,,,,,4.0
,,,,,,,,2.2909998733666725e-06,0.1626882230011688,,,,14,0.0001,7.1494140625,0.002803191000566585,,,,,1680626298.0,,0.13922049000029801,,,,,,196.69524572636152,0.0004672069999287487,,0.0,0.002613145999930566,192.0,,8,,,0.017581898000571528,,,,,5.0
0.0,1.1666666666666665,0.0,27129.470976,204833.11616,19290.0,0.0,4.866666666666666,2.4820001272019e-06,,0.08399999999994634,5526.97856,3830.542336,15,,,,4382.78144,3.0,864.980992,0.016348043920973995,1680626299.0,2.719744,0.14054179300001124,,0.0,16493.0,299.0,0.15476361115070017,,0.00043861700032721274,0.0,,0.0026419890000397572,,3.766666666666666,9,0.07799999999997453,,0.017593931000192242,26665.0,130.0,92.0,93.13099862067719,
,,,,,,,,,0.1639717810003276,,,,16,0.0001,7.2816162109375,0.0027529689996299567,,,,,1680626299.0,,,,,,,,195.15553106016495,,,0.0,,224.0,,9,,,,,,,,6.0
,,,,,,,,1.3819999367115088e-06,0.16427715000008902,,,,17,0.0001,7.1248779296875,0.0029017710003245156,,,,,1680626299.0,,0.14075232400045934,,,,,,194.79276332699135,0.00046322100024553947,,0.0,0.002534678999836615,256.0,,9,,,0.017623772999286302,,,,,7.0
,,,,,,,,1.7350002963212319e-06,0.16212395999991713,,,,18,0.0001,7.3597412109375,0.0028814810002586455,,,,,1680626299.0,,0.13808365800014144,,,,,,197.37983207427425,0.0007108089994289912,,0.0,0.0026056619999508257,288.0,,9,,,0.01784061499984091,,,,,8.0
0.0,1.1666666666666665,0.0,27129.470976,204817.604608,22565.0,0.0,4.866666666666666,1.5870000424911268e-06,,0.0999999999999659,5526.97856,3830.509568,19,,,,4398.288896,3.0,864.919552,0.016348094486997426,1680626300.0,2.719744,0.1391427759999715,,0.0,17884.0,325.0,0.06504114934622209,,0.0004708779997599777,0.0,,0.0025786960004552384,,3.766666666666666,10,0.07900000000000773,,0.017530455999803962,29195.0,134.0,97.0,94.56784351499584,
,,,,,,,,,0.16279534499972215,,,,20,0.0001,6.9808349609375,0.0030709519996889867,,,,,1680626300.0,,,,,,,,196.56581703890006,,,0.0,,320.0,,10,,,,,,,,9.0
,,,,,,,,1.4470006135525182e-06,0.16414630700091948,,,,21,0.0001,7.1771240234375,0.002811878000102297,,,,,1680626300.0,,0.14082484400023532,,,,,,194.94803498576883,0.00043589799952314934,,0.0,0.0025941570002032677,352.0,,10,,,0.017478083000241895,,,,,10.0
,,,,,,,,1.2799991964129731e-06,0.163094416999229,,,,22,0.0001,7.3497314453125,0.0031317580005634227,,,,,1680626300.0,,0.13915197499954957,,,,,,196.20536734958424,0.00045624500035046367,,0.0,0.0026509629997235606,384.0,,10,,,0.01770219599984557,,,,,11.0
0.0,1.1666666666666665,0.0,27129.470976,204815.50336,25229.0,0.0,4.866666666666666,1.708000127109699e-06,,0.11599999999998545,5526.97856,3830.5792,23,,,,4400.390144,3.0,864.980992,0.01634768613669155,1680626301.0,2.719744,0.1398980260000826,,0.0,19436.0,352.0,0.14047994544908204,,0.0004370870001366711,0.0,,0.002494385999852966,,3.766666666666666,11,0.07999999999998408,,0.01753151600041747,31466.0,138.0,103.0,91.59159139390444,
,,,,,,,,,0.16300150600091,,,,24,0.0001,7.1239013671875,0.002638783000293188,,,,,1680626301.0,,,,,,,,196.31720457736967,,,0.0,,416.0,,11,,,,,,,,12.0
,,,,,,,,1.5159994291025214e-06,0.16285114099810016,,,,25,0.0001,7.11328125,0.0027960869992966764,,,,,1680626301.0,,0.13946598499933316,,,,,,196.49846973054562,0.0004591629995047697,,0.0,0.002599168000415375,448.0,,11,,,0.01752922200012108,,,,,13.0
,,,,,,,,1.2760001482092775e-06,0.16380373199990572,,,,26,0.0001,7.450927734375,0.002785370999845327,,,,,1680626301.0,,0.14023541700044007,,,,,,195.3557443979263,0.0004471019992706715,,0.0,0.002556137000283343,480.0,,11,,,0.017778428999918106,,,,,14.0
0.0,1.3333333333333335,0.0,27129.470976,204817.801216,28112.0,0.0,4.866666666666666,1.3250000847619958e-06,,0.13599999999996726,5526.97856,3830.51776,27,,,,4398.088192,3.0,864.919552,0.04904367675419996,1680626302.0,2.719744,0.13869038600023487,,0.0,20890.0,376.0,0.05905356781092376,,0.0004780099998242804,0.0,,0.0026297379999959958,,3.766666666666666,12,0.08199999999999363,,0.017495647000032477,33948.0,144.0,107.0,84.51944108919605,
,,,,,,,,,0.16221037300056196,,,,28,0.0001,7.2388916015625,0.0029152670003895764,,,,,1680626302.0,,,,,,,,197.2746835363552,,,0.0,,512.0,,12,,,,,,,,15.0
,,,,,,,,1.3930002751294523e-06,0.16355574900080683,,,,29,0.0001,7.1322021484375,0.0028788520003217855,,,,,1680626302.0,,0.13993882500017207,,,,,,195.65194250580666,0.00043694200030586217,,0.0,0.0026388739997855737,544.0,,12,,,0.017660862999946403,,,,,16.0
,,,,,,,,1.6280000636470504e-06,0.16381832399929408,,,,30,0.0001,7.00604248046875,0.003071152999837068,,,,,1680626302.0,,0.14041652899959445,,,,,,195.33834322549833,0.00044989300022280077,,0.0,0.0025025160002769553,576.0,,12,,,0.01737660499929916,,,,,17.0
0.0,1.3333333333333335,0.0,27129.73312,204815.986688,30914.0,0.0,4.866666666666666,1.710999640636146e-06,,0.16399999999998727,5527.240704,3830.583296,31,,,,4399.915008,3.0,864.980992,0.11443127128967459,1680626303.0,2.719744,0.14030575699962355,,0.0,22442.0,402.0,0.14890592674949973,,0.0004467270000532153,0.0,,0.0025755900005606236,,3.766666666666666,13,0.08699999999998909,,0.017895556000439683,36306.0,156.0,110.0,84.89699599103763,
,,,,,,,,,0.16381362500032992,,,,32,0.0001,7.29638671875,0.0025882840000122087,,,,,1680626303.0,,,,,,,,195.34394651199221,,,0.0,,608.0,,13,,,,,,,,18.0
,,,,,,,,1.5350005924119614e-06,0.16299050300131057,,,,33,0.0001,7.40576171875,0.002622085999973933,,,,,1680626303.0,,0.13968655799999397,,,,,,196.33045736255377,0.0004955180002070847,,0.0,0.002616276000480866,640.0,,13,,,0.01756853000006231,,,,,19.0
,,,,,,,,2.052000127150677e-06,0.1631345500009047,,,,34,0.0001,7.2027587890625,0.0027410149996285327,,,,,1680626303.0,,0.13989469300031487,,,,,,196.15709854118907,0.00043631400058075087,,0.0,0.0026018870003099437,672.0,,13,,,0.01745858899994346,,,,,20.0
0.0,1.3333333333333335,0.0,27129.73312,204814.0288,34851.0,0.0,4.866666666666666,1.3889994079363532e-06,,0.17999999999994998,5527.240704,3830.747136,35,,,,4401.8688,3.0,864.919552,0.016347499461800606,1680626304.0,2.719744,0.14028362600038236,,0.0,23995.0,429.0,0.0619257328433444,,0.0004624129996955162,0.0,,0.002625252999678196,,3.766666666666666,14,0.08800000000002228,,0.017554084000039438,39206.0,160.0,114.0,86.4354477969777,
,,,,,,,,,0.1637413499993272,,,,36,0.0001,7.096435546875,0.0028145850001237704,,,,,1680626304.0,,,,,,,,195.43017081593308,,,0.0,,704.0,,14,,,,,,,,21.0
,,,,,,,,1.6910007616388611e-06,0.16494637000141665,,,,37,0.0001,7.066650390625,0.0027613060001385747,,,,,1680626304.0,,0.1414471530006267,,,,,,194.00245061303966,0.00047898999946482945,,0.0,0.002597583000351733,736.0,,14,,,0.017659647000073164,,,,,22.0
,,,,,,,,1.4139995982986875e-06,0.1626787669983969,,,,38,0.0001,7.116943359375,0.0028040469996994943,,,,,1680626304.0,,0.13938134299951344,,,,,,196.70667899957309,0.00044831800005340483,,0.0,0.002595107999695756,768.0,,14,,,0.017448536999836506,,,,,23.0
,,,,,,,,1.4440001905313693e-06,0.16474232099972141,,,,39,0.0001,7.2431640625,0.0027940280006077955,,,,,1680626305.0,,0.1413677259997712,,,,,,194.24274106259625,0.00044830400020146044,,0.0,0.0025658429995019105,800.0,,15,,,0.017564975999448507,,,,,24.0
0.0,1.3333333333333335,0.0,27129.73312,204834.525184,38766.0,0.0,4.866666666666666,,,0.19599999999996953,5527.240704,3830.759424,40,,,,4400.197632,3.0,864.919552,0.020428319220899365,1680626305.0,2.719744,,,0.0,25638.0,466.0,0.1575374523728222,,,0.0,,0.00264770400008274,,3.766666666666666,15,0.08899999999999864,,,42152.0,165.0,119.0,95.18358290447942,
,,,,,,,,1.5229998098220676e-06,0.16398405299969454,,,,41,0.0001,7.0892333984375,0.002985463999721105,,,,,1680626305.0,,0.13924451699949714,,,,,,195.14092629519047,0.00047954700039554155,,0.0,,832.0,,15,,,0.018625298000188195,,,,,25.0
