04_peers/peer_7_samples_per_second,04_peers/peer_6_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,04_peers/peer_4_samples_accumulated,03_hivemind/num_clients,04_peers/peer_5_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_1_epoch,04_peers/peer_4_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/global_samples_accumulated,04_peers/peer_6_epoch_oos,04_peers/peer_3_samples_accumulated,04_peers/peer_1_samples_accumulated,03_hivemind/overshot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_5_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_4_epoch_oos,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_3_epoch,04_peers/peer_2_epoch,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,04_peers/peer_8_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_8_samples_accumulated,04_peers/peer_5_samples_per_second,_runtime,04_peers/peer_8_epoch,04_peers/peer_7_epoch,04_peers/peer_3_epoch_oos,_step,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,04_peers/peer_4_epoch,04_peers/peer_6_epoch,_timestamp,04_peers/peer_8_epoch_oos,04_peers/peer_7_epoch_oos,03_hivemind/num_peers,04_peers/peer_3_samples_per_second,04_peers/peer_5_epoch,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/global_epoch
,71.25,,,20.0,0,1.0,20.0,0.0,2.0,71.65,,280,1.0,20.0,100.0,,0.5,20.0,302.72257456922944,0.0,,61.65,1.0,2.0,163.19915337701465,,12.31,,0.0,0.0,,68.28,96,,,1.0,23,0.0,368,2.0,1.0,1696169608.0,,,6,66.23,1.0,,,2
,71.25,,,60.0,0,1.0,20.0,0.0,2.0,45.49,,340,1.0,40.0,120.0,,0.5,20.0,369.14602945464407,0.0,,49.23,2.0,2.0,229.6226082624293,,11.52,,0.0,60.0,,68.28,98,,,0.0,24,0.0,624,2.0,1.0,1696169610.0,,,7,56.96,1.0,,,2
71.71,71.25,,,60.0,0,1.0,20.0,0.0,2.0,45.49,20.0,420,1.0,60.0,140.0,,0.5,20.0,381.6458133267423,0.0,,49.23,2.0,2.0,242.12239213452756,,12.41,,0.0,60.0,,68.28,99,,2.0,0.0,25,0.0,743,2.0,1.0,1696169611.0,,0.0,8,50.79,1.0,,,2
71.71,71.25,,,60.0,0,1.0,20.0,0.0,2.0,45.49,20.0,420,1.0,80.0,160.0,,0.5,20.0,381.6458133267423,0.0,,21.25,2.0,2.0,242.12239213452756,,12.01,70.14,0.0,80.0,20.0,68.28,100,2.0,2.0,0.0,26,0.0,1063,2.0,1.0,1696169612.0,0.0,0.0,8,21.53,1.0,,,2
71.71,71.25,,,60.0,0,1.0,20.0,0.0,2.0,45.49,20.0,420,1.0,80.0,160.0,,0.5,20.0,381.6458133267423,0.0,,21.25,2.0,2.0,242.12239213452756,,12.01,70.14,0.0,80.0,20.0,68.28,102,2.0,2.0,0.0,27,0.0,1385,2.0,1.0,1696169614.0,0.0,0.0,8,21.53,1.0,,,2
71.71,71.25,,,60.0,0,1.0,20.0,0.0,2.0,45.49,20.0,420,1.0,80.0,160.0,,0.5,20.0,381.6458133267423,0.0,,21.25,2.0,2.0,242.12239213452756,,12.01,70.14,0.0,80.0,20.0,68.28,103,2.0,2.0,0.0,28,0.0,1705,2.0,1.0,1696169615.0,0.0,0.0,8,21.53,1.0,,,2
71.71,71.25,,,60.0,0,1.0,20.0,0.0,2.0,45.49,20.0,420,1.0,80.0,160.0,,0.5,20.0,381.6458133267423,0.0,,21.25,2.0,2.0,242.12239213452756,,12.01,70.14,0.0,80.0,20.0,68.28,104,2.0,2.0,0.0,29,0.0,2026,2.0,1.0,1696169616.0,0.0,0.0,8,21.53,1.0,,,2
71.71,71.25,,,60.0,0,1.0,20.0,0.0,2.0,45.49,20.0,420,1.0,80.0,160.0,,0.5,20.0,381.6458133267423,0.0,,21.25,2.0,2.0,242.12239213452756,,12.01,70.14,0.0,80.0,20.0,68.28,106,2.0,2.0,0.0,30,0.0,2347,2.0,1.0,1696169618.0,0.0,0.0,8,21.53,1.0,,,2
71.71,71.25,,,60.0,0,1.0,20.0,0.0,2.0,45.49,20.0,420,1.0,80.0,160.0,,0.5,20.0,381.6458133267423,0.0,,21.25,2.0,2.0,242.12239213452756,,12.01,70.14,0.0,80.0,20.0,68.28,107,2.0,2.0,0.0,31,0.0,2667,2.0,1.0,1696169619.0,0.0,0.0,8,21.53,1.0,,,2
71.71,71.25,,,60.0,0,1.0,20.0,0.0,2.0,45.49,20.0,420,1.0,80.0,160.0,,0.5,20.0,381.6458133267423,0.0,,21.25,2.0,2.0,242.12239213452756,,12.01,70.14,0.0,80.0,20.0,68.28,108,2.0,2.0,0.0,32,0.0,2987,2.0,1.0,1696169620.0,0.0,0.0,8,21.53,1.0,,,2
71.71,71.25,,,60.0,0,1.0,20.0,0.0,2.0,45.49,20.0,420,1.0,80.0,160.0,,0.5,20.0,381.6458133267423,0.0,,21.25,2.0,2.0,242.12239213452756,,12.01,70.14,0.0,80.0,20.0,68.28,110,2.0,2.0,0.0,33,0.0,3308,2.0,1.0,1696169622.0,0.0,0.0,8,21.53,1.0,,,2
71.71,71.25,,,60.0,0,1.0,20.0,0.0,2.0,45.49,20.0,420,1.0,80.0,160.0,,0.5,20.0,381.6458133267423,0.0,,21.25,2.0,2.0,242.12239213452756,,12.01,70.14,0.0,80.0,20.0,68.28,111,2.0,2.0,0.0,34,0.0,3627,2.0,1.0,1696169623.0,0.0,0.0,8,21.53,1.0,,,2
