03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
24,0.40200539842337624,1,24,0,576.93,45,0,10.0,0.40200539842337624,1696170772,0,,,,,,,,,,,,,,,,,,,,,,,
40,0.7357999808908106,1,40,1,293.12,47,0,10.0,0.7357999808908106,1696170774,0,24.0,0.0,0.4,0.0,,,,,,,,,,,,,,,,,,,
68,1.352797499732818,1,64,2,138.7,51,0,10.0,1.352797499732818,1696170778,0,40.0,0.0,0.74,0.0,,,,,,,,,,,,,,,,,,,
169,5.9330780829915595,1,168,3,14.63,54,0,3.66,5.9330780829915595,1696170781,0,64.0,0.0,1.35,0.0,,,,,,,,,,,,,,,,,,,
187,6.877383480055316,1,184,4,10.04,55,0,2.51,6.877383480055316,1696170782,0,168.0,0.0,5.93,0.0,,,,,,,,,,,,,,,,,,,
209,8.20587685965712,1,208,5,5.68,56,0,1.42,8.20587685965712,1696170783,0,184.0,0.0,6.88,0.0,,,,,,,,,,,,,,,,,,,
275,17.262929405681188,3,272,6,0.0,57,0,0.5,17.262929405681188,1696170784,0,208.0,0.0,8.21,0.0,,,,,,,,,,,,,,,,,,,
356,27.285868071995182,4,344,7,0.0,58,0,0.5,27.285868071995182,1696170785,0,224.0,0.0,8.88,0.0,4.16,24.0,0.0,0.0,0.0,24.0,0.0,4.22,,,,,,,,,,,
426,33.903518680412574,4,400,8,0.0,60,0,0.5,33.903518680412574,1696170787,0,232.0,0.0,9.24,0.0,6.54,48.0,0.0,0.0,0.0,40.0,0.0,7.61,3.9,24.0,0.0,0.0,,,,,,,
486,37.565744391791974,4,440,9,0.0,61,0,0.5,37.565744391791974,1696170788,0,232.0,0.0,9.24,0.0,9.08,64.0,0.0,0.0,0.0,64.0,0.0,9.39,6.2,40.0,0.0,0.0,,,,,,,
539,39.252631292137856,4,464,10,0.0,62,0,0.5,39.252631292137856,1696170789,0,232.0,0.0,9.24,0.0,10.53,88.0,0.0,0.0,0.0,80.0,0.0,11.6,6.2,40.0,0.0,0.0,,,,,,,
585,39.252631292137856,4,464,11,0.0,63,0,0.5,39.252631292137856,1696170790,0,232.0,0.0,9.24,0.0,11.68,96.0,0.0,0.0,0.0,96.0,0.0,12.14,6.2,40.0,0.0,0.0,,,,,,,
631,39.252631292137856,4,464,12,0.0,64,0,0.5,39.252631292137856,1696170791,0,232.0,0.0,9.24,0.0,11.68,96.0,0.0,0.0,0.0,96.0,0.0,12.14,6.2,40.0,0.0,0.0,,,,,,,
677,39.252631292137856,4,464,13,0.0,65,0,0.5,39.252631292137856,1696170792,0,232.0,0.0,9.24,0.0,11.68,96.0,0.0,0.0,0.0,96.0,0.0,12.14,6.2,40.0,0.0,0.0,,,,,,,
722,39.252631292137856,4,464,14,0.0,67,0,0.5,39.252631292137856,1696170794,0,232.0,0.0,9.24,0.0,11.68,96.0,0.0,0.0,0.0,96.0,0.0,12.14,6.2,40.0,0.0,0.0,,,,,,,
768,39.252631292137856,4,464,15,0.0,68,0,0.5,39.252631292137856,1696170795,0,232.0,0.0,9.24,0.0,11.68,96.0,0.0,0.0,0.0,96.0,0.0,12.14,6.2,40.0,0.0,0.0,,,,,,,
814,39.252631292137856,4,464,16,0.0,69,0,0.5,39.252631292137856,1696170796,0,232.0,0.0,9.24,0.0,11.68,96.0,0.0,0.0,0.0,96.0,0.0,12.14,6.2,40.0,0.0,0.0,,,,,,,
860,39.252631292137856,4,464,17,0.0,70,0,0.5,39.252631292137856,1696170797,0,232.0,0.0,9.24,0.0,11.68,96.0,0.0,0.0,0.0,96.0,0.0,12.14,6.2,40.0,0.0,0.0,,,,,,,
905,39.252631292137856,4,464,18,0.0,71,0,0.5,39.252631292137856,1696170798,0,232.0,0.0,9.24,0.0,11.68,96.0,0.0,0.0,0.0,96.0,0.0,12.14,6.2,40.0,0.0,0.0,,,,,,,
951,39.252631292137856,4,464,19,0.0,72,0,0.5,39.252631292137856,1696170799,0,232.0,0.0,9.24,0.0,11.68,96.0,0.0,0.0,0.0,96.0,0.0,12.14,6.2,40.0,0.0,0.0,,,,,,,
997,39.252631292137856,4,464,20,0.0,74,0,0.5,39.252631292137856,1696170801,0,232.0,0.0,9.24,0.0,11.68,96.0,0.0,0.0,0.0,96.0,0.0,12.14,6.2,40.0,0.0,0.0,,,,,,,
1043,39.252631292137856,4,464,21,0.0,75,0,0.5,39.252631292137856,1696170802,0,232.0,0.0,9.24,0.0,11.68,96.0,0.0,0.0,0.0,96.0,0.0,12.14,6.2,40.0,0.0,0.0,,,,,,,
1088,39.252631292137856,4,464,22,0.0,76,0,0.5,39.252631292137856,1696170803,0,232.0,0.0,9.24,0.0,11.68,96.0,0.0,0.0,0.0,96.0,0.0,12.14,6.2,40.0,0.0,0.0,,,,,,,
1134,39.252631292137856,4,464,23,0.0,77,0,0.5,39.252631292137856,1696170804,0,232.0,0.0,9.24,0.0,11.68,96.0,0.0,0.0,0.0,96.0,0.0,12.14,6.2,40.0,0.0,0.0,,,,,,,
1180,39.252631292137856,4,464,24,0.0,78,0,0.5,39.252631292137856,1696170805,0,232.0,0.0,9.24,0.0,11.68,96.0,0.0,0.0,0.0,96.0,0.0,12.14,6.2,40.0,0.0,0.0,,,,,,,
1226,39.252631292137856,4,464,25,0.0,79,0,0.5,39.252631292137856,1696170806,0,232.0,0.0,9.24,0.0,11.68,96.0,0.0,0.0,0.0,96.0,0.0,12.14,6.2,40.0,0.0,0.0,,,,,,,
50,42.93151665445199,4,32,26,4.79,81,1,2.74,42.93151665445199,1696170808,0,232.0,0.0,9.24,0.0,11.68,96.0,0.0,0.0,0.0,96.0,0.0,12.14,6.2,40.0,0.0,0.0,,,,,,,
142,50.21829758963636,4,128,27,2.26,82,1,1.29,50.21829758963636,1696170809,0,8.0,1.0,9.85,0.0,12.55,8.0,1.0,0.0,1.0,8.0,0.0,13.17,7.36,8.0,1.0,0.0,35.11610580800334,0.0,464.0,464.0,0.0,13.21331022684894,1.0
203,50.53036495715135,4,184,28,1.05,83,1,0.6,50.53036495715135,1696170810,0,32.0,1.0,11.32,0.0,14.16,32.0,1.0,0.0,1.0,32.0,0.0,14.59,10.14,32.0,1.0,0.0,,,,,,,
282,53.93968671253338,4,264,29,0.0,84,1,0.5,53.93968671253338,1696170811,0,48.0,1.0,11.71,0.0,14.65,40.0,1.0,0.0,1.0,48.0,0.0,13.1,11.07,48.0,1.0,0.0,,,,,,,
