04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/global_epoch,_step,03_hivemind/epoch_s,03_hivemind/num_clients,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,03_hivemind/per_epoch_training_samples,03_hivemind/overshot_TBS,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,_timestamp,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/total_training_samples,04_peers/peer_2_samples_accumulated
0.0,12.63,1.0,1.0,1,32,,0,2661,437.8218259075355,81,,220.4,,,,5.05,217.91,1680687621.0,2,,0.0,1024.0,2592,437.8218259075355,,1024.0
0.0,11.45,1.0,1.0,1,33,,0,3182,437.6782559827284,82,,220.34,,,,4.58,217.49,1680687622.0,2,,0.0,1280.0,3104,437.6782559827284,,1312.0
0.0,10.27,1.0,1.0,1,34,,0,3701,437.2794849838634,83,,220.33,,,,4.11,217.35,1680687623.0,2,,0.0,1536.0,3616,437.2794849838634,,1568.0
0.0,9.09,1.0,1.0,1,35,,0,4220,436.7968871412889,84,,219.99,,,,3.64,217.29,1680687624.0,2,,0.0,1792.0,4128,436.7968871412889,,1824.0
0.0,7.92,1.0,1.0,1,36,,0,4737,436.2741495179514,85,,219.59,,,,3.17,217.21,1680687625.0,2,,0.0,2048.0,4672,436.2741495179514,,2080.0
0.0,6.72,1.0,1.0,1,37,,0,5260,436.0974353755617,87,,219.2,,,,2.69,217.08,1680687627.0,2,,0.0,2336.0,5184,436.0974353755617,,2336.0
0.0,5.54,1.0,1.0,1,38,,0,5777,435.95761943036166,88,,219.11,,,,2.22,216.99,1680687628.0,2,,0.0,2592.0,5728,435.95761943036166,,2592.0
0.0,4.36,1.0,1.0,1,39,,0,6294,435.6254240606551,89,,218.99,,,,1.74,216.97,1680687629.0,2,,0.0,2848.0,6240,435.6254240606551,,2880.0
0.0,3.17,1.0,1.0,1,40,,0,6810,435.4562673568213,90,,218.99,,,,1.27,216.63,1680687630.0,2,,0.0,3104.0,6752,435.4562673568213,,3136.0
0.0,1.99,1.0,1.0,1,41,,0,7325,435.152443011843,91,,218.87,,,,0.8,216.58,1680687631.0,2,,0.0,3360.0,7264,435.152443011843,,3392.0
0.0,0.81,1.0,1.0,1,42,,0,7840,434.75635086736116,93,,218.73,,,,0.5,216.42,1680687633.0,2,,0.0,3616.0,7776,434.75635086736116,,3648.0
0.0,0.0,1.0,1.0,1,43,,0,8355,434.6864138058586,94,,218.76,,,,0.5,215.99,1680687634.0,2,,0.0,3872.0,8224,434.6864138058586,,3904.0
0.0,0.0,1.0,1.0,1,44,,0,8873,434.6864138058586,95,,218.72,,,,0.5,215.97,1680687635.0,2,,0.0,4096.0,8224,434.6864138058586,,4128.0
0.0,0.0,1.0,1.0,1,45,,0,9392,434.6864138058586,96,,218.72,,,,0.5,215.97,1680687636.0,2,,0.0,4096.0,8224,434.6864138058586,,4128.0
0.0,0.0,1.0,1.0,1,46,,0,9911,434.6864138058586,97,,218.72,,,,0.5,215.97,1680687637.0,2,,0.0,4096.0,8224,434.6864138058586,,4128.0
0.0,18.65,1.0,1.0,2,47,,0,85,434.6864138058586,98,,218.72,,,,7.46,215.97,1680687638.0,2,,0.0,4096.0,0,434.6864138058586,,4128.0
0.0,17.33,2.0,2.0,2,48,23.781450936105102,0,608,437.5672820884122,100,0.0,218.72,8224.0,2.0,345.8157377401346,6.93,215.97,1680687640.0,2,0.0,0.0,0.0,512,437.5672820884122,16448.0,0.0
0.0,16.2,2.0,2.0,2,49,,0,1126,436.1216832506509,101,,220.11,,,,6.48,217.45,1680687641.0,2,,0.0,256.0,1056,436.1216832506509,,256.0
0.0,15.03,2.0,2.0,2,50,,0,1645,435.45602465986565,102,,219.33,,,,6.01,216.79,1680687642.0,2,,0.0,512.0,1600,435.45602465986565,,544.0
0.0,13.87,2.0,2.0,2,51,,0,2161,434.90800343499467,103,,218.81,,,,5.55,216.65,1680687643.0,2,,0.0,800.0,2112,434.90800343499467,,800.0
0.0,12.7,2.0,2.0,2,52,,0,2677,434.3370038035761,104,,218.52,,,,5.08,216.39,1680687644.0,2,,0.0,1056.0,2624,434.3370038035761,,1056.0
0.0,11.53,2.0,2.0,2,53,,0,3193,433.6827832317574,106,,218.14,,,,4.61,216.19,1680687646.0,2,,0.0,1312.0,3136,433.6827832317574,,1312.0
0.0,10.37,2.0,2.0,2,54,,0,3705,432.53935124256066,107,,217.74,,,,4.15,215.95,1680687647.0,2,,0.0,1568.0,3648,432.53935124256066,,1568.0
0.0,9.18,2.0,2.0,2,55,,0,4219,432.8132134231711,108,,217.65,,,,3.67,214.88,1680687648.0,2,,0.0,1824.0,4160,432.8132134231711,,1824.0
0.0,7.99,2.0,2.0,2,56,,0,4734,432.98207753960446,109,,217.5,,,,3.19,215.31,1680687649.0,2,,0.0,2080.0,4672,432.98207753960446,,2080.0
0.0,6.8,2.0,2.0,2,57,,0,5250,433.02179832117986,110,,217.49,,,,2.72,215.5,1680687650.0,2,,0.0,2336.0,5184,433.02179832117986,,2336.0
0.0,5.6,2.0,2.0,2,58,,0,5766,433.00431079440705,112,,217.45,,,,2.24,215.57,1680687652.0,2,,0.0,2592.0,5696,433.00431079440705,,2592.0
0.0,4.42,2.0,2.0,2,59,,0,6278,432.6401785196929,113,,217.3,,,,1.77,215.7,1680687653.0,2,,0.0,2848.0,6208,432.6401785196929,,2848.0
0.0,3.22,2.0,2.0,2,60,,0,6795,433.7419244362644,114,,217.09,,,,1.29,215.55,1680687654.0,2,,0.0,3104.0,6752,433.7419244362644,,3104.0
0.0,2.02,2.0,2.0,2,61,,0,7313,434.2697805053666,115,,217.72,,,,0.81,216.02,1680687655.0,2,,0.0,3360.0,7264,434.2697805053666,,3392.0
0.0,0.83,2.0,2.0,2,62,,0,7831,434.4097538520382,116,,217.77,,,,0.5,216.5,1680687656.0,2,,0.0,3616.0,7776,434.4097538520382,,3648.0
0.0,0.0,2.0,2.0,2,63,,0,8349,434.43191378476297,118,,217.66,,,,0.5,216.75,1680687658.0,2,,0.0,3872.0,8224,434.43191378476297,,3904.0
0.0,0.0,2.0,2.0,2,64,,0,8865,434.43191378476297,119,,217.72,,,,0.5,216.71,1680687659.0,2,,0.0,4096.0,8224,434.43191378476297,,4128.0
0.0,0.0,2.0,2.0,2,65,,0,9383,434.43191378476297,120,,217.72,,,,0.5,216.71,1680687660.0,2,,0.0,4096.0,8224,434.43191378476297,,4128.0
0.0,0.0,2.0,2.0,2,66,,0,9900,434.43191378476297,121,,217.72,,,,0.5,216.71,1680687661.0,2,,0.0,4096.0,8224,434.43191378476297,,4128.0
0.0,18.6,2.0,2.0,3,67,,0,113,434.43191378476297,122,,217.72,,,,7.44,216.71,1680687662.0,2,,0.0,4096.0,0,434.43191378476297,,4128.0
0.0,17.4,3.0,3.0,3,68,23.804166856687516,0,631,434.43191378476297,123,0.0,217.72,8224.0,3.0,345.4857315323161,6.96,216.71,1680687663.0,2,0.0,0.0,0.0,0,434.43191378476297,24672.0,0.0
