bandwidth/disk_write_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,cpu/logical_core_count,02_timing/dataload_time_s,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_five_min_percent,02_timing/opt_step_time_s,disk/time/disk_busy_time_sys_s,process/voluntary_proc_ctx_switches,disk/counter/disk_read_sys_count,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,cpu/interrupts/soft_interrupts_count,bandwidth/disk_read_sys_bandwidth_MBs,_step,02_timing/step_time_s,02_timing/loss_calc_time_s,process/memory/dirty_pages_proc_count,disk/time/disk_write_time_sys_s,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/backward_time_s,memory/used_memory_sys_percent,cpu/interrupts/interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/virtual_memory_size_proc_MB,01_general/step,03_hivemind/num_peers,disk/counter/disk_write_sys_count,01_general/minibatch_loss,memory/available_memory_sys_MB,cpu/load/avg_sys_load_one_min_percent,_runtime,_timestamp,02_timing/forward_time_s,03_hivemind/global_epoch,memory/used_memory_sys_MB,process/memory/lib_memory_proc_MB,process/memory/resident_set_size_proc_MB,01_general/lr,memory/total_memory_sys_MB,disk/time/disk_read_time_sys_s
,,30.0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,1681395845.0,,,,,,,211076.599808,
0.0,2.719744,,,47.0,,177.975296,1.2666666666666666,,0.0,140.0,0.0,,,19.0,0.0,1,,,0.0,0.0,48.0,0.0,1.4000000000000001,,1.4,42.0,0.47990490618846937,0.4280232951868719,9963.405312,,,0.0,,208140.804096,0.1,0,1681395845.0,,,1185.742848,2481.037312,394.162176,,,0.0
0.012254158883475783,2.719744,,,3740.0,,180.563968,1.2666666666666666,,0.012000000000000455,150.0,0.0,,,1901.0,0.0,2,,,0.0,0.0009999999999763531,48.0,0.0,1.4000000000000001,,1.5,3979.0,0.6190025610297794,0.5838277000167228,10038.910976,,,3.0,,208005.988352,0.1,1,1681395846.0,,,1320.546304,2489.561088,396.84096,,,0.0
0.21242451212702215,2.719744,,,4248.0,,180.563968,1.2333333333333334,,0.01999999999999602,150.0,0.0,,,2126.0,0.0,3,,,0.0,0.002999999999985903,48.0,0.0,1.4000000000000001,,1.5,4310.0,0.010108994034507216,0.011385583632914961,10038.910976,,,6.0,,208005.566464,0.1,2,1681395847.0,,,1320.964096,2489.573376,396.849152,,,0.0
0.004086095295018702,2.719744,,,4988.0,,180.563968,1.2333333333333334,,0.02400000000000091,150.0,0.0,,,2563.0,0.0,4,,,0.0,0.002999999999985903,48.0,0.0,1.4000000000000001,,1.5,4874.0,0.095544400199472,0.1111146578845444,10038.910976,,,7.0,,208004.276224,0.1,3,1681395848.0,,,1322.254336,2489.577472,396.849152,,,0.0
0.0031717704377039893,2.719744,,,6846.0,,182.575104,1.2333333333333334,,0.027999999999991587,193.0,0.0,,,3697.0,0.0,5,,,0.0,0.003999999999990678,51.0,0.0,1.4000000000000001,,1.6,6484.0,0.8862434572735475,0.15777699452215221,10394.86976,,,8.0,,207715.770368,0.1,5,1681395850.0,,,1610.756096,2778.558464,677.96992,,,0.0
0.004083572000160344,2.719744,,,8069.0,,183.296,1.2333333333333334,,0.031999999999996476,224.0,0.0,,,4532.0,0.0,6,,,0.0,0.003999999999990678,56.0,0.0,1.4000000000000001,,1.8,7706.0,0.2940889657780731,0.13550759440423182,11668.094976,,,9.0,,207298.572288,0.1,6,1681395851.0,,,2027.958272,4051.78368,1093.57056,,,0.0
0.0040865336515192975,2.719744,,,9921.0,,183.296,1.2666666666666666,,0.036000000000001364,224.0,0.0,,,5793.0,0.0,7,,,0.0,0.003999999999990678,64.0,0.0,1.4000000000000001,,2.2,9491.0,0.40385647658952956,0.364308089448114,11668.094976,,,10.0,,206456.85248,0.36666666666666664,7,1681395852.0,,,2869.669888,4051.78368,1933.504512,,,0.0
0.10624881335120244,2.719744,,,10827.0,,184.9344,1.2666666666666666,,0.04399999999999693,224.0,0.0,,,6283.0,0.0,8,,,0.0,0.006000000000000227,71.0,0.0,1.4000000000000001,,2.4,10404.0,0.08399658292556736,0.1656945136158271,12155.244544,,,13.0,,205965.012992,0.36666666666666664,8,1681395853.0,,,3361.497088,4538.933248,2425.229312,,,0.0
0.004086255663041691,2.719744,,,12091.0,,184.999936,1.2666666666666666,,0.04800000000000182,224.0,0.0,,,7269.0,0.0,9,,,0.0,0.006000000000000227,79.0,0.0,1.4000000000000001,,2.7,11726.0,0.24594949342607392,0.30895125549555624,12810.457088,,,14.0,,205294.092288,0.36666666666666664,9,1681395854.0,,,4032.421888,5194.145792,3094.945792,,,0.0
