04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,04_peers/peer_2_epoch,04_peers/peer_3_epoch,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/next_fetch_time_s,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/num_clients,03_hivemind/reached_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_2_samples_per_second,_runtime,03_hivemind/num_peers,03_hivemind/eta_next_epoch_s,04_peers/peer_1_epoch,03_hivemind/actual_total_samples_per_second,_timestamp,04_peers/peer_2_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/estimated_current_samples,_step,04_peers/peer_1_samples_per_second,04_peers/peer_1_samples_accumulated
0.0,,,367.21,0.0,0.0,,,,1.11,1025.2867095317667,,0,0.0,30336,0,,0.0,289.06,80,3,2.21,0.0,1025.2867095317667,1680695752.0,8960.0,7840.0,30498,28,363.14,12320.0
0.0,,,367.08,0.0,0.0,,,,0.5,1077.8834360639275,,0,0.0,31680,0,,0.0,294.75,81,3,0.88,0.0,1077.8834360639275,1680695753.0,9312.0,8256.0,31817,29,363.46,12768.0
0.0,,,367.65,0.0,0.0,,,,0.5,1014.526099243747,,0,0.0,32736,0,,0.0,347.78,82,3,0.0,0.0,1014.526099243747,1680695754.0,9760.0,8704.0,32977,30,362.45,13216.0
0.0,,,289.15,0.0,0.0,,,,0.5,978.9562508626766,,0,0.0,32768,0,,0.0,362.71,83,3,0.0,0.0,978.9562508626766,1680695755.0,10208.0,8960.0,34102,31,362.66,13568.0
0.0,,,253.58,0.0,0.0,,,,0.5,978.9562508626766,,0,0.0,32768,0,,0.0,362.71,85,3,0.0,0.0,978.9562508626766,1680695757.0,10208.0,8992.0,35270,32,362.66,13568.0
0.0,,,253.58,0.0,0.0,,,,0.5,978.9562508626766,,0,0.0,32768,0,,0.0,362.71,86,3,0.0,0.0,978.9562508626766,1680695758.0,10208.0,8992.0,36443,33,362.66,13568.0
0.0,,,253.58,0.0,0.0,,,,0.5,978.9562508626766,,0,0.0,32768,0,,0.0,362.71,87,3,0.0,0.0,978.9562508626766,1680695759.0,10208.0,8992.0,37618,34,362.66,13568.0
0.0,,,253.58,0.0,0.0,,,,0.5,978.9562508626766,,0,0.0,32768,0,,0.0,362.71,88,3,0.0,0.0,978.9562508626766,1680695760.0,10208.0,8992.0,38784,35,362.66,13568.0
0.0,,,253.58,0.0,0.0,,,,0.5,978.9562508626766,,0,0.0,32768,0,,0.0,362.71,89,3,0.0,0.0,978.9562508626766,1680695761.0,10208.0,8992.0,39957,36,362.66,13568.0
0.0,,,253.58,0.0,0.0,,,,10.0,946.6717397118908,,1,0.0,544,0,,0.0,362.71,91,3,33.91,0.0,946.6717397118908,1680695763.0,10208.0,8992.0,671,37,362.66,13568.0
0.0,739.3835251201372,32768.0,271.55,1.0,1.0,0.0,0.0,32768.0,10.0,963.8132031217137,44.31800126284361,1,0.0,1696,0,1.0,0.0,344.5,92,3,32.14,1.0,963.8132031217137,1680695764.0,160.0,192.0,1794,38,330.62,192.0
0.0,,,313.05,1.0,1.0,,,,10.0,1060.1091513535955,,1,0.0,2944,0,,0.0,327.08,93,3,27.97,1.0,1060.1091513535955,1680695765.0,544.0,576.0,3112,39,323.68,576.0
0.0,,,351.68,1.0,1.0,,,,10.0,1089.132367023119,,1,0.0,4288,0,,0.0,355.91,94,3,26.02,1.0,1089.132367023119,1680695766.0,960.0,992.0,4430,40,352.51,992.0
0.0,,,362.95,1.0,1.0,,,,10.0,1095.688019568474,,1,0.0,5600,0,,0.0,365.16,95,3,24.66,1.0,1095.688019568474,1680695767.0,1408.0,1440.0,5745,41,361.02,1440.0
0.0,,,365.41,1.0,1.0,,,,10.0,1097.9648770085041,,1,0.0,6912,0,,0.0,367.3,97,3,23.41,1.0,1097.9648770085041,1680695769.0,1856.0,1888.0,7061,42,362.98,1856.0
0.0,,,366.51,1.0,1.0,,,,10.0,1097.600264185501,,1,0.0,8192,0,,0.0,367.59,98,3,22.23,1.0,1097.600264185501,1680695770.0,2304.0,2304.0,8371,43,363.86,2304.0
0.0,,,367.12,1.0,1.0,,,,10.0,1095.962508096706,,1,0.0,9536,0,,0.0,366.49,99,3,21.06,1.0,1095.962508096706,1680695771.0,2720.0,2752.0,9682,44,363.99,2720.0
0.0,,,365.72,1.0,1.0,,,,9.94,1095.8068258809294,,1,0.0,10848,0,,0.0,366.7,100,3,19.87,1.0,1095.8068258809294,1680695772.0,3168.0,3200.0,10993,45,363.55,3168.0
0.0,,,365.3,1.0,1.0,,,,9.35,1094.2488069354297,,1,0.0,12128,0,,0.0,366.51,101,3,18.7,1.0,1094.2488069354297,1680695773.0,3616.0,3616.0,12302,46,364.0,3616.0
