02_timing/forward_time_s,01_general/minibatch_loss,02_timing/dataload_time_s,cpu/interrupts/soft_interrupts_count,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_one_min_percent,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_fifteen_min_percent,process/memory/virtual_memory_size_proc_MB,01_general/lr,02_timing/step_time_s,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_percent,01_general/dataset_iteration_count,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,_step,02_timing/opt_step_time_s,disk/counter/disk_read_sys_count,process/memory/lib_memory_proc_MB,process/memory/dirty_pages_proc_count,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,_timestamp,cpu/logical_core_count,memory/used_memory_sys_MB,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,bandwidth/disk_read_sys_bandwidth_MBs,01_general/step,03_hivemind/num_peers,memory/total_memory_sys_MB,process/involuntary_proc_ctx_switches,cpu/load/avg_sys_load_five_min_percent,02_timing/loss_calc_time_s,disk/time/disk_write_time_sys_s,_runtime,03_hivemind/global_epoch,cpu/interrupts/interrupts_count,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples
0.01737704400011353,7.035400390625,0.002782034000119893,,,,,,,0.0001,0.2055181070004437,0.14212092500019935,,,0.0,,,15,0.03964045500015345,,,,,,1681395428.0,,,,,,4.0,0.0,,,,0.0004094490000170481,,11,0.0,,0.0031881999998404353,,,,,160.0
0.017275284999868745,,,32516.0,2451.431424,7.9,1.105732186748958,1.633333333333333,31918.85824,,,0.14284119600006306,0.08400000000000318,5.3,,0.016347515024533465,0.0,16,0.03963296800020544,2.0,6552.690688,0.0,6366.871552,2.719744,1681395428.0,,7673.380864,0.0009999999999994458,21.0,0.0,,,,507.0,2.333333333333333,0.0004098429999430664,0.007999999999981355,11,,1000554.0,0.003078043999721558,732.0,86.94666926572962,199956.504576,38059.0,
,7.1494140625,0.0029140000001461885,,,,,,,0.0001,0.20615133599994806,,,,0.0,,,17,,,,,,,1681395428.0,,,,,,5.0,0.0,,,,,,11,0.0,,,,,,,192.0
0.01704502999973556,7.2816162109375,0.003196689999640512,,,,,,,0.0001,0.2074478209992776,0.14411526000003505,,,0.0,,,18,0.039650618999985454,,,,,,1681395428.0,,,,,,6.0,0.0,,,,0.0003735529999175924,,11,0.0,,0.00306666899996344,,,,,224.0
0.01811921499984237,7.1248779296875,0.0030373870004041237,,,,,,,0.0001,0.20736359699958484,0.14278108899998188,,,0.0,,,19,0.03975049299970124,,,,,,1681395429.0,,,,,,7.0,0.0,,,,0.0005975869999019778,,12,0.0,,0.0030778259997532587,,,,,256.0
0.01684374900014518,,,37689.0,2451.41504,7.9,1.0794851999587476,1.633333333333333,31918.862336,,,0.14204779500005316,0.09999999999999432,5.3,,0.016347612239651324,0.0,20,,2.0,6552.690688,0.0,6366.887936,2.719744,1681395429.0,,7677.386752,0.0009999999999994458,25.0,0.0,,,,540.0,2.333333333333333,0.00037290000000211876,0.009000000000014552,12,,1005225.0,0.0030062039995755185,769.0,86.44010705284784,199952.072704,41874.0,
,7.3597412109375,0.002739339999607182,,,,,,,0.0001,0.20499148199951378,,,,0.0,,,21,0.039981494000130624,,,,,,1681395429.0,,,,,,8.0,0.0,,,,,,12,0.0,,,,,,,288.0
0.017708428999867465,6.9808349609375,0.0030489939999824855,,,,,,,0.0001,0.2051653349994922,0.14100526599986551,,,0.0,,,22,0.039625733999855584,,,,,,1681395429.0,,,,,,9.0,0.0,,,,0.0006226440000318689,,12,0.0,,0.003154267999889271,,,,,320.0
0.017011723999985406,7.1771240234375,0.0027468889998090162,,,,,,,0.0001,0.20421318499938934,0.14139683199982755,,,0.0,,,23,0.03957516799982841,,,,,,1681395430.0,,,,,,10.0,0.0,,,,0.0004090859997631924,,13,0.0,,0.0030734860001757625,,,,,352.0
0.01825880500018684,,,42595.0,2451.431424,7.9,1.062585948688708,1.633333333333333,31919.12448,,,,0.11599999999999966,5.3,,0.016347476135906192,0.0,24,,2.0,6552.952832,0.0,6367.014912,2.719744,1681395430.0,,7675.527168,0.0009999999999994458,29.0,0.0,,,,626.0,2.333333333333333,0.00045620300033988315,0.009999999999990905,13,,1009650.0,0.0031511379997937183,803.0,92.15739605606208,199954.358272,45583.0,
