02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/step,disk/counter/disk_write_sys_count,process/memory/data_resident_set_proc_MB,memory/used_memory_sys_MB,01_general/dataset_iteration_count,02_timing/step_time_s,disk/time/disk_busy_time_sys_s,process/involuntary_proc_ctx_switches,memory/used_memory_sys_percent,process/memory/resident_set_size_proc_MB,process/memory/virtual_memory_size_proc_MB,disk/time/disk_write_time_sys_s,disk/counter/disk_read_sys_count,cpu/load/avg_sys_load_one_min_percent,_timestamp,memory/available_memory_sys_MB,03_hivemind/num_peers,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,_runtime,cpu/logical_core_count,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/dataload_cuda_move_time_s,_step,02_timing/backward_time_s,cpu/interrupts/interrupts_count,memory/total_memory_sys_MB,process/memory/dirty_pages_proc_count,03_hivemind/global_epoch,02_timing/dataload_time_s,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,process/memory/lib_memory_proc_MB,process/memory/shared_memory_proc_MB,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_five_min_percent,disk/time/disk_read_time_sys_s,02_timing/forward_time_s,01_general/minibatch_loss,01_general/lr,02_timing/loss_calc_time_s,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/disk_read_sys_bandwidth_MBs
,,,230.0,0.0,3056.750592,,,0.11199999999999477,45.0,12.1,2610.864128,13869.391872,0.3799999999996544,5.0,3.6249999999999996,1696169503.0,27723.374592,,0.024188940245952167,0.043990045024522355,14,,2.654208,4.625,,14,,68982.0,,0.0,,,4157.0,11766.0,2695.081984,833.51552,18566.0,5.125,0.0019999999999988916,,,,,0.004084675925906878,0.0
,,,231.0,0.0,3058.249728,,,0.11599999999999966,45.0,12.2,2610.864128,13869.391872,0.3799999999996544,5.0,3.6249999999999996,1696169504.0,27721.875456,,0.0219011833473572,0.006917422936219266,15,,2.654208,4.625,,15,,69332.0,,0.0,,,4157.0,12019.0,2695.114752,833.51552,19034.0,5.125,0.0019999999999988916,,,,,0.004085029460651206,0.0
,,,232.0,0.0,3058.40128,,,0.12000000000000455,45.0,12.2,2610.864128,13869.391872,0.3809999999998581,5.0,3.6249999999999996,1696169505.0,27721.732096,,0.0072935830357793476,0.044766959346565355,16,,2.654208,4.625,,16,,69639.0,,0.0,,,4157.0,12175.0,2695.114752,833.51552,19519.0,5.125,0.0019999999999988916,,,,,0.004085683277799177,0.0
,,,235.0,0.0,3058.352128,,,0.1280000000000001,45.0,12.2,2610.864128,13869.391872,0.3829999999998108,5.0,3.6249999999999996,1696169506.0,27721.773056,,0.05357857762494821,0.01686747775125868,17,,2.654208,4.625,,17,,69955.0,,0.0,,,4157.0,12372.0,2695.114752,833.51552,19992.0,5.125,0.0019999999999988916,,,,,0.03268173550951407,0.0
,,,236.0,0.0,3058.282496,,,0.132000000000005,45.0,12.2,2610.864128,13869.391872,0.3829999999998108,5.0,3.6249999999999996,1696169507.0,27721.85088,,0.007987161380755167,0.04343866788523483,18,,2.654208,4.625,,18,,70232.0,,0.0,,,4157.0,12512.0,2695.114752,833.51552,20435.0,5.125,0.0019999999999988916,,,,,0.004085341285874853,0.0
,,,237.0,0.0,3058.282496,,,0.14000000000000057,45.0,12.2,2610.864128,13869.391872,0.38400000000001455,5.0,3.375,1696169508.0,27721.85088,,0.0,0.001643746320544229,19,,2.654208,4.5,,19,,70519.0,,0.0,,,4157.0,12637.0,2695.114752,833.51552,20905.0,5.125,0.0019999999999988916,,,,,0.004085427750015901,0.0
,,,238.0,0.0,3058.245632,,,0.14799999999999613,45.0,12.2,2610.864128,13869.391872,0.38400000000001455,5.0,3.375,1696169509.0,27721.883648,,0.008193057587385045,0.04120461774960965,20,,2.654208,4.5,,20,,70803.0,,0.0,,,4157.0,12783.0,2695.114752,833.51552,21342.0,5.125,0.0019999999999988916,,,,,0.004084562300337436,0.0
,,,242.0,0.0,3058.233344,,,0.15200000000000102,45.0,12.2,2610.864128,13869.391872,0.38699999999971624,5.0,3.375,1696169510.0,27721.89184,,0.0,0.0,21,,2.654208,4.5,,21,,71046.0,,0.0,,,4157.0,12888.0,2695.114752,833.51552,21761.0,5.125,0.0019999999999988916,,,,,0.07761502457221879,0.0
,,,243.0,0.0,3058.233344,,,0.1560000000000059,45.0,12.2,2610.864128,13869.391872,0.38699999999971624,5.0,3.375,1696169511.0,27721.900032,,0.008569953480454301,0.04387911936511655,22,,2.654208,4.5,,22,,71380.0,,0.0,,,4157.0,13100.0,2695.114752,833.51552,22263.0,5.125,0.0019999999999988916,,,,,0.004085489928739135,0.0
,,,256.0,0.0,3058.233344,,,0.16400000000000148,45.0,12.2,2610.864128,13869.391872,0.3979999999996835,5.0,3.375,1696169512.0,27721.900032,,0.0005265944692979563,0.0,23,,2.654208,4.5,,23,,71640.0,,0.0,,,4157.0,13198.0,2695.114752,833.51552,22709.0,5.125,0.0019999999999988916,,,,,0.07761683322142024,0.0
