_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,0,30.0,211076.595712,1683049489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,1683049489,3.8,0.0,0.0,1222.111232,0.0,24.0,0.21786448886344073,178.56512,0.0,395.042816,0.0,0.0,0.0,1.1333333333333333,18.0,0.2442722904113379,208113.414144,2.711552,136.0,0.0,2481.414144,0.0,27.0,1.4,3.733333333333334,9975.263232,78.0,,,,,,,,,,,,,,
2,2,,,1683049491,3.8,0.0,0.008000000000009777,1652.79744,0.008806263386159694,4446.0,0.40401599911606717,182.882304,3.0,679.251968,0.0,0.0,0.0,1.1333333333333333,2250.0,1.0121870978956091,207682.740224,2.711552,172.0,0.0,2779.389952,0.0,4197.0,1.6,3.733333333333334,10407.19872,89.0,,,,,,,,,,,,,,
3,3,,,1683049492,3.8,0.0,0.016000000000019554,2127.925248,0.004086163332579398,5338.0,0.07747748749544116,183.668736,4.0,1154.740224,0.0,0.0,0.0,1.0333333333333332,2691.0,0.11015083254613738,207207.60832,2.711552,179.0,0.0,4052.893696,0.0,4982.0,1.8,3.6666666666666665,11680.690176,97.0,,,,,,,,,,,,,,
4,4,,,1683049493,3.8,0.0,0.020000000000010232,2926.841856,0.004086466573648317,5708.0,0.003519788595484435,183.668736,5.0,1951.98976,0.0,0.0,0.0,1.0333333333333332,2874.0,0.003942801677166266,206408.691712,2.711552,180.0,0.0010000000000047748,4052.897792,0.0,5464.0,2.2,3.6666666666666665,11680.690176,111.0,,,,,,,,,,,,,,
5,5,,,1683049494,3.8,0.0,0.02400000000000091,3499.19232,0.004086575443001372,6168.0,0.010439923201645579,185.176064,6.0,2524.086272,0.0,0.0,0.0,1.0333333333333332,3094.0,0.007702236918867241,205836.341248,2.711552,180.0,0.0010000000000047748,4636.790784,0.0,6009.0,2.5,3.6666666666666665,12264.583168,126.0,,,,,,,,,,,,,,
6,6,,,1683049495,3.8,0.0,0.03999999999999204,4068.446208,0.6130051271179433,6683.0,0.06490032148401224,185.176064,78.0,3092.123648,0.0,0.0,0.0,1.0333333333333332,3297.0,0.015245309852314178,205267.08736,2.711552,180.0,0.029000000000024784,5191.057408,0.0,6654.0,2.8,3.6666666666666665,12818.849792,144.0,,,,,,,,,,,,,,
7,7,,,1683049496,3.8,0.0,0.04400000000001114,4068.900864,0.004086149719079248,7324.0,0.05066985270129547,185.176064,79.0,3092.15232,0.0,0.0,0.0,1.0333333333333332,3728.0,0.04906571971349611,205266.632704,2.711552,180.0,0.030000000000001137,5191.057408,0.0,7410.0,2.8,3.6666666666666665,12818.849792,153.0,,,,,,,,,,,,,,
8,8,,,1683049497,3.766666666666666,0.0,0.04800000000000182,4069.875712,0.004086053513357348,7819.0,0.05291918128911756,185.176064,80.0,3092.156416,0.0,0.0,0.0,1.2333333333333334,3925.0,0.016559689488264875,205265.620992,2.711552,180.0,0.030000000000001137,5191.057408,0.0,7991.0,2.8,3.6666666666666665,12818.849792,160.0,,,,,,,,,,,,,,
9,9,,,1683049498,3.766666666666666,0.0,0.0519999999999925,4604.551168,0.004086488930274306,8236.0,0.0037672319831637394,185.176064,81.0,3626.00448,0.0,0.0,0.0,1.2333333333333334,4146.0,0.0033282537053860475,204730.945536,2.711552,180.0,0.030000000000001137,6219.526144,0.0,8530.0,3.0,3.6666666666666665,13847.318528,166.0,,,,,,,,,,,,,,
