02_timing/dataload_time_s,cpu/interrupts/interrupts_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_five_min_percent,01_general/step,02_timing/step_time_s,01_general/minibatch_loss,disk/time/disk_busy_time_sys_s,process/involuntary_proc_ctx_switches,process/memory/virtual_memory_size_proc_MB,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/resident_set_size_proc_MB,02_timing/forward_time_s,02_timing/loss_calc_time_s,cpu/interrupts/soft_interrupts_count,process/voluntary_proc_ctx_switches,cpu/load/avg_sys_load_one_min_percent,process/memory/text_resident_set_proc_MB,_runtime,02_timing/backward_time_s,cpu/interrupts/ctx_switches_count,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,disk/time/disk_read_time_sys_s,02_timing/dataload_cuda_move_time_s,process/memory/dirty_pages_proc_count,02_timing/opt_step_time_s,memory/total_memory_sys_MB,memory/available_memory_sys_MB,memory/used_memory_sys_percent,disk/counter/disk_read_sys_count,_timestamp,03_hivemind/num_peers,cpu/logical_core_count,memory/used_memory_sys_MB,01_general/locally_processed_samples,process/memory/shared_memory_proc_MB,disk/time/disk_write_time_sys_s,disk/counter/disk_write_sys_count,process/memory/lib_memory_proc_MB,01_general/dataset_iteration_count,bandwidth/net_recv_sys_bandwidth_Mbits,_step,01_general/lr,03_hivemind/global_epoch,cpu/load/avg_sys_load_fifteen_min_percent
,,,,,,,,,,,,,,,,,,0,,,,,,,,,211076.599808,,,,1680687581.0,,30.0,,,,,,,,,0,,,
,18.0,0.0,1.9333333333333331,,,,0.0,48.0,9963.388928,0.0,394.784768,,,9.0,125.0,0.5666666666666667,2.719744,0,,9.0,0.0,0.0,0.0,,0.0,,,208132.284416,1.4,0.0,1680687581.0,,,1199.624192,,178.60608,0.0,0.0,2481.020928,,0.0,1,,,1.3666666666666665
,3291.0,0.0,2.1,,,,0.007999999999995566,56.0,10507.165696,0.45207664558676314,784.072704,,,1387.0,142.0,1.3333333333333335,2.719744,1,,3502.0,0.01225494559869463,0.0,0.0,,0.0,,,207623.245824,1.6,0.0,1680687582.0,,,1708.695552,,182.755328,0.0009999999999763531,3.0,2890.838016,,1.0434017062595848,2,,,1.4000000000000001
,7367.0,0.0,2.1,,,,0.016000000000005343,62.0,11589.677056,0.14707643824747343,1289.396224,,,2255.0,153.0,1.3333333333333335,2.719744,2,,4897.0,0.2328962980911588,0.0,0.0,,0.0,,,207162.38848,1.9,0.0,1680687583.0,,,2159.140864,,317.771776,0.0029999999999290594,6.0,3300.241408,,0.14003783713200274,3,,,1.4000000000000001
,8831.0,0.0,2.1,,,,0.01999999999999602,92.0,14647.68512,0.17490022800889057,1833.746432,,,2961.0,194.0,1.3333333333333335,2.719744,3,,6690.0,0.0040854471842922055,0.0,0.0,,0.0,,,206743.089152,2.1,0.0,1680687584.0,,,2577.289216,,461.172736,0.0029999999999290594,7.0,3943.97696,,0.17626470352757717,4,,,1.4000000000000001
,675151.0,0.0,2.1,,,,0.02400000000000091,179.0,19518.824448,0.21009714327251938,4348.416,,,6311.0,771.0,1.3333333333333335,2.719744,4,,14417.0,0.0040735311574494806,0.0,0.0,,0.0,,,203895.300096,3.4,0.0,1680687585.0,,,4417.409024,,1477.218304,0.0029999999999290594,8.0,5451.923456,,0.14567647568414419,5,,,1.4000000000000001
,685461.0,0.0,2.1,,,,0.031999999999996476,185.0,19879.890944,0.7607041650064463,4265.074688,,,13183.0,838.0,1.3333333333333335,2.719744,5,,19924.0,0.534888557839587,0.0,0.0,0.00272924899991267,0.0,,,203638.501376,3.5,0.0,1680687586.0,,,4623.540224,,1506.598912,0.01999999999998181,95.0,5365.035008,,97.78149936131653,6,,,1.4000000000000001
,688685.0,0.0,2.1,,,,0.036000000000001364,188.0,20688.064512,0.28700733574201664,4807.716864,,,15628.0,838.0,1.5000000000000002,2.719744,6,,22062.0,0.0040860816964884295,0.0,0.0,,0.0,,,202374.67648,4.1,0.0,1680687587.0,,,5826.813952,,1767.600128,0.01999999999998181,96.0,5660.696576,,142.93106577057742,7,,,1.4333333333333333
0.9337732829999368,,,,0.0,2.454196529999763,6.9857177734375,,,,,,1.3933272579999993,0.00026805600009538466,,,,,7,0.1209936430000198,,,,,,,0.0031050409997988027,,,,,1680687588.0,1.0,,,32.0,,,,,0.0,,8,0.0001,0.0,
0.0025166709999666637,,,,1.0,0.08220170300000973,7.090576171875,,,,,,0.035493226000198774,0.00024643000006108196,,,,,7,0.02928842099981921,,,,,0.002689805000045453,,0.011967149999918547,,,,,1680687588.0,1.0,,,64.0,,,,,0.0,,9,0.0001,0.0,
0.002722122000022864,,,,2.0,0.08122686900037479,7.183837890625,,,,,,0.03548264999994899,0.00024909000012485194,,,,,7,0.029504820000056498,,,,,0.0025886160001391545,,0.010679571000082433,,,,,1680687588.0,1.0,,,96.0,,,,,0.0,,10,0.0001,0.0,
0.0026411520000237942,,,,3.0,0.08201722500007236,7.093994140625,,,,,,0.03541286900008345,0.00028670100005001586,,,,,7,0.029362175999949613,,,,,0.002626661000022068,,0.01168766599994342,,,,,1680687588.0,1.0,,,128.0,,,,,0.0,,11,0.0001,0.0,
,691632.0,0.0,2.1,,,,0.060000000000002274,190.0,25435.541504,0.2918120922942561,5449.35936,,,17935.0,903.0,1.5000000000000002,2.719744,7,,25127.0,0.11033039859355213,0.0,0.0,0.0026306499999009247,0.0,,,201865.793536,4.4,0.0,1680687588.0,,,6355.37408,,1906.479104,0.023000000000024556,103.0,6172.110848,,70.86094354636316,12,,,1.4333333333333333
0.002589387999933024,,,,4.0,0.08154398099986793,7.0079345703125,,,,,,0.0377095679998547,0.00025366900013068516,,,,,7,0.02961971500008076,,,,,,,0.008740990999967835,,,,,1680687588.0,1.0,,,160.0,,,,,0.0,,13,0.0001,0.0,
0.0026072230000409036,,,,5.0,0.08166359300003023,7.177490234375,,,,,,0.03549339799997142,0.0002581950000148936,,,,,7,0.029431736999868008,,,,,0.0026442830001087714,,0.011228757000026235,,,,,1680687588.0,1.0,,,192.0,,,,,0.0,,14,0.0001,0.0,
0.0025875910000650038,,,,6.0,0.08190892500010705,7.0499267578125,,,,,,0.0354497949999768,0.0002809439999964525,,,,,8,0.029508991000056994,,,,,0.0026485979999506526,,0.011433006000061141,,,,,1680687589.0,1.0,,,224.0,,,,,0.0,,15,0.0001,0.0,
0.002502022999806286,,,,7.0,0.08219120199942154,7.1295166015625,,,,,,0.03557980300001873,0.000281139999970037,,,,,8,0.02926162399990062,,,,,0.002657866999925318,,0.011908744999800547,,,,,1680687589.0,1.0,,,256.0,,,,,0.0,,16,0.0001,0.0,
0.002674818000059531,,,,8.0,0.08212783299973125,7.1317138671875,,,,,,0.03573601399989457,0.00028555399990182195,,,,,8,0.02951672199992572,,,,,0.002649286999940159,,0.011265438000009453,,,,,1680687589.0,1.0,,,288.0,,,,,0.0,,17,0.0001,0.0,
0.0026644210001904867,,,,9.0,0.08218827600035183,7.0850830078125,,,,,,0.035453694000125324,0.00028765199999725155,,,,,8,0.02927628499992352,,,,,0.0026621990000421647,,0.011844025000073088,,,,,1680687589.0,1.0,,,320.0,,,,,0.0,,18,0.0001,0.0,
0.0025572900001407106,,,,10.0,0.08114294400024846,6.913818359375,,,,,,0.03549519600005624,0.0002898870000080933,,,,,8,0.029470601999946666,,,,,0.0026101739999830897,,0.010719795000113663,,,,,1680687589.0,1.0,,,352.0,,,,,0.0,,19,0.0001,0.0,
,697974.0,0.0,2.1,,,,0.09199999999999875,193.0,25435.5456,0.5503033286745361,5449.375744,,,25593.0,1011.0,1.5000000000000002,2.719744,8,,29900.0,0.03269144489501346,0.0,0.0,0.0026914109998870117,0.0,,,201859.489792,4.4,0.0,1680687589.0,,,6360.764416,,1906.479104,0.024999999999977263,111.0,6172.110848,,209.85629758511394,20,,,1.4333333333333333
0.002693839999892589,,,,11.0,0.08239049600024373,7.227294921875,,,,,,0.03668138400007592,0.00028659000008701696,,,,,8,0.02945381500012445,,,,,,,0.010583456000176739,,,,,1680687589.0,1.0,,,384.0,,,,,0.0,,21,0.0001,0.0,
0.0025348850001591927,,,,12.0,0.08271175899994887,6.9287109375,,,,,,0.03536154699986582,0.00032250899994323845,,,,,8,0.02928525700008322,,,,,0.002653825999914261,,0.012553734999983135,,,,,1680687589.0,1.0,,,416.0,,,,,0.0,,22,0.0001,0.0,
0.0025981380001667276,,,,13.0,0.08263893300022573,7.0142822265625,,,,,,0.035515487000111534,0.00026901199998974334,,,,,9,0.02974057799997354,,,,,0.0026805569998487044,,0.011835161000135486,,,,,1680687590.0,1.0,,,448.0,,,,,0.0,,23,0.0001,0.0,
0.0026318099999116384,,,,14.0,0.08184131400003025,7.1253662109375,,,,,,0.03556515900004342,0.0002533209999455721,,,,,9,0.0293901630000164,,,,,0.0026184600001215586,,0.01138240099999166,,,,,1680687590.0,1.0,,,480.0,,,,,0.0,,24,0.0001,0.0,
0.002544467000006989,,,,15.0,0.08221559399999023,7.1368408203125,,,,,,0.03552498299995932,0.0002918370000770665,,,,,9,0.029354321000027994,,,,,0.0026374069998382765,,0.011862579000080586,,,,,1680687590.0,1.0,,,512.0,,,,,0.0,,25,0.0001,0.0,
0.0025574809999397985,,,,16.0,0.0825384810000287,7.0579833984375,,,,,,0.0355345989999023,0.00028904500004500733,,,,,9,0.02941584099994543,,,,,0.0026031340000827186,,0.01213838100011344,,,,,1680687590.0,1.0,,,544.0,,,,,0.0,,26,0.0001,0.0,
