_timestamp,03_hivemind/num_peers,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,04_peers/peer_3_epoch,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_3_samples_per_second,03_hivemind/epoch_s,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/estimated_current_samples,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,_step,03_hivemind/eta_next_epoch_s,03_hivemind/global_samples_accumulated,03_hivemind/actual_total_samples_per_second,_runtime,03_hivemind/reached_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_2_samples_accumulated
1680695961.0,1,,,,,10.0,,,,3.9166801135710037,0,,,,,,160,,,0,,,0,8325.31,160,3.9166801135710037,50,,,
1680695962.0,1,,,,0.0,10.0,,,,20.344324383268237,0,160.0,,,,,484,3.92,0.0,0,,,1,1586.87,480,20.344324383268237,51,,,
1680695963.0,1,,,,0.0,10.0,,,,57.31077268326518,0,480.0,,,,,807,20.34,0.0,0,,,2,557.68,800,57.31077268326518,52,,,
1680695964.0,1,,,,0.0,10.0,,,,111.77657209777526,0,800.0,,,,,1108,57.31,0.0,0,,,3,283.25,1088,111.77657209777526,53,,,
1680695966.0,1,,,,0.0,10.0,,,,176.60084318924459,0,1088.0,,,,,1425,111.78,0.0,0,,,4,177.48,1408,176.60084318924459,55,,,
1680695967.0,1,,,,0.0,10.0,,,,216.6995815776841,0,1408.0,,,,,1726,176.6,0.0,0,,,5,143.25,1696,216.6995815776841,56,,,
1680695968.0,1,,,,0.0,10.0,,,,237.3832447203038,0,1696.0,,,,,2027,216.7,0.0,0,,,6,129.5,1984,237.3832447203038,57,,,
1680695969.0,1,,,,0.0,10.0,,,,246.89269971961016,0,1984.0,,,,,2329,237.38,0.0,0,,,7,123.29,2304,246.89269971961016,58,,,
1680695970.0,2,,,,0.0,10.0,,,,303.97346697447256,0,2304.0,,,,,2861,246.89,0.0,0,,,8,98.39,2816,303.97346697447256,59,,,
1680695972.0,2,,,,0.0,10.0,,,,383.44434397628254,0,2592.0,,0.0,0.0,53.46,3471,250.51,0.0,0,,,9,76.41,3392,383.44434397628254,61,,,224.0
1680695973.0,2,,,,0.0,10.0,,,,450.7333605888664,0,2880.0,,0.0,0.0,131.78,4093,251.66,0.0,0,,,10,63.62,4032,450.7333605888664,62,,,512.0
1680695974.0,3,,,,0.0,10.0,,,,504.76539217054807,0,3200.0,,0.0,0.0,198.4,4803,252.33,0.0,0,,,11,55.4,4704,504.76539217054807,63,,,832.0
1680695975.0,3,,,0.0,0.0,10.0,21.55,,,597.0133191927016,0,3488.0,96.0,0.0,0.0,230.76,5713,252.46,0.0,0,,,12,45.32,5632,597.0133191927016,64,,0.0,1120.0
