04_peers/peer_3_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,04_peers/peer_7_epoch,04_peers/peer_2_samples_accumulated,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,_timestamp,04_peers/peer_8_epoch,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_4_epoch,03_hivemind/epoch_based_sps,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch_oos,04_peers/peer_8_epoch_oos,04_peers/peer_8_samples_per_second,_runtime,03_hivemind/num_peers,04_peers/peer_6_samples_per_second,03_hivemind/estimated_current_samples,04_peers/peer_8_samples_accumulated,_step,04_peers/peer_4_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_4_samples_accumulated,04_peers/peer_9_samples_accumulated,04_peers/peer_5_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_6_epoch,04_peers/peer_5_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_7_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_9_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_epoch,04_peers/peer_9_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_7_samples_accumulated,04_peers/peer_5_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_9_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_5_epoch,03_hivemind/undershot_TBS
0.0,,117.96,,0.0,1952.0,0,0.0,1681405785.0,0.0,0.0,1.3,0.0,,2425.1940792222654,2425.1940792222654,0.0,0.0,0.0,71.15,66,9,117.18,28548,1056.0,13,119.28,2112.0,1888.0,11008.0,0.0,,0.0,115.58,122.12,119.92,1856.0,,0.0,0.0,117.72,0.0,0.0,1.74,1760.0,1792.0,1792.0,28032,,0,0.0,1549.6,0.0,0.0,
0.0,,118.04,,0.0,2080.0,0,0.0,1681405786.0,0.0,0.0,0.5,0.0,,2350.4202580175975,2350.4202580175975,0.0,0.0,0.0,83.19,67,9,117.53,31270,1184.0,14,119.63,2240.0,2016.0,12800.0,0.0,,0.0,115.86,122.13,120.08,1984.0,,0.0,0.0,117.95,0.0,0.0,0.64,1888.0,1920.0,1920.0,30784,,0,0.0,1510.79,0.0,0.0,
0.0,,118.1,,0.0,2240.0,0,0.0,1681405788.0,0.0,0.0,0.5,0.0,,2327.2336780207743,2327.2336780207743,0.0,0.0,0.0,95.59,69,9,117.63,33861,1344.0,15,119.81,2400.0,2176.0,14336.0,0.0,,0.0,116.06,122.06,120.26,2144.0,,0.0,0.0,117.97,0.0,0.0,0.0,2048.0,2048.0,2048.0,33344,,0,0.0,1422.94,0.0,0.0,
0.0,,118.09,,0.0,2368.0,0,0.0,1681405789.0,0.0,0.0,0.5,0.0,,2238.20052047095,2238.20052047095,0.0,0.0,0.0,103.17,70,9,117.83,36345,1472.0,16,120.04,2528.0,2304.0,15872.0,0.0,,0.0,116.17,122.06,120.39,2272.0,,0.0,0.0,118.03,0.0,0.0,0.0,2176.0,2176.0,2176.0,35744,,0,0.0,1391.45,0.0,0.0,
0.0,,118.15,,0.0,2496.0,0,0.0,1681405790.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,71,9,117.9,39234,1600.0,17,119.88,2656.0,2432.0,17408.0,0.0,,0.0,116.19,122.06,120.48,2400.0,,0.0,0.0,118.03,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1296.9,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405791.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,72,9,117.9,41890,1600.0,18,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405792.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,73,9,117.9,44562,1600.0,19,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405793.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,74,9,117.9,47222,1600.0,20,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405794.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,75,9,117.9,49894,1600.0,21,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405795.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,76,9,117.9,52578,1600.0,22,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405797.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,78,9,117.9,55259,1600.0,23,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405798.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,79,9,117.9,57926,1600.0,24,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
