03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_8_samples_accumulated,04_peers/peer_7_samples_per_second,03_hivemind/global_samples_accumulated,04_peers/peer_3_epoch,04_peers/peer_8_epoch,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_per_second,04_peers/peer_5_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_7_samples_accumulated,_step,03_hivemind/epoch_s,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_7_epoch,04_peers/peer_6_epoch_oos,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/reached_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_3_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_8_epoch_oos,04_peers/peer_6_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_4_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/num_clients,03_hivemind/undershot_TBS,04_peers/peer_4_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_8_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_5_epoch_oos,03_hivemind/num_peers,04_peers/peer_4_epoch,04_peers/peer_5_epoch,04_peers/peer_6_epoch,03_hivemind/global_epoch,03_hivemind/overshot_TBS
,236.84,4608.0,2976.0,234.84,32928,0.0,0.0,,0.0,235.16,237.74,1889.851410308789,0.0,2976.0,13,,0.0,0.0,0.0,0.0,1889.851410308789,1680700025.0,,0.0,0.0,234.09,0.0,235.29,4576.0,4576.0,3904.0,41098,103,0.0,237.86,4672.0,,0,,0.0,0.5,238.02,4640.0,0.0,8,0.0,0.0,0.0,0,
,236.84,4608.0,2976.0,234.84,32928,0.0,0.0,,0.0,235.16,237.74,1889.851410308789,0.0,2976.0,14,,0.0,0.0,0.0,0.0,1889.851410308789,1680700027.0,,0.0,0.0,234.09,0.0,235.29,4576.0,4576.0,3904.0,43773,105,0.0,237.86,4672.0,,0,,0.0,0.5,238.02,4640.0,0.0,8,0.0,0.0,0.0,0,
,236.84,4608.0,2976.0,234.84,32928,0.0,0.0,,0.0,235.16,237.74,1889.851410308789,0.0,2976.0,15,,0.0,0.0,0.0,0.0,1889.851410308789,1680700028.0,,0.0,0.0,234.09,0.0,235.29,4576.0,4576.0,3904.0,46672,106,0.0,237.86,4672.0,,0,,0.0,0.5,238.02,4640.0,0.0,8,0.0,0.0,0.0,0,
,236.84,4608.0,2976.0,234.84,32928,0.0,0.0,,0.0,235.16,237.74,1889.851410308789,0.0,2976.0,16,,0.0,0.0,0.0,0.0,1889.851410308789,1680700030.0,,0.0,0.0,234.09,0.0,235.29,4576.0,4576.0,3904.0,49333,108,0.0,237.86,4672.0,,0,,0.0,0.5,238.02,4640.0,0.0,8,0.0,0.0,0.0,0,
,236.84,4608.0,2976.0,234.84,32928,0.0,0.0,,0.0,235.16,237.74,1889.851410308789,0.0,2976.0,17,,0.0,0.0,0.0,0.0,1889.851410308789,1680700031.0,,0.0,0.0,234.09,0.0,235.29,4576.0,4576.0,3904.0,51992,109,0.0,237.86,4672.0,,0,,0.0,0.5,238.02,4640.0,0.0,8,0.0,0.0,0.0,0,
,236.84,4608.0,2976.0,234.84,32928,0.0,0.0,,0.0,235.16,237.74,1889.851410308789,0.0,2976.0,18,,0.0,0.0,0.0,0.0,1889.851410308789,1680700032.0,,0.0,0.0,234.09,0.0,235.29,4576.0,4576.0,3904.0,54657,110,0.0,237.86,4672.0,,0,,0.0,0.5,238.02,4640.0,0.0,8,0.0,0.0,0.0,0,
,236.84,4608.0,2976.0,234.84,32928,0.0,0.0,,0.0,235.16,237.74,1889.851410308789,0.0,2976.0,19,,0.0,0.0,0.0,0.0,1889.851410308789,1680700034.0,,0.0,0.0,234.09,0.0,235.29,4576.0,4576.0,3904.0,57299,112,0.0,237.86,4672.0,,0,,0.0,0.5,238.02,4640.0,0.0,8,0.0,0.0,0.0,0,
,236.84,4608.0,2976.0,234.84,32928,0.0,0.0,,0.0,235.16,237.74,1889.851410308789,0.0,2976.0,20,,0.0,0.0,0.0,0.0,1889.851410308789,1680700035.0,,0.0,0.0,234.09,0.0,235.29,4576.0,4576.0,3904.0,59947,113,0.0,237.86,4672.0,,0,,0.0,0.5,238.02,4640.0,0.0,8,0.0,0.0,0.0,0,
,236.84,4608.0,2976.0,234.84,32928,0.0,0.0,,0.0,235.16,237.74,1889.851410308789,0.0,2976.0,21,,0.0,0.0,0.0,0.0,1889.851410308789,1680700037.0,,0.0,0.0,234.09,0.0,235.29,4576.0,4576.0,3904.0,62624,115,0.0,237.86,4672.0,,0,,0.0,0.5,238.02,4640.0,0.0,8,0.0,0.0,0.0,0,
,236.84,4608.0,2976.0,234.84,32928,0.0,0.0,,0.0,235.16,237.74,1889.851410308789,0.0,2976.0,22,,0.0,0.0,0.0,0.0,1889.851410308789,1680700038.0,,0.0,0.0,234.09,0.0,235.29,4576.0,4576.0,3904.0,65283,116,0.0,237.86,4672.0,,0,,0.0,0.5,238.02,4640.0,0.0,8,0.0,0.0,0.0,0,
