process/memory/shared_memory_proc_MB,memory/available_memory_sys_MB,memory/used_memory_sys_percent,disk/time/disk_write_time_sys_s,_timestamp,01_general/minibatch_loss,01_general/locally_processed_samples,disk/counter/disk_read_sys_count,disk/counter/disk_write_sys_count,process/voluntary_proc_ctx_switches,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/forward_time_s,memory/used_memory_sys_MB,cpu/interrupts/interrupts_count,cpu/load/avg_sys_load_five_min_percent,02_timing/loss_calc_time_s,disk/time/disk_read_time_sys_s,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,01_general/lr,03_hivemind/num_peers,03_hivemind/global_epoch,memory/total_memory_sys_MB,disk/time/disk_busy_time_sys_s,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,process/memory/resident_set_size_proc_MB,02_timing/step_time_s,02_timing/backward_time_s,02_timing/dataload_time_s,process/memory/virtual_memory_size_proc_MB,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,_runtime,process/involuntary_proc_ctx_switches,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,_step,cpu/logical_core_count,process/memory/lib_memory_proc_MB,cpu/interrupts/soft_interrupts_count,01_general/step,02_timing/opt_step_time_s,cpu/interrupts/ctx_switches_count
,,,,1681394166.0,,,,,,,,,,,,,,,,,,,211076.599808,,,,,,,,,,,,0,,,,0,30.0,,,,,
178.982912,208176.04608,1.4,0.0,1681394166.0,,,0.0,0.0,181.0,0.0,0.26206099779436015,,1152.26624,6.0,0.6333333333333333,,0.0,0.16666666666666669,0.0,,,,,0.0,,,395.169792,,,,9963.388928,0.0,2.719744,0.6333333333333333,0,59.0,0.0,0.23373008042338025,1,,2481.020928,2.0,,,7.0
183.803904,207649.615872,1.6,0.2109999999999559,1681394167.0,,,0.0,259.0,198.0,0.0,0.7053178963060456,,1678.667776,4211.0,0.6666666666666667,,0.0,0.4333333333333333,0.0,,,,,0.016000000000005343,,,792.674304,,,,10511.921152,4.750809059216074,2.719744,0.6333333333333333,1,63.0,0.0,0.7404788746537689,2,,2895.593472,2200.0,,,4081.0
186.097664,207241.326592,1.8,0.2109999999999559,1681394168.0,,,0.0,260.0,253.0,0.0,0.0596785281239006,,2086.957056,14255.0,0.6666666666666667,,0.0,0.4333333333333333,0.0,,,,,0.01999999999999602,,,1196.859392,,,,13097.537536,0.004086039900588741,2.719744,0.6333333333333333,2,70.0,0.0,0.07504108049607333,3,,3538.866176,4762.0,,,8678.0
345.186304,206695.60832,2.1,0.2109999999999559,1681394169.0,,,44.0,261.0,322.0,3.9638706936839507,0.11698303148759433,,2622.189568,20394.0,0.6666666666666667,,0.0039999999999995595,0.4333333333333333,0.0,,,,,0.05200000000000671,,,1813.2992,,,,14238.314496,0.004086464629605443,2.719744,0.6333333333333333,3,76.0,0.0,0.14413567343999015,4,,4006.526976,6836.0,,,11977.0
462.692352,206776.97536,2.0,0.2109999999999559,1681394170.0,,,45.0,262.0,328.0,0.06536629993993646,0.14968340094961785,,2540.818432,21373.0,0.6666666666666667,,0.004999999999999005,0.4333333333333333,0.0,,,,,0.060000000000002274,,,1835.954176,,,,15754.072064,0.004085393750455724,2.719744,0.6333333333333333,4,81.0,0.0,0.11708802311046845,5,,3911.671808,7440.0,,,13110.0
462.692352,206776.97536,2.0,0.2109999999999559,1681394171.0,,,45.0,263.0,328.0,0.0,0.0788960486021065,,2540.818432,21948.0,0.6666666666666667,,0.004999999999999005,0.4333333333333333,0.0,,,,,0.06399999999999295,,,1835.954176,,,,15754.072064,0.004086885558040777,2.719744,0.6333333333333333,5,81.0,0.0,0.17908860243911295,6,,3911.671808,7853.0,,,13918.0
462.692352,206774.939648,2.0,0.21399999999999864,1681394172.0,,,45.0,266.0,328.0,0.0,0.13743944396372196,,2542.850048,22845.0,0.6666666666666667,,0.004999999999999005,0.4,0.0,,,,,0.07200000000000273,,,1835.954176,,,,15754.072064,0.1062728786030821,2.719744,0.6333333333333333,6,81.0,0.0,0.1502924588773605,7,,3911.671808,8544.0,,,15055.0
1133.01504,206182.600704,2.3,0.2189999999999941,1681394173.0,,,45.0,282.0,678.0,0.0,0.11817806080665745,,2470.137856,25848.0,0.6666666666666667,,0.004999999999999005,0.4,0.0,,,,,0.0799999999999983,,,2526.347264,,,,16784.756736,0.09403776228723719,2.719744,0.6333333333333333,7,85.0,0.0,0.17004416695792518,8,,4002.394112,9779.0,,,17975.0
1812.512768,202368.413696,4.1,0.21999999999997044,1681394174.0,,,47.0,283.0,703.0,0.016334237539479556,1.2205216653628643,,5598.150656,983278.0,0.6666666666666667,,0.004999999999999005,0.4,0.0,,,,,0.08799999999999386,,,5752.799232,,,,22637.674496,0.004083559381809667,2.719744,0.6333333333333333,8,407.0,0.0,0.4670252018363273,9,,6526.427136,14217.0,,,24396.0
2045.99296,202049.138688,4.3,0.21999999999997044,1681394175.0,,,59.0,284.0,715.0,0.832396157754572,8.898074885684107,,5683.5072,1000153.0,0.6666666666666667,,0.006999999999999673,0.4,0.0,,,,,0.09999999999999432,,,5727.842304,,,,22833.709056,0.004080373326520029,2.719744,0.6333333333333333,9,434.0,0.0,0.6682806737179902,10,,6287.990784,18415.0,,,28480.0
2208.247808,200821.53472,4.9,0.21999999999997044,1681394176.0,,,60.0,285.0,720.0,0.036766628966597756,232.43930653119048,,6809.399296,1006343.0,0.6666666666666667,,0.006999999999999673,0.4,0.0,,,,,0.10800000000000409,,0.002593971000123929,5890.183168,,,,23013.830656,0.004085180993239801,2.719744,0.6333333333333333,10,455.0,0.0,0.6712622601923429,11,,6288.265216,25076.0,,,32612.0
,,,,1681394177.0,7.1795654296875,32.0,,,,,,1.442921743999932,,,,0.0003979479999998148,,,,0.0001,1.0,0.0,,,0.0,,,2.673219456000197,0.1878667729999961,1.0005692580000414,,,,,11,,,,12,,,,0.0,0.03886976200010395,
2433.765376,200125.415424,5.2,0.22199999999998,1681394177.0,,,61.0,289.0,752.0,0.06536561600315866,0.21750504475409987,,7523.92192,1008062.0,0.7666666666666667,,0.007999999999999119,0.9000000000000001,0.0,,,,,0.12399999999999523,,,6224.838656,,,,31738.118144,0.15524333800727502,2.719744,0.6666666666666667,11,473.0,0.0,0.22730350379396097,13,,6419.603456,25787.0,,,34006.0
,,,,1681394178.0,7.2235107421875,64.0,,,,,,0.017108833999827766,,,,0.0003521120002005773,,,,0.0001,1.0,0.0,,,0.0,0.0026515060001202073,,0.2031287580002754,0.1406449580001663,0.00251890699996693,,,,,12,,,,14,,,,1.0,0.03985244099999363,
,,,,1681394178.0,7.1915283203125,96.0,,,,,,0.01667244700001902,,,,0.0003620449999743869,,,,0.0001,1.0,0.0,,,0.0,0.0031417610000517016,,0.2039321760000803,0.141509195000026,0.0025716090001424163,,,,,12,,,,15,,,,2.0,0.039675118999866754,
2451.06688,200096.165888,5.2,0.22299999999995634,1681394178.0,,,61.0,292.0,812.0,0.0,81.34787912636038,0.017517993999945247,7533.826048,1011849.0,0.7666666666666667,0.0003890999998930056,0.007999999999999119,0.9000000000000001,0.0,,,,,0.13599999999999568,,0.0030604890000631713,6242.22208,,0.1430220269999154,,31738.380288,0.012261724273247092,2.719744,0.6666666666666667,12,506.0,0.0,0.99137956659114,16,,6419.8656,29642.0,,0.03961234400003377,37484.0
,,,,1681394178.0,7.15283203125,128.0,,,,,,,,,,,,,,0.0001,1.0,0.0,,,0.0,,,0.2065029609998419,,0.0029010069999912957,,,,,12,,,,17,,,,3.0,,
,,,,1681394179.0,7.035400390625,160.0,,,,,,0.017244061999917903,,,,0.0004089669998847967,,,,0.0001,1.0,0.0,,,0.0,0.003075488000149562,,0.20252435900010823,0.13993136999988565,0.0022599130002163292,,,,,13,,,,18,,,,4.0,0.039604559000053996,
,,,,1681394179.0,7.1494140625,192.0,,,,,,0.01698197800010348,,,,0.0003916210000625142,,,,0.0001,1.0,0.0,,,0.0,0.0030537420000200655,,0.20541482300018288,0.14304719400001886,0.002426459999924191,,,,,13,,,,19,,,,5.0,0.03951382800005376,
2451.001344,200090.435584,5.2,0.26799999999997226,1681394179.0,,,61.0,335.0,845.0,0.0,93.72394650097783,0.016900061999876925,7540.477952,1017047.0,0.7666666666666667,0.00038619199995082454,0.007999999999999119,0.9000000000000001,0.0,,,,,0.1560000000000059,,0.00304461599989736,6242.16064,,0.1440153900000496,,31719.104512,0.27793129282731893,2.719744,0.6666666666666667,13,541.0,0.0,1.4999317076636527,20,,6419.8656,35824.0,,0.03965324900013911,41464.0
