_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,0,8.0,31557.173248,1681079703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,1681079703.0,2.0,0.0,0.0,751.849472,0.0,11.0,0.2380258503753567,178.003968,0.0,401.186816,0.0,0.0,0.0,3.6249999999999996,6.0,0.0,30343.950336,2.654208,130.0,0.0,1009.639424,0.0,13.0,3.8,1.125,8492.658688,32.0,,,,,,,,,,,,,,
2,1,,,1681079704.0,2.0,0.0,0.008000000000009777,900.612096,0.008157007535983985,2053.0,0.2824443517217021,180.383744,2.0,405.757952,0.0,0.0,0.0,3.6249999999999996,899.0,0.26167743900978346,30195.183616,2.654208,141.0,0.0010000000002037268,1018.1632,0.0,2061.0,4.3,1.125,8568.164352,32.0,,,,,,,,,,,,,,
3,2,,,1681079705.0,2.0,0.0,0.012000000000000455,907.739136,0.004082964466564848,3249.0,0.16372528032371753,180.383744,3.0,405.762048,0.0,0.0,0.0,3.6249999999999996,1521.0,0.16631700578168762,30188.05248,2.654208,141.0,0.0020000000004074536,1018.1632,0.0,3060.0,4.3,1.125,8568.164352,32.0,,,,,,,,,,,,,,
4,3,,,1681079706.0,2.0,0.0,0.020000000000010232,1069.473792,0.004085769756417149,4548.0,0.22860360585107115,182.874112,4.0,563.6096,0.0,0.0,0.0,3.6249999999999996,2187.0,0.24820253265790532,30026.317824,2.654208,149.0,0.0030000000006111804,1185.222656,0.0,4233.0,4.9,1.125,8802.189312,33.0,,,,,,,,,,,,,,
5,4,,,1681079707.0,2.125,0.0,0.02400000000000091,1503.481856,0.004084752649795741,5291.0,0.10964210089503759,182.874112,5.0,995.454976,0.0,0.0,0.0,4.375,2564.0,0.11769193572790852,29592.30976,2.654208,149.0,0.0039999999999054126,1624.272896,0.0,5138.0,6.2,1.25,9241.239552,34.0,,,,,,,,,,,,,,
6,5,,,1681079708.0,2.125,0.0,0.036000000000001364,1710.608384,0.22465119364657263,5977.0,0.1706024778438629,183.136256,8.0,1202.081792,0.0,0.0,0.0,4.375,3327.0,0.08105312950904327,29385.183232,2.654208,149.0,0.007000000000516593,1845.784576,0.0,6405.0,6.9,1.25,9663.684608,36.0,,,,,,,,,,,,,,
7,6,,,1681079709.0,2.125,0.0,0.03999999999999204,1774.862336,0.00408877740367859,6825.0,0.19309890174793953,187.490304,9.0,1209.188352,0.0,0.0,0.0,4.375,4309.0,0.11831101033227401,29320.925184,2.654208,153.0,0.00800000000072032,1856.495616,0.0,8411.0,7.1,1.25,9842.036736,37.0,,,,,,,,,,,,,,
8,7,,,1681079710.0,2.125,0.0,0.04800000000000182,2446.66368,0.0040853986043909015,7543.0,0.20124577770877025,381.82912,10.0,2050.523136,0.0,0.0,0.0,4.375,4923.0,0.10006832788255766,28636.545024,2.654208,180.0,0.009000000000014552,2503.76192,0.0,9393.0,9.3,1.25,10860.580864,39.0,,,,,,,,,,,,,,
9,8,,,1681079711.0,2.125,0.0,0.0519999999999925,2138.64448,0.004085564740023968,8264.0,0.2965944449233366,464.699392,11.0,1818.853376,0.0,0.0,0.0,4.375,5417.0,0.09564370895983075,28944.560128,2.654208,184.0,0.010000000000218279,2189.049856,0.0,10242.0,8.3,1.25,12122.927104,40.0,,,,,,,,,,,,,,
