cpu/interrupts/soft_interrupts_count,02_timing/forward_time_s,02_timing/dataload_cuda_move_time_s,cpu/logical_core_count,02_timing/dataload_time_s,process/memory/shared_memory_proc_MB,01_general/minibatch_loss,disk/time/disk_write_time_sys_s,process/memory/dirty_pages_proc_count,memory/used_memory_sys_percent,cpu/interrupts/interrupts_count,03_hivemind/global_epoch,cpu/load/avg_sys_load_five_min_percent,disk/counter/disk_read_sys_count,_timestamp,02_timing/loss_calc_time_s,01_general/locally_processed_samples,process/memory/text_resident_set_proc_MB,memory/available_memory_sys_MB,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_fifteen_min_percent,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,02_timing/opt_step_time_s,memory/total_memory_sys_MB,process/memory/virtual_memory_size_proc_MB,02_timing/backward_time_s,02_timing/step_time_s,memory/used_memory_sys_MB,disk/time/disk_read_time_sys_s,cpu/load/avg_sys_load_one_min_percent,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/lib_memory_proc_MB,01_general/dataset_iteration_count,_step,01_general/step,process/voluntary_proc_ctx_switches,_runtime,01_general/lr,03_hivemind/num_peers,process/involuntary_proc_ctx_switches,disk/time/disk_busy_time_sys_s
,,,8.0,,,,,,,,,,,1696169582.0,,,,,,,,,,,,,,31557.169152,,,,,,,,,,0,,,0,,,,
18.0,,,,,243.625984,,0.0,0.0,5.0,25.0,,4.5,0.0,1696169582.0,,,2.654208,29983.031296,0.6580942094724613,0.0,0.0,1.4518261574999232,32.0,4.25,0.0,554.651648,,,9347.149824,,,1112.866816,0.0,3.6249999999999996,0.0,1110.437888,,1,,1200.0,0,,,43.0,0.0
2468.0,,,,,248.369152,,0.0019999999999527063,0.0,5.6,4951.0,,4.5,11.0,1696169583.0,,,2.654208,29784.059904,2.253147912742287,0.044758580831849026,0.0,0.6359103981583076,3693.0,4.25,2.0,564.150272,,,10060.484608,,,1311.830016,0.010000000000001563,3.6249999999999996,0.00813792378695183,1138.634752,,2,,1268.0,1,,,44.0,0.04400000000001114
3751.0,,,,,248.500224,,0.014000000000123691,0.0,5.7,6588.0,,4.5,11.0,1696169584.0,,,2.654208,29748.805632,32.12281041378759,0.0,0.0,0.25727312239745853,5379.0,4.25,20.0,597.233664,,,10093.436928,,,1347.084288,0.010000000000001563,3.6249999999999996,0.6265395544622206,1171.595264,,3,,1511.0,2,,,44.0,0.07200000000000273
11517.0,,,,,248.516608,,0.014000000000123691,0.0,5.9,17330.0,,4.5,11.0,1696169585.0,,,2.654208,29701.67296,997.7120560716864,0.0,0.0,2.535330842529627,12616.0,4.25,21.0,639.184896,,,10135.416832,,,1394.159616,0.010000000000001563,3.6249999999999996,0.00408372439898243,1213.579264,,4,,4679.0,3,,,46.0,0.07600000000000762
13352.0,,,,,249.892864,,0.015000000000327418,0.0,6.7,20381.0,,4.625,11.0,1696169586.0,,,2.654208,29449.756672,214.05772235936075,0.0,0.0,0.5638503216866928,14378.0,4.25,22.0,827.949056,,,10727.56736,,,1646.075904,0.010000000000001563,4.25,0.004085178082639018,1434.660864,,5,,5183.0,4,,,47.0,0.08400000000000318
14317.0,,,,,432.324608,,0.016000000000076398,0.0,8.3,22350.0,,4.625,11.0,1696169587.0,,,2.654208,28951.379968,0.24784590277881138,0.0,0.0,0.23519150359355873,15770.0,4.25,23.0,1474.195456,,,11529.416704,,,2131.92704,0.010000000000001563,4.25,0.0040851528261605305,1898.868736,,6,,5199.0,5,,,51.0,0.08800000000000807
15225.0,,,,,529.887232,,0.016000000000076398,0.0,9.8,24211.0,,4.625,15.0,1696169588.0,,,2.654208,28464.717824,0.31915589346837747,0.01634119027550732,0.0,0.41879885448715,17627.0,4.25,24.0,2053.042176,,,12446.961664,,,2618.589184,0.010999999999999233,4.25,0.004085297567629542,2380.20608,,7,,5205.0,6,,,55.0,0.10000000000000853
17316.0,,,,,834.592768,,0.15000000000009095,0.0,12.4,78618.0,,4.625,17.0,1696169589.0,,,2.654208,27650.166784,0.8597350097853353,0.01629361853770506,0.0,0.8177916714392399,23467.0,4.25,102.0,2616.05376,,,13945.46688,,,3129.909248,0.012000000000000455,4.25,0.5743500534542164,2704.121856,,8,,5569.0,7,,,61.0,0.11600000000001387
18080.0,,,,,834.658304,,0.15100000000029468,0.0,12.9,80415.0,,4.625,17.0,1696169590.0,,,2.654208,27471.056896,0.13974695623024733,0.0,0.0,0.2951825610536356,24842.0,4.25,103.0,2616.262656,,,13945.46688,,,3309.019136,0.012000000000000455,4.25,0.004081599634886816,2704.121856,,9,,5569.0,8,,,61.0,0.12000000000000455
