disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,cpu/load/avg_sys_load_one_min_percent,process/memory/text_resident_set_proc_MB,01_general/step,memory/used_memory_sys_percent,cpu/interrupts/soft_interrupts_count,_runtime,cpu/interrupts/interrupts_count,disk/time/disk_write_time_sys_s,process/involuntary_proc_ctx_switches,cpu/load/avg_sys_load_fifteen_min_percent,03_hivemind/global_epoch,memory/available_memory_sys_MB,process/memory/virtual_memory_size_proc_MB,disk/time/disk_busy_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/dirty_pages_proc_count,01_general/minibatch_loss,disk/time/disk_read_time_sys_s,cpu/logical_core_count,02_timing/backward_time_s,02_timing/opt_step_time_s,disk/counter/disk_write_sys_count,cpu/load/avg_sys_load_five_min_percent,01_general/lr,03_hivemind/num_peers,02_timing/step_time_s,02_timing/dataload_time_s,memory/used_memory_sys_MB,memory/total_memory_sys_MB,01_general/dataset_iteration_count,process/voluntary_proc_ctx_switches,_step,_timestamp,process/memory/data_resident_set_proc_MB,process/memory/shared_memory_proc_MB,bandwidth/disk_write_sys_bandwidth_MBs,02_timing/dataload_cuda_move_time_s,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/resident_set_size_proc_MB,02_timing/forward_time_s,02_timing/loss_calc_time_s
,,,,,,,,1,,,,,,,,,,,,,80.0,,,,,,,,,,540929.032192,,,0,1681390374.0,,,,,,,,,,
0.0,12.0,,0.2375,2.854912,,1.9,0.0,1,40.0,0.0,103.0,1.1875,,530422.157312,42402.029568,0.0,4775.514112,0.0,,0.0,,,,0.0,0.5875,,,,,7000.018944,,,3510.0,1,1681390374.0,0.0,106.364928,0.0,,0.0,0.0,0.0,321.421312,,
0.0,3729.0,,0.2375,2.854912,,2.0,3021.0,2,2712.0,0.0,104.0,1.1875,,530348.998656,42402.029568,0.003999999999990678,4775.514112,0.0,,0.0,,,,2.0,0.5875,,,,,7073.21856,,,3511.0,2,1681390375.0,0.0,106.663936,0.16310348210541178,,0.0,0.1535546014942331,3.0775349358526314,321.773568,,
0.0,5256.0,,0.2375,2.854912,,2.0,5214.0,3,3725.0,0.0,105.0,1.1875,,530036.16256,42788.7616,0.003999999999990678,5095.276544,0.0,,0.0,,,,2.0,0.5875,,,,,7386.054656,,,3541.0,3,1681390376.0,0.0,107.106304,0.0,,0.0,0.06325455323515836,35.066761875853196,628.031488,,
0.0,8565.0,,0.2375,2.854912,,2.1,8996.0,4,8804.0,0.0,107.0,1.1875,,529544.101888,46215.254016,0.003999999999990678,5909.635072,0.0,,0.0,,,,2.0,0.5875,,,,,7878.115328,,,3545.0,4,1681390377.0,0.0,107.450368,0.0,,0.0,0.10309457449674328,35.16471133595811,1116.91776,,
0.0,19694.0,,4.225,2.854912,,2.1,29885.0,5,34599.0,0.0,108.0,1.45,,529541.619712,46215.417856,0.008000000000009777,5909.798912,0.0,,0.0,,,,3.0,1.4124999999999999,,,,,7880.597504,,,3577.0,5,1681390378.0,0.0,107.495424,0.004085094542490977,,0.0,0.05297856978815514,0.4522726253132133,1117.167616,,
0.0,21627.0,,4.225,2.854912,,2.2,32954.0,6,40909.0,0.0010000000000047748,109.0,1.45,,529045.045248,47404.306432,0.012000000000000455,6293.38112,0.0,,0.0,,,,4.0,1.4124999999999999,,,,,8366.850048,,,3597.0,6,1681390379.0,0.0,266.293248,0.016339064984672195,,0.0,0.03322063797143834,0.07067762532343613,1649.307648,,
0.0,22975.0,,4.225,2.854912,,2.2,34742.0,7,41935.0,0.0010000000000047748,114.0,1.45,,529044.066304,48944.140288,0.012000000000000455,6289.711104,0.0,,0.0,,,,4.0,1.4124999999999999,,,,,8367.665152,,,3598.0,7,1681390380.0,0.0,339.263488,0.0,,0.0,0.048439235594632334,0.4622026717889459,1718.5792,,
0.0,31706.0,,4.225,2.854912,,2.4,43547.0,8,47035.0,0.0010000000000047748,117.0,1.45,,527759.552512,50534.793216,0.015999999999991132,6826.745856,0.0,,0.0,,,,6.0,1.4124999999999999,,,,,8867.823616,,,3997.0,8,1681390381.0,0.0,1123.577856,0.06926597714670554,,0.0,0.041699646272921734,0.07175681479249746,3005.825024,,
0.0,39466.0,,4.225,2.854912,,3.0,54797.0,9,1349508.0,0.0010000000000047748,119.0,1.45,,524486.545408,55881.19552,0.015999999999991132,9110.478848,0.0,,0.0,,,,6.0,1.4124999999999999,,,,,11734.925312,,,4291.0,9,1681390382.0,0.0,1535.34464,0.0,,0.0,0.058284528919971844,0.14406356266134757,5685.710848,,
0.0,49717.0,,4.4875,2.854912,,3.2,71557.0,10,1386517.0,0.011000000000002785,121.0,1.4874999999999998,,523706.843136,56965.996544,0.020000000000010232,9206.31296,0.0,,0.0,,,,44.0,1.5125,,,,,12120.997888,,,4417.0,10,1681390383.0,0.0,1921.257472,0.2038509032160891,,0.0,0.07781371200085072,0.12580626637923295,6098.08384,,
0.0,54485.0,,4.4875,2.854912,,3.2,77380.0,11,1390039.0,0.011000000000002785,121.0,1.4874999999999998,,523635.175424,56965.996544,0.020000000000010232,9206.31296,0.0,,0.0,,,,44.0,1.5125,,,,,12192.6656,,,4417.0,11,1681390384.0,0.0,1921.257472,0.0,,0.0,31.84375085757557,0.7194692381285834,6098.132992,,
0.0,66556.0,,4.4875,2.854912,,3.4,102737.0,12,1403795.0,0.011000000000002785,121.0,1.4874999999999998,,522801.84832,56965.996544,0.020000000000010232,9206.31296,0.0,,0.0,,,,44.0,1.5125,,,,,13025.992704,,,4417.0,12,1681390385.0,0.0,1921.257472,0.0,,0.0,761.3398126480234,2.385506475729355,6098.132992,,
0.0,75514.0,,4.4875,2.854912,,3.8,126596.0,13,1419482.0,0.011000000000002785,122.0,1.4874999999999998,,520604.291072,57732.64896,0.020000000000010232,9214.836736,0.0,,0.0,,,,44.0,1.5125,,,,,14483.791872,,,4447.0,13,1681390386.0,0.0,2187.01824,0.0,0.029260112998599652,0.0,765.4857063129399,1.0060348378003667,6363.938816,,
0.0,85638.0,,4.4875,2.854912,,3.9,157311.0,14,1436581.0,0.011000000000002785,123.0,1.4874999999999998,,520045.428736,58068.19328,0.02400000000000091,9214.836736,0.0,,0.0,,,,46.0,1.5125,,,,,14951.682048,,,4461.0,14,1681390387.0,0.0,2189.115392,0.036708311676802434,,0.0,801.6237946337495,2.033790231723455,6366.04416,,
0.0,93786.0,,4.825,2.854912,,4.1,180308.0,15,1452279.0,0.011000000000002785,126.0,1.525,,518871.924736,58848.468992,0.02400000000000091,9223.360512,0.0,,0.0,,,,46.0,1.6375000000000002,,,,,15393.558528,,,4477.0,15,1681390388.0,0.0,2302.676992,0.0,,0.0,651.3985600704247,1.225896527443036,6479.618048,,
0.0,100748.0,,4.825,2.854912,,4.2,201795.0,16,1463932.0,0.012000000000000455,131.0,1.525,,518072.111104,58848.468992,0.027999999999991587,9223.360512,0.0,,0.0,,,,47.0,1.6375000000000002,,,,,15731.167232,,,4482.0,16,1681390389.0,0.0,2302.676992,0.0163158936666852,,0.0,597.4135609083185,1.3282874195107321,6479.64672,,
0.0,102568.0,,4.825,2.854912,,4.3,205507.0,17,1466931.0,0.012000000000000455,137.0,1.525,,517496.078336,59393.86368,0.027999999999991587,9231.884288,0.0,,0.0,,,,47.0,1.6375000000000002,,,,,16142.21312,,,4499.0,17,1681390390.0,0.0,2416.156672,0.0,,0.0,63.3188671856954,0.2166049476707495,6593.134592,,
0.0,103968.0,,4.825,2.854912,,4.4,207874.0,18,1470109.0,0.012000000000000455,142.0,1.525,,517074.341888,60014.759936,0.027999999999991587,9248.93184,0.0,,0.0,,,,47.0,1.6375000000000002,,,,,16553.627648,,,4525.0,18,1681390391.0,0.0,2529.640448,0.0,,0.0,0.04701738131841948,0.07583886056682465,6706.757632,,
0.0,105266.0,,4.825,2.854912,,4.5,209309.0,19,1471195.0,0.012000000000000455,149.0,1.525,,516769.97632,60157.370368,0.027999999999991587,9257.455616,0.0,,0.0,,,,47.0,1.6375000000000002,,,,,16857.829376,,,4525.0,19,1681390392.0,0.0,2529.640448,0.0,,0.0,0.03938838832558958,0.3925198869374671,6706.761728,,
0.0,106734.0,,4.5375,2.854912,,4.5,211573.0,20,1472790.0,0.018000000000000682,156.0,1.525,,516504.969216,60828.59008,0.03200000000001069,9257.488384,0.0,,0.0,,,,98.0,1.625,,,,,17112.354816,,,4551.0,20,1681390393.0,0.0,2643.120128,0.21628151508701307,,0.0,0.04756663047915542,0.09064599319510692,6820.278272,,
0.0,108106.0,,4.5375,2.854912,,4.6,213484.0,21,1474701.0,0.018000000000000682,162.0,1.525,,516015.284224,61873.106944,0.03200000000001069,9496.69888,0.0,,0.0,,,,98.0,1.625,,,,,17591.717888,,,4574.0,21,1681390394.0,0.0,2756.599808,0.0,,0.0,0.033711961829769724,0.5797627997590686,7164.383232,,
0.0,109502.0,,4.5375,2.854912,,4.7,215282.0,22,1475916.0,0.018000000000000682,168.0,1.525,,515699.44576,62644.563968,0.036000000000001364,9731.416064,0.0,,0.0,,,,100.0,1.625,,,,,17907.392512,,,4574.0,22,1681390395.0,0.0,2756.599808,0.06536350210653726,,0.0,0.060464430943833636,1.46127960240397,7390.650368,,
0.0,111221.0,,4.5375,2.854912,,4.7,217657.0,23,1477259.0,0.018000000000000682,174.0,1.525,,515392.999424,63584.927744,0.036000000000001364,10000.560128,0.0,,0.0,,,,100.0,1.625,,,,,18203.353088,,,4662.0,23,1681390396.0,0.0,2870.079488,0.0,,0.0,0.02810958737455133,0.1652913932035404,7773.278208,,
0.0,112920.0,,4.5375,2.854912,,4.8,219166.0,24,1478258.0,0.018000000000000682,182.0,1.525,,515040.219136,74940.276736,0.036000000000001364,10366.271488,0.0,,0.0,,,,100.0,1.625,,,,,18512.60928,,,4689.0,24,1681390397.0,0.0,2925.912064,0.0,,0.0,0.029015090166020267,0.07702521181492028,8127.049728,,
0.0,115373.0,,4.375,2.854912,,4.9,221603.0,25,1479989.0,0.018000000000000682,182.0,1.525,,514324.115456,76007.563264,0.036000000000001364,11087.896576,0.0,,0.0,,,,100.0,1.6375000000000002,,,,,19226.066944,,,4689.0,25,1681390398.0,0.0,3018.268672,0.0,,0.0,0.030186865394680816,0.024849916934167916,8925.495296,,
0.0,119876.0,,4.375,2.854912,,5.0,223752.0,26,1481516.0,0.019000000000005457,182.0,1.525,,513842.282496,88580.89472,0.04400000000001114,11559.563264,0.0,,0.0,,,,102.0,1.6375000000000002,,,,,19705.802752,,,4690.0,26,1681390399.0,0.0,3038.511104,0.020426045836873612,,0.0,0.03213112759382588,0.06361596228646119,9419.0592,,
0.0,124446.0,,4.375,2.854912,,5.1,226594.0,27,1482979.0,0.019000000000005457,182.0,1.525,,513523.564544,98580.3776,0.04400000000001114,11867.725824,0.0,,0.0,,,,102.0,1.6375000000000002,,,,,20020.359168,,,4692.0,27,1681390400.0,0.0,3042.705408,0.0,,0.0,0.03161267793497981,0.3786499856492632,9731.637248,,
0.0,129034.0,,4.375,2.854912,,5.1,228751.0,28,1484268.0,0.019000000000005457,182.0,1.525,,513254.989824,106297.89696,0.04400000000001114,12128.444416,0.0,,0.0,,,,102.0,1.6375000000000002,,,,,20286.836736,,,4692.0,28,1681390401.0,0.0,3044.831232,0.0,,0.0,0.04556273148553842,0.21504748088116224,9994.56768,,
0.0,133326.0,,4.375,2.854912,,5.2,231517.0,29,1485939.0,0.019000000000005457,182.0,1.525,,512908.181504,121598.717952,0.04400000000001114,12465.41824,0.0,,0.0,,,,102.0,1.6375000000000002,,,,,20631.515136,,,4694.0,29,1681390402.0,0.0,3047.329792,0.0,,0.0,0.024499160973887386,0.035177668870286005,10334.138368,,
