01_general/lr,disk/time/disk_read_time_sys_s,memory/used_memory_sys_percent,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_fifteen_min_percent,_timestamp,01_general/minibatch_loss,01_general/step_based_sps,memory/used_memory_sys_MB,disk/counter/disk_write_sys_count,cpu/interrupts/soft_interrupts_count,_runtime,02_timing/forward_time_s,02_timing/opt_step_time_s,cpu/interrupts/interrupts_count,process/memory/lib_memory_proc_MB,01_general/locally_processed_samples,process/memory/virtual_memory_size_proc_MB,02_timing/dataload_time_s,02_timing/loss_calc_time_s,disk/time/disk_write_time_sys_s,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,bandwidth/disk_write_sys_bandwidth_MBs,cpu/logical_core_count,memory/total_memory_sys_MB,disk/time/disk_busy_time_sys_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/text_resident_set_proc_MB,02_timing/backward_time_s,disk/counter/disk_read_sys_count,process/involuntary_proc_ctx_switches,_step,01_general/step,02_timing/step_time_s,cpu/interrupts/ctx_switches_count,process/memory/resident_set_size_proc_MB,memory/available_memory_sys_MB,process/voluntary_proc_ctx_switches,process/memory/shared_memory_proc_MB,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB
0.0001,,,,,,,1682873665.0,7.19140625,197.69544932011348,,,,9,0.01706718000014007,1.5969999367371202e-06,,,192.0,,0.0029803469997204957,0.00043246300037935725,,0.0,0.0025337439997201727,,,,,,,,0.1388498010001058,,,15,5.0,0.16186513200000263,,,,,,,
,0.0,3.3,0.0,0.1327404289617622,0.0,3.5000000000000004,1682873665.0,,,4919.84896,111.0,34370.0,9,0.017234139000265714,1.577999682922382e-06,41437.0,5584.826368,,27685.51936,,0.0004278819997125538,0.07000000000005002,,0.002537415000006149,0.016348090597850674,,,0.08799999999999386,0.8666666666666666,2.566666666666667,2.719744,0.14017756899966116,0.0,90.0,16,,,24843.0,3837.82912,204127.035392,351.0,865.513472,96.28356430129436,0.0
0.0001,,,,,,,1682873665.0,7.15283203125,196.60230544204168,,,,9,,,,,224.0,,0.002386547999776667,,,0.0,,,,,,,,,,,,17,6.0,0.16276513099910517,,,,,,,
0.0001,,,,,,,1682873666.0,6.897705078125,197.30278096402105,,,,10,0.01731681600040247,1.9229996723879594e-06,,,256.0,,0.002406205000170303,0.0005003940000278817,,0.0,0.0026371050003035634,,,,,,,,0.13932483000007778,,,18,7.0,0.1621872730006544,,,,,,,
0.0001,,,,,,,1682873666.0,7.4346923828125,196.14566534838733,,,,10,0.017218074000084016,1.7159995877591427e-06,,,288.0,,0.0021937169999546313,0.0004112289998374763,,0.0,0.002542038999763463,,,,,,,,0.14077728399979605,,,19,8.0,0.1631440589990234,,,,,,,
0.0001,,,,,,,1682873666.0,7.1612548828125,196.03547654057445,,,,10,0.017188493000048766,1.6349999896192458e-06,,,320.0,,0.0024574909998591465,0.0004275439996490604,,0.0,0.0025090650001402537,,,,,,,,0.14065153199999259,,,20,9.0,0.16323575999967943,,,,,,,
,0.0,3.3,0.0,0.0706815670308186,0.0,3.5000000000000004,1682873666.0,,,4929.183744,116.0,37595.0,10,,,44036.0,5584.826368,,27646.967808,,,0.07100000000002638,,0.002549898999859579,0.0204295824310789,,,0.10800000000000409,0.8666666666666666,2.566666666666667,2.719744,,0.0,95.0,21,,,26494.0,3837.878272,204136.546304,383.0,865.533952,93.48442053648515,0.0
0.0001,,,,,,,1682873667.0,7.035400390625,195.7477807467781,,,,11,0.01812502399980076,2.3070001589076128e-06,,,352.0,,0.0031595919999745092,0.00042348299984951154,,0.0,,,,,,,,,0.1392153669999061,,,22,10.0,0.16347567199954938,,,,,,,
0.0001,,,,,,,1682873667.0,7.149658203125,194.6506876615641,,,,11,0.017160625000087748,1.5120003808988258e-06,,,384.0,,0.002239263999854302,0.00042945399991367594,,0.0,0.002494207999916398,,,,,,,,0.14207199300017237,,,23,11.0,0.1643970560003254,,,,,,,
0.0001,,,,,,,1682873667.0,7.1011962890625,197.05526887447675,,,,11,0.017384686999776022,1.505999989603879e-06,,,416.0,,0.0021834149997630448,0.00042192399996565655,,0.0,0.0025218949999725737,,,,,,,,0.13987756199958312,,,24,12.0,0.16239098899905002,,,,,,,
