03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
9,1.2778889481369544,3,9,0,393.32,61,0,10.0,1.2778889481369544,1696187722,0,,,,,,,,,,,,,,,,,,,,,,,
32,4.085747709666659,3,30,1,117.6,62,0,10.0,4.085747709666659,1696187723,0,3.0,0.41,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.43,0.44,0.0,,,,,,,,,,,
56,6.512227914168879,4,54,2,70.01,63,0,10.0,6.512227914168879,1696187724,0,12.0,1.21,9.0,0.0,0.0,0.0,0.0,9.0,0.0,1.24,1.63,0.0,,,,,,,,,,,
86,8.67548162607355,4,84,3,49.07,65,0,10.0,8.67548162607355,1696187726,0,18.0,1.91,18.0,0.0,0.0,0.0,0.0,15.0,0.0,2.26,2.3,0.0,0.04,3.0,0.0,0.0,,,,,,,
112,10.253065011577673,4,108,4,39.02,66,0,10.0,10.253065011577673,1696187727,0,24.0,2.81,24.0,0.0,0.0,0.0,0.0,24.0,0.0,2.83,2.87,0.0,0.17,12.0,0.0,0.0,,,,,,,
138,11.61944273773987,4,132,5,32.21,67,0,10.0,11.61944273773987,1696187728,0,30.0,3.31,30.0,0.0,0.0,0.0,0.0,30.0,0.0,3.31,3.36,0.0,0.28,18.0,0.0,0.0,,,,,,,
165,12.963524852154658,4,159,6,26.8,68,0,10.0,12.963524852154658,1696187729,0,36.0,3.73,36.0,0.0,0.0,0.0,0.0,36.0,0.0,3.71,3.77,0.0,0.41,24.0,0.0,0.0,,,,,,,
195,14.356942358926748,4,192,7,22.09,69,0,10.0,14.356942358926748,1696187730,0,45.0,4.09,42.0,0.0,0.0,0.0,0.0,42.0,0.0,4.05,4.26,0.0,0.56,30.0,0.0,0.0,,,,,,,
221,15.241584950470092,4,216,8,19.1,70,0,10.0,15.241584950470092,1696187731,0,51.0,4.54,51.0,0.0,0.0,0.0,0.0,51.0,0.0,4.46,4.53,0.0,0.83,39.0,0.0,0.0,,,,,,,
247,16.009865207455103,4,240,9,16.56,72,0,9.46,16.009865207455103,1696187733,0,57.0,4.78,57.0,0.0,0.0,0.0,0.0,57.0,0.0,4.68,4.75,0.0,1.04,45.0,0.0,0.0,,,,,,,
276,16.935640399865342,4,270,10,13.95,73,0,7.97,16.935640399865342,1696187734,0,63.0,4.96,63.0,0.0,0.0,0.0,0.0,63.0,0.0,4.85,4.92,0.0,1.28,51.0,0.0,0.0,,,,,,,
302,17.611522492890877,4,297,11,11.92,74,0,6.81,17.611522492890877,1696187735,0,72.0,5.12,69.0,0.0,0.0,0.0,0.0,69.0,0.0,4.99,5.12,0.0,1.69,60.0,0.0,0.0,,,,,,,
328,18.216122218046387,4,321,12,10.08,75,0,5.76,18.216122218046387,1696187736,0,78.0,5.3,75.0,0.0,0.0,0.0,0.0,78.0,0.0,5.09,5.23,0.0,1.99,66.0,0.0,0.0,,,,,,,
355,18.83387746708659,4,348,13,8.33,76,0,4.76,18.83387746708659,1696187737,0,84.0,5.39,81.0,0.0,0.0,0.0,0.0,84.0,0.0,5.2,5.32,0.0,2.3,72.0,0.0,0.0,,,,,,,
383,19.527579747849728,4,378,14,6.59,77,0,3.77,19.527579747849728,1696187738,0,90.0,5.49,90.0,0.0,0.0,0.0,0.0,90.0,0.0,5.32,5.41,0.0,2.62,78.0,0.0,0.0,,,,,,,
410,19.999483771150445,4,405,15,5.11,79,0,2.92,19.999483771150445,1696187740,0,96.0,5.58,96.0,0.0,0.0,0.0,0.0,99.0,0.0,5.37,5.46,0.0,3.11,87.0,0.0,0.0,,,,,,,
437,20.42349673580447,4,429,16,3.69,80,0,2.11,20.42349673580447,1696187741,0,105.0,5.63,102.0,0.0,0.0,0.0,0.0,105.0,0.0,5.41,5.53,0.0,3.43,93.0,0.0,0.0,,,,,,,
