_runtime,02_timing/dataload_time_s,memory/total_memory_sys_MB,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,process/involuntary_proc_ctx_switches,01_general/lr,01_general/step,01_general/step_based_sps,02_timing/opt_step_time_s,memory/used_memory_sys_MB,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,process/memory/lib_memory_proc_MB,01_general/dataset_iteration_count,process/memory/dirty_pages_proc_count,process/memory/virtual_memory_size_proc_MB,_step,02_timing/forward_time_s,disk/counter/disk_read_sys_count,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,memory/used_memory_sys_percent,disk/time/disk_write_time_sys_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_five_min_percent,_timestamp,02_timing/backward_time_s,02_timing/loss_calc_time_s,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,process/memory/text_resident_set_proc_MB,02_timing/step_time_s,01_general/minibatch_loss,memory/available_memory_sys_MB,cpu/interrupts/ctx_switches_count,process/memory/shared_memory_proc_MB,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_fifteen_min_percent,cpu/logical_core_count,cpu/interrupts/interrupts_count,01_general/locally_processed_samples
89,0.002761079000265454,,,,,0.0001,247.0,191.04101460822542,1.5409996194648556e-06,,,,,,,0.0,,,337,,,,,,,,,,1680626838.0,0.14519386399933865,,,,,0.16750329799924657,7.1915283203125,,,,,,,,7936.0
89,0.0028020339996146504,,,,,0.0001,248.0,190.0460258226675,1.5759997040731832e-06,,,,,,,0.0,,,338,0.016672800999913306,,,,,,0.002419542000097863,,,1680626838.0,0.14605123700039258,0.00043307399937475566,,,,0.16838026399909722,7.226318359375,,,,,,,,7968.0
90,0.0029575419994216645,,,,,0.0001,249.0,190.60338874078627,1.4440001905313693e-06,,,,,,,0.0,,,339,0.016700868000043556,,,,,,0.0024490599998898688,,,1680626839.0,0.14531583699954354,0.0004631350002455292,,,,0.16788788599933469,7.17041015625,,,,,,,,8000.0
90,,,1850.0,311660.0,2208.0,,,,,4397.514752,0.0,0.016344964322563733,92.05935626350991,0.0,5528.276992,,0.0,27130.49088,340,,0.0,645.0,3836.383232,3.0,0.2769999999999868,0.0025607650004531024,3.6333333333333337,3.166666666666666,1680626839.0,,,1.5840000000000032,0.0,2.719744,,,204837.613568,297439.0,869.904384,0.07138152386757911,4.166666666666666,,235445.0,
90,0.002760850000413484,,,,,0.0001,250.0,191.0211328335622,1.6800004232209176e-06,,,,,,,0.0,,,341,0.01755270899957395,,,,,,,,,1680626839.0,0.1442067699999825,0.0004379580004751915,,,,0.16752073200132145,7.22119140625,,,,,,,,8032.0
90,0.0030652160003228346,,,,,0.0001,251.0,190.87854199109455,1.8499995348975062e-06,,,,,,,0.0,,,342,0.016858765000506537,,,,,,0.0024159889999282314,,,1680626839.0,0.14486391700029344,0.00044013699971401365,,,,0.16764587400029995,7.2457275390625,,,,,,,,8064.0
91,0.00301391999983025,,,,,0.0001,252.0,191.76145795232148,1.7469992599217221e-06,,,,,,,0.0,,,343,0.01687724400017032,,,,,,0.0024632079994262313,,,1680626840.0,0.14407039400066424,0.0004474789993764716,,,,0.16687399199872743,7.3057861328125,,,,,,,,8096.0
91,,,1875.0,315461.0,2228.0,,,,,4399.333376,0.0,0.012258816542807907,97.47297889926179,0.0,5528.276992,,0.0,27130.49088,344,,0.0,648.0,3836.366848,3.0,0.27799999999996317,0.00244775800001662,3.6333333333333337,3.166666666666666,1680626840.0,,,1.5960000000000036,0.0,2.719744,,,204836.29056,301153.0,869.888,0.06897180506462464,4.166666666666666,,238049.0,
91,0.0029645540007550153,,,,,0.0001,253.0,189.66147702260037,1.7909997040987946e-06,,,,,,,0.0,,,345,0.017924305000633467,,,,,,,,,1680626840.0,0.1449356949997309,0.00044756099941878347,,,,0.1687216640002589,7.1937255859375,,,,,,,,8128.0
91,0.0029119950004314887,,,,,0.0001,254.0,188.8467409849484,2.0079996829736046e-06,,,,,,,0.0,,,346,0.017157024999505666,,,,,,0.002404977999503899,,,1680626840.0,0.1464867240001695,0.00048684500052331714,,,,0.16944957499981683,7.1270751953125,,,,,,,,8160.0
92,,,1899.0,319433.0,2242.0,,,,1.728999450278934e-06,4400.570368,0.0,0.07356605766160902,82.82327956255388,0.0,5528.276992,,0.0,27130.49088,347,0.016562078999413643,0.0,657.0,3836.370944,3.0,0.2810000000000059,0.002560144999733893,3.6333333333333337,3.166666666666666,1680626841.0,0.14544426999964344,0.00043148499935341533,1.6160000000000423,0.0,2.719744,,,204815.724544,303775.0,869.888,0.07904998578489567,4.166666666666666,,240759.0,
92,0.002736588000516349,,,,,0.0001,255.0,190.77564464855223,,,,,,,,0.0,,,348,,,,,,,,,,1680626841.0,,,,,,0.16773629599811102,7.1627197265625,,,,,,,,8192.0
92,0.002697388000342471,,,,,0.0001,256.0,191.55971379008423,1.5960004020598717e-06,,,,,,,0.0,,,349,0.016653169999699458,,,,,,0.0024580310000601457,,,1680626841.0,0.14478013799998735,0.0004594149995682528,,,,0.16704973800005973,7.1502685546875,,,,,,,,8224.0
92,0.0030586390003009,,,,,0.0001,257.0,189.11414984317852,1.8580003597890027e-06,,,,,,,0.0,,,350,0.016948737000348046,,,,,,0.002492247000191128,,,1680626841.0,0.14625248799984547,0.0004560030001812265,,,,0.16920997200122656,7.155517578125,,,,,,,,8256.0
93,,,1917.0,323510.0,2261.0,,,,1.7510001271148212e-06,4400.054272,0.0,0.07356507761924312,89.26127571429296,0.0,5528.276992,,0.0,27130.49088,351,0.01665287800005899,0.0,664.0,3836.387328,3.0,0.2839999999999918,0.0024168059999283287,3.9,3.2333333333333334,1680626842.0,0.14522494999982882,0.00045474099988496164,1.636000000000024,0.0,2.719744,,,204815.745024,306610.0,869.904384,0.06175124136704127,4.166666666666666,,243533.0,
93,0.002589802000329655,,,,,0.0001,258.0,191.2263806734107,,,,,,,,0.0,,,352,,,,,,,,,,1680626842.0,,,,,,0.16734092800015787,7.299560546875,,,,,,,,8288.0
93,0.002656955000020389,,,,,0.0001,259.0,190.7493537688828,1.7620004655327648e-06,,,,,,,0.0,,,353,0.016750591000345594,,,,,,0.002400923999630322,,,1680626842.0,0.14549780400011514,0.0004513789999691653,,,,0.16775941500054614,7.307373046875,,,,,,,,8320.0
93,0.0029661480002687313,,,,,0.0001,260.0,189.5384770653753,1.7129996194853447e-06,,,,,,,0.0,,,354,0.016738991000238457,,,,,,0.0025996069998655003,,,1680626842.0,0.14608719700026995,0.00043749900032707956,,,,0.1688311550005892,7.5023193359375,,,,,,,,8352.0
94,,,1933.0,327264.0,2283.0,,,,2.4800001483527012e-06,4400.652288,0.0,0.016347448906717466,86.45298069384471,0.0,5528.276992,,0.0,27130.49088,355,0.016536440999516344,0.0,668.0,3836.370944,3.0,0.28499999999996817,0.002448322000418557,3.9,3.2333333333333334,1680626843.0,0.14591211799961457,0.00042221599960612366,1.6520000000000437,0.0,2.719744,,,204815.147008,310045.0,869.888,0.059802288694636954,4.166666666666666,,246080.0,
94,0.0028823060001741396,,,,,0.0001,261.0,190.24531080593005,,,,,,,,0.0,,,356,,,,,,,,,,1680626843.0,,,,,,0.16820388299947808,7.26953125,,,,,,,,8384.0
94,0.0029455270005200873,,,,,0.0001,262.0,191.17980041910906,1.6369995137210935e-06,,,,,,,0.0,,,357,0.016675063000548107,,,,,,0.002371997999944142,,,1680626843.0,0.144931851000365,0.0004556240000965772,,,,0.16738170000098762,6.959228515625,,,,,,,,8416.0
94,0.0028840069999205298,,,,,0.0001,263.0,191.2022959910757,1.5690002328483388e-06,,,,,,,0.0,,,358,0.016782204999799433,,,,,,0.0024792839994915994,,,1680626843.0,0.1447740760004308,0.00044086599973525153,,,,0.16736200699961046,7.096435546875,,,,,,,,8448.0
95,,,1952.0,330512.0,2313.0,,,,1.3899998521083035e-06,4401.106944,0.0,0.0163480283717543,81.7087070155387,0.0,5528.276992,,0.0,27130.49088,359,0.01656351099973108,0.0,672.0,3836.387328,3.0,0.28600000000000136,0.0024165830000129063,3.9,3.2333333333333334,1680626844.0,0.14612048900016816,0.0004257630007487023,1.6680000000000064,0.0,2.719744,,,204814.692352,313398.0,869.904384,0.05595687444807039,4.166666666666666,,248380.0,
95,0.00276300000041374,,,,,0.0001,264.0,190.1471272894296,,,,,,,,0.0,,,360,,,,,,,,,,1680626844.0,,,,,,0.1682907360009267,7.151123046875,,,,,,,,8480.0
95,0.0029169429999456042,,,,,0.0001,265.0,190.0002737185825,1.6730000425013714e-06,,,,,,,0.0,,,361,0.016715959999601182,,,,,,0.002576582000074268,,,1680626844.0,0.14577844200084655,0.00043120999998791376,,,,0.16842081000049802,7.2470703125,,,,,,,,8512.0
95,0.0030619059998571174,,,,,0.0001,266.0,189.41107450425994,1.6020003386074677e-06,,,,,,,0.0,,,362,0.016896216999157332,,,,,,0.002454717000546225,,,1680626844.0,0.14609099600056652,0.0004392769997139112,,,,0.1689447150001797,6.93603515625,,,,,,,,8544.0
96,,,1970.0,334914.0,2326.0,,,,1.5879995771683753e-06,4404.699136,0.0,0.016348452296414892,97.98926235841267,0.0,5528.276992,,0.0,27130.49088,363,0.01661109300039243,0.0,676.0,3836.370944,3.0,0.28799999999995407,0.0024416739997832337,3.9,3.2333333333333334,1680626845.0,0.14571961500041652,0.0004439770000317367,1.684000000000026,0.0,2.719744,,,204811.10016,316445.0,869.888,0.07034304766404782,4.166666666666666,,251298.0,
96,0.002786216999993485,,,,,0.0001,267.0,190.47146950454714,,,,,,,,0.0,,,364,,,,,,,,,,1680626845.0,,,,,,0.16800416400019458,7.4683837890625,,,,,,,,8576.0
96,0.0030930319999242784,,,,,0.0001,268.0,189.25835016966198,1.7929996829479933e-06,,,,,,,0.0,,,365,0.016594961999544466,,,,,,0.0024304689995915396,,,1680626845.0,0.14652811700034363,0.0004326739999669371,,,,0.1690810469990538,7.2939453125,,,,,,,,8608.0
96,0.002637282000250707,,,,,0.0001,269.0,190.74053869711037,1.538999640615657e-06,,,,,,,0.0,,,366,0.017608289000236255,,,,,,0.0024954669997896417,,,1680626845.0,0.1445860640005776,0.0004385269994600094,,,,0.16776716799995484,7.05419921875,,,,,,,,8640.0
97,,,1991.0,338407.0,2339.0,,,,2.4900000425986946e-06,4406.66112,0.0,0.06948012883707727,88.04053510263547,0.0,5528.276992,,0.0,27130.49088,367,0.016741157000069506,0.0,684.0,3836.387328,3.0,0.2899999999999636,0.002545497000028263,3.9,3.2333333333333334,1680626846.0,0.1463352170003418,0.00044759899992641294,1.7040000000000077,0.0,2.719744,,,204809.633792,320015.0,869.904384,0.061226170518235416,4.166666666666666,,253702.0,
97,0.002943569999843021,,,,,0.0001,270.0,189.33171407356687,,,,,,,,0.0,,,368,,,,,,,,,,1680626846.0,,,,,,0.1690155300002516,7.1439208984375,,,,,,,,8672.0
97,0.0031818570005270885,,,,,0.0001,271.0,189.4800319161312,1.6519998098374344e-06,,,,,,,0.0,,,369,0.017165729000225838,,,,,,0.002510522999727982,,,1680626846.0,0.14556403799997497,0.00045943199984321836,,,,0.16888323100010894,7.05322265625,,,,,,,,8704.0
97,0.0028719109996018233,,,,,0.0001,272.0,191.42654694076916,1.4259994713938795e-06,,,,,,,0.0,,,370,0.017186525000397523,,,,,,0.002461850999679882,,,1680626846.0,0.1442287119998582,0.000415521999457269,,,,0.1671659469984661,7.3592529296875,,,,,,,,8736.0
98,,,2012.0,342488.0,2354.0,,,,1.7929996829479933e-06,4407.689216,0.0,0.06947764954200136,103.87683684785704,0.0,5528.276992,,0.0,27130.49088,371,0.01698216400018282,0.0,690.0,3836.370944,3.0,0.29300000000000637,0.002460634000271966,3.833333333333333,3.2333333333333334,1680626847.0,0.1453222790005384,0.00044345399965095567,1.7200000000000273,0.0,2.719744,,,204809.101312,324069.0,869.888,0.06875924553820738,4.166666666666666,,256458.0,
98,0.0028411220000634785,,,,,0.0001,273.0,190.41787953389957,,,,,,,,0.0,,,372,,,,,,,,,,1680626847.0,,,,,,0.16805144600039057,7.5413818359375,,,,,,,,8768.0
98,0.0030696670000907034,,,,,0.0001,274.0,192.8614236480355,1.6889998732949607e-06,,,,,,,0.0,,,373,0.016960908000328345,,,,,,0.0024570710002080887,,,1680626847.0,0.14299173900053574,0.0004411689997141366,,,,0.1659222430007503,7.34130859375,,,,,,,,8800.0
98,0.002763800000138872,,,,,0.0001,275.0,188.62446522489992,1.7509992176201195e-06,,,,,,,0.0,,,374,0.016796455000076094,,,,,,0.002564855999480642,,,1680626847.0,0.14709484899958625,0.0004275440005585551,,,,0.16964925499905803,7.13671875,,,,,,,,8832.0
99,,,2033.0,346093.0,2365.0,,,,1.600000359758269e-06,4408.91392,0.0,0.01634755391334576,96.2941168759036,0.0,5528.276992,,0.0,27130.49088,375,0.016698622000149044,0.0,694.0,3836.387328,3.0,0.2939999999999827,0.002374114999838639,3.833333333333333,3.2333333333333334,1680626848.0,0.1455433159999302,0.0004323899993323721,1.7440000000000282,0.0,2.719744,,,204807.380992,326312.0,869.904384,0.41442805249430187,4.166666666666666,,259091.0,
99,0.0031737149993205094,,,,,0.0001,276.0,190.22283404347345,,,,,,,,0.0,,,376,,,,,,,,,,1680626848.0,,,,,,0.16822375799893052,7.36083984375,,,,,,,,8864.0
99,0.002515322999897762,,,,,0.0001,277.0,192.93745337453134,1.8179998733103275e-06,,,,,,,0.0,,,377,0.01690056999996159,,,,,,0.0024679749994902522,,,1680626848.0,0.14353544799996598,0.0004357249999884516,,,,0.16585685899917735,7.1939697265625,,,,,,,,8896.0
99,0.002625595999234065,,,,,0.0001,278.0,190.0747345337535,1.8549999367678538e-06,,,,,,,0.0,,,378,0.016608866000751732,,,,,,0.0024422340002274723,,,1680626848.0,0.14622601100018073,0.00045027000032860087,,,,0.16835483200065937,7.1380615234375,,,,,,,,8928.0
100,,,2053.0,349626.0,2386.0,,,,1.5309997252188623e-06,4412.526592,0.0,0.016347896135612418,80.9955636224303,0.0,5528.276992,,0.0,27130.49088,379,0.016708174999621406,0.0,698.0,3836.370944,3.0,0.2949999999999591,0.00242992299990874,3.833333333333333,3.2333333333333334,1680626849.0,0.14640454199980013,0.00044626800081459805,1.76400000000001,0.0,2.719744,,,204803.76832,329134.0,869.888,0.059277088251802446,4.166666666666666,,261596.0,
100,0.002983973000482365,,,,,0.0001,279.0,189.3777857912194,,,,,,,,0.0,,,380,,,,,,,,,,1680626849.0,,,,,,0.16897441200035246,7.135498046875,,,,,,,,8960.0
100,0.002813150000292808,,,,,0.0001,280.0,191.04963733353478,1.977000465558376e-06,,,,,,,0.0,,,381,0.016756842999711807,,,,,,0.002566873999967356,,,1680626849.0,0.14492600400080846,0.00043088999973406317,,,,0.16749573800098005,7.2696533203125,,,,,,,,8992.0
100,0.0029839230001016404,,,,,0.0001,281.0,190.55895998667447,1.67500002135057e-06,,,,,,,0.0,,,382,0.016791621999800554,,,,,,0.0023816230004740646,,,1680626849.0,0.14528974400036532,0.0004784419998031808,,,,0.1679270290005661,7.26806640625,,,,,,,,9024.0
101,,,2073.0,352603.0,2398.0,,,,1.7849997675511986e-06,4415.188992,0.0,0.016347740582220334,87.26152523524924,0.0,5528.276992,,0.0,27130.49088,383,0.016909166999539593,0.0,702.0,3836.387328,3.0,0.2969999999999686,0.002474594999512192,3.833333333333333,3.2333333333333334,1680626850.0,0.1462117280007078,0.0004779090004376485,1.7840000000000487,0.0,2.719744,,,204801.10592,332039.0,869.904384,0.05332173196984741,4.166666666666666,,263859.0,
101,0.0028133729992987355,,,,,0.0001,282.0,189.47405655280448,,,,,,,,0.0,,,384,,,,,,,,,,1680626850.0,,,,,,0.16888855699926353,7.1380615234375,,,,,,,,9056.0
101,0.0028143239997007186,,,,,0.0001,283.0,190.1493994929834,1.8319997252547182e-06,,,,,,,0.0,,,385,0.01684193500022957,,,,,,0.0024979559993880684,,,1680626850.0,0.14569923099952575,0.00043344700043235207,,,,0.16828872499900172,7.3455810546875,,,,,,,,9088.0
101,0.003103115000158141,,,,,0.0001,284.0,188.6016917323164,1.6919993868214078e-06,,,,,,,0.0,,,386,0.01681447500050126,,,,,,0.0024284970004373463,,,1680626850.0,0.14686457400057407,0.00045738700009678723,,,,0.16966974000115442,7.2149658203125,,,,,,,,9120.0
102,,,2089.0,356935.0,2413.0,,,,2.0649995349231176e-06,4416.323584,0.0,0.12669951059381562,94.56268902061781,0.0,5528.276992,,0.0,27130.49088,387,0.01676712599964958,0.0,714.0,3836.370944,3.0,0.3009999999999877,0.002601920000415703,3.833333333333333,3.2333333333333334,1680626851.0,0.1467458520000946,0.0004465199999685865,1.8040000000000305,0.0,2.719744,,,204800.466944,335847.0,869.888,0.06981564513971995,4.166666666666666,,266742.0,
102,0.0027403060003052815,,,,,0.0001,285.0,189.00935524842814,,,,,,,,0.0,,,388,,,,,,,,,,1680626851.0,,,,,,0.16930378899996867,7.1090087890625,,,,,,,,9152.0
102,0.0030784430000494467,,,,,0.0001,286.0,188.68003960768715,1.9229992176406085e-06,,,,,,,0.0,,,389,0.01675652300036745,,,,,,0.0024190260000978014,,,1680626851.0,0.14690069800053607,0.0004426730001796386,,,,0.16959928600044805,7.1895751953125,,,,,,,,9184.0
102,0.002774128000055498,,,,,0.0001,287.0,190.3767798006897,1.635999979043845e-06,,,,,,,0.0,,,390,0.01684149900029297,,,,,,0.002417583000351442,,,1680626851.0,0.1456045479999375,0.0004483319999053492,,,,0.1680877260005218,7.2957763671875,,,,,,,,9216.0
103,,,2108.0,360807.0,2427.0,,,,1.6619997040834278e-06,4419.895296,0.0,0.016348156713597115,93.54212514752402,0.0,5528.276992,,0.0,27130.49088,391,0.016897575000257348,0.0,718.0,3836.387328,3.0,0.3019999999999641,0.0025053599993043463,3.8,3.2333333333333334,1680626852.0,0.1457574370006114,0.00043943200034846086,1.82000000000005,0.0,2.719744,,,204796.399616,339420.0,869.904384,0.06333314225959256,4.166666666666666,,269373.0,
103,0.002879595999729645,,,,,0.0001,288.0,189.93232604391167,,,,,,,,0.0,,,392,,,,,,,,,,1680626852.0,,,,,,0.16848106199995527,7.1318359375,,,,,,,,9248.0
103,0.0027874770003109006,,,,,0.0001,289.0,188.91415937191658,1.5109999367268756e-06,,,,,,,0.0,,,393,0.016614377000223612,,,,,,0.002414577000308782,,,1680626852.0,0.1471314339996752,0.0004397269995024544,,,,0.16938910299995769,7.1412353515625,,,,,,,,9280.0
103,0.003078267000091728,,,,,0.0001,290.0,189.14848184587848,1.4980005289544351e-06,,,,,,,0.0,,,394,0.016648983000777662,,,,,,0.0025779870002224925,,,1680626852.0,0.14641288300026645,0.0004596409999066964,,,,0.16917925900179398,7.28515625,,,,,,,,9312.0
104,,,2124.0,364121.0,2440.0,,,,,4419.801088,0.0,0.016348024475379024,93.49779243228733,0.0,5528.276992,,0.0,27130.49088,395,0.016726833999200608,0.0,722.0,3836.370944,3.0,0.30299999999999727,0.0023907410004539997,3.8,3.2333333333333334,1680626853.0,,0.0004363669995655073,1.8400000000000318,0.0,2.719744,,,204795.990016,343191.0,869.888,0.07719013511963857,4.166666666666666,,271736.0,
104,0.002909990999796719,,,,,0.0001,291.0,190.66416377947039,1.5879995771683753e-06,,,,,,,0.0,,,396,,,,,,,,,,1680626853.0,0.1453688500005228,,,,,0.1678343709991168,7.3675537109375,,,,,,,,9344.0
104,0.0029144749996703467,,,,,0.0001,292.0,188.61318062609868,1.7009997463901527e-06,,,,,,,0.0,,,397,0.01679020999927161,,,,,,0.0024617729995952686,,,1680626853.0,0.1470507930007443,0.00044045300001016585,,,,0.1696594049990381,7.262451171875,,,,,,,,9376.0
104,0.002953285000330652,,,,,0.0001,293.0,189.71239257246503,1.7210004443768412e-06,,,,,,,0.0,,,398,0.016683451000062632,,,,,,0.0024754890000622254,,,1680626853.0,0.1461035210004411,0.00045891500030847965,,,,0.16867638200164947,7.3580322265625,,,,,,,,9408.0
105,,,2144.0,367290.0,2457.0,,,,,4423.442432,0.0,0.016346465096535857,83.86710357379455,0.0,5528.276992,,0.0,27130.49088,399,0.01689423900006659,0.0,726.0,3836.387328,3.0,0.3039999999999736,0.0024328200006493717,3.8,3.2333333333333334,1680626854.0,,0.00044660399998974754,1.8600000000000136,0.0,2.719744,,,204792.786944,346148.0,869.904384,0.07280881571758116,4.166666666666666,,274088.0,
105,0.0029302860002644593,,,,,0.0001,294.0,190.5783200361282,1.345999407931231e-06,,,,,,,0.0,,,400,,,,,,,,,,1680626854.0,0.14520467500005907,,,,,0.16790997000043717,7.113037109375,,,,,,,,9440.0
105,0.002818959999785875,,,,,0.0001,295.0,189.29262929809153,1.7129996194853447e-06,,,,,,,0.0,,,401,0.016707791999579058,,,,,,0.002550904000599985,,,1680626854.0,0.14652684300017427,0.0004442159997779527,,,,0.16905042799953662,7.1370849609375,,,,,,,,9472.0
105,0.0030545009994966676,,,,,0.0001,296.0,187.66396222414758,2.226000106020365e-06,,,,,,,0.0,,,402,0.01681190199997218,,,,,,0.002466629000082321,,,1680626854.0,0.14772166500006279,0.0004606319998856634,,,,0.17051755499960564,7.1781005859375,,,,,,,,9504.0
106,,,2162.0,371187.0,2465.0,,,,,4421.189632,0.0,0.016346597302268884,97.16700786769056,0.0,5528.276992,,0.0,27130.49088,403,0.016748103000281844,0.0,730.0,3836.370944,3.0,0.3059999999999832,0.002431505999993533,3.8,3.2333333333333334,1680626855.0,,0.00047775999973964645,1.8799999999999955,0.0,2.719744,,,204814.360576,348743.0,869.888,0.07086186075655286,4.166666666666666,,276958.0,
106,0.002664464999725169,,,,,0.0001,297.0,190.13206050166994,1.8040000213659368e-06,,,,,,,0.0,,,404,,,,,,,,,,1680626855.0,0.1459804339992843,,,,,0.16830407199904585,7.17138671875,,,,,,,,9536.0
106,0.002945932000329776,,,,,0.0001,298.0,191.48068446829194,1.6110006981762126e-06,,,,,,,0.0,,,405,0.016731503000301018,,,,,,0.0024256189999505295,,,1680626855.0,0.1445850939999218,0.0004289250000510947,,,,0.1671186840012524,7.3577880859375,,,,,,,,9568.0
106,0.0029225910002423916,,,,,0.0001,299.0,189.56590066341175,1.7160000425064936e-06,,,,,,,0.0,,,406,0.017251934000341862,,,,,,0.002526427999328007,,,1680626855.0,0.14565651999964757,0.00044754200007446343,,,,0.1688067309996768,7.27197265625,,,,,,,,9600.0
107,,,2193.0,376454.0,2474.0,,,,,4423.868416,0.0,0.05721358049773281,110.12157566190206,0.0,5528.276992,,0.0,27130.49088,407,0.017272229999434785,0.0,736.0,3836.387328,3.0,0.3089999999999691,0.002516399000342062,3.8,3.2333333333333334,1680626856.0,,0.00042426399977557594,1.900000000000034,0.0,2.719744,,,204811.681792,352704.0,869.904384,0.1559325486312233,4.166666666666666,,280341.0,
107,0.0027231729991399334,,,,,0.0001,300.0,189.7905934224236,1.742000677040778e-06,,,,,,,0.0,,,408,,,,,,,,,,1680626856.0,0.14566907300013554,,,,,0.16860688099950494,7.2357177734375,,,,,,,,9632.0
107,0.0028719160000036936,,,,,0.0001,301.0,189.72286759822978,1.8909995560534298e-06,,,,,,,0.0,,,409,0.016584482000325806,,,,,,0.0024235909995695692,,,1680626856.0,0.14635764099966764,0.0004275480005162535,,,,0.168667068999639,7.213134765625,,,,,,,,9664.0
108,0.002802353999868501,,,,,0.0001,302.0,190.19924678695546,1.8709997675614432e-06,,,,,,,0.0,,,410,0.016665564000504673,,,,,,0.0024102040006255265,,,1680626857.0,0.14594117599972378,0.000423450999733177,,,,0.16824462000022322,7.2362060546875,,,,,,,,9696.0
108,,,2215.0,379581.0,2481.0,,,,,4424.675328,0.0,0.06947331946434461,95.58373796457113,0.0,5528.276992,,0.0,27130.49088,411,0.0166276089994426,0.0,743.0,3836.370944,3.0,0.3109999999999786,0.002465145999849483,3.766666666666666,3.2333333333333334,1680626857.0,,0.00044441200043365825,1.924000000000035,0.0,2.719744,,,204810.87488,356212.0,869.888,0.06584959623056433,4.166666666666666,,282548.0,
108,0.002575658000750991,,,,,0.0001,303.0,189.46480928014705,2.093999682983849e-06,,,,,,,0.0,,,412,,,,,,,,,,1680626857.0,0.14678188099969702,,,,,0.16889679999985674,7.3187255859375,,,,,,,,9728.0
108,0.003083704999880865,,,,,0.0001,304.0,189.38174547819824,2.0990000848541968e-06,,,,,,,0.0,,,413,0.016589147000559024,,,,,,0.002429449999908684,,,1680626857.0,0.1463810610002838,0.00048541699925408466,,,,0.16897087899997132,7.063232421875,,,,,,,,9760.0
109,0.002558113000304729,,,,,0.0001,305.0,191.08152195107968,1.6880003386177123e-06,,,,,,,0.0,,,414,0.016544850000173028,,,,,,0.0025733760003276984,,,1680626858.0,0.1453615219998028,0.0004282399995645392,,,,0.1674677890005114,7.358642578125,,,,,,,,9792.0
109,,,2235.0,382690.0,2489.0,,,,,4420.399104,0.0,0.016347503350666107,96.52380163464905,0.0,5528.276992,,0.0,27130.49088,415,0.016845253999235865,0.0,747.0,3836.387328,3.0,0.3129999999999882,0.002408870000181196,3.766666666666666,3.2333333333333334,1680626858.0,,0.0004573739997795201,1.9399999999999977,0.0,2.719744,,,204815.151104,359847.0,869.904384,0.3983506616031158,4.166666666666666,,284757.0,
109,0.002924799000538769,,,,,0.0001,306.0,190.79847408516557,1.8439995983499102e-06,,,,,,,0.0,,,416,,,,,,,,,,1680626858.0,0.14507808500002284,,,,,0.16771622599935654,7.266845703125,,,,,,,,9824.0
109,0.0027627649997157278,,,,,0.0001,307.0,190.3651158311816,1.6739995771786198e-06,,,,,,,0.0,,,417,0.016798089999610966,,,,,,0.00249408499985293,,,1680626858.0,0.14559604300029605,0.00044536800032801693,,,,0.16809802499938087,7.136474609375,,,,,,,,9856.0
110,0.002922982000200136,,,,,0.0001,308.0,190.4415335182071,1.7579995983396657e-06,,,,,,,0.0,,,418,0.01650469099968177,,,,,,0.0024648930002513225,,,1680626859.0,0.14568867900015903,0.0004475699997783522,,,,0.16803057299966895,7.390625,,,,,,,,9888.0
110,,,2252.0,385707.0,2496.0,,,,,4418.37568,0.0,0.016347413914487404,90.08643937735128,0.0,5528.276992,,0.0,27130.49088,419,0.0167599380001775,0.0,751.0,3836.370944,3.0,0.31399999999996453,0.0024124949995893985,3.766666666666666,3.2333333333333334,1680626859.0,,0.0004379390002213768,1.9560000000000173,0.0,2.719744,,,204817.174528,363250.0,869.888,0.06063230277206897,4.166666666666666,,286926.0,
110,0.0027531759997145855,,,,,0.0001,309.0,188.7770732130777,1.7279999156016856e-06,,,,,,,0.0,,,420,,,,,,,,,,1680626859.0,0.14714683400052309,,,,,0.16951211000014155,7.218017578125,,,,,,,,9920.0
110,0.002936705999672995,,,,,0.0001,310.0,190.13397196101388,1.7540005501359701e-06,,,,,,,0.0,,,421,0.016925150000133726,,,,,,0.002682278999600385,,,1680626859.0,0.14529925500028185,0.0004572360003294307,,,,0.16830238000056852,7.22021484375,,,,,,,,9952.0
111,0.003177309999955469,,,,,0.0001,311.0,191.64709834978652,1.8490000002202578e-06,,,,,,,0.0,,,422,0.0169675589995677,,,,,,0.0024845890002325177,,,1680626860.0,0.14390552199984086,0.0004367400006231037,,,,0.16697356900021987,7.491455078125,,,,,,,,9984.0
111,,,2277.0,389514.0,2498.0,,,,,4421.472256,0.0,0.08173640847046602,105.27587150314788,0.0,5528.276992,,0.0,27130.49088,423,0.016577712000071188,0.0,758.0,3836.387328,3.0,0.3170000000000073,0.0024007410002013785,3.766666666666666,3.2333333333333334,1680626860.0,,0.00044193200028530555,1.9720000000000368,0.0,2.719744,,,204814.077952,367212.0,869.904384,0.07702698649406937,4.166666666666666,,289539.0,
