_runtime,02_timing/dataload_time_s,memory/total_memory_sys_MB,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,process/involuntary_proc_ctx_switches,01_general/lr,01_general/step,01_general/step_based_sps,02_timing/opt_step_time_s,memory/used_memory_sys_MB,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,process/memory/lib_memory_proc_MB,01_general/dataset_iteration_count,process/memory/dirty_pages_proc_count,process/memory/virtual_memory_size_proc_MB,_step,02_timing/forward_time_s,disk/counter/disk_read_sys_count,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,memory/used_memory_sys_percent,disk/time/disk_write_time_sys_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_five_min_percent,_timestamp,02_timing/backward_time_s,02_timing/loss_calc_time_s,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,process/memory/text_resident_set_proc_MB,02_timing/step_time_s,01_general/minibatch_loss,memory/available_memory_sys_MB,cpu/interrupts/ctx_switches_count,process/memory/shared_memory_proc_MB,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_fifteen_min_percent,cpu/logical_core_count,cpu/interrupts/interrupts_count,01_general/locally_processed_samples
8,,,291.0,20180.0,273.0,,,,1.5730001905467361e-06,4346.957824,0.0,0.08582976250650422,94.131684600695,0.0,5527.588864,,0.0,27129.966592,15,0.017203985000378452,0.0,111.0,3835.55584,2.9,0.027999999999963165,0.0024796400002742303,1.0666666666666667,2.733333333333333,1680626757.0,0.14082494500053144,0.00042697299977589864,0.07200000000000273,0.0,2.719744,,,204868.837376,17630.0,869.904384,0.15600549187526738,4.133333333333333,,28517.0,
8,0.003229633999580983,,,,,0.0001,6.0,194.92375892108117,,,,,,,,0.0,,,16,,,,,,,,,,1680626757.0,,,,,,0.16416675000073155,7.2816162109375,,,,,,,,224.0
9,0.0029759850003756583,,,,,0.0001,7.0,196.65871073516615,1.42800035973778e-06,,,,,,,0.0,,,17,0.017205758999807585,,,,,,0.002538321999963955,,,1680626758.0,0.13954408900008275,0.0004528640001808526,,,,0.16271844700077054,7.1248779296875,,,,,,,,256.0
9,0.0029902340002081473,,,,,0.0001,8.0,196.05007258434648,1.5780005924170837e-06,,,,,,,0.0,,,18,0.017013038000186498,,,,,,0.002451325000038196,,,1680626758.0,0.14033292800013442,0.00043450399971334264,,,,0.16322360700087302,7.3597412109375,,,,,,,,288.0
9,,,314.0,23420.0,309.0,,,,1.3429998944047838e-06,4351.11936,0.0,0.09808593013622222,93.94413040661563,0.0,5527.588864,,0.0,27129.966592,19,0.017325411999991047,0.0,127.0,3835.551744,2.9,0.031999999999982265,0.0024242009994850378,1.0666666666666667,2.733333333333333,1680626758.0,0.13971536099961668,0.0004382130000522011,0.09600000000000364,0.0,2.719744,,,204864.671744,19054.0,869.888,0.06112011450673264,4.133333333333333,,31039.0,
9,0.0028272379995541996,,,,,0.0001,9.0,196.64261252465815,,,,,,,,0.0,,,20,,,,,,,,,,1680626758.0,,,,,,0.16273176799859357,6.9808349609375,,,,,,,,320.0
10,0.003023336999831372,,,,,0.0001,10.0,195.74762268797528,1.5900004655122757e-06,,,,,,,0.0,,,21,0.017192545999932918,,,,,,0.002630039999530709,,,1680626759.0,0.1401787039994815,0.00044958700073038926,,,,0.1634758039999724,7.1771240234375,,,,,,,,352.0
10,0.0032101509996209643,,,,,0.0001,11.0,195.33479468326306,1.664999217609875e-06,,,,,,,0.0,,,22,0.017021646999637596,,,,,,0.002464008999595535,,,1680626759.0,0.14068761600083235,0.00043621199984045234,,,,0.1638212999987445,7.3497314453125,,,,,,,,384.0
10,,,338.0,26941.0,350.0,,,,1.4689994713990018e-06,4369.215488,0.0,0.01634801669715399,92.26042339757602,0.0,5527.588864,,0.0,27129.966592,23,0.017099288000281376,0.0,131.0,3835.57632,3.0,0.03299999999995862,0.0024582770001870813,1.0666666666666667,2.733333333333333,1680626759.0,0.14129864499955147,0.0004314320003686589,0.11200000000002319,0.0,2.719744,,,204846.57152,20706.0,869.904384,0.15030117504129015,4.133333333333333,,33824.0,
10,0.002797629000269808,,,,,0.0001,12.0,195.01880529758034,,,,,,,,0.0,,,24,,,,,,,,,,1680626759.0,,,,,,0.1640867400001298,7.1239013671875,,,,,,,,416.0
