04_peers/peer_2_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/global_samples_accumulated,03_hivemind/global_epoch,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,04_peers/peer_2_epoch,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,04_peers/peer_1_samples_per_second,03_hivemind/total_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,_step,04_peers/peer_1_epoch,03_hivemind/num_clients,03_hivemind/overshot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/per_epoch_training_samples,_runtime,_timestamp,04_peers/peer_1_samples_accumulated
,10.0,,,27.45594251733205,,,192,0,1186.13,202,,27.45594251733205,1,,,,,0,,0,,,,41,1681403447.0,
,10.0,,,97.04316794790739,,,512,0,332.05,545,,97.04316794790739,1,27.46,,,,1,0.0,0,,0.0,,42,1681403448.0,192.0
,10.0,,,174.94488305824513,,,832,0,182.22,890,,174.94488305824513,1,97.04,,,,2,0.0,0,,0.0,,43,1681403449.0,512.0
,10.0,,,229.04308139192926,,,1152,0,137.7,1228,,229.04308139192926,1,174.94,,,,3,0.0,0,,0.0,,45,1681403451.0,832.0
,10.0,,,252.5563145893615,,,1440,0,123.6,1552,,252.5563145893615,1,229.04,,,,4,0.0,0,,0.0,,46,1681403452.0,1152.0
,10.0,,,264.45701221232105,,,1760,0,116.81,1878,,264.45701221232105,1,252.56,,,,5,0.0,0,,0.0,,47,1681403453.0,1440.0
,10.0,,,267.32433570991327,,,2080,0,114.36,2198,,267.32433570991327,1,264.46,,,,6,0.0,0,,0.0,,48,1681403454.0,1760.0
,10.0,,,274.72926424200875,,,2592,0,109.5,2684,,274.72926424200875,2,267.32,,,,7,0.0,0,,0.0,,49,1681403455.0,2080.0
0.0,10.0,3.9,160.0,286.6955555689439,,,3168,0,102.81,3294,0.0,286.6955555689439,2,270.83,,,,8,0.0,0,,0.0,,50,1681403456.0,2432.0
0.0,10.0,17.87,448.0,322.48933326979284,,,3840,0,89.38,3943,0.0,322.48933326979284,2,268.83,,,,9,0.0,0,,0.0,,52,1681403458.0,2720.0
0.0,10.0,52.17,768.0,375.6248096648809,,,4448,0,75.06,4573,0.0,375.6248096648809,2,270.32,,,,10,0.0,0,,0.0,,53,1681403459.0,3072.0
0.0,10.0,104.59,1056.0,431.5854875598807,,,5024,0,63.88,5198,0.0,431.5854875598807,2,271.03,,,,11,0.0,0,,0.0,,54,1681403460.0,3392.0
0.0,10.0,163.86,1344.0,479.4867821979036,,,5664,0,56.17,5833,0.0,479.4867821979036,2,267.72,,,,12,0.0,0,,0.0,,55,1681403461.0,3680.0
0.0,10.0,212.53,1664.0,503.03999620969984,,,6272,0,52.31,6456,0.0,503.03999620969984,2,266.95,,,,13,0.0,0,,0.0,,56,1681403462.0,4000.0
0.0,10.0,235.15,1952.0,511.4662236667914,,,6880,0,50.24,7072,0.0,511.4662236667914,2,267.89,,,,14,0.0,0,,0.0,,58,1681403464.0,4320.0
0.0,10.0,245.16,2240.0,515.7996354252392,,,7520,0,48.62,7689,0.0,515.7996354252392,2,266.31,,,,15,0.0,0,,0.0,,59,1681403465.0,4640.0
0.0,10.0,249.66,2560.0,518.1026825661576,,,8128,0,47.22,8305,0.0,518.1026825661576,2,266.14,,,,16,0.0,0,,0.0,,60,1681403466.0,4960.0
0.0,10.0,251.29,2848.0,520.1037328785826,,,8736,0,45.85,8922,0.0,520.1037328785826,2,266.81,,,,17,0.0,0,,0.0,,61,1681403467.0,5280.0
0.0,10.0,251.99,3136.0,522.4919690562728,,,9376,0,44.44,9546,0.0,522.4919690562728,2,268.12,,,,18,0.0,0,,0.0,,62,1681403468.0,5600.0
0.0,10.0,251.77,3456.0,522.6059970027275,,,9984,0,43.25,10166,0.0,522.6059970027275,2,270.73,,,,19,0.0,0,,0.0,,63,1681403469.0,5920.0
0.0,10.0,251.87,3744.0,515.9543308680677,,,10592,0,42.63,10773,0.0,515.9543308680677,2,270.74,,,,20,0.0,0,,0.0,,65,1681403471.0,6240.0
0.0,10.0,251.91,4032.0,514.0295867683648,,,11200,0,41.6,11382,0.0,514.0295867683648,2,264.05,,,,21,0.0,0,,0.0,,66,1681403472.0,6560.0
0.0,10.0,251.96,4352.0,514.0443148640161,,,11808,0,40.42,11992,0.0,514.0443148640161,2,262.07,,,,22,0.0,0,,0.0,,67,1681403473.0,6848.0
0.0,10.0,251.97,4640.0,514.6051948479113,,,12416,0,39.18,12603,0.0,514.6051948479113,2,262.07,,,,23,0.0,0,,0.0,,68,1681403474.0,7168.0
0.0,10.0,251.82,4928.0,513.3249893029088,,,13024,0,38.1,13211,0.0,513.3249893029088,2,262.79,,,,24,0.0,0,,0.0,,69,1681403475.0,7488.0
0.0,10.0,251.86,5248.0,510.83791354345897,,,13632,0,37.1,13815,0.0,510.83791354345897,2,261.46,,,,25,0.0,0,,0.0,,71,1681403477.0,7776.0
0.0,10.0,251.5,5536.0,513.2704330134745,,,14240,0,35.73,14427,0.0,513.2704330134745,2,259.34,,,,26,0.0,0,,0.0,,72,1681403478.0,8096.0
0.0,10.0,251.49,5824.0,512.3096737146163,,,14848,0,34.62,15033,0.0,512.3096737146163,2,261.78,,,,27,0.0,0,,0.0,,73,1681403479.0,8416.0
0.0,10.0,251.11,6144.0,512.574716928341,,,15232,0,33.41,15641,0.0,512.574716928341,2,261.19,,,,28,0.0,0,,0.0,,74,1681403480.0,8704.0
0.0,10.0,251.27,6432.0,430.6122535073922,,,15680,0,39.07,15943,0.0,430.6122535073922,2,261.3,,,,29,0.0,0,,0.0,,75,1681403481.0,8800.0
0.0,10.0,251.47,6720.0,409.6646257730434,,,16224,0,40.08,16350,0.0,409.6646257730434,2,179.14,,,,30,0.0,0,,0.0,,77,1681403483.0,8960.0
0.0,10.0,251.52,7040.0,465.5872240278678,,,16832,0,33.9,16985,0.0,465.5872240278678,2,158.14,,,,31,0.0,0,,0.0,,78,1681403484.0,9184.0
0.0,10.0,251.57,7328.0,493.32856145633286,,,17408,0,30.74,17605,0.0,493.32856145633286,2,214.02,,,,32,0.0,0,,0.0,,79,1681403485.0,9504.0
0.0,10.0,251.39,7616.0,507.93745215650654,,,18048,0,28.64,18223,0.0,507.93745215650654,2,241.94,,,,33,0.0,0,,0.0,,80,1681403486.0,9792.0
0.0,10.0,251.34,7936.0,513.9608687246271,,,18656,0,27.1,18839,0.0,513.9608687246271,2,256.6,,,,34,0.0,0,,0.0,,81,1681403487.0,10112.0
0.0,10.0,251.22,8224.0,516.5020067794529,,,19264,0,25.77,19455,0.0,516.5020067794529,2,262.74,,,,35,0.0,0,,0.0,,82,1681403488.0,10432.0
0.0,9.85,250.72,8512.0,516.0097079270023,,,19872,0,24.62,20066,0.0,516.0097079270023,2,265.78,,,,36,0.0,0,,0.0,,84,1681403490.0,10752.0
0.0,10.0,250.88,8800.0,473.2371363184308,,,20416,0,25.77,20571,0.0,473.2371363184308,2,265.13,,,,37,0.0,0,,0.0,,85,1681403491.0,11072.0
0.0,9.48,209.11,9024.0,489.6347241443775,,,20992,0,23.69,21167,0.0,489.6347241443775,2,264.13,,,,38,0.0,0,,0.0,,86,1681403492.0,11392.0
0.0,8.67,224.49,9280.0,506.650239355565,,,21632,0,21.67,21789,0.0,506.650239355565,2,265.14,,,,39,0.0,0,,0.0,,87,1681403493.0,11712.0
