04_peers/peer_2_epoch,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,_runtime,_timestamp,03_hivemind/num_clients,04_peers/peer_7_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_9_samples_per_second,_step,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,04_peers/peer_6_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_8_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_epoch_oos,04_peers/peer_8_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/num_peers,04_peers/peer_1_epoch,04_peers/peer_4_epoch_oos,03_hivemind/per_epoch_training_samples,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_6_samples_per_second,03_hivemind/estimated_current_samples,04_peers/peer_7_epoch,03_hivemind/actual_total_samples_per_second,04_peers/peer_8_samples_per_second,03_hivemind/global_samples_accumulated,04_peers/peer_3_samples_accumulated,04_peers/peer_4_samples_accumulated,04_peers/peer_9_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_3_epoch,03_hivemind/overshot_TBS,04_peers/peer_6_epoch_oos,04_peers/peer_9_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_5_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_9_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_3_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_5_epoch,04_peers/peer_6_epoch,03_hivemind/global_epoch
0.0,,109.5,61,1681382675.0,0,,,,17,,,,,,224.5235696813634,0.0,0.0,,10.0,2,0.0,,,215.93,,,8183,,224.5235696813634,,8096,,,,,,,,,,,864.0,,,,,6912.0,,26.71,,,,,0
0.0,,107.93,62,1681382676.0,0,,,,18,,,,,,225.25737598296345,0.0,0.0,,10.0,2,0.0,,,196.19,,,8456,,225.25737598296345,,8128,,,,,,,,,,,928.0,,,,,7168.0,,28.33,,,,,0
0.0,,107.24,63,1681382677.0,0,,,,19,,,,,,224.37761417434996,0.0,0.0,,10.0,2,0.0,,,196.19,,,8706,,224.37761417434996,,8416,,,,,,,,,,,960.0,,,,,7168.0,,29.07,,,,,0
0.0,,107.36,65,1681382679.0,0,,,,20,,,,,,222.01359710474696,0.0,0.0,,10.0,2,0.0,,,194.62,,,8933,,222.01359710474696,,8736,,,,,,,,,,,992.0,,,,,7424.0,,29.75,,,,,0
0.0,,105.91,66,1681382680.0,0,,,,21,,,,,,222.52540210009658,0.0,0.0,,10.0,2,0.0,,,191.02,,,9200,,222.52540210009658,,8768,,,,,,,,,,,1056.0,,,,,7680.0,,30.99,,,,,0
0.0,,106.13,70,1681382684.0,0,,,,22,,,,,,214.64040890575126,0.0,0.0,,10.0,2,0.0,,,191.02,,,9989,,214.64040890575126,,9056,,,,,,,,,,,1088.0,,,,,7680.0,,31.5,,,,,0
0.0,,101.85,73,1681382687.0,0,,,,23,,,,,,217.15014584956856,0.0,0.0,,10.0,2,0.0,,,182.65,,,10651,,217.15014584956856,,9280,,,,,,,,,,,1120.0,,,,,7936.0,,31.99,,,,,0
0.0,,98.61,77,1681382691.0,0,,,,24,,,,,,215.4579839359303,0.0,0.0,,10.0,2,0.0,,,182.65,,,11521,,215.4579839359303,,10624,,,,,,,,,,,1344.0,,,,,7936.0,,34.5,,,,,0
0.0,,100.28,78,1681382692.0,0,,,,25,,,,,,210.02345281470048,0.0,0.0,,10.0,2,0.0,,,180.51,,,11707,,210.02345281470048,,11040,,,,,,,,,,,1408.0,,,,,9216.0,,34.95,,,,,0
0.0,,101.22,80,1681382694.0,0,,,,26,,,,,,206.01176131118297,0.0,0.0,,10.0,2,0.0,,,174.26,,,11915,,206.01176131118297,,11584,,,,,,,,,,,1568.0,,,,,9472.0,,35.77,,,,,0
0.0,,98.01,81,1681382695.0,0,,,,27,,,,,,209.3719339158631,0.0,0.0,,10.0,2,0.0,,,170.14,,,12246,,209.3719339158631,,11904,,,,,,,,,,,1600.0,,,,,9984.0,,35.87,,,,,0
0.0,,92.44,83,1681382697.0,0,,,,28,,,,,,218.08700046993076,0.0,0.0,,10.0,4,0.0,,,173.29,,,12607,,218.08700046993076,,12256,,,,,,,,,,,1664.0,,,,,10240.0,,36.08,,,,,0
0.0,,81.45,84,1681382698.0,0,,,,29,,,,4.15,,241.2120056314591,0.0,0.0,,10.0,6,0.0,0.0,,173.66,4.13,,13121,,241.2120056314591,,12768,32.0,32.0,,,0.0,,,,0.0,,1696.0,,,,,10496.0,0.0,36.15,,,,,0
0.0,,71.82,85,1681382699.0,0,,,,30,,,32.0,7.84,,265.8408168831803,0.0,0.0,,10.0,7,0.0,0.0,,174.63,11.08,3.77,13676,,265.8408168831803,,13312,96.0,64.0,,7.58,0.0,,0.0,,0.0,0.0,1760.0,64.0,,,,10752.0,0.0,36.31,,,0.0,0.0,0
0.0,,64.27,87,1681382701.0,0,0.0,,,31,,,96.0,14.06,,288.2628873748303,0.0,0.0,,10.0,7,0.0,0.0,,173.43,14.01,10.29,14242,0.0,288.2628873748303,,13920,128.0,128.0,,10.77,0.0,,0.0,,0.0,0.0,1792.0,96.0,,,6.91,11008.0,0.0,36.36,64.0,,0.0,0.0,0
0.0,,58.24,88,1681382702.0,0,0.0,,,32,,,128.0,19.0,,307.90638179755604,0.0,0.0,,10.0,7,0.0,0.0,,171.85,18.96,13.1,14836,0.0,307.90638179755604,,14496,192.0,192.0,,16.19,0.0,,0.0,,0.0,0.0,1856.0,160.0,,,12.7,11264.0,0.0,36.46,128.0,,0.0,0.0,0
0.0,,54.39,89,1681382703.0,0,0.0,,,33,,,192.0,21.09,,320.1371026832115,0.0,0.0,,10.0,7,0.0,0.0,,173.69,22.91,17.93,15357,0.0,320.1371026832115,,15040,256.0,224.0,,20.53,0.0,,0.0,,0.0,0.0,1920.0,224.0,,,15.21,11520.0,0.0,36.54,160.0,,0.0,0.0,0
0.0,,48.08,91,1681382705.0,0,0.0,,,34,,,256.0,24.61,,347.5222683916741,0.0,0.0,,10.0,9,0.0,0.0,,170.56,24.57,21.87,16058,0.0,347.5222683916741,,15488,288.0,288.0,,22.37,0.0,,0.0,,0.0,0.0,1952.0,256.0,,,19.59,11776.0,0.0,36.56,224.0,,0.0,0.0,0
0.0,,39.53,94,1681382708.0,0,0.0,,7.4,35,,,288.0,27.45,64.0,387.80221256231414,0.0,0.0,0.0,10.0,9,0.0,0.0,,170.56,27.41,23.56,17437,0.0,387.80221256231414,7.6,16832,352.0,352.0,0.0,25.48,0.0,,0.0,64.0,0.0,0.0,2016.0,320.0,0.0,0.0,21.49,11776.0,0.0,36.58,256.0,,0.0,0.0,0
0.0,,36.07,95,1681382709.0,0,0.0,,15.83,36,,,416.0,30.68,160.0,405.46780153219294,0.0,0.0,0.0,10.0,9,0.0,0.0,,172.64,30.63,28.79,18144,0.0,405.46780153219294,16.12,17344,448.0,448.0,0.0,29.04,0.0,,0.0,160.0,0.0,0.0,2112.0,416.0,0.0,0.0,27.47,12288.0,0.0,36.6,384.0,,0.0,0.0,0
0.0,,33.43,96,1681382710.0,0,0.0,,20.08,37,,,480.0,32.3,224.0,417.3078237097784,0.0,0.0,0.0,10.0,9,0.0,0.0,,172.64,32.27,30.69,18818,0.0,417.3078237097784,20.35,17760,512.0,512.0,0.0,30.85,0.0,,0.0,224.0,0.0,0.0,2176.0,480.0,0.0,0.0,29.68,12288.0,0.0,36.61,448.0,,0.0,0.0,0
0.0,,33.95,98,1681382712.0,0,0.0,,21.87,38,,,512.0,33.61,288.0,404.4071898017193,0.0,0.0,0.0,10.0,9,0.0,0.0,,172.64,33.58,31.52,19037,0.0,404.4071898017193,23.72,18656,576.0,576.0,0.0,32.29,0.0,,0.0,256.0,0.0,0.0,2208.0,544.0,0.0,0.0,31.48,12288.0,0.0,36.6,512.0,,0.0,0.0,0
0.0,,29.44,99,1681382713.0,0,0.0,,24.92,39,,,576.0,34.16,320.0,432.21934430518627,0.0,0.0,0.0,10.0,9,0.0,0.0,,151.05,34.58,32.89,20044,0.0,432.21934430518627,25.14,19616,640.0,608.0,0.0,32.89,0.0,,0.0,320.0,0.0,0.0,2272.0,576.0,0.0,0.0,32.19,12800.0,0.0,36.58,544.0,,0.0,0.0,0
0.0,,25.75,101,1681382715.0,0,0.0,,27.38,40,,,640.0,35.11,384.0,457.6208056151089,0.0,0.0,0.0,10.0,9,0.0,0.0,,169.17,35.01,33.99,20986,0.0,457.6208056151089,27.55,20640,672.0,672.0,0.0,33.93,0.0,,0.0,384.0,0.0,0.0,2304.0,640.0,0.0,0.0,33.51,13312.0,0.0,36.58,608.0,,0.0,0.0,0
0.0,,22.58,102,1681382716.0,0,0.0,,29.35,41,,,704.0,35.84,448.0,480.341073677596,0.0,0.0,0.0,10.0,9,0.0,0.0,,186.45,35.75,34.89,21924,0.0,480.341073677596,29.45,21472,736.0,736.0,0.0,34.75,0.0,,0.0,448.0,0.0,0.0,2368.0,704.0,0.0,0.0,34.57,13824.0,0.0,36.56,672.0,,0.0,0.0,0
0.0,,19.75,103,1681382717.0,0,0.0,,30.19,42,,,736.0,36.17,480.0,502.0203524257764,0.0,0.0,0.0,10.0,9,0.0,0.0,,205.45,36.37,35.28,22851,0.0,502.0203524257764,30.25,22432,800.0,768.0,0.0,35.08,0.0,,0.0,480.0,0.0,0.0,2432.0,736.0,0.0,0.0,35.03,14336.0,0.0,36.53,704.0,,0.0,0.0,0
