_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
15,15,,,1681306051,7.875,0.0,0.09999999999999432,3609.694208,0.39627876431596076,14640.0,0.07781311432022005,185.311232,90.0,3100.03712,0.0,0.0,0.0,3.0,11759.0,0.06692151248898974,29083.344896,2.711552,1381.0,0.08300000000008367,3731.304448,0.0,18000.0,12.3,9.875,11418.783744,43.0,,,,,,,,,,,,,,
16,16,,,1681306052,7.875,0.0,0.103999999999985,3609.694208,0.00408533448547968,15299.0,0.16764233892174266,185.311232,91.0,3100.03712,0.0,0.0,0.0,3.0,12146.0,0.09819963184692357,29083.369472,2.711552,1384.0,0.08400000000006003,3731.304448,0.0,18820.0,12.3,9.875,11418.783744,45.0,,,,,,,,,,,,,,
17,17,,,1681306053,7.875,0.0,0.11199999999999477,3884.515328,0.004085196539493871,16017.0,0.12833261939850069,185.311232,92.0,3375.116288,0.0,0.0,0.0,3.0,12638.0,0.1423116513050403,28808.548352,2.711552,1384.0,0.08500000000003638,4759.51104,0.0,19736.0,13.2,9.875,12446.990336,48.0,,,,,,,,,,,,,,
18,18,,,1681306054,7.875,0.0,0.12000000000000455,4407.836672,0.004085264539871907,16940.0,0.18528908814774822,185.311232,93.0,3898.216448,0.0,0.0,0.0,3.75,13147.0,0.12242229263010809,28285.227008,2.711552,1384.0,0.08600000000001273,4759.51104,0.0,20784.0,14.7,10.0,12446.990336,50.0,,,,,,,,,,,,,,
19,19,,,1681306055,7.875,0.0,0.12399999999999523,4638.015488,0.0040855841683460365,17451.0,0.092811385737503,185.311232,94.0,4128.272384,0.0,0.0,0.0,3.75,13448.0,0.06783506062915852,28055.048192,2.711552,1384.0,0.08600000000001273,4785.082368,0.0,21480.0,15.4,10.0,12673.49504,54.0,,,,,,,,,,,,,,
20,20,,,1681306056,7.875,0.0,0.132000000000005,4638.0032,0.03676748577213343,17925.0,0.12227901897454131,185.311232,97.0,4128.272384,0.0,0.0,0.0,3.75,13801.0,0.07495524334163824,28055.048192,2.711552,1384.0,0.08799999999996544,4785.082368,0.0,22178.0,15.4,10.0,12673.49504,55.0,,,,,,,,,,,,,,
21,21,,,1681306057,7.875,0.0,0.13599999999999568,4299.03872,0.004085136312478062,18731.0,0.12125354791416754,370.356224,98.0,3898.093568,0.0,0.0,0.0,3.75,14253.0,0.10334118264060202,28381.45024,2.711552,1396.0,0.08900000000016917,4378.50112,0.0,23550.0,14.5,10.0,13812.465664,57.0,,,,,,,,,,,,,,
22,22,,,1681306058,7.875,0.0,0.13999999999998636,3754.688512,0.004072366645309422,19468.0,0.15440791733269904,462.565376,99.0,3442.900992,0.0,0.0,0.0,3.75,14649.0,0.09170778791582332,28925.779968,2.711552,1396.0,0.08900000000016917,3832.430592,0.0,24416.0,12.8,10.0,13501.27616,60.0,,,,,,,,,,,,,,
23,23,,,1681306059,7.875,0.0,0.14799999999999613,3705.99936,0.06945354349251462,20523.0,0.14209888586119412,465.412096,103.0,3394.236416,0.0,0.0,0.0,3.375,15235.0,0.13405555270185854,28974.465024,2.711552,1422.0,0.09200000000009823,4120.170496,0.0,25551.0,12.7,9.75,15566.876672,61.0,,,,,,,,,,,,,,
24,24,,,1681306060,7.875,0.0,0.1519999999999868,2993.33632,0.004084075830883115,22697.0,0.26820094070817035,2489.257984,104.0,4715.45856,0.0,0.0,0.0,3.375,16116.0,0.14110801061893757,27664.531456,2.711552,1745.0,0.09300000000007458,3110.838272,0.0,27988.0,16.6,9.75,16592.674816,64.0,,,,,,,,,,,,,,
