03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
353,12.982108759711906,1,352,0,2496.89,35,0,10.0,12.982108759711906,1683043787,0,,,,,,,,,,,,,,,,,,,
1834,744.9234502708952,1,1760,1,41.53,36,0,10.0,744.9234502708952,1683043788,0,352.0,0.0,12.98,0.0,,,,,,,,,,,,,,,
3277,1167.043103556689,1,3168,2,25.27,37,0,6.32,1167.043103556689,1683043789,0,1760.0,0.0,744.92,0.0,,,,,,,,,,,,,,,
4361,682.5810198091251,1,4288,3,41.62,38,0,10.0,682.5810198091251,1683043790,0,3168.0,0.0,1167.04,0.0,,,,,,,,,,,,,,,
8919,1105.5879198440957,1,5472,4,21.57,42,0,5.39,1105.5879198440957,1683043794,0,4288.0,0.0,682.58,0.0,,,,,,,,,,,,,,,
12040,2858.816725499151,3,11744,5,7.25,44,0,3.63,2858.816725499151,1683043796,0,5472.0,0.0,1105.59,0.0,,,,,,,,,,,,,,,
16407,3700.681836518843,3,16000,6,4.42,45,0,2.21,3700.681836518843,1683043797,0,8960.0,0.0,668.35,0.0,1025.41,1536.0,0.0,0.0,0.0,1248.0,0.0,1165.06,,,,,,,
20402,3445.542005430937,3,20064,7,3.59,46,0,1.79,3445.542005430937,1683043798,0,10304.0,0.0,1198.0,0.0,1239.45,3008.0,0.0,0.0,0.0,2688.0,0.0,1263.23,,,,,,,
23684,3000.9573606133426,3,23360,8,3.03,47,0,1.51,3000.9573606133426,1683043799,0,11712.0,0.0,1211.27,0.0,1104.52,4320.0,0.0,0.0,0.0,4032.0,0.0,1129.75,,,,,,,
27111,2497.685584641347,3,26848,9,2.27,48,0,1.13,2497.685584641347,1683043800,0,12416.0,0.0,808.5,0.0,1161.05,5600.0,0.0,0.0,0.0,5344.0,0.0,1031.41,,,,,,,
31180,3473.0151592123493,3,30784,10,0.46,50,0,0.5,3473.0151592123493,1683043802,0,13856.0,0.0,1180.91,0.0,759.88,6496.0,0.0,0.0,0.0,6496.0,0.0,556.9,,,,,,,
34815,3245.9613352857277,3,33056,11,0.0,51,0,0.5,3245.9613352857277,1683043803,0,15264.0,0.0,1166.78,0.0,1169.27,7744.0,0.0,0.0,0.0,7776.0,0.0,1136.97,,,,,,,
2365,3422.1291061703596,3,1984,12,8.88,52,1,4.44,3422.1291061703596,1683043804,0,16096.0,0.0,1102.98,0.0,1103.58,8448.0,0.0,0.0,0.0,8512.0,0.0,1039.41,,,,,,,
6445,3503.1694592324393,3,6080,13,7.51,53,1,3.76,3503.1694592324393,1683043805,0,640.0,1.0,1140.17,0.0,1045.38,704.0,1.0,0.0,1.0,640.0,0.0,1236.58,17.430368575267494,0.0,33056.0,33056.0,0.0,1896.4601842616348,1.0
10371,3085.5690136204876,3,9792,14,7.26,54,1,3.63,3085.5690136204876,1683043806,0,1920.0,1.0,1158.35,0.0,1145.35,2144.0,1.0,0.0,1.0,2016.0,0.0,1199.47,,,,,,,
13980,3392.3092789600464,3,13632,15,5.54,56,1,2.77,3392.3092789600464,1683043808,0,3072.0,1.0,722.04,0.0,1203.06,3392.0,1.0,0.0,1.0,3328.0,0.0,1160.47,,,,,,,
17772,3418.252186290455,3,17408,16,4.39,57,1,2.19,3418.252186290455,1683043809,0,4384.0,1.0,1136.5,0.0,1064.8,4768.0,1.0,0.0,1.0,4480.0,0.0,1191.01,,,,,,,
21707,2972.8797583285573,3,21376,17,3.72,58,1,1.86,2972.8797583285573,1683043810,0,5376.0,1.0,1031.71,0.0,1184.11,6176.0,1.0,0.0,1.0,5856.0,0.0,1202.44,,,,,,,
25547,3258.831987677371,3,25184,18,2.22,59,1,1.11,3258.831987677371,1683043811,0,6720.0,1.0,1149.95,0.0,822.87,7488.0,1.0,0.0,1.0,7168.0,0.0,1000.06,,,,,,,
28815,2775.382554212846,3,28096,19,1.42,60,1,0.71,2775.382554212846,1683043812,0,7968.0,1.0,1019.45,0.0,1091.03,8768.0,1.0,0.0,1.0,8448.0,0.0,1148.36,,,,,,,
32207,3432.729236436432,3,31840,20,0.16,62,1,0.5,3432.729236436432,1683043814,0,8800.0,1.0,1005.26,0.0,1110.81,9728.0,1.0,0.0,1.0,9568.0,0.0,659.32,,,,,,,
33781,1683.5933857925043,3,32352,21,0.0,63,1,0.5,1683.5933857925043,1683043815,0,9824.0,1.0,1083.37,0.0,1137.57,11136.0,1.0,0.0,1.0,10880.0,0.0,1211.79,,,,,,,
3472,3361.8199405334144,3,3104,22,8.71,64,2,4.36,3361.8199405334144,1683043816,0,9888.0,1.0,338.24,0.0,677.54,11424.0,1.0,0.0,1.0,11040.0,0.0,667.81,,,,,,,
