03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_6_samples_accumulated,04_peers/peer_7_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_6_epoch,04_peers/peer_8_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_8_epoch_oos
198,14.100060721569797,1,192,25,4.13,75,1,1.03,14.100060721569797,1696169849,0,176.0,1.0,14.28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,9.95330867347947,1,256,26,0.0,82,1,0.5,9.95330867347947,1696169856,0,192.0,1.0,14.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,10.617139845163315,1,8,27,19.45,86,2,4.86,10.617139845163315,1696169860,0,256.0,1.0,9.95,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,12.774469195919053,1,80,28,13.47,87,2,3.37,12.774469195919053,1696169861,0,8.0,2.0,10.62,0.0,23.837586391018704,1.0,504.0,256.0,1.0,10.739342305916225,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,13.072195073677785,1,96,29,11.76,89,2,2.94,13.072195073677785,1696169863,0,80.0,2.0,12.77,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,12.767411257586406,1,112,30,10.92,90,2,2.73,12.767411257586406,1696169864,0,96.0,2.0,13.07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,11.996403583127716,1,128,31,7.73,94,2,1.93,11.996403583127716,1696169868,0,112.0,2.0,12.77,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,12.204245913511519,1,176,32,6.28,96,2,1.57,12.204245913511519,1696169870,0,128.0,2.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,11.81330690794443,1,184,33,5.41,97,2,1.35,11.81330690794443,1696169871,0,176.0,2.0,12.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,11.929898945843421,1,200,34,4.01,98,2,1.0,11.929898945843421,1696169872,0,184.0,2.0,11.81,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,12.407144083962477,1,224,35,2.35,99,2,0.59,12.407144083962477,1696169873,0,200.0,2.0,11.93,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,12.780396976172158,1,240,36,0.85,101,2,0.5,12.780396976172158,1696169875,0,224.0,2.0,12.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,13.166250375021814,1,256,37,0.0,102,2,0.5,13.166250375021814,1696169876,0,240.0,2.0,12.78,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,13.827913743026398,1,16,38,16.9,103,3,4.23,13.827913743026398,1696169877,0,256.0,2.0,13.17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,47.675681195710105,2,32,39,4.56,105,3,1.82,13.679910668990537,1696169879,0,16.0,3.0,13.83,0.0,17.03842790098861,1.0,760.0,256.0,2.0,15.024860361978954,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,134.23731339784305,5,72,40,1.31,106,3,0.82,37.203746837723166,1696169880,0,32.0,3.0,13.68,0.0,,,,,,,,8.0,2.0,1.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,
