03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_6_samples_accumulated,04_peers/peer_7_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_6_epoch,04_peers/peer_8_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_8_epoch_oos
288,184.4464407381644,8,0,79,0.0,157,5,0.5,127.94610267659665,1696169931,0,0.0,5.0,14.72,0.0,26.459737627999857,3.0,1160.0,232.0,2.0,8.768038567188821,0.0,0.0,5.0,0.0,16.5,17.09,31.13,0.0,1.0,4.0,5.0,8.0,19.75,0.0,4.0,1.0,0.0,5.0,8.0,33.96,31.64,0.0,4.0,19.66,0.0,0.0,4.0,1.0,1.0
457,184.4464407381644,8,0,80,0.0,159,5,0.5,127.94610267659665,1696169933,0,0.0,5.0,14.72,0.0,,,,,,,,0.0,5.0,0.0,16.5,17.09,31.13,0.0,1.0,4.0,5.0,8.0,19.75,0.0,4.0,1.0,0.0,5.0,0.0,33.96,31.64,0.0,5.0,19.66,0.0,0.0,4.0,0.0,1.0
548,167.94919882441965,7,0,81,0.0,160,5,0.5,111.4488607628519,1696169934,0,0.0,5.0,14.72,0.0,,,,,,,,0.0,5.0,0.0,16.5,17.09,31.13,0.0,1.0,4.0,5.0,8.0,19.75,0.0,4.0,1.0,0.0,5.0,0.0,33.96,31.64,0.0,5.0,19.66,0.0,0.0,4.0,0.0,1.0
513,56.50033806156775,3,8,82,0.0,164,4,0.5,56.50033806156775,1696169938,0,0.0,5.0,14.72,0.0,,,,,,,,,,,,17.09,31.13,0.0,1.0,4.0,5.0,8.0,19.75,0.0,4.0,1.0,0.0,5.0,0.0,33.96,31.64,0.0,5.0,19.66,0.0,0.0,4.0,0.0,1.0
60,56.50033806156775,3,0,83,3.47,168,5,1.74,17.09147745676509,1696169942,0,,,,,8.204563865001546,4.0,1160.0,0.0,2.0,0.0,0.0,,,,,17.09,,,0.0,4.0,,8.0,19.75,0.0,4.0,0.0,,,,,,,,19.66,,0.0,4.0,,0.0
129,36.75480595138685,2,0,84,3.46,172,5,1.39,17.09147745676509,1696169946,0,,,,,4.028187231015181,5.0,1168.0,8.0,2.0,1.9860050045349666,0.0,,,,,17.09,,,0.0,5.0,,0.0,19.75,0.0,4.0,1.0,,,,,,,,19.66,,0.0,4.0,,1.0
198,36.75480595138685,2,0,85,1.59,176,5,0.64,17.09147745676509,1696169950,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
215,36.75480595138685,2,0,86,1.12,177,5,0.5,17.09147745676509,1696169951,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
232,36.75480595138685,2,0,87,0.64,178,5,0.5,17.09147745676509,1696169952,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
250,36.75480595138685,2,0,88,0.17,179,5,0.5,17.09147745676509,1696169953,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
267,36.75480595138685,2,0,89,0.0,180,5,0.5,17.09147745676509,1696169954,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
285,36.75480595138685,2,0,90,0.0,181,5,0.5,17.09147745676509,1696169955,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
302,36.75480595138685,2,0,91,0.0,183,5,0.5,17.09147745676509,1696169957,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
319,36.75480595138685,2,0,92,0.0,184,5,0.5,17.09147745676509,1696169958,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
337,36.75480595138685,2,0,93,0.0,185,5,0.5,17.09147745676509,1696169959,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
354,36.75480595138685,2,0,94,0.0,186,5,0.5,17.09147745676509,1696169960,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
372,36.75480595138685,2,0,95,0.0,187,5,0.5,17.09147745676509,1696169961,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
389,36.75480595138685,2,0,96,0.0,188,5,0.5,17.09147745676509,1696169962,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
407,36.75480595138685,2,0,97,0.0,189,5,0.5,17.09147745676509,1696169963,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
424,36.75480595138685,2,0,98,0.0,190,5,0.5,17.09147745676509,1696169964,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
441,36.75480595138685,2,0,99,0.0,191,5,0.5,17.09147745676509,1696169965,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
459,36.75480595138685,2,0,100,0.0,192,5,0.5,17.09147745676509,1696169966,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
476,36.75480595138685,2,0,101,0.0,193,5,0.5,17.09147745676509,1696169967,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
494,36.75480595138685,2,0,102,0.0,194,5,0.5,17.09147745676509,1696169968,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
511,36.75480595138685,2,0,103,0.0,195,5,0.5,17.09147745676509,1696169969,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
528,36.75480595138685,2,0,104,0.0,196,5,0.5,17.09147745676509,1696169970,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
546,36.75480595138685,2,0,105,0.0,197,5,0.5,17.09147745676509,1696169971,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
563,36.75480595138685,2,0,106,0.0,198,5,0.5,17.09147745676509,1696169972,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
581,36.75480595138685,2,0,107,0.0,199,5,0.5,17.09147745676509,1696169973,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
598,36.75480595138685,2,0,108,0.0,200,5,0.5,17.09147745676509,1696169974,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
616,36.75480595138685,2,0,109,0.0,201,5,0.5,17.09147745676509,1696169975,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
633,36.75480595138685,2,0,110,0.0,202,5,0.5,17.09147745676509,1696169976,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
651,36.75480595138685,2,0,111,0.0,203,5,0.5,17.09147745676509,1696169977,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
668,36.75480595138685,2,0,112,0.0,204,5,0.5,17.09147745676509,1696169978,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
686,36.75480595138685,2,0,113,0.0,205,5,0.5,17.09147745676509,1696169979,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
703,36.75480595138685,2,0,114,0.0,206,5,0.5,17.09147745676509,1696169980,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
721,36.75480595138685,2,0,115,0.0,207,5,0.5,17.09147745676509,1696169981,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
738,36.75480595138685,2,0,116,0.0,208,5,0.5,17.09147745676509,1696169982,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
755,36.75480595138685,2,0,117,0.0,209,5,0.5,17.09147745676509,1696169983,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
773,36.75480595138685,2,0,118,0.0,210,5,0.5,17.09147745676509,1696169984,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
790,36.75480595138685,2,0,119,0.0,211,5,0.5,17.09147745676509,1696169985,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
808,36.75480595138685,2,0,120,0.0,212,5,0.5,17.09147745676509,1696169986,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
825,36.75480595138685,2,0,121,0.0,213,5,0.5,17.09147745676509,1696169987,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
842,36.75480595138685,2,0,122,0.0,214,5,0.5,17.09147745676509,1696169988,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
860,17.09147745676509,1,0,123,0.0,215,5,0.5,17.09147745676509,1696169989,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,19.66,,0.0,4.0,,1.0
877,17.09147745676509,1,0,124,0.0,216,5,0.5,17.09147745676509,1696169990,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,,,,,,
895,17.09147745676509,1,0,125,0.0,217,5,0.5,17.09147745676509,1696169991,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,,,,,,
912,17.09147745676509,1,0,126,0.0,218,5,0.5,17.09147745676509,1696169992,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,,,,,,
929,17.09147745676509,1,0,127,0.0,219,5,0.5,17.09147745676509,1696169993,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,,,,,,
947,17.09147745676509,1,0,128,0.0,220,5,0.5,17.09147745676509,1696169994,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,,,,,,
964,17.09147745676509,1,0,129,0.0,221,5,0.5,17.09147745676509,1696169995,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,,,,,,
982,17.09147745676509,1,0,130,0.0,222,5,0.5,17.09147745676509,1696169996,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,,,,,,
999,17.09147745676509,1,0,131,0.0,223,5,0.5,17.09147745676509,1696169997,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,,,,,,
1016,17.09147745676509,1,0,132,0.0,224,5,0.5,17.09147745676509,1696169998,0,,,,,,,,,,,,,,,,17.09,,,0.0,5.0,,0.0,,,,,,,,,,,,,,,,,
