_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
15,15,,,1681082349,2.0,0.27200000000000024,0.4200000000000159,6094.303232,0.004085571537557004,26795.0,0.5113188538906752,2160.406528,63.0,5869.400064,164.0,0.0,6.132442882462596,6.5,17123.0,103.58452752932314,23252.242432,2.654208,1207.0,0.0819999999994252,4613.881856,0.0,251168.0,26.3,1.375,19430.924288,67.0,,,,,,,,,,,,,,
16,16,,,1681082350,2.0,1.043000000000001,1.1880000000000166,6237.929472,0.057175145162575894,28400.0,0.2739668960538662,2249.867264,66.0,5962.788864,783.0,0.0,66.06996417344463,6.5,18294.0,1.6201990807295523,23108.575232,2.654208,1710.0,0.08399999999983265,4631.785472,0.0,252806.0,26.8,1.375,19894.23104,70.0,,,,,,,,,,,,,,
17,17,,,1681082351,2.0,1.7699999999999996,2.048000000000002,6426.99264,0.004084854629046098,30135.0,0.22979700755528876,2300.071936,67.0,6013.00992,1400.0,0.0,63.94431435414961,6.5,19483.0,0.1860842760958299,22919.507968,2.654208,2220.0,0.08500000000003638,4631.785472,0.0,254445.0,27.4,1.375,19894.23104,73.0,,,,,,,,,,,,,,
18,18,,,1681082352,2.0,2.2699999999999996,2.671999999999997,6640.730112,0.004085874701679257,31511.0,0.301756211043111,2338.504704,68.0,6053.25312,1782.0,0.0,42.995659479760874,6.5,20385.0,0.15800045546592875,22705.80736,2.654208,2464.0,0.08500000000003638,4644.032512,0.0,255782.0,28.0,1.375,27833.946112,73.0,,0.00035690400000021327,4.144183280999641,,,,,,,,,,,
19,19,,,1681082353,2.0,2.6110000000000007,3.1040000000000134,6715.559936,0.004085818341516456,33482.0,0.5350905804896697,2370.625536,69.0,6158.852096,2187.0,0.0,42.09618636675995,6.5,21464.0,0.4989805649055312,22630.981632,2.654208,2474.0,0.08599999999933061,4725.08416,0.0,257992.0,28.3,1.375,28144.590848,73.0,,,,0.10230400999989797,0.7539787679997971,,,,,,,,,
20,19,,,1681082353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,32.0,7.1793212890625,7.335487300999375,0.0,0.0001,2.3278998340001635,0.0,0.0
21,20,,,1681082354,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007023520000075223,0.0006120640000517596,0.0273753770006806,0.10292659799961257,0.33774388799974986,6.0,64.0,7.2237548828125,0.4803381920000902,0.0,0.0001,0.004656744999920193,0.0,1.0
22,20,,,1681082354,2.125,2.6110000000000007,3.116000000000014,6726.193152,0.012257965191762345,35584.0,0.5269009726199531,2368.733184,72.0,6157.275136,2187.0,0.0,0.0,7.000000000000001,22769.0,26.29144397469902,22639.620096,2.654208,2495.0,0.08899999999994179,4725.415936,0.0,260384.0,28.3,1.625,28144.852992,76.0,0.006715030000123079,0.0006006100002196035,0.025778076999813493,,,,,,,,,,,
23,21,,,1681082355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10313466300067375,0.34839843600002496,6.0,96.0,7.1910400390625,0.48896219600101176,0.0,0.0001,0.004335380000156874,0.0,2.0
24,21,,,1681082355,2.125,2.6110000000000007,3.132000000000005,6725.832704,0.10623678482282724,37258.0,0.616256349510413,2368.761856,80.0,6157.316096,2187.0,0.0,0.0,7.000000000000001,24002.0,30.335645760338434,22620.71296,2.654208,2511.0,0.09499999999934516,4725.420032,0.0,262411.0,28.3,1.625,28144.852992,78.0,0.006677515000774292,0.0006708860000799177,0.028158318000350846,,,,,,,,,,,
