03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_6_samples_accumulated,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_2_epoch_oos,04_peers/peer_6_epoch,04_peers/peer_5_samples_accumulated,04_peers/peer_2_samples_per_second,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_6_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_8_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos
163066,8342.92493834864,8,0,107,0.0,210,6,0.5,8342.92493834864,1682816946,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
171736,8342.92493834864,8,0,108,0.0,211,6,0.5,8342.92493834864,1682816947,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
180478,8342.92493834864,8,0,109,0.0,212,6,0.5,8342.92493834864,1682816948,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
189163,8342.92493834864,8,0,110,0.0,213,6,0.5,8342.92493834864,1682816949,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
197763,8342.92493834864,8,0,111,0.0,214,6,0.5,8342.92493834864,1682816950,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
206361,8342.92493834864,8,0,112,0.0,215,6,0.5,8342.92493834864,1682816951,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
214957,8342.92493834864,8,0,113,0.0,216,6,0.5,8342.92493834864,1682816952,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
223548,8342.92493834864,8,0,114,0.0,217,6,0.5,8342.92493834864,1682816953,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
232146,8342.92493834864,8,0,115,0.0,218,6,0.5,8342.92493834864,1682816954,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
240780,8342.92493834864,8,0,116,0.0,219,6,0.5,8342.92493834864,1682816955,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
249389,8342.92493834864,8,0,117,0.0,220,6,0.5,8342.92493834864,1682816956,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
258015,8342.92493834864,8,0,118,0.0,221,6,0.5,8342.92493834864,1682816957,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
266617,8342.92493834864,8,0,119,0.0,222,6,0.5,8342.92493834864,1682816958,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
275226,8342.92493834864,8,0,120,0.0,223,6,0.5,8342.92493834864,1682816959,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
283846,8342.92493834864,8,0,121,0.0,224,6,0.5,8342.92493834864,1682816960,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
292442,8342.92493834864,8,0,122,0.0,225,6,0.5,8342.92493834864,1682816961,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
301046,8342.92493834864,8,0,123,0.0,226,6,0.5,8342.92493834864,1682816962,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
309689,8342.92493834864,8,0,124,0.0,227,6,0.5,8342.92493834864,1682816963,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
318367,8342.92493834864,8,0,125,0.0,228,6,0.5,8342.92493834864,1682816964,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
326994,8342.92493834864,8,0,126,0.0,230,6,0.5,8342.92493834864,1682816966,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
335605,8342.92493834864,8,0,127,0.0,231,6,0.5,8342.92493834864,1682816967,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
344426,8342.92493834864,8,0,128,0.0,232,6,0.5,8342.92493834864,1682816968,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
353082,8342.92493834864,8,0,129,0.0,233,6,0.5,8342.92493834864,1682816969,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
361789,8342.92493834864,8,0,130,0.0,234,6,0.5,8342.92493834864,1682816970,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
370447,8342.92493834864,8,0,131,0.0,235,6,0.5,8342.92493834864,1682816971,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
379111,8342.92493834864,8,0,132,0.0,236,6,0.5,8342.92493834864,1682816972,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
387773,8342.92493834864,8,0,133,0.0,237,6,0.5,8342.92493834864,1682816973,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
396455,8342.92493834864,8,0,134,0.0,238,6,0.5,8342.92493834864,1682816974,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
405076,8342.92493834864,8,0,135,0.0,239,6,0.5,8342.92493834864,1682816975,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
413720,8342.92493834864,8,0,136,0.0,240,6,0.5,8342.92493834864,1682816976,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
422435,8342.92493834864,8,0,137,0.0,241,6,0.5,8342.92493834864,1682816977,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
431104,8342.92493834864,8,0,138,0.0,242,6,0.5,8342.92493834864,1682816978,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
439729,8342.92493834864,8,0,139,0.0,243,6,0.5,8342.92493834864,1682816979,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
448356,8342.92493834864,8,0,140,0.0,244,6,0.5,8342.92493834864,1682816980,0,0.0,6.0,1127.42,0.0,1091.32,0.0,982.38,0.0,6.0,0.0,0.0,6.0,6.0,0.0,1109.81,992.54,0.0,6.0,0.0,772.99,6.0,0.0,0.0,0.0,,,,,,,,6.0,1121.76,0.0,1144.71,0.0,0.0,6.0,0.0
